,Concept_ID,ca,ar
0,Auge::N,ull,عين
1,Ohr::N,orella,أذن
2,Nase::N,nas,أنف
3,Mund::N,boca,فم
4,Zahn::N,dent,سن
5,Zunge::N,llēngua,لسان
6,Lippe::N,llavi,شفة
7,Wange::N,galta,خد
8,Wange::N,galta,وجنة
9,Gesicht::N,cara,وجه
10,Stirn::N,front,جبين
11,Haar::N,cabēll,شعر
12,Schnurrbart::N,bigoti,شارب
13,Bart::N,barba,لحية
14,Kinn::N,mentó,ذقن
15,Kinn::N,barbeta,ذقن
16,Kiefer[Anatomie]::N,queix,فك
17,Kiefer[Anatomie]::N,mandíbula,فك
18,Kehle::N,gola,حلق
19,Kehle::N,gorja,حلق
20,Hals::N,coll,عنق
21,Hals::N,coll,رقبة
22,Genick::N,nuca,قفا
23,Kopf::N,cap,رأس
24,Rücken::N,esquena,ظهر
25,Bauch::N,panxa,بطن
26,Nabel::N,llombrígol,سرة
27,Busen::N,pit,ثدي
28,Busen::N,mama,ثدي
29,Brust::N,pit,صدر
30,Schulter::N,espatlla,كتف
31,Arm::N,braç,ذراع
32,Ellenbogen::N,colze,كوع
33,Hand::N,mà,يد
34,Handfläche::N,palma,كف
35,Finger::N,dit,إصبع
36,Fingernagel::N,ungla,ظفر
37,Nagel[Anatomie]::N,ungla,ظفر
38,Zeh::N,dit del peu,إصبع القدم
39,Fuß::N,peu,قدم
40,Ferse::N,taló,كعب
41,Knie::N,genoll,ركبة
42,Oberschenkel::N,cuixa,فخذ
43,Bein::N,cama,ساق
44,Körper::N,cos,جسم
45,Haut::N,pell,بشرة
46,Blut::N,sang,دم
47,Ader::N,vena,عرق
48,Sehne::N,tendó,طنب
49,Knochen::N,os,عظم
50,Gehirn::N,cervell,دماغ
51,Herz::N,cor,قلب
52,Magen::N,estómac,معدة
53,Leber::N,fetge,كبد
54,Atem::N,alè,نفس
55,Atem::N,hàlit,نفس
56,Hunger::N,fam,جوع
57,Hunger::N,gana,جوع
58,Träne::N,llàgrima,دمعة
59,Geschmack::N,gust,طعم
60,Geschmack::N,gust,مذاق
61,Geschmack::N,sabor,طعم
62,Geschmack::N,sabor,مذاق
63,Geruch::N,olor,رائحة
64,Schlaf::N,son,نوم
65,Schlaf::N,son,منام
66,Traum::N,somni,حلم
67,Himmel::N,celm,سماء
68,Sonne::N,sol,شمس
69,Mond::N,lluna,قمر
70,Stern::N,estel,نجم
71,Stern::N,estel,كوكب
72,Stern::N,estrella,نجم
73,Stern::N,estrella,كوكب
74,Luft::N,aire,هواء
75,Wind::N,vent,ريح
76,Welle::N,ona,موجة
77,Wasser::N,āigua,ماء
78,Stein::N,pedra,حجر
79,Boden::N,sòl,تراب
80,Erde::N,terra,أرض
81,Staub::N,pols,غبار
82,Rauch::N,fum,دخان
83,Funke::N,guspira,شرارة
84,Funke::N,centella,شرارة
85,Feuer::N,foc,نار
86,Licht::N,llum,نور
87,Licht::N,llum,ضوء
88,Schatten::N,ombra,ظل
89,Schatten::N,ombra,فيء
90,Wetter::N,temps,جو
91,Wetter::N,temps,طقس
92,Nebel::N,boira,ضباب
93,Wolke::N,núvol,غيمة
94,Wolke::N,núvol,سحابة
95,Regen::N,pluja,مطر
96,Schnee::N,neu,ثلج
97,Eis::N,gel,جليد
98,Eis::N,glaç,جليد
99,Frost::N,glaçada,صقيع
100,Kälte::N,fred,برد
101,Hitze::N,calor,حر
102,Hitze::N,calor,حرارة
103,Raureif::N,gebre,صقيع
104,Regenbogen::N,arc iris,قوس قزح
105,Donner::N,tro,رعد
