,Concept_ID,fr,kn
0,Auge::N,œil,ಕಣ್ಣು
1,Ohr::N,oreille,ಕಿವಿ
2,Nase::N,nez,ಮೂಗು
3,Mund::N,bouche,ಬಾಯಿ
4,Zahn::N,dent,ಹಲ್ಲು
5,Zunge::N,langue,ನಾಲಿಗೆ
6,Lippe::N,lèvre,ತುಟಿ
7,Wange::N,joue,ಗಲ್ಲ
8,Gesicht::N,face,ಮುಖ
9,Gesicht::N,visage,ಮುಖ
10,Stirn::N,front,ಹಣೆ
11,Haar::N,cheveu,ಕೂದಲು
12,Schnurrbart::N,moustache,ಮೀಸೆ
13,Bart::N,barbe,ಗಡ್ಡ
14,Kinn::N,menton,ಗದ್ದ
15,Kiefer[Anatomie]::N,mâchoire,ದವಡೆ
16,Kehle::N,gorge,ಗಂಟಲು
17,Hals::N,cou,ಕೊರಳು
18,Genick::N,nuque,ಹಿಂಗತ್ತು
19,Kopf::N,tête,ತಲೆ
20,Rücken::N,dos,ಬೆನ್ನು
21,Bauch::N,ventre,ಹೊಟ್ಟೆ
22,Nabel::N,nombril,ಹೊಕ್ಕುಳು
23,Busen::N,sein,ಸ್ತನ
24,Brust::N,poitrine,ಎದೆ
25,Schulter::N,épaule,ಭುಜ
26,Arm::N,bras,ತೋಳು
27,Ellenbogen::N,coude,ಮೊಣಕೈ
28,Hand::N,main,ಕೈ
29,Handfläche::N,paume,ಅಂಗೈ
30,Finger::N,doigt,ಕೈಬೆರಳು
31,Fingernagel::N,ongle,ಉಗುರು
32,Nagel[Anatomie]::N,ongle,ಉಗುರು
33,Zeh::N,orteil,ಕಾಲ್ಬೆರಳು
34,Zeh::N,doigt de pied,ಕಾಲ್ಬೆರಳು
35,Fuß::N,pied,ಪಾದ
36,Ferse::N,talon,ಹಿಮ್ಮಡಿ
37,Knie::N,genou,ಮಂಡಿ
38,Oberschenkel::N,cuisse,ತೊಡೆ
39,Bein::N,jambe,ಕಾಲು
40,Körper::N,corps,ದೇಹ
41,Haut::N,peau,ಚರ್ಮ
42,Blut::N,sang,ರಕ್ತ
43,Ader::N,veine,ನರ
44,Sehne::N,tendon,ನರ
45,Knochen::N,os,ಮೂಳೆ
46,Gehirn::N,cerveau,ಮಿದುಳು
47,Herz::N,cœur,ಹೃದಯ
48,Magen::N,estomac,ಉದರ
49,Leber::N,foie,ಯಕೃತ್ತು
50,Atem::N,haleine,ಉಸಿರು
51,Hunger::N,faim,ಹಸಿವು
52,Träne::N,larme,ಕಣ್ಣೀರು
53,Geschmack::N,goût,ರುಚಿ
54,Geschmack::N,saveur,ರುಚಿ
