,Concept_ID,sq,uz
0,Auge::N,sy,ko'z
1,Ohr::N,vesh,quloq
2,Nase::N,hundë,burun
3,Mund::N,gojë,og'iz
4,Zahn::N,dhëmb,tish
5,Zunge::N,gjuhë,til
6,Lippe::N,buzë,dudoq
7,Wange::N,faqe,bet
8,Wange::N,mollëz,bet
9,Gesicht::N,fytyrë,yuz
10,Stirn::N,ballë,manglay
11,Haar::N,flokë,soch
12,Schnurrbart::N,mustaqe,mo'ylov
13,Bart::N,mjekër,soqol
14,Kinn::N,mjekër,ängak
15,Kiefer[Anatomie]::N,nofull,iyak
16,Kehle::N,fyt,bo'g'iz
17,Kehle::N,grykë,bo'g'iz
18,Hals::N,qafë,bo'yin
19,Genick::N,arrëz,gardan
20,Kopf::N,kokë,bosh
21,Rücken::N,kurriz,orqa
22,Bauch::N,bark,qorin
23,Nabel::N,kërthizë,kindik
24,Busen::N,gji,ämchak
25,Brust::N,gjoks,ko'krak
26,Brust::N,kraharor,ko'krak
27,Schulter::N,sup,elka
28,Schulter::N,krah,elka
29,Arm::N,krah,bilak
30,Ellenbogen::N,bërryl,tirsak
31,Hand::N,dorë,qo'l
32,Handfläche::N,pëllëmbë,kaft
33,Finger::N,gisht,barmoq
34,Fingernagel::N,thua,tirnoq
35,Nagel[Anatomie]::N,thua,tirnoq
36,Zeh::N,gisht i këmbës,oyoq barmog'i
37,Fuß::N,këmbë,oyoq
38,Ferse::N,thembër,tovon
39,Knie::N,gju,tiz
40,Oberschenkel::N,kofshë,son
41,Bein::N,këmbë,oyoq
42,Körper::N,trup,badna
43,Haut::N,lëkurë,teri
44,Blut::N,gjak,qon
45,Ader::N,venë,qon tomir
46,Sehne::N,dell,tomir
47,Knochen::N,asht,suyak
48,Knochen::N,kockë,suyak
49,Gehirn::N,tru,miya
50,Herz::N,zemër,qalb
51,Magen::N,stomak,oshqozon
52,Leber::N,mëlçi,bag'ir
53,Atem::N,frymë,dam
54,Hunger::N,uri,ochlik
55,Träne::N,lot,yosh
56,Geschmack::N,shije,tam
57,Geruch::N,erë,jid
58,Schlaf::N,gjumë,uyqu
59,Traum::N,ëndërr,tush
60,Himmel::N,qiell,osmon
61,Sonne::N,diell,quyosh
62,Mond::N,hënë,oy
63,Stern::N,yll,yulduz
64,Luft::N,ajër,havo
65,Wind::N,erë,el
66,Welle::N,valë,to'lqin
67,Welle::N,dallgë,to'lqin
68,Wasser::N,ujë,suv
69,Stein::N,gur,tosh
70,Boden::N,tokë,tuproq
71,Boden::N,truall,tuproq
72,Erde::N,dhe,er
73,Erde::N,baltë,er
74,Staub::N,pluhur,chang
75,Rauch::N,tym,tutun
76,Funke::N,xixë,yalt
77,Funke::N,shkëndijë,yalt
78,Feuer::N,zjarr,o't
79,Licht::N,dritë,yorug'
80,Schatten::N,hije,soya
81,Wetter::N,mot,havo
82,Nebel::N,mjegull,tuman
83,Wolke::N,re,bulut
84,Regen::N,shi,yomg'ir
85,Schnee::N,borë,qor
86,Eis::N,akull,muz
87,Frost::N,ngricë,ajoz
88,Kälte::N,të ftohtë,ajoz
89,Hitze::N,vapë,issiq
90,Hitze::N,nxehtësi,issiq
91,Raureif::N,cikmë,qirov
92,Regenbogen::N,ylber,kamalak
93,Donner::N,gjëmim,guldur
