,Concept_ID,kn,ja
0,Auge::N,ಕಣ್ಣು,目
1,Ohr::N,ಕಿವಿ,耳
2,Nase::N,ಮೂಗು,鼻
3,Mund::N,ಬಾಯಿ,口
4,Zahn::N,ಹಲ್ಲು,歯
5,Zunge::N,ನಾಲಿಗೆ,舌
6,Lippe::N,ತುಟಿ,唇
7,Wange::N,ಗಲ್ಲ,頬
8,Gesicht::N,ಮುಖ,顔
9,Stirn::N,ಹಣೆ,額
10,Haar::N,ಕೂದಲು,髪
11,Schnurrbart::N,ಮೀಸೆ,口髭
12,Bart::N,ಗಡ್ಡ,髭
13,Kinn::N,ಗದ್ದ,顎
14,Kiefer[Anatomie]::N,ದವಡೆ,顎
15,Kehle::N,ಗಂಟಲು,喉
16,Hals::N,ಕೊರಳು,首
17,Genick::N,ಹಿಂಗತ್ತು,首
18,Kopf::N,ತಲೆ,頭
19,Rücken::N,ಬೆನ್ನು,背中
20,Bauch::N,ಹೊಟ್ಟೆ,腹
21,Bauch::N,ಹೊಟ್ಟೆ,お腹
22,Nabel::N,ಹೊಕ್ಕುಳು,へそ
23,Busen::N,ಸ್ತನ,乳房
24,Brust::N,ಎದೆ,胸
25,Schulter::N,ಭುಜ,肩
26,Arm::N,ತೋಳು,腕
27,Ellenbogen::N,ಮೊಣಕೈ,肘
28,Hand::N,ಕೈ,手
29,Handfläche::N,ಅಂಗೈ,手のひら
30,Finger::N,ಕೈಬೆರಳು,指
31,Fingernagel::N,ಉಗುರು,爪
32,Nagel[Anatomie]::N,ಉಗುರು,爪
33,Zeh::N,ಕಾಲ್ಬೆರಳು,足の指
34,Fuß::N,ಪಾದ,足
35,Ferse::N,ಹಿಮ್ಮಡಿ,かかと
36,Knie::N,ಮಂಡಿ,膝
37,Oberschenkel::N,ತೊಡೆ,上腿
38,Bein::N,ಕಾಲು,足
39,Körper::N,ದೇಹ,体
40,Haut::N,ಚರ್ಮ,皮膚
41,Blut::N,ರಕ್ತ,血
42,Ader::N,ನರ,血管
43,Sehne::N,ನರ,腱
44,Knochen::N,ಮೂಳೆ,骨
45,Gehirn::N,ಮಿದುಳು,脳
46,Herz::N,ಹೃದಯ,心
47,Herz::N,ಹೃದಯ,心臓
48,Magen::N,ಉದರ,胃
49,Leber::N,ಯಕೃತ್ತು,肝臓
50,Atem::N,ಉಸಿರು,息
51,Atem::N,ಉಸಿರು,呼吸
52,Hunger::N,ಹಸಿವು,空腹
53,Träne::N,ಕಣ್ಣೀರು,涙
54,Geschmack::N,ರುಚಿ,味
55,Geruch::N,ವಾಸನೆ,匂い
56,Schlaf::N,ನಿದ್ರೆ,睡眠
57,Traum::N,ಕನಸು,夢
58,Himmel::N,ಬಾನು,空
59,Sonne::N,ಸೂರ್ಯ,太陽
60,Mond::N,ಚಂದ್ರ,月
61,Stern::N,ಚುಕ್ಕಿ,星
62,Luft::N,ವಾಯು,空気
63,Wind::N,ಗಾಳಿ,風
64,Welle::N,ಅಲೆ,波
65,Wasser::N,ನೀರು,水
