,Concept_ID,ca,lbe
0,Auge::N,ull,я
1,Ohr::N,orella,вичӏи
2,Nase::N,nas,май
3,Mund::N,boca,кьацӏ
4,Zahn::N,dent,ккарччи
5,Zunge::N,llēngua,маз
6,Lippe::N,llavi,мурччи
7,Wange::N,galta,чӏав
8,Gesicht::N,cara,лажин
9,Stirn::N,front,ненттабакӏ
10,Haar::N,cabēll,чӏара
11,Schnurrbart::N,bigoti,ссирссилтту
12,Bart::N,barba,чӏири
13,Kinn::N,mentó,лунттубакӏ
14,Kinn::N,barbeta,лунттубакӏ
15,Kiefer[Anatomie]::N,queix,ххинчулул
16,Kiefer[Anatomie]::N,mandíbula,ххинчулул
17,Kehle::N,gola,кьакьари
18,Kehle::N,gorja,кьакьари
19,Hals::N,coll,ссурссу
20,Genick::N,nuca,махъабакӏ
21,Kopf::N,cap,бакӏ
22,Rücken::N,esquena,ттиликӏ
23,Bauch::N,panxa,лякьа
24,Nabel::N,llombrígol,цӏумуккутӏ
25,Busen::N,pit,ккукку
26,Busen::N,mama,ккукку
27,Brust::N,pit,хъазам
28,Schulter::N,espatlla,хъачӏ
29,Arm::N,braç,ка
30,Ellenbogen::N,colze,ссюрхъ
31,Hand::N,mà,бартка
32,Handfläche::N,palma,хъат
33,Handfläche::N,palma,битӏянхъ
34,Finger::N,dit,кӏисса
35,Fingernagel::N,ungla,михь
36,Nagel[Anatomie]::N,ungla,михь
37,Zeh::N,dit del peu,кӏисса
38,Fuß::N,peu,чӏанччан
39,Ferse::N,taló,никъа
40,Knie::N,genoll,ник
41,Oberschenkel::N,cuixa,жира
42,Bein::N,cama,ччан
43,Körper::N,cos,чурх
44,Haut::N,pell,бурчу
45,Blut::N,sang,оь
46,Ader::N,vena,тунну
47,Sehne::N,tendó,хьхьа
48,Knochen::N,os,ттаркӏ
49,Gehirn::N,cervell,ня
50,Herz::N,cor,дакӏ
51,Herz::N,cor,къюкӏ
52,Magen::N,estómac,лякьа
53,Leber::N,fetge,
54,Atem::N,alè,ссихӏ ласаву
55,Atem::N,alè,ссихӏ бигьаву
56,Atem::N,hàlit,ссихӏ ласаву
57,Atem::N,hàlit,ссихӏ бигьаву
58,Hunger::N,fam,ккаши
59,Hunger::N,gana,ккаши
60,Träne::N,llàgrima,макь
61,Geschmack::N,gust,тӏин
62,Geschmack::N,gust,тӏааьн
63,Geschmack::N,sabor,тӏин
64,Geschmack::N,sabor,тӏааьн
65,Geruch::N,olor,кьанкь
66,Schlaf::N,son,шану
67,Traum::N,somni,макӏру
68,Himmel::N,celm,ссав
69,Sonne::N,sol,баргъ
70,Mond::N,lluna,барз
71,Stern::N,estel,цӏуку
72,Stern::N,estrella,цӏуку
73,Luft::N,aire,гьава
74,Wind::N,vent,марч
75,Welle::N,ona,щатӏи
76,Wasser::N,āigua,щин
77,Stein::N,pedra,чару
78,Boden::N,sòl,аьрщи
79,Erde::N,terra,аьрщи
