,Concept_ID,mn,az
0,Auge::N,нүд,göz
1,Ohr::N,чих,qulaq
2,Nase::N,хамар,burun
3,Mund::N,ам,ağız
4,Zahn::N,шүд,diş
5,Zunge::N,хэл,dil
6,Lippe::N,уруул,dodaq
7,Wange::N,хацар,yanaq
8,Gesicht::N,царай,üz
9,Gesicht::N,нүүр,üz
10,Stirn::N,дух,alın
11,Haar::N,үс,saç
12,Schnurrbart::N,дээд сахал,bığ
13,Schnurrbart::N,живэр сахал,bığ
14,Bart::N,сахал,saqqal
15,Kinn::N,эрүү,çənə
16,Kiefer[Anatomie]::N,эрүү,çənə
17,Kehle::N,хоолой,boğaz
18,Hals::N,хүзүү,boyun
19,Genick::N,шил,ənsə
20,Genick::N,хүзүү,ənsə
21,Kopf::N,толгой,baş
22,Rücken::N,ар,bel
23,Rücken::N,нуруу,bel
24,Bauch::N,хэвлий,qarın
25,Bauch::N,гэдэс,qarın
26,Nabel::N,хүйс,göbək
27,Busen::N,хөх,məmə
28,Brust::N,цээж,döş
29,Schulter::N,мөр,çiyin
30,Schulter::N,бугалга,çiyin
31,Arm::N,гар,qol
32,Ellenbogen::N,тохой,dirsək
33,Hand::N,гар,əl
34,Hand::N,алга,əl
35,Handfläche::N,алга,ovuc
36,Finger::N,хуруу,barmaq
37,Fingernagel::N,хурууны хумс,barmaq dırnağı
38,Nagel[Anatomie]::N,хумс,dırnak
39,Zeh::N,хуруу,ayaq barmağı
40,Fuß::N,хөл,ayaq
41,Ferse::N,өсгий,daban
42,Knie::N,өвдөг,diz
43,Oberschenkel::N,гуя,bud
44,Bein::N,хөл,qıç
45,Körper::N,бие,əndam
46,Haut::N,арьс,dəri
47,Blut::N,цус,qan
48,Ader::N,судас,damar
49,Sehne::N,бүлх,vətər
50,Sehne::N,шандас,vətər
51,Knochen::N,яс,sümük
52,Gehirn::N,тархи,beyin
53,Herz::N,зүрх,ürək
54,Magen::N,ходоод,mədə
55,Leber::N,элэг,qara ciyər
56,Atem::N,амьсгаа,nəfəs
57,Hunger::N,өлсгөлөн,aclıq
58,Träne::N,нулимс,göz yaşı
59,Geschmack::N,амт,tam
60,Geschmack::N,амт,ləzzət
61,Geruch::N,үнэр,qoxu
62,Schlaf::N,нойр,yuxu
63,Traum::N,зүүд,röya
64,Himmel::N,тэнгэр,göy
65,Himmel::N,тэнгэр,səma
66,Himmel::N,огторгуй,göy
67,Himmel::N,огторгуй,səma
68,Sonne::N,нар,günəş
69,Mond::N,сар,ay
70,Stern::N,од,ulduz
71,Luft::N,агаар,hava
72,Wind::N,салхи,yel
73,Wind::N,салхи,külək
74,Welle::N,долгио,dalğa
75,Welle::N,давалгаа,dalğa
76,Wasser::N,ус,su
77,Stein::N,чулуу,daş
78,Boden::N,хөрс,yer
79,Boden::N,хөрс,zəmin
80,Erde::N,газар,yer torpaq
81,Erde::N,шороо,yer torpaq
82,Staub::N,тоос,toz
83,Rauch::N,утаа,tüstü
84,Funke::N,оч,qığılcım
85,Feuer::N,гал,od
86,Licht::N,гэрэл,işıq
87,Licht::N,гэгээ,işıq
88,Schatten::N,сүүдэр,kölgə
89,Wetter::N,тэнгэр,hava
90,Wetter::N,цаг уур,hava
91,Nebel::N,будан,duman
92,Wolke::N,үүл,bulud
93,Regen::N,бороо,yağış
94,Regen::N,бороо,yağmur
95,Schnee::N,цас,qar
96,Eis::N,мөс,buz
97,Frost::N,хүйт,ayaz
98,Kälte::N,хүйт,soyuq
99,Hitze::N,халуун,coşğunluq
100,Raureif::N,цан,qırov
101,Raureif::N,хяруу,qırov
102,Regenbogen::N,солонго,göy qurşağı
103,Donner::N,тэнгэрийн дуу,göy gurultusu
104,Strömung::N,урсгал,axın
105,Tropfen::N,дусал,damcı
