,Concept_ID,ja,kn
0,Auge::N,目,ಕಣ್ಣು
1,Ohr::N,耳,ಕಿವಿ
2,Nase::N,鼻,ಮೂಗು
3,Mund::N,口,ಬಾಯಿ
4,Zahn::N,歯,ಹಲ್ಲು
5,Zunge::N,舌,ನಾಲಿಗೆ
6,Lippe::N,唇,ತುಟಿ
7,Wange::N,頬,ಗಲ್ಲ
8,Gesicht::N,顔,ಮುಖ
9,Stirn::N,額,ಹಣೆ
10,Haar::N,髪,ಕೂದಲು
11,Schnurrbart::N,口髭,ಮೀಸೆ
12,Bart::N,髭,ಗಡ್ಡ
13,Kinn::N,顎,ಗದ್ದ
14,Kiefer[Anatomie]::N,顎,ದವಡೆ
15,Kehle::N,喉,ಗಂಟಲು
16,Hals::N,首,ಕೊರಳು
17,Genick::N,首,ಹಿಂಗತ್ತು
18,Kopf::N,頭,ತಲೆ
19,Rücken::N,背中,ಬೆನ್ನು
20,Bauch::N,腹,ಹೊಟ್ಟೆ
21,Bauch::N,お腹,ಹೊಟ್ಟೆ
22,Nabel::N,へそ,ಹೊಕ್ಕುಳು
23,Busen::N,乳房,ಸ್ತನ
24,Brust::N,胸,ಎದೆ
25,Schulter::N,肩,ಭುಜ
26,Arm::N,腕,ತೋಳು
27,Ellenbogen::N,肘,ಮೊಣಕೈ
28,Hand::N,手,ಕೈ
29,Handfläche::N,手のひら,ಅಂಗೈ
30,Finger::N,指,ಕೈಬೆರಳು
31,Fingernagel::N,爪,ಉಗುರು
32,Nagel[Anatomie]::N,爪,ಉಗುರು
33,Zeh::N,足の指,ಕಾಲ್ಬೆರಳು
34,Fuß::N,足,ಪಾದ
35,Ferse::N,かかと,ಹಿಮ್ಮಡಿ
36,Knie::N,膝,ಮಂಡಿ
37,Oberschenkel::N,上腿,ತೊಡೆ
38,Bein::N,足,ಕಾಲು
39,Körper::N,体,ದೇಹ
40,Haut::N,皮膚,ಚರ್ಮ
41,Blut::N,血,ರಕ್ತ
42,Ader::N,血管,ನರ
43,Sehne::N,腱,ನರ
44,Knochen::N,骨,ಮೂಳೆ
45,Gehirn::N,脳,ಮಿದುಳು
46,Herz::N,心,ಹೃದಯ
47,Herz::N,心臓,ಹೃದಯ
48,Magen::N,胃,ಉದರ
49,Leber::N,肝臓,ಯಕೃತ್ತು
50,Atem::N,息,ಉಸಿರು
51,Atem::N,呼吸,ಉಸಿರು
52,Hunger::N,空腹,ಹಸಿವು
53,Träne::N,涙,ಕಣ್ಣೀರು
54,Geschmack::N,味,ರುಚಿ
55,Geruch::N,匂い,ವಾಸನೆ
56,Schlaf::N,睡眠,ನಿದ್ರೆ
57,Traum::N,夢,ಕನಸು
58,Himmel::N,空,ಬಾನು
59,Sonne::N,太陽,ಸೂರ್ಯ
60,Mond::N,月,ಚಂದ್ರ
61,Stern::N,星,ಚುಕ್ಕಿ
62,Luft::N,空気,ವಾಯು
63,Wind::N,風,ಗಾಳಿ
64,Welle::N,波,ಅಲೆ
65,Wasser::N,水,ನೀರು
66,Stein::N,石,ಕಲ್ಲು
67,Boden::N,土地,ನೆಲ
68,Erde::N,土,ಭೂಮಿ
69,Staub::N,埃,ದೂಳು
70,Rauch::N,煙,ಹೊಗೆ
71,Funke::N,火花,ಕಿಡಿ
72,Feuer::N,火,ಬೆಂಕಿ
73,Licht::N,光,ಬೆಳಕು
74,Schatten::N,陰,ನೆರಳು
75,Wetter::N,天気,ಹವ
76,Nebel::N,霧,ಮಂಜು
77,Wolke::N,雲,ಮೋಡ
78,Regen::N,雨,ಮಳೆ
79,Schnee::N,雪,ಹಿಮ
80,Eis::N,氷,ಮಂಜುಗಡ್ಡೆ
81,Frost::N,霜,ಮಂಜು
82,Kälte::N,寒さ,ಹಿಮ
83,Hitze::N,暑さ,ಉಷ್ಣ
84,Raureif::N,霧氷,ಇಬ್ಬನಿ
85,Regenbogen::N,虹,ಇಂದ್ರಚಾಪ
86,Donner::N,雷,ಗುಡುಗು
87,Strömung::N,流れ,ಪ್ರವಾಹ
88,Tropfen::N,滴,ತೊಟ್ಟು
89,Schaum::N,泡,ನೊರೆ
90,Schmutz::N,汚れ,ಕಸ
91,See::N,湖,ಸರೋವರ
92,Sumpf::N,沼,ಜೌಗುಸ್ಥಳ
93,Moor::N,湿原,ಬಂಜರು ಭೂಮಿ
94,Wiese::N,草原,ಹುಲ್ಲುಗಾವಲು
95,Wald::N,森,ಕಾಡು
96,Hügel::N,丘,ಗುಡ್ಡೆ
97,Anhöhe::N,高み,ದಿಬ್ಬ
98,Berg::N,山,ಮಲೆ
99,Berg::N,山,ಪರ್ವತ
100,Gipfel::N,頂上,ಶೃಂಗ
101,Höhle::N,洞窟,ಗುಹೆ
102,Abhang::N,斜面,ಇಳಿಜಾರು
103,Quelle::N,泉,ಮೂಲ
104,Bach::N,小川,ತೊರೆ
105,Fluss::N,川,ನದಿ
106,Ufer::N,岸,ತೀರ
107,Küste::N,海岸,ದಂಡೆ
108,Festland::N,陸,ಭೂಮಿ
109,Meer::N,海,ಕಡಲು
110,Bucht::N,湾,ಖಾರಿ
111,Insel::N,島,ದ್ವೀಪ
112,Blume::N,花,ಸುಮ
113,Gras::N,草,ಹುಲ್ಲು
114,Wurzel::N,根,ಬೇರು
115,Baum::N,木,ಮರ
116,Stamm::N,幹,ಕಾಂಡ
117,Rinde::N,皮層,ತೂಗಟಿ
118,Ast::N,枝,ಶಾಖೆ
119,Zweig::N,小枝,ರೆಂಬೆ
120,Blatt::N,葉,ಎಲೆ
121,Birke::N,樺,ಬರ್ಚ್ ಮರ
122,Kiefer[Baum]::N,松,ದೇವದಾರು ಮರ
123,Weide[Baum]::N,柳,ವಿಲೋಮರ
124,Tanne::N,樅,ಭದ್ರದಾರು
125,Horn::N,角,ಕೊಂಬು
126,Feder::N,羽根,ಪುಕ್ಕ
127,Fell::N,毛皮,ರೋಮ
128,Flügel::N,羽,ರೆಕ್ಕೆ
129,Klaue::N,鉤爪,ಪಂಜ
130,Kralle::N,爪,ಉಗುರು
131,Schwanz::N,尻尾,ಬಾಲ
132,Ei::N,卵,ಮೊಟ್ಟೆ
133,Nest::N,巣,ಗೂಡು
134,Bau::N,穴,ಅಡಗುದಾಣ
135,Tier::N,動物,ಪ್ರಾಣಿ
136,Herde::N,群れ,ಗುಂಪು
137,Kuh::N,牛,ಹಸು
