,Concept_ID,lez,uk
0,Auge::N,вил,око
1,Ohr::N,яб,вухо
2,Nase::N,нер,ніс
3,Mund::N,сив,рот
4,Zahn::N,сас,зуб
5,Zahn::N,свах,зуб
6,Zunge::N,мез,язик
7,Lippe::N,пӏуз,губа
8,Wange::N,хъвехъ,щока
9,Gesicht::N,ччин,обличчя
10,Stirn::N,пел,лоб
11,Haar::N,чӏар,волосся
12,Schnurrbart::N,спел,вуса
13,Schnurrbart::N,спелар,вуса
14,Bart::N,ччуру,борода
15,Kinn::N,чене,підборіддя
16,Kiefer[Anatomie]::N,чене,щелепа
17,Kehle::N,туьд,горло
18,Hals::N,гардан,шия
19,Genick::N,кьам,потилиця
20,Kopf::N,кьил,голова
21,Rücken::N,далу,спина
22,Bauch::N,руфун,живіт
23,Nabel::N,пицӏ,пупок
24,Busen::N,мам,груди
25,Brust::N,хур,груди
26,Schulter::N,къуьн,плече
27,Arm::N,гъил,рука
28,Ellenbogen::N,кьуьнт,лікоть
29,Hand::N,капаш,рука
30,Handfläche::N,капан юкь,долоня
31,Finger::N,тӏуб,палець
32,Fingernagel::N,кек,ніготь
33,Nagel[Anatomie]::N,кек,ніготь
34,Zeh::N,кул,палець на нозі
35,Fuß::N,кӏвач,нога
36,Ferse::N,дабан,п’ятка
37,Knie::N,мет,коліно
38,Bein::N,кӏвач,нога
39,Körper::N,беден,тіло
40,Haut::N,хам,шкіра
41,Blut::N,иви,кров
42,Ader::N,дамар,вена
43,Sehne::N,кьуру дамар,сухожилля
44,Knochen::N,кӏараб,кістка
45,Gehirn::N,мефт,мозок
46,Herz::N,рикӏ,серце
47,Magen::N,хук,шлунок
48,Leber::N,лекь,печінка
49,Atem::N,ял,дихання
50,Atem::N,нефес,дихання
51,Hunger::N,каш,голод
52,Träne::N,вилин нагъв,сльоза
53,Geschmack::N,дад,смак
54,Geschmack::N,тӏям,смак
55,Geruch::N,ни,запах
56,Schlaf::N,ахвар,сон
57,Schlaf::N,ахвар,сплячка
58,Traum::N,ахвар,сон
59,Himmel::N,цав,небо
60,Sonne::N,рагъ,сонце
61,Mond::N,варз,місяць
62,Stern::N,гъед,зірка
63,Luft::N,гьава,повітря
64,Wind::N,гар,вітер
65,Welle::N,лепе,хвиля
66,Wasser::N,яд,вода
67,Stein::N,къван,камінь
68,Boden::N,накьв,ґрунт
69,Erde::N,ччил,земля
70,Staub::N,руг,пил
71,Rauch::N,гум,дим
72,Funke::N,цӏелхем,іскра
73,Feuer::N,цӏай,вогонь
74,Licht::N,экв,світло
75,Schatten::N,серин,тінь
76,Wetter::N,гьава,погода
77,Nebel::N,ччилин циф,туман
78,Wolke::N,циф,хмара
79,Regen::N,марф,дощ
80,Schnee::N,жив,сніг
81,Eis::N,мурк,лід
82,Frost::N,аяз,мороз
83,Kälte::N,мекь,холод
84,Kälte::N,мекьивал,холод
85,Hitze::N,зегьем,жар
86,Raureif::N,къирав,іній
87,Regenbogen::N,яргъируш,райдуга
88,Donner::N,цавун ван,грім
89,Tropfen::N,стӏал,крапля
90,Schaum::N,каф,піна
91,Schmutz::N,чирк,бруд
92,Schmutz::N,кьуруш,бруд
93,See::N,вир,озеро
94,Sumpf::N,уьлен,драговина
95,Wiese::N,векь,луг
96,Wiese::N,векь,лука
97,Wald::N,там,ліс
98,Hügel::N,кӏунтӏ,горб
99,Anhöhe::N,тепе,височина
100,Anhöhe::N,гьуьндуьрвал,височина
101,Berg::N,дагъ,гора
102,Gipfel::N,кӏукӏ,вершина
103,Höhle::N,кьветӏ,печера
104,Abhang::N,гуьне,схил
105,Quelle::N,чешме,джерело
106,Bach::N,булах,струмок
107,Fluss::N,вацӏ,річка
108,Ufer::N,къерех,берег
109,Küste::N,къерех,узбережжя
110,Festland::N,кьурамат,суша
111,Meer::N,гьуьл,море
112,Bucht::N,бухта,бухта
113,Bucht::N,бухта,затока
114,Insel::N,остров,острів
115,Blume::N,цуьк,квітка
116,Gras::N,хъач,трава
117,Wurzel::N,дувул,корінь
118,Baum::N,ттар,дерево
119,Stamm::N,тан,стовбур
120,Rinde::N,чкал,кора
121,Ast::N,тӏур,гілка
122,Zweig::N,хел,галузь
123,Blatt::N,пеш,лист
124,Birke::N,верх,береза
125,Kiefer[Baum]::N,шамагъаж,сосна
126,Weide[Baum]::N,цӏвелин ттар,верба
127,Tanne::N,ель,ялиця
128,Horn::N,карч,ріг
129,Feder::N,цӏакул,перо
130,Fell::N,хам,хутро
131,Flügel::N,лув,крило
132,Klaue::N,къармах,кіготь
133,Kralle::N,пац,лапа
134,Kralle::N,тапас,лапа
135,Schwanz::N,ттум,хвіст
136,Ei::N,кака,яйце
137,Nest::N,муг,гніздо
138,Bau::N,тӏеквен,лігво
139,Tier::N,гьайван,тварина
140,Herde::N,суьруь,стадо
141,Kuh::N,ккал,корова
142,Bulle::N,яц,бик
143,Bulle::N,яц,бугай
144,Bulle::N,бугъа,бик
145,Bulle::N,бугъа,бугай
146,Pferd::N,балкӏан,кінь
147,Schaf::N,хеб,вівця
148,Schwein::N,вак,свиня
149,Hund::N,кицӏ,собака
150,Katze::N,кац,кішка
151,Bär::N,сев,ведмідь
152,Eichhörnchen::N,белка,білка
153,Elch::N,лось,лось
154,Fuchs::N,сикӏ,лисиця
155,Hase::N,къуьр,заєць
156,Maus::N,кьиф,миша
157,Wolf::N,жанавур,вовк
158,Vogel::N,луван ничхир,птах
159,Schwarm::N,луж,зграя
160,Huhn::N,верч,курка
161,Hahn::N,кӏек,півень
162,Gans::N,къаз,гуска
163,Adler::N,лекь,орел
164,Ente::N,пӏатӏ,качка
165,Eule::N,тӏиб,сова
166,Kranich::N,дурна,журавель
167,Krähe::N,къаргъа,ворона
168,Kuckuck::N,кукупӏ,зозуля
169,Schwan::N,къугь,лебідь
170,Fisch::N,гъед,риба
171,Barsch::N,окунь,окунь
172,Hecht::N,щука,щука
173,Schlange[Tier]::N,илан,змія
174,Schlange[Tier]::N,гъуьлягъ,змія
175,Wurm::N,квак,черв’як
176,Spinne::N,хуьшрекан,павук
177,Ameise::N,цегв,мурашка
178,Laus::N,нет,воша
179,Mücke::N,ветӏ,комар
180,Fliege::N,тӏветӏ,муха
181,Schmetterling::N,чепелукь,метелик
182,Beere::N,куьлуь емиш,ягода
183,Apfel::N,ич,яблуко
184,Pilz::N,къарникъуз,гриб
185,Zwiebel::N,чичӏек,цибуля
186,Saat::N,тумар,сім’я
187,Korn::N,твар,зерно
188,Heu::N,векь,сіно
