,Concept_ID,ps,hy
0,Auge::N,سترګه,աչք
1,Ohr::N,غوږ,ականջ
2,Nase::N,پوزه,քիթ
3,Mund::N,خوله,բերան
4,Zahn::N,غاښ,ատամ
5,Zunge::N,جبه,լեզու
6,Lippe::N,شونډه,շրթունք
7,Wange::N,باړخو,այտ
8,Wange::N,باړخو,թուշ
9,Gesicht::N,مخ,դեմք
10,Stirn::N,تندی,ճակատ
11,Stirn::N,وچولی,ճակատ
12,Haar::N,وېښته,մազ
13,Schnurrbart::N,برېت,բեղ
14,Bart::N,ږیره,մորուք
15,Kinn::N,زنه,կզակ
16,Kiefer[Anatomie]::N,جامه,ծնոտ
17,Kehle::N,غاړه,կոկորդ
18,Hals::N,غاړه,վիզ
19,Hals::N,غاړه,պարանոց
20,Genick::N,ورمېږ,ծոծրակ
21,Kopf::N,سر,գլուխ
22,Rücken::N,شا,մեջք
23,Bauch::N,نس,փոր
24,Bauch::N,نس,որովայն
25,Bauch::N,ګېډه,փոր
26,Bauch::N,ګېډه,որովայն
27,Nabel::N,نوم,պորտ
28,Busen::N,تی,ծոց
29,Brust::N,سینه,կուրծք
30,Schulter::N,اوږه,ուս
31,Arm::N,لاس,թեւ
32,Arm::N,لاس,բազուկ
33,Ellenbogen::N,څنګل,արմունկ
34,Hand::N,لاس,ձեռք
35,Handfläche::N,ورغوی,ափ
36,Finger::N,ګوته,մատ
37,Fingernagel::N,نوک,եղունգ
38,Nagel[Anatomie]::N,نوک,եղունգ
39,Zeh::N,ګوته,ոտքի մատ
40,Fuß::N,پښه,ոտք
41,Ferse::N,پونده,գարշապար
42,Knie::N,زنګون,ծունկ
43,Oberschenkel::N,پتون,ազդր
44,Bein::N,پښه,ոտք
45,Körper::N,ځان,մարմին
46,Haut::N,پوټکی,մաշկ
47,Blut::N,وینه,արյուն
48,Ader::N,رګ,երակ
49,Sehne::N,پله,ջիղ
50,Sehne::N,پله,ձգտան
51,Knochen::N,هډوکی,ոսկոր
52,Gehirn::N,ماغزه,խելք
53,Herz::N,زړه,սիրտ
54,Magen::N,معده,ստամոքս
55,Leber::N,ينه,լյարդ
56,Leber::N,ځیګر,լյարդ
57,Atem::N,نفس,շունչ
58,Hunger::N,ولږه,քաղց
59,Träne::N,اوښکه,արտասուք
60,Geschmack::N,مزه,համ
61,Geschmack::N,مزه,բուրմունք
62,Geschmack::N,خوند,համ
63,Geschmack::N,خوند,բուրմունք
64,Geruch::N,بوی,հոտ
65,Geruch::N,بوی,բուրում
66,Schlaf::N,خوب,քուն
67,Traum::N,خوب,երազ
68,Himmel::N,اسمان,երկինք
69,Sonne::N,لمر,արեւ
70,Mond::N,سپوږمۍ,լուսին
71,Stern::N,ستوری,աստղ
72,Luft::N,هوا,օդ
73,Wind::N,ورښ,քամի
74,Welle::N,موج,ալիք
75,Wasser::N,اوبه,ջուր
76,Stein::N,ډبره,քար
77,Boden::N,مځکه,գետին
78,Erde::N,خاوره,հող
79,Staub::N,ګرد,փոշի
80,Staub::N,خاوره,փոշի
81,Rauch::N,دود,ծուխ
82,Rauch::N,لوګی,ծուխ
83,Funke::N,سپرغۍ,կայծ
84,Feuer::N,اور,կրակ
85,Feuer::N,اور,հրդեհ
86,Licht::N,رڼا,լույս
87,Schatten::N,سیوری,ստվեր
88,Wetter::N,هوا,եղանակ
89,Nebel::N,لړه,մեգ
90,Nebel::N,لړه,մառախուղ
91,Wolke::N,ورېځ,ամպ
92,Regen::N,وریا,անձրև
93,Regen::N,باران,անձրև
94,Schnee::N,واوره,ձյուն
95,Eis::N,یخ,սառույց
96,Eis::N,کنګل,սառույց
97,Frost::N,یخ,սառնամանիք
98,Kälte::N,ساړه,դող
99,Hitze::N,تودوخي,շոգ
100,Raureif::N,سپینه پرخه,ցօղեղեամ
101,Regenbogen::N,بوډۍ ټال,ծիածան
102,Regenbogen::N,سره زرغونه,ծիածան
103,Donner::N,تالنده,որոտ
104,Strömung::N,بهېدنه,հոսանք
105,Tropfen::N,قطره,կաթիլ
106,Tropfen::N,څاڅکی,կաթիլ
107,Schaum::N,ځګ,փրփուր
108,Schmutz::N,ناپاکي,կեղտ
109,See::N,جهیل,լիճ
110,Sumpf::N,جبه,ճահիճ
111,Moor::N,جبه,ճահիճ
112,Wiese::N,چمن,մարգագետին
113,Wiese::N,شنېلی,մարգագետին
114,Wald::N,ځنګل,անտառ
115,Hügel::N,تپه,բլուր
116,Anhöhe::N,غونډۍ,բարձունք
117,Berg::N,غ‍‍‍‍‍ر,լեռ
118,Gipfel::N,څوکه,գագաթ
119,Gipfel::N,څوکه,կատար
120,Höhle::N,کاز,քարայր
121,Abhang::N,لمن,լանջ
122,Abhang::N,لمن,զառիվայր
123,Quelle::N,چینه,աղբյուր
124,Bach::N,واله,վտակ
125,Fluss::N,سیند,գետ
126,Ufer::N,غاړه,ծովափ
127,Küste::N,ساحل,ափ
128,Küste::N,ساحل,ծովափ
129,Festland::N,وچه,ցամաք
130,Meer::N,بحر,ծով
131,Meer::N,سمندر,ծով
132,Bucht::N,کارۍ,հաչիւն
133,Insel::N,ټاپو,վղզի
134,Insel::N,جزيره,վղզի
135,Blume::N,ګل,ծաղիկ
136,Gras::N,واښه,խոտ
137,Wurzel::N,ریښه,արմատ
138,Baum::N,ونه,ծառ
139,Stamm::N,ډډ,իրան
140,Rinde::N,پوستکی,կեղեւ
141,Rinde::N,پوستکی,հաչոց
142,Ast::N,ښاخ,ճյուղ
143,Zweig::N,څانګه,ճյուղ
144,Blatt::N,پاڼه,տերեւ
145,Birke::N,توس,ցարասի
146,Kiefer[Baum]::N,نښتر,սոճի
147,Weide[Baum]::N,وله,ուռենի
148,Tanne::N,ناجو,եղեւին
149,Horn::N,ښکر,
150,Feder::N,بڼکه,փետուր
151,Fell::N,پوستکی,մորթի
152,Flügel::N,وزر,թեւ
153,Klaue::N,پنجه,չանչ
154,Klaue::N,منګول,չանչ
155,Kralle::N,پنجه,ճանկ
156,Kralle::N,منګول,ճանկ
157,Schwanz::N,لکۍ,պոչ
158,Ei::N,وۍ,ձու
159,Ei::N,هګۍ,ձու
160,Nest::N,جاله,բույն
161,Bau::N,کاز,որջ
162,Bau::N,کاز,բայոց
163,Tier::N,ژوی,կենդանի
164,Tier::N,حیوان,կենդանի
165,Herde::N,رمه,հոտ
166,Herde::N,غېله,հոտ
167,Kuh::N,غوا,կով
168,Bulle::N,غوئی,ցուլ
169,Pferd::N,آس,ձի
170,Schaf::N,پسه,ոչխար
171,Schwein::N,سرکوزی,խոզ
172,Hund::N,سپی,շուն
173,Katze::N,پشه,կատու
174,Bär::N,خرس,արջ
175,Eichhörnchen::N,خړ لمی,սկյուռ
176,Elch::N,ګوزن,հիւսիսային եղջերու
177,Fuchs::N,سپلم,աղվես
178,Hase::N,سوی,նապաստակ
179,Maus::N,مږک,մուկ
180,Wolf::N,لېوه,գայլ
181,Vogel::N,مرغه,թռչուն
182,Schwarm::N,سېل,երամ
183,Huhn::N,چرګه,հավ
184,Hahn::N,چرګ,աքաղաղ
185,Gans::N,بته,սագ
186,Adler::N,عقاب,արծիվ
187,Ente::N,ایلۍ,բադ
188,Eule::N,ګونګی,բու
189,Kranich::N,کلنګ,կռունկ
190,Krähe::N,کارغه,ագռավ
191,Kuckuck::N,فاخته,կուկու
192,Schwan::N,قو,կարապ
193,Fisch::N,کب,ձուկ
194,Fisch::N,ماهی,ձուկ
195,Schlange[Tier]::N,مار,օձ
196,Wurm::N,چینجی,որդ
197,Wurm::N,چینجی,ճիճու
198,Spinne::N,غڼه,սարդ
199,Spinne::N,تارکښ,սարդ
200,Ameise::N,مېږی,միջյուն
201,Laus::N,سپږه,ոջիլ
202,Mücke::N,ماشی,մժղուկ
203,Fliege::N,مچ,ճանճ
204,Schmetterling::N,پتنګ,թիթեռ
205,Beere::N,مېوۍ,հատապտուղ
206,Apfel::N,مڼه,խնձոր
207,Pilz::N,خرېړی,սունկ
208,Zwiebel::N,پیاز,սոխ
209,Saat::N,تخم,սերմ
210,Korn::N,تخم,հատիկ
211,Korn::N,دانه,հատիկ
212,Heu::N,بوس,խոտ
213,Heu::N,پروړه,խոտ
214,Schale::N,پوستکی,կեղեւ
215,Grube::N,کنده,փոս
216,Falle::N,دام,ծուղակ
217,Falle::N,لومه,ծուղակ
218,Schlinge::N,کړۍ,խեղդան
219,Spur::N,نښه,հետք
220,Asche::N,آس,մոխիր
221,Asche::N,ایره,մոխիր
222,Dreck::N,ناپاکي,աղտ
223,Eisen::N,اوسپنه,երկաթ
224,Gold::N,سره زر,ոսկի
225,Silber::N,نقره,արծաթ
226,Silber::N,سپین زر,արծաթ
227,Kohle::N,سکور,քարածուխ
228,Kohle::N,سکاره,քարածուխ
229,Glas::N,ښيښه,ապակի
230,Lehm::N,خټه,կավ
231,Sand::N,شګه,ավազ
232,Mensch::N,انسان,մարդ
233,Mann::N,سړی,մարդ
234,Mann::N,سړی,տղամարդ
235,Mann::N,نارینه,մարդ
236,Mann::N,نارینه,տղամարդ
237,Frau::N,ښځه,կին
238,Kind::N,بچی,զավակ
239,Kind::N,ماشوم,զավակ
240,Junge::N,هلک,տղա
241,Mädchen::N,نجلۍ,աղջիկ
242,Familie::N,کورنۍ,ընտանիք
243,Großvater::N,بابا,պապ
244,Großmutter::N,انا,տատ
245,Eltern::N,مور او پلار,ծնողներ
246,Vater::N,پلار,հայր
247,Mutter::N,مور,մայր
248,Sohn::N,زوی,որդի
249,Tochter::N,لور,աղջիկ
250,Tochter::N,لور,դուստր
251,Bruder::N,ورور,եղբայր
252,Schwester::N,خور,քույր
253,Onkel::N,تره,քեռի
254,Onkel::N,تره,հորեղբայր
255,Onkel::N,ماما,քեռի
256,Onkel::N,ماما,հորեղբայր
257,Tante::N,خاله,մորաքույր
258,Ehemann::N,مېړه,մարդ
259,Ehemann::N,مېړه,ամուսին
260,Ehefrau::N,مېرمن,կին ամուսին
261,Freude::N,خوشحالي,ուրախություն
262,Gelächter::N,خندا,ծիծաղ
263,Glück::N,بخت,երջանկություն
264,Kummer::N,غم,վիշտ
265,Wunsch::N,هيله,ցանկություն
266,Wunsch::N,غوښتنه,ցանկություն
267,Lust::N,شوق,փափագ
268,Lust::N,شوق,իղձ
269,Lust::N,مینه,փափագ
270,Lust::N,مینه,իղձ
271,Geist::N,روح,ոգի
272,Gedanke::N,فکر,միտք
273,Gedächtnis::N,یاد,հիշողություն
274,Gedächtnis::N,حافظه,հիշողություն
275,Verstand::N,عقل,խելք
276,Verstand::N,شعور,խելք
277,Sinn::N,معنی,իմաստ
278,Grund::N,علت,պատճառ
279,Grund::N,اساس,պատճառ
280,Wahrheit::N,حقیقت,ճշմարտություն
281,Gespräch::N,مرکه,զրույց
282,Gespräch::N,خبرې اترې,զրույց
283,Märchen::N,افسانه,պայիկի պատմություն
284,Erzählung::N,قصه,պատմվածք
285,Erzählung::N,قصه,պատմություն
286,Erzählung::N,کیسه,պատմվածք
287,Erzählung::N,کیسه,պատմություն
288,Nachricht::N,خبر,հաղորդագրություն
289,Neuigkeit::N,نوی خبر,լուր
290,Neuigkeit::N,نوی خبر,նորություն
291,Name::N,نوم,անուն
292,Rätsel::N,کیسۍ,բարդ խնդիր
293,Rätsel::N,چیستان,բարդ խնդիր
294,Rede::N,وینا,ճառ
295,Rede::N,وینا,ելույթ
296,Sprache::N,ژبه,լեզու
297,Stimme::N,غږ,ձայն
298,Stimme::N,اواز,ձայն
299,Wort::N,لغت,բառ
300,Wort::N,کلمه,բառ
301,Zeichen::N,نښه,նշան
302,Zeichen::N,اشاره,նշան
303,Ruf::N,ږغ,կոչ
304,Ruf::N,ږغ,կանչ
305,Ruf::N,بلنه,կոչ
306,Ruf::N,بلنه,կանչ
307,Lärm::N,غالمغال,աղմուկ
308,Laut::N,ږغ,հնչյուն
309,Laut::N,ږغ,ձայն
310,Ton::N,اواز,տոն
311,Lied::N,غزله,երգ
312,Lied::N,سندره,երգ
313,Ruhe::N,ارامي,անդորրություն
314,Leute::N,خلک,մարդիկ
315,Volk::N,ولس,ազգ
316,Arbeit::N,کار,գործ
317,Arbeit::N,کار,աշխատանք
318,Gast::N,مېلمه,հյուր
319,Geschenk::N,تحفه,նվեր
320,Geschenk::N,سوغات,նվեր
321,Spiel::N,لوبه,խաղ
322,Gesellschaft::N,ډله,ընկերություն
323,Hilfe::N,کومک,օգնությթուն
324,Hilfe::N,مرسته,օգնությթուն
325,Freund::N,ملګری,ընկեր
326,Freund::N,ملګری,բարեկամ
327,Kamerad::N,انډيوال,ուղեկից
328,Angelegenheit::N,موضوع,բան
329,Angelegenheit::N,موضوع,գործ
330,Anzahl::N,شمېر,քանակ
331,Anzahl::N,شمېر,գումար
332,Anzahl::N,تعداد,քանակ
333,Anzahl::N,تعداد,գումար
334,Art::N,ډول,տեսակ
335,Stück::N,ټوټه,կտոր
336,Teil::N,برخه,մաս
337,Hälfte::N,نیم,կես
338,Kreis::N,دایره,շիջանակ
339,Kreuz::N,صلیب,խաչ
340,Linie::N,خط,գիծ
341,Linie::N,لیکه,գիծ
342,Strich::N,کرښه,գիծ
343,Abstand::N,فاصله,անջրպետ
344,Entfernung::N,واټن,հեռավորություն
345,Gegend::N,سیمه,շրջան
346,Gegend::N,منطقه,շրջան
347,Platz::N,ځای,տարածություն
348,Ort::N,ځای,տեղ
349,Ort::N,ځای,վայր
350,Seite::N,مخ,կողմ
351,Seite::N,اړخ,կողմ
352,Mitte::N,وسط,մեջտեղ
353,Mitte::N,مینځ,մեջտեղ
354,Gegenstand::N,شی,առարկա
355,Sache::N,شی,բան
356,Sache::N,څيز,բան
357,Rand::N,څنډه,վերջք
358,Rand::N,کناره,վերջք
359,Kante::N,اړخ,եզր
360,Ecke::N,ګوټ,անկյուն
361,Spitze::N,څوکه,ծայր
362,Ende::N,څوکه,ծայր
363,Loch::N,سوری,անցք
364,Winkel::N,کنج,անկյուն
365,Winkel::N,کوتی,անկյուն
366,Muster::N,نمونه,օրինակ
367,Größe::N,قد,մեծություն
368,Größe::N,لويوالی,մեծություն
369,Länge::N,طول,երկարություն
370,Länge::N,اوږد والی,երկարություն
371,Höhe::N,جګوالی,բարձրություն
372,Gewicht::N,وزن,կշիռ
373,Menge::N,اندازه,քանակ
374,Haufen::N,کوټه,դեզ
375,Haufen::N,کوټه,կույտ
376,Reihe::N,صف,շարք
377,Reihe::N,صف,կարգ
378,Reihe::N,کتار,շարք
379,Reihe::N,کتار,կարգ
380,Boot::N,قايق,նավակ
381,Ruder::N,چپه,թի
382,Ruder::N,چپه,թիակ
383,Schlitten::N,ښویېدونی,բալխիր
384,Ski::N,سکي,դահուկ
385,Lagerfeuer::N,اور,բացօդեայ կրակ
386,Last::N,بار,բեռ
387,Last::N,پېټی,բեռ
388,Gang::N,تګ,զբոսանք
389,Schritt::N,ګام,քայլ
390,Norden::N,شمال,հյուսիս
391,Süden::N,سوېل,հարավ
392,Westen::N,لوېدېځ,արեւմուտք
393,Osten::N,شرق,արեւելք
394,Osten::N,ختیځ,արեւելք
395,Holz::N,لرګی,փայտ
396,Brett::N,تخته,տախտակ
397,Platte::N,تخته,թիթեղ
398,Stütze::N,تکیوان,նեցուկ
399,Stange::N,ډاګه,ձող
400,Stock::N,لرګی,փայտ
401,Stab::N,چيخله,ցուպ
402,Stab::N,چيخله,գավազան
403,Rohr::N,نل,խողովակ
404,Haus::N,کور,տուն
405,Heim::N,کور,տուն
406,Ofen::N,تودنۍ,վառարան
407,Fußboden::N,غولی,հատակ
408,Tisch::N,مېز,սեղան
409,Stuhl::N,چوکۍ,աթոռ
410,Wiege::N,زانګو,օրորոց
411,Bett::N,کټ,անկողին
412,Bett::N,چپرکټ,անկողին
413,Regal::N,تاخچۍ,դարակ
414,Kiste::N,صندوق,տուփ
415,Fenster::N,کړکۍ,պատուհան
416,Tür::N,دروازه,դուռ
417,Tor::N,دروازه,դարպաս
418,Zaun::N,کټاره,ցանկապատ
419,Dach::N,بام,տանիք
420,Dach::N,بام,կտուր
421,Leiter::N,زينه,սանդուղք
422,Besen::N,جارو,ավել
423,Spaten::N,یوم,բահ
424,Schaufel::N,بېلچه,թի
425,Gabel::N,پنجه,պատառաքաղ
426,Löffel::N,کاشوغه,գդալ
427,Messer::N,چاقو,դանակ
428,Nagel::N,ميخ,մեխ
429,Netz::N,جال,ցանց
430,Haken::N,څنګک,կարթ
431,Griff::N,لاستی,կոթ
432,Griff::N,لاستی,բռնակ
433,Schloss::N,کلپ,կողպեք
434,Bild::N,رسم,նկար
435,Bild::N,رسم,պատկեր
436,Figur::N,قدوقامت,քանդակ
437,Figur::N,قدوقامت,պատկեր
438,Puppe::N,ګوډۍ,տիկնիկ
439,Beutel::N,کڅوړه,տոպրակ
440,Bündel::N,دسته,կապոց
441,Tasche::N,بکس,պայուսակ
442,Tasche::N,توبره,պայուսակ
443,Eimer::N,سطل,դույլ
444,Deckel::N,سرپوښ,կափարիչ
445,Geschirr::N,لوښی,ամանեղեն
446,Sack::N,جوال,պարկ
447,Sack::N,جوال,տոպրակ
448,Tasse::N,پیاله,թաս
449,Tasse::N,پیاله,գավաթ
450,Topf::N,دېګی,անոթ
451,Kessel::N,دېګ,կաթսա
452,Essen::N,خوراک,կերակուր
453,Nahrung::N,خوراک,ուտելիք
454,Speise::N,خواړه,խորտիկ
455,Speise::N,خواړه,կերակուր
456,Fleisch::N,غوښه,միս
457,Getreide::N,غله,հացահատիկ
458,Brei::N,اوګره,լանդակ
459,Brot::N,ډوډۍ,հաց
460,Scheibe::N,مړۍ,կտոր
461,Scheibe::N,مړۍ,պատառ
462,Fett::N,غوړي,ճարպ
463,Butter::N,کوچ,կարագ
464,Öl::N,تېل,ձեթ
465,Salz::N,مالګه,աղ
466,Suppe::N,شوربا,սուպ
467,Suppe::N,شوربا,ապուր
