,Concept_ID,ru,sk
0,Auge::N,глаз,oko
1,Ohr::N,ухо,ucho
2,Nase::N,нос,nos
3,Mund::N,рот,ústa
4,Zahn::N,зуб,zub
5,Zunge::N,язык,jazyk
6,Lippe::N,губа,pera
7,Wange::N,щека,líce
8,Gesicht::N,лицо,tvár
9,Gesicht::N,лицо,obličaj
10,Stirn::N,лоб,čelo
11,Haar::N,волос,vlas
12,Haar::N,волосы,vlas
13,Schnurrbart::N,ус,fúzy
14,Schnurrbart::N,усы,fúzy
15,Bart::N,борода,brada
16,Kinn::N,подбородок,brada
17,Kiefer[Anatomie]::N,челюсть,čeľusť
18,Kehle::N,горло,hrdlo
19,Hals::N,шея,krk
20,Genick::N,затылок,väzy
21,Kopf::N,голова,hlava
22,Rücken::N,спина,chrbát
23,Bauch::N,живот,brucho
24,Nabel::N,пупок,pupok
25,Busen::N,женская грудь,prsia
26,Brust::N,грудь,hruď
27,Schulter::N,плечо,plece
28,Arm::N,рука,rameno
29,Ellenbogen::N,локоть,lakeť
30,Hand::N,кисть,ruka
31,Handfläche::N,ладонь,dlaň
32,Finger::N,палец,prst
33,Fingernagel::N,ноготь,necht
34,Nagel[Anatomie]::N,ноготь,necht
35,Zeh::N,палец,prst na nohe
36,Fuß::N,ступня,noha
37,Ferse::N,пята,päta
38,Ferse::N,пятка,päta
39,Knie::N,колено,koleno
40,Oberschenkel::N,бедро,stehno
41,Bein::N,нога,noha
42,Körper::N,тело,telo
43,Haut::N,кожа,koža
44,Blut::N,кровь,krv
45,Ader::N,вена,žila
46,Ader::N,сосуд,žila
47,Sehne::N,жила,šľacha
48,Sehne::N,тетива,šľacha
49,Sehne::N,сухожилие,šľacha
50,Knochen::N,кость,kosť
51,Gehirn::N,мозг,mozog
52,Herz::N,сердце,srdce
53,Magen::N,желудок,žalúdok
54,Leber::N,печень,pečeň
55,Atem::N,дух,dych
56,Atem::N,дыхание,dych
57,Hunger::N,голод,hlad
58,Träne::N,слеза,slza
59,Geschmack::N,вкус,chuť
60,Geruch::N,запах,pach
61,Schlaf::N,сон,spánok
62,Traum::N,сновидение,sen
63,Himmel::N,небо,nebo
64,Sonne::N,солнце,slnko
65,Mond::N,луна,mesiac
66,Stern::N,звезда,hviezda
67,Luft::N,воздух,vzduch
68,Wind::N,ветер,vietor
69,Welle::N,волна,vlna
70,Wasser::N,вода,voda
71,Stein::N,камень,kameň
72,Boden::N,почва,zem
73,Boden::N,почва,pôda
74,Erde::N,земля,zem
75,Staub::N,пыль,prach
76,Rauch::N,дым,dym
77,Funke::N,искра,iskra
78,Feuer::N,огонь,oheň
79,Licht::N,свет,svetlo
80,Schatten::N,тень,tieň
81,Wetter::N,погода,počasie
82,Nebel::N,туман,hmla
83,Wolke::N,облако,oblak
84,Wolke::N,облако,mračno
85,Regen::N,дождь,dážď
86,Schnee::N,снег,sneh
87,Eis::N,лед,ľad
88,Frost::N,мороз,mráz
89,Kälte::N,холод,zima
90,Kälte::N,холод,chlad
91,Hitze::N,жара,horúčava
92,Raureif::N,иней,srieň
93,Raureif::N,иней,inovať
94,Regenbogen::N,радуга,dúha
95,Donner::N,гром,hrom
96,Strömung::N,течение,prúdenie
97,Tropfen::N,капля,kvapka
98,Schaum::N,пена,pena
99,Schmutz::N,грязь,špina
100,Schmutz::N,грязь,nečistota
101,See::N,озеро,jazero
102,Sumpf::N,топь,bahno
103,Moor::N,болото,močiar
104,Wiese::N,луг,lúka
105,Wald::N,лес,les
106,Wald::N,лес,hora
107,Hügel::N,холм,vŕšok
108,Anhöhe::N,возвышенность,výšina
109,Anhöhe::N,возвышенность,vyvýšenina
110,Berg::N,гора,hora
111,Gipfel::N,вершина,vrchol
112,Höhle::N,пещера,jaskyňa
113,Abhang::N,склон,úbočie
114,Quelle::N,источник,prameň
115,Bach::N,ручей,potok
116,Fluss::N,река,rieka
117,Ufer::N,берег,breh
118,Küste::N,побережье,pobrežie
119,Festland::N,суша,pevnina
120,Meer::N,море,more
121,Bucht::N,бухта,záliv
122,Bucht::N,бухта,zátoka
123,Insel::N,остров,ostrov
124,Blume::N,цветок,kvet
125,Blume::N,цветок,kvetina
126,Gras::N,трава,tráva
127,Wurzel::N,корень,koreň
128,Baum::N,дерево,strom
129,Stamm::N,ствол,kmeň
130,Rinde::N,кора,kôra
131,Ast::N,сук,konár
132,Zweig::N,ветвь,vetva
133,Blatt::N,лист,list
134,Birke::N,береза,breza
135,Kiefer[Baum]::N,сосна,sosna
136,Kiefer[Baum]::N,сосна,borovica
137,Weide[Baum]::N,ива,vŕba
138,Tanne::N,ель,jedľa
139,Horn::N,рог,roh
140,Feder::N,перо,pero
141,Fell::N,шкура,koža
142,Fell::N,шкура,kožušina
143,Flügel::N,крыло,krídlo
144,Klaue::N,коготь,paznecht
145,Kralle::N,лапа,pazúr
146,Schwanz::N,хвост,chvost
