,Concept_ID,mn,lbe
100,Raureif::N,цан,бурса
101,Raureif::N,хяруу,сил
102,Raureif::N,хяруу,бурса
103,Regenbogen::N,солонго,ссурул ккуртта
104,Donner::N,тэнгэрийн дуу,къув
105,Strömung::N,урсгал,экьинанаву
106,Tropfen::N,дусал,кӏунтӏ
107,Schaum::N,хөөс,хьама
108,Schmutz::N,хир,кьяркьи
109,Schmutz::N,шавхай,кьяркьи
110,See::N,нуур,бяр
111,Sumpf::N,намаг,кунцӏа
112,Sumpf::N,балчиг,кунцӏа
113,Moor::N,хүлрийн намаг,
114,Wiese::N,нуга,кьан
115,Wald::N,ой,вацӏа
116,Hügel::N,болдог,бакӏу
117,Anhöhe::N,гүвээ,
118,Berg::N,уул,зунтту
119,Gipfel::N,орой,мицӏ
120,Gipfel::N,оргил,мицӏ
121,Höhle::N,агуй,нух
122,Abhang::N,хүр,сун
123,Quelle::N,булаг,дайдихьу
124,Quelle::N,булаг,бакӏ
125,Bach::N,горхи,чӏрир нех
126,Fluss::N,гол,нех
127,Fluss::N,мөрөн,нех
128,Ufer::N,эрэг,зума
129,Küste::N,эрэг,зумаинхалу
130,Küste::N,эрэг,зуманицӏалу
131,Festland::N,хуурай газар,кьири
132,Meer::N,далай,хьхьири
133,Meer::N,тэнгис,хьхьири
134,Bucht::N,булан,
135,Bucht::N,далайн тохой,
136,Insel::N,арал,жазира
137,Blume::N,цэцэг,тӏутӏи
138,Gras::N,өвс,уртту
139,Gras::N,ногоо,уртту
140,Wurzel::N,үндэс,мархха
141,Baum::N,мод,мурхь
142,Stamm::N,иш,ттарцӏ
143,Stamm::N,гуалин,ттарцӏ
144,Rinde::N,холтос,ккамара
145,Ast::N,гишүү,матӏи
146,Zweig::N,салаа,къяртта
147,Blatt::N,навч,чӏапӏи
148,Birke::N,хус,кӏялахӏи
149,Birke::N,хус,кӏялахӏилул мурхь
150,Kiefer[Baum]::N,нарс,ттар
151,Kiefer[Baum]::N,нарс,ттарлил мурхь
152,Weide[Baum]::N,уд,щавщи
153,Weide[Baum]::N,бургас,щавщи
154,Tanne::N,гачуур,ттарлил мурхь
155,Horn::N,эвэр,хъи
156,Feder::N,өд,лелуххул тӏиму
157,Fell::N,арьс,бурчу
158,Flügel::N,жигүүр,хъа
159,Flügel::N,жигүүр,ххурупӏайрал тӏиму
160,Flügel::N,далавч,хъа
161,Flügel::N,далавч,ххурупӏайрал тӏиму
162,Klaue::N,савар,михь
163,Klaue::N,хумс,михь
164,Kralle::N,савар,ххяппа
165,Schwanz::N,сүүл,магъ
166,Ei::N,өндөг,ккунук
167,Nest::N,үүр,кюру
168,Bau::N,нүх,цукъуккутӏ
169,Bau::N,элүү,цукъуккутӏ
170,Tier::N,амьтан,хӏайван
171,Tier::N,адгуус,хӏайван
172,Herde::N,сүрэг,газу
173,Kuh::N,үнээ,оьл
174,Bulle::N,бух,ниц
175,Pferd::N,морь,чу
176,Pferd::N,адуу,чу
177,Schaf::N,хонь,тта
178,Schwein::N,гахай,дунгъуз
179,Hund::N,нохой,ккаччи
180,Katze::N,муур,ччиту
181,Katze::N,мигуй,ччиту
182,Bär::N,баавгай,цуша
183,Eichhörnchen::N,хэрэм,бюрхттукку
184,Elch::N,хандгай,ниц-бюрин
185,Fuchs::N,үнэг,цулчӏа
186,Fuchs::N,үнэг,куча цулчӏа
187,Hase::N,туулай,бюрх
188,Maus::N,хулгана,кӏулу
189,Wolf::N,чоно,барцӏ
190,Vogel::N,шувуу,лелуххи
191,Schwarm::N,сүрэг,гьухъала
192,Huhn::N,тахиа,аьнакӏи
193,Hahn::N,эр тахиа,ажари
194,Gans::N,галуу,къаз
195,Adler::N,бүргэд,барзу
196,Ente::N,нугас,урдак
197,Eule::N,ууль,ису
198,Eule::N,ууль,ччиккумяв
199,Kranich::N,тогоруу,кьурукь
200,Krähe::N,хэрээ,хъатӏу
201,Kuckuck::N,хөхөө,ччикку
202,Schwan::N,хун,урттил къаз
203,Fisch::N,загас,чавахъ
204,Barsch::N,алгана,
205,Hecht::N,цурхай,
206,Schlange[Tier]::N,могой,шатта
207,Wurm::N,өт,кьюнукьай шатта
208,Wurm::N,хорхой,кьюнукьай шатта
209,Spinne::N,аалз,ххялцу
210,Ameise::N,шоргоолж,митӏикьукьу
211,Laus::N,бөөс,
212,Mücke::N,шумуул,мичӏак
213,Fliege::N,ялаа,зимиз
214,Schmetterling::N,эрвээхэй,чӏимучӏали
215,Beere::N,жимсгэнэ,хӏаллил ахъулсса
216,Apfel::N,алим,гьивч
217,Pilz::N,мөөг,ттуккул иис
218,Zwiebel::N,сонгино,лаччул чсмусул бакӏ
219,Saat::N,тариа,гьанна
220,Korn::N,үр,къама
221,Korn::N,мөхлөг,къама
222,Heu::N,өвс,ххулув
223,Schale::N,хальс,ккиртту
224,Grube::N,алам,кӏаланг
225,Grube::N,нүх,кӏаланг
226,Falle::N,хавх,къатӏа
227,Falle::N,занга,къатӏа
228,Schlinge::N,урхи,хӏатӏ
229,Spur::N,мөр,ша
230,Asche::N,үнс,лах
231,Dreck::N,хир,кьяркьи
232,Dreck::N,хир,венп
233,Eisen::N,төмөр,мах
234,Gold::N,алт,муси
235,Silber::N,мөнгө,арцу
236,Kohle::N,нүүрс,кӏалаш
237,Kohle::N,нүүрс,хъуручӏ
238,Glas::N,шил,пюрун
239,Lehm::N,шавар,сина аьрщи
240,Sand::N,элс,къун
241,Mensch::N,хүн,инсан
242,Mann::N,эр,чув
243,Mann::N,эр,адимина
244,Mann::N,эрэгтэй,чув
245,Mann::N,эрэгтэй,адимина
246,Frau::N,эмэгтэй,щарсса
247,Frau::N,эмэгтэй,хъамитайпа
248,Frau::N,хатагтай,щарсса
249,Frau::N,хатагтай,хъамитайпа
250,Kind::N,хүүхэд,чӏиви оьрчӏ
251,Junge::N,хүү,оьрчӏ
252,Junge::N,хүү,бурхьин оьрчӏ
253,Mädchen::N,охин,душ
254,Mädchen::N,бүсгүй,душ
255,Familie::N,айл,кулпат
256,Großvater::N,өвгөн аав,ттатта
257,Großvater::N,өвгөн аав,ниттил ппу
258,Großmutter::N,эмэг эх,буттал нину
259,Großmutter::N,эмгээ,буттал нину
260,Eltern::N,эцэг эх,нину-ппу
261,Vater::N,аав,ппу
262,Vater::N,эцэг,ппу
263,Mutter::N,эх,нину
264,Mutter::N,ээж,нину
265,Sohn::N,хүү,арс
266,Tochter::N,охин,душ
267,Bruder::N,ах,уссу
268,Bruder::N,дүү,уссу
269,Schwester::N,эгч,ссу
270,Schwester::N,охин дүү,ссу
271,Onkel::N,авга ах,буттауссу
272,Onkel::N,нагац ах,буттауссу
273,Tante::N,авга эгч,буттал ссу
274,Tante::N,нагац эгч,буттал ссу
275,Ehemann::N,нөхөр,лас
276,Ehefrau::N,эхнэр,щар
277,Ehefrau::N,эхнэр,щарсса
278,Ehefrau::N,гэргий,щар
279,Ehefrau::N,гэргий,щарсса
280,Freude::N,баяр,шадшиву
281,Freude::N,баяр,ххаришиву
282,Freude::N,баясгалан,шадшиву
283,Freude::N,баясгалан,ххаришиву
284,Gelächter::N,инээдэм,хъяхъаву
285,Glück::N,жаргалан,талихӏ
286,Kummer::N,гаслан,дард
287,Wunsch::N,ерөөл,мурад
288,Lust::N,дур,гьавас
289,Lust::N,дур,ччаву
290,Lust::N,хүсэл,гьавас
291,Lust::N,хүсэл,ччаву
292,Geist::N,оюун,рухӏ
293,Gedanke::N,сэтгэл,пикри
294,Gedächtnis::N,ой,дакӏний личӏаву
295,Gedächtnis::N,цээж,дакӏний личӏаву
296,Verstand::N,ухаан,аькьлу
297,Sinn::N,утга,мяъна
298,Grund::N,учир,багьана
299,Wahrheit::N,үнэн,тӏайламур
300,Wahrheit::N,үнэн,хӏакьмур
