,Concept_ID,zh,ko
0,Auge::N,眼睛,눈
1,Ohr::N,耳朵,귀
2,Nase::N,鼻子,코
3,Mund::N,嘴,입
4,Zahn::N,牙齿,이
5,Zunge::N,舌头,혀
6,Lippe::N,嘴唇,입술
7,Wange::N,面颊,뺨
8,Gesicht::N,脸,얼굴
9,Stirn::N,额,이마
10,Haar::N,头发,털
11,Schnurrbart::N,髭须,윗수몀
12,Schnurrbart::N,髭须,코밑수염
13,Bart::N,胡子,수엄
14,Kinn::N,下巴,아래턱
15,Kiefer[Anatomie]::N,颌,턱
16,Kehle::N,嗓子,인후
17,Hals::N,颈,목
18,Genick::N,后颈,먹덜이
19,Kopf::N,头,머리
20,Rücken::N,背,든
21,Bauch::N,肚子,배
22,Nabel::N,肚脐,배꼽
23,Busen::N,胸脯,가슴속
24,Brust::N,胸,가슴
25,Schulter::N,肩膀,어깨
26,Arm::N,臂膀,팔
27,Ellenbogen::N,肘,팔쿰치
28,Hand::N,手,손
29,Handfläche::N,手掌,손바닥
30,Finger::N,手指,속가락
31,Fingernagel::N,指甲,손톱
32,Nagel[Anatomie]::N,指甲,손톱
33,Zeh::N,脚趾,발가락
34,Fuß::N,脚,발
35,Ferse::N,后跟,발꿈치
36,Knie::N,膝,무릎
37,Oberschenkel::N,大腿,허벅다리
38,Bein::N,腿,다리
39,Körper::N,身体,구간
40,Haut::N,皮肤,살갗
41,Blut::N,血,피
42,Ader::N,血管,정맥
43,Sehne::N,腱,현
44,Knochen::N,骨,뼈
45,Gehirn::N,脑,뇌
46,Gehirn::N,脑,뇌수
47,Herz::N,心,염통
48,Magen::N,胃,위
49,Leber::N,肝,간
50,Atem::N,呼吸,기식
51,Hunger::N,饿,공복
52,Träne::N,眼泪,눈물
53,Geschmack::N,味道,기호
54,Geruch::N,气味,냄새
55,Schlaf::N,睡眠,수면
56,Traum::N,梦,쿰
57,Himmel::N,天空,하늘
58,Sonne::N,太阳,해
59,Mond::N,月亮,달
60,Stern::N,星,별
61,Luft::N,空气,동준
62,Luft::N,空气,가스채
63,Wind::N,风,바람
64,Welle::N,波,물결
65,Wasser::N,水,물
66,Stein::N,石头,돌
67,Boden::N,地面,바닥
68,Erde::N,地,흙
69,Staub::N,灰尘,먼지
70,Rauch::N,烟,연기
71,Funke::N,火花,불티
72,Feuer::N,火,불
73,Licht::N,光,불
74,Schatten::N,影子,어스레함
75,Wetter::N,天气,기상
76,Nebel::N,雾,안개
77,Wolke::N,云,구름
78,Regen::N,雨,비
79,Schnee::N,雪,눈
80,Eis::N,冰,얼음
81,Frost::N,霜冻,혹한
82,Kälte::N,寒冷,추위
83,Kälte::N,寒冷,차가움
84,Hitze::N,炎热,고온
85,Hitze::N,炎热,더위
86,Raureif::N,霜,
87,Regenbogen::N,虹,무지개
88,Donner::N,雷,뇌명
89,Strömung::N,水流,유동
90,Tropfen::N,滴,물방울
91,Schaum::N,泡沫,포말
92,Schmutz::N,赃物,때
93,See::N,湖,호수
94,Sumpf::N,沼泽,습지
95,Moor::N,沼泽,저습지
96,Wiese::N,草地,목초지
97,Wald::N,森林,숲
98,Hügel::N,丘陵,언덕
99,Anhöhe::N,山丘,언덕
100,Berg::N,山,산
101,Gipfel::N,峰,졀졍
102,Höhle::N,洞穴,공동
103,Abhang::N,斜坡,몰매
104,Quelle::N,泉,근원
105,Bach::N,溪,내
106,Fluss::N,河流,강
107,Ufer::N,岸,강변
108,Ufer::N,岸,바닷가
109,Küste::N,海岸,해변
110,Küste::N,海岸,해변가
111,Festland::N,大陆,본토
112,Meer::N,海,바다
113,Bucht::N,海湾,협만
114,Insel::N,岛,섬
115,Blume::N,花,꽃
116,Gras::N,草,풀
117,Wurzel::N,根,뿌리
118,Baum::N,树,나무
119,Stamm::N,树干,대
120,Rinde::N,树皮,나무껍질
121,Ast::N,树枝,가지
122,Zweig::N,树枝,가지
123,Blatt::N,叶子,잎
124,Birke::N,桦木,자작나무
125,Kiefer[Baum]::N,松树,소나무
126,Weide[Baum]::N,柳树,쉬양버들
127,Tanne::N,冷杉,전나무
128,Horn::N,角,뿔
129,Feder::N,羽毛,깃털
130,Fell::N,皮毛,피혁모피
131,Flügel::N,翅膀,날개
