,Concept_ID,sk,cy
0,Auge::N,oko,llygad
1,Ohr::N,ucho,clust
2,Nase::N,nos,trwyn
3,Mund::N,ústa,ceg
4,Zahn::N,zub,dant
5,Zunge::N,jazyk,tafod
6,Lippe::N,pera,gwefus
7,Wange::N,líce,boch
8,Gesicht::N,tvár,wyneb
9,Gesicht::N,obličaj,wyneb
10,Stirn::N,čelo,talcen
11,Haar::N,vlas,blew
12,Schnurrbart::N,fúzy,mwstas
13,Bart::N,brada,barf
14,Kinn::N,brada,gên
15,Kiefer[Anatomie]::N,čeľusť,gên
16,Kehle::N,hrdlo,gwddf
17,Hals::N,krk,gwddf
18,Genick::N,väzy,gwar
19,Genick::N,väzy,gwegil
20,Kopf::N,hlava,pen
21,Rücken::N,chrbát,cefn
22,Bauch::N,brucho,bol
23,Nabel::N,pupok,bogail
24,Busen::N,prsia,bron
25,Brust::N,hruď,brest
26,Schulter::N,plece,ysgwydd
27,Arm::N,rameno,braich
28,Ellenbogen::N,lakeť,penelin
29,Hand::N,ruka,llaw
30,Handfläche::N,dlaň,palf
31,Finger::N,prst,bys
32,Fingernagel::N,necht,ewin
33,Nagel[Anatomie]::N,necht,ewin
34,Zeh::N,prst na nohe,bys troed
35,Fuß::N,noha,troed
36,Ferse::N,päta,sawdl
37,Knie::N,koleno,glin
38,Oberschenkel::N,stehno,clun
39,Bein::N,noha,coes
40,Körper::N,telo,corff
41,Haut::N,koža,croen
42,Blut::N,krv,gwaed
43,Ader::N,žila,gwythïen
44,Sehne::N,šľacha,gewyn
45,Knochen::N,kosť,asgwrn
46,Gehirn::N,mozog,ymennydd
47,Herz::N,srdce,calon
48,Magen::N,žalúdok,cylla
49,Magen::N,žalúdok,stumog
50,Leber::N,pečeň,iau
51,Atem::N,dych,anadl
52,Hunger::N,hlad,newyn
53,Träne::N,slza,deigryn
54,Geschmack::N,chuť,cyflas
55,Geruch::N,pach,aroglau
56,Schlaf::N,spánok,cwsg
57,Traum::N,sen,breuddwyd
58,Himmel::N,nebo,awyr
59,Sonne::N,slnko,haul
60,Mond::N,mesiac,lleuad
61,Stern::N,hviezda,seren
62,Luft::N,vzduch,awyr
63,Wind::N,vietor,gwynt
64,Welle::N,vlna,ton
65,Wasser::N,voda,dŵr
66,Stein::N,kameň,carreg
67,Boden::N,zem,llawr
68,Boden::N,pôda,llawr
69,Erde::N,zem,pridd
70,Staub::N,prach,llwch
71,Rauch::N,dym,mwg
72,Funke::N,iskra,gwreichioni
73,Feuer::N,oheň,tân
74,Licht::N,svetlo,golau
75,Schatten::N,tieň,cysgod
76,Wetter::N,počasie,tywydd
77,Nebel::N,hmla,niwl
78,Wolke::N,oblak,cwmwl
79,Wolke::N,mračno,cwmwl
80,Regen::N,dážď,glaw
81,Schnee::N,sneh,ôd
82,Schnee::N,sneh,eira
