,Concept_ID,ar,no
188,Schlange[Tier]::N,حية,orm
189,Schlange[Tier]::N,حية,slange
190,Schlange[Tier]::N,ثعبان,orm
191,Schlange[Tier]::N,ثعبان,slange
192,Wurm::N,دودة,orm
193,Wurm::N,دودة,mark
194,Spinne::N,عنكبوت,edderkopp
195,Ameise::N,نملة,maur
196,Laus::N,قملة,lus
197,Mücke::N,ناموسة,mygg
198,Fliege::N,ذبابة,flue
199,Schmetterling::N,فراشة,sommerfugl
200,Beere::N,حبة,bær
201,Apfel::N,تفاح,eple
202,Pilz::N,فطر,sopp
203,Zwiebel::N,بصل,løk
204,Saat::N,زرع,sæd
205,Korn::N,حبة,korn
206,Heu::N,دريس,høy
207,Schale::N,قشرة,skall
208,Grube::N,نقرة,grop
209,Falle::N,فخ,felle
210,Falle::N,مصيدة,felle
211,Schlinge::N,عروة,snare
212,Spur::N,أثر,spor
213,Asche::N,رماد,aske
214,Dreck::N,قذر,møkk
215,Dreck::N,قذر,skitt
216,Eisen::N,حديد,jern
217,Gold::N,ذهب,gull
218,Silber::N,فضة,sølv
219,Kohle::N,فحم,kol
220,Kohle::N,فحم,kull
221,Glas::N,زجاج,glass
222,Lehm::N,طين,leire
223,Sand::N,رمل,sand
224,Mensch::N,إنسان,menneske
225,Mann::N,رجل,mann
226,Frau::N,امرأة,kvinne
227,Kind::N,طفل,barn
228,Junge::N,ولد,gutt
229,Mädchen::N,بنت,pike
230,Mädchen::N,بنت,jente
231,Familie::N,عائلة,familie
232,Großvater::N,جد,bestefar
233,Großmutter::N,جدة,bestemor
234,Eltern::N,أبوان,foreldre
235,Eltern::N,والدان,foreldre
236,Vater::N,أب,far
237,Mutter::N,أم,mor
238,Sohn::N,إبن,sønn
239,Tochter::N,بنت,datter
240,Tochter::N,إبنة,datter
241,Bruder::N,أخ,bror
242,Bruder::N,شقيق,bror
243,Schwester::N,أخت,søster
244,Onkel::N,عم,onkel
245,Tante::N,عمة,tante
246,Ehemann::N,زوج,ektemann
247,Ehefrau::N,زوجة,hustru
248,Freude::N,فرح,glede
249,Freude::N,سرور,glede
250,Gelächter::N,قهقهة,latter
251,Glück::N,سعادة,lykke
252,Kummer::N,غم,sorg
253,Wunsch::N,منية,ønske
254,Lust::N,شهوة,lyst
255,Geist::N,روح,ånd
256,Gedanke::N,فكرة,tanke
257,Gedächtnis::N,ذاكرة,minne
258,Gedächtnis::N,ذاكرة,hukommelse
259,Verstand::N,عقل,forstand
260,Sinn::N,معنى,mening
261,Sinn::N,معنى,betydning
262,Grund::N,سبب,grunn
263,Wahrheit::N,حقيقة,sannhet
264,Gespräch::N,محادثة,samtale
265,Märchen::N,خرافة,eventyr
266,Erzählung::N,قصة,fortelling
267,Erzählung::N,حكاية,fortelling
268,Nachricht::N,خبر,melding
269,Neuigkeit::N,خبر جديد,nyhet
270,Name::N,اسم,navn
271,Rätsel::N,لغز,gåte
272,Rede::N,خطبة,tale
273,Sprache::N,لغة,språk
274,Stimme::N,صوت,stemme
275,Wort::N,كلمة,ord
276,Zeichen::N,رمز,tegn
277,Zeichen::N,إشارة,tegn
278,Ruf::N,نداء,rop
279,Lärm::N,صخب,bråk
280,Lärm::N,ضجة,bråk
281,Laut::N,صوت,lyd
282,Ton::N,نغمة,tone
283,Lied::N,أغنية,vise
284,Ruhe::N,هدوء,ro
285,Leute::N,ناس,folk
286,Volk::N,شعب,folk
287,Arbeit::N,عمل,arbeid
288,Gast::N,ضيف,gjest
289,Geschenk::N,هدية,gave
290,Spiel::N,لعب,lek
291,Spiel::N,لعب,spill
292,Gesellschaft::N,صحبة,selskap
293,Hilfe::N,عون,hjelp
294,Hilfe::N,مساعدة,hjelp
295,Freund::N,صديق,venn
296,Kamerad::N,زميل,kamerat
297,Angelegenheit::N,أمر,sak
298,Angelegenheit::N,أمر,anliggende
299,Angelegenheit::N,شأن,sak
300,Angelegenheit::N,شأن,anliggende
301,Anzahl::N,عدد,antall
302,Art::N,نوع,art
303,Art::N,نوع,slag
304,Stück::N,قطعة,stykke
305,Teil::N,قسم,del
306,Hälfte::N,نصف,halvdel
307,Kreis::N,دائرة,ring
308,Kreis::N,دائرة,sirkel
309,Kreuz::N,صليب,kors
310,Kreuz::N,صليب,kryss
311,Linie::N,خط,linje
312,Strich::N,شرطة,strek
313,Abstand::N,مسافة,avstand
314,Entfernung::N,بعد,avstand
315,Gegend::N,ناحية,strøk
316,Platz::N,فراغ,plass
317,Ort::N,مكان,sted
318,Seite::N,جانب,side
319,Mitte::N,وسط,midte
320,Gegenstand::N,موضوع,gjenstand
321,Sache::N,شيء,sak
322,Rand::N,حافة,rand
323,Kante::N,حافة,kant
324,Ecke::N,ركن,hjørne
325,Spitze::N,سن,spiss
326,Ende::N,طرف,ende
327,Loch::N,ثقب,hull
328,Winkel::N,زاوية,vinkel
329,Muster::N,عينة,mønster
330,Größe::N,حجم,størrelse
331,Länge::N,طول,lengde
332,Höhe::N,علو,høyde
333,Höhe::N,ارتفاع,høyde
334,Gewicht::N,وزن,vekt
335,Menge::N,كمية,mengde
336,Haufen::N,كوم,haug
337,Haufen::N,كوم,bunke
338,Reihe::N,صف,rekke
339,Boot::N,قارب,båt
340,Boot::N,زورق,båt
341,Ruder::N,مجذاف,åre
342,Schlitten::N,مزلقة,slede
343,Schlitten::N,مزلقة,kjelke
344,Ski::N,زلاجة,ski
345,Lagerfeuer::N,نار المخيم,leirbål
346,Last::N,حمل,bør
347,Last::N,حمل,last
348,Gang::N,مشية,gang
349,Schritt::N,خطوة,steg
350,Schritt::N,خطوة,skritt
351,Norden::N,شمال,nord
352,Süden::N,جنوب,sør
353,Westen::N,غرب,vest
354,Osten::N,شرق,øst
355,Holz::N,خشب,tre
356,Brett::N,لوح,fjøl
357,Brett::N,لوح,brett
358,Platte::N,صفيحة,plate
359,Stütze::N,سند,støtte
360,Stütze::N,دعامة,støtte
361,Stange::N,عود,stang
362,Stock::N,عصا,pinne
363,Stab::N,قضيب,stav
364,Stab::N,قضيب,kjepp
365,Rohr::N,أنبوبة,rør
366,Haus::N,دار,hus
367,Haus::N,بيت,hus
368,Heim::N,بيت,hjem
369,Heim::N,مسكن,hjem
370,Ofen::N,مدفأة,ovn
371,Fußboden::N,أرضية,gulv
372,Tisch::N,مائدة,bord
373,Stuhl::N,كرسي,stol
374,Wiege::N,مهد,vogge
375,Bett::N,سرير,seng
376,Regal::N,رف,reol
377,Regal::N,رف,hylle
378,Kiste::N,صندوق,kasse
379,Fenster::N,شباك,vindu
380,Fenster::N,نافذة,vindu
381,Tür::N,باب,dør
382,Tor::N,بوابة,port
383,Zaun::N,سياج,gjerde
384,Dach::N,سطح,tak
385,Leiter::N,سلم,stige
386,Besen::N,مكنسة,kost
387,Spaten::N,مسحاة,spade
388,Schaufel::N,مجرفة,skuffe
389,Gabel::N,شوكة,gaffel
390,Löffel::N,ملعقة,skje
391,Messer::N,سكين,kniv
392,Nagel::N,مسمار,spiker
393,Netz::N,شبكة,nett
394,Haken::N,خطاف,krok
395,Haken::N,صنارة,krok
396,Griff::N,قبضة,tak
397,Griff::N,قبضة,håndtak
398,Schloss::N,قفل,lås
399,Bild::N,صورة,bilde
400,Figur::N,تمثال,figur
401,Puppe::N,دمية,dukke
402,Beutel::N,كيس,pose
403,Bündel::N,ربطة,bylt
404,Tasche::N,شنطة,veske
405,Tasche::N,محفظة,veske
406,Eimer::N,سطل,bøtte
407,Eimer::N,جردل,bøtte
408,Deckel::N,سداد,lokk
409,Geschirr::N,أوان,kjøkkentøy
410,Sack::N,زكيبة,sekk
411,Tasse::N,فنجان,kopp
412,Topf::N,قدر,gryte
413,Topf::N,طنجرة,gryte
414,Kessel::N,قدر,kjele
415,Kessel::N,غلاية,kjele
416,Essen::N,طعام,mål
417,Nahrung::N,غذاء,mat
418,Nahrung::N,غذاء,næring
419,Speise::N,أكل,matrett
420,Fleisch::N,لحم,kjøtt
421,Getreide::N,حبوب,korn
422,Brei::N,عصيدة,grøt
423,Brot::N,خبز,brød
424,Scheibe::N,شريحة,skive
425,Fett::N,سمن,fett
426,Butter::N,زبدة,smør
