,Concept_ID,hi,tt
0,Auge::N,आँख,күз
1,Auge::N,चक्षु,күз
2,Ohr::N,कान,колак
3,Ohr::N,कर्ण,колак
4,Nase::N,नाक,борын
5,Nase::N,नासा,борын
6,Mund::N,मुख,авыз
7,Mund::N,मुख,тамак
8,Mund::N,मुँह,авыз
9,Mund::N,मुँह,тамак
10,Zahn::N,दंत,теш
11,Zahn::N,दाँत,теш
12,Zunge::N,जीभ,тел
13,Zunge::N,ज़बान,тел
14,Zunge::N,जिह्वा,тел
15,Lippe::N,ओंठ,ирен
16,Lippe::N,होंठ,ирен
17,Wange::N,गाल,яңак
18,Wange::N,कपोल,яңак
19,Gesicht::N,मुँह,йөз
20,Gesicht::N,चेहरा,йөз
21,Stirn::N,माथा,маңгай
22,Stirn::N,मस्तक,маңгай
23,Haar::N,बाल,чәч
24,Schnurrbart::N,मूँछें,мыек
25,Bart::N,दाढ़ी,сакал
26,Kinn::N,चिबुक,ияк
27,Kiefer[Anatomie]::N,जबड़ा,казналык
28,Kehle::N,गला,тамак
29,Hals::N,गला,бугаз
30,Hals::N,गरदन,бугаз
31,Genick::N,गरदन,җилкә
32,Genick::N,ग्रीवा,җилкә
33,Kopf::N,सिर,баш
34,Kopf::N,शीर्ष,баш
35,Rücken::N,पीठ,сырт
36,Bauch::N,उदर,корсак
37,Nabel::N,नाभि,кендек
38,Nabel::N,ढोंढी,кендек
39,Busen::N,कुच,түш
40,Busen::N,स्तन,түш
41,Brust::N,वक्ष,имчәк
42,Brust::N,वक्ष,күкрәк
43,Schulter::N,कंधा,иңбаш
44,Schulter::N,कंधा,кулбаш
45,Schulter::N,स्कंध,иңбаш
46,Schulter::N,स्कंध,кулбаш
47,Arm::N,बाँह,кул
48,Arm::N,बाज़ू,кул
49,Ellenbogen::N,कुहनी,терсәк
50,Hand::N,हाथ,кул
51,Hand::N,हस्त,кул
52,Handfläche::N,हथेली,уч
53,Finger::N,उँगली,бармак
54,Finger::N,अँगुली,бармак
55,Fingernagel::N,नख,тырнак
56,Fingernagel::N,नाख़ून,тырнак
57,Nagel[Anatomie]::N,नख,тырнак
58,Nagel[Anatomie]::N,नाख़ून,тырнак
59,Zeh::N,उँगली,бармак
60,Zeh::N,पाँव की उँगली,бармак
61,Fuß::N,चरण,табан
62,Fuß::N,पाँव,табан
63,Ferse::N,एड़ी,үкчә
64,Knie::N,जानु,тез
65,Knie::N,घुटना,тез
66,Oberschenkel::N,उरु,бот
67,Bein::N,टाँग,аяк
68,Körper::N,तन,тән
69,Körper::N,तन,җисем
70,Körper::N,देह,тән
71,Körper::N,देह,җисем
72,Körper::N,शरीर,тән
73,Körper::N,शरीर,җисем
74,Haut::N,चर्म,тире
75,Haut::N,त्वचा,тире
76,Blut::N,लहू,кан
77,Blut::N,ख़ून,кан
78,Ader::N,रग,тамыр
79,Ader::N,शिरा,тамыр
80,Sehne::N,कंडरा,сеңер
81,Sehne::N,स्नायु,сеңер
82,Knochen::N,अस्थि,сөяк
83,Gehirn::N,दिमाग़,ми
84,Gehirn::N,मस्तिष्क,ми
85,Herz::N,दिल,йөрәк
86,Herz::N,हृदय,йөрәк
87,Magen::N,मेदा,ашказаны
88,Magen::N,अमाशय,ашказаны
89,Leber::N,जिगर,бавыр
90,Leber::N,यकृत्,бавыр
91,Atem::N,दम,сулыш
