,Concept_ID,hr,myv
0,Auge::N,oko,сельме
1,Ohr::N,uho,пиле
2,Nase::N,nos,судо
3,Mund::N,usta,курго
4,Zahn::N,zub,пей
5,Zunge::N,jezik,кель
6,Lippe::N,usna,турва
7,Wange::N,obraz,чамабока
8,Wange::N,obraz,чамаумарь
9,Gesicht::N,lice,чама
10,Stirn::N,čelo,коня
11,Haar::N,kosa,черь
12,Schnurrbart::N,brkovi,ус
13,Schnurrbart::N,brkovi,муюк
14,Bart::N,brada,сакал
15,Kinn::N,brada,уло
16,Kinn::N,podbradak,уло
17,Kiefer[Anatomie]::N,čeljust,пейпакар
18,Kiefer[Anatomie]::N,čeljust,пейловажа
19,Kehle::N,grlo,кирьгапарь
20,Hals::N,vrat,кирьга
21,Genick::N,zatiljak,човонь
22,Kopf::N,glava,пря
23,Rücken::N,leđa,копорь
24,Rücken::N,hrbat,копорь
25,Bauch::N,trbuh,пеке
26,Nabel::N,pupak,почо
27,Busen::N,sisa,поте
28,Busen::N,njedra,поте
29,Brust::N,prsa,меште
30,Schulter::N,rame,лавтов
31,Schulter::N,pleći,лавтов
32,Arm::N,ruka,кедь
33,Ellenbogen::N,lakat,кенерепакарь
34,Hand::N,ruka,кедь
35,Handfläche::N,dlan,кедькуншка
36,Handfläche::N,dlan,кедьлапушка
37,Finger::N,prst,сур
38,Fingernagel::N,nokat,кенже
39,Nagel[Anatomie]::N,nokat,кенже
40,Zeh::N,nozni prst,пильге сур
41,Fuß::N,noga,пильге
42,Fuß::N,stopalo,пильге
43,Ferse::N,peta,кочкаря
44,Knie::N,koljeno,эле
45,Knie::N,koljeno,эзне
46,Knie::N,koljeno,кумажа
47,Oberschenkel::N,bedro,качо
48,Bein::N,noga,пильге
49,Körper::N,tijelo,рунго
50,Haut::N,put,киське
51,Haut::N,koža,киське
52,Blut::N,krv,верь
53,Ader::N,žila,сан
54,Sehne::N,tetiva,коське сан
55,Knochen::N,kost,пакарь
56,Herz::N,srce,седей
57,Magen::N,stomak,пеке
58,Magen::N,želudac,пеке
59,Leber::N,jetra,максо
60,Atem::N,dah,лексема
61,Atem::N,dah,оймень таргсема
62,Hunger::N,glad,вачочи
63,Träne::N,suza,селведь
64,Geschmack::N,ukus,тансть
65,Geruch::N,njuh,чине
66,Geruch::N,miris,чине
67,Schlaf::N,san,удома
68,Traum::N,san,он
69,Himmel::N,nebo,менель
70,Sonne::N,sunce,чи
71,Mond::N,mjesec,ков
72,Stern::N,zvijezda,теште
73,Luft::N,zrak,кошт
74,Wind::N,vjetar,варма
75,Welle::N,val,толкун
76,Welle::N,talas,толкун
77,Wasser::N,voda,ведь
78,Stein::N,kamen,кев
79,Boden::N,tlo,мода
80,Boden::N,zemlja,мода
81,Erde::N,zemlja,мастор
82,Staub::N,prah,пуль
83,Staub::N,prašina,пуль
84,Rauch::N,dim,качамо
85,Funke::N,iskra,сятко
86,Funke::N,varnica,сятко
87,Feuer::N,vatra,тол
88,Licht::N,svjetlo,валдо
89,Schatten::N,hlad,сулей
90,Schatten::N,hlad,сулейкс
91,Schatten::N,sjena,сулей
92,Schatten::N,sjena,сулейкс
93,Wetter::N,vrijeme,ушо
94,Nebel::N,magla,сув
95,Wolke::N,oblak,пель
96,Regen::N,kiša,пиземс
97,Schnee::N,snijeg,лов
98,Eis::N,led,эй
99,Frost::N,mraz,кельме
100,Kälte::N,studen,якшамо
101,Kälte::N,hladnoća,якшамо
102,Hitze::N,vrućina,пси
103,Raureif::N,inje,лекш
104,Regenbogen::N,duga,пурьгинечирьке
105,Regenbogen::N,duga,пурьгинеёнкс
106,Donner::N,grom,пурьгине
107,Donner::N,grmljavina,пурьгине
108,Strömung::N,struja,чудема
109,Strömung::N,struja,чудевкс
110,Strömung::N,strujanje,чудема
111,Strömung::N,strujanje,чудевкс
112,Tropfen::N,kap,петнявкс
113,Tropfen::N,kaplja,петнявкс
114,Schaum::N,pjena,чов
115,Schmutz::N,nečistoća,рудаз
116,Schmutz::N,prljavština,рудаз
117,See::N,jezero,эрьке
118,Sumpf::N,bara,чей
119,Moor::N,močvara,чей
120,Wiese::N,livada,луга
121,Wald::N,šuma,вирь
122,Hügel::N,brijeg,губорь
123,Hügel::N,brijeg,пандыне
124,Hügel::N,brežuljak,губорь
125,Hügel::N,brežuljak,пандыне
126,Anhöhe::N,uzvišica,губорь
127,Anhöhe::N,uzvišica,пандыне
128,Berg::N,brdo,пандо
129,Gipfel::N,vrh,пря
130,Höhle::N,pećina,пещера
131,Höhle::N,spilja,пещера
132,Abhang::N,obronak,пандочама
133,Abhang::N,nizbrdica,пандочама
134,Quelle::N,izvor,ушодкс
135,Quelle::N,vrelo,ушодкс
