,Concept_ID,la,mn
0,Auge::N,oculus,нүд
1,Ohr::N,auris,чих
2,Nase::N,nasus,хамар
3,Mund::N,os,ам
4,Zahn::N,dens,шүд
5,Zunge::N,lingua,хэл
6,Lippe::N,labrum,уруул
7,Wange::N,gena,хацар
8,Gesicht::N,vultus,царай
9,Gesicht::N,vultus,нүүр
10,Stirn::N,frons,дух
11,Haar::N,capillus,үс
12,Schnurrbart::N,barba labri superioris,дээд сахал
13,Schnurrbart::N,barba labri superioris,живэр сахал
14,Bart::N,barba,сахал
15,Kinn::N,mentum,эрүү
16,Kiefer[Anatomie]::N,mala,эрүү
17,Kehle::N,iugulums,хоолой
18,Hals::N,collum,хүзүү
19,Genick::N,cervices,шил
20,Genick::N,cervices,хүзүү
21,Kopf::N,caput,толгой
22,Rücken::N,tergum,ар
23,Rücken::N,tergum,нуруу
24,Bauch::N,venter,хэвлий
25,Bauch::N,venter,гэдэс
26,Nabel::N,umbilicus,хүйс
27,Busen::N,sinus,хөх
28,Brust::N,pectus,цээж
29,Schulter::N,umerus,мөр
30,Schulter::N,umerus,бугалга
31,Arm::N,bracchium,гар
32,Ellenbogen::N,cubitum,тохой
33,Hand::N,manus,гар
34,Hand::N,manus,алга
35,Handfläche::N,palma,алга
36,Finger::N,digitus,хуруу
37,Fingernagel::N,unguiculus,хурууны хумс
38,Nagel[Anatomie]::N,unguis,хумс
39,Zeh::N,digitus,хуруу
40,Fuß::N,pes,хөл
41,Ferse::N,calx,өсгий
42,Knie::N,genu,өвдөг
43,Oberschenkel::N,femur,гуя
44,Bein::N,crus,хөл
45,Körper::N,corpus,бие
46,Haut::N,cutis,арьс
47,Haut::N,pellis,арьс
48,Blut::N,sanguis,цус
49,Ader::N,vena,судас
50,Sehne::N,nervus,бүлх
51,Sehne::N,nervus,шандас
52,Knochen::N,os,яс
53,Gehirn::N,cerebrum,тархи
54,Herz::N,cor,зүрх
55,Herz::N,animus,зүрх
56,Magen::N,stomachus,ходоод
57,Leber::N,iecur,элэг
58,Atem::N,spiritus,амьсгаа
59,Hunger::N,fames,өлсгөлөн
60,Träne::N,lacrima,нулимс
61,Geschmack::N,sapor,амт
62,Geschmack::N,gustus,амт
63,Geruch::N,odor,үнэр
64,Schlaf::N,somnus,нойр
65,Traum::N,somnium,зүүд
66,Himmel::N,caelum,тэнгэр
67,Himmel::N,caelum,огторгуй
68,Sonne::N,sol,нар
69,Mond::N,luna,сар
70,Stern::N,sidus,од
71,Stern::N,stella,од
72,Luft::N,aer,агаар
73,Wind::N,ventus,салхи
74,Welle::N,unda,долгио
75,Welle::N,unda,давалгаа
76,Wasser::N,aqua,ус
77,Stein::N,lapis,чулуу
78,Boden::N,solum,хөрс
79,Erde::N,terra,газар
80,Erde::N,terra,шороо
81,Staub::N,pulvis,тоос
82,Rauch::N,fumus,утаа
83,Funke::N,scintilla,оч
84,Feuer::N,ignis,гал
85,Licht::N,lux,гэрэл
86,Licht::N,lux,гэгээ
87,Licht::N,lumen,гэрэл
88,Licht::N,lumen,гэгээ
89,Schatten::N,umbra,сүүдэр
90,Wetter::N,caelum,тэнгэр
91,Wetter::N,caelum,цаг уур
92,Wetter::N,tempestas,тэнгэр
93,Wetter::N,tempestas,цаг уур
94,Nebel::N,nebula,будан
95,Wolke::N,nubes,үүл
96,Regen::N,imber,бороо
97,Regen::N,pluvia,бороо
98,Schnee::N,nix,цас
99,Eis::N,glacies,мөс
100,Frost::N,gelu,хүйт
101,Kälte::N,frigus,хүйт
102,Hitze::N,calor,халуун
103,Hitze::N,aestus,халуун
104,Raureif::N,pruina,цан
105,Raureif::N,pruina,хяруу
106,Regenbogen::N,arcus,солонго
107,Donner::N,tonitrus,тэнгэрийн дуу
108,Strömung::N,fluctus,урсгал
109,Tropfen::N,gutta,дусал
110,Schaum::N,spuma,хөөс
111,Schmutz::N,sordes,хир
112,Schmutz::N,sordes,шавхай
113,Schmutz::N,squalor,хир
114,Schmutz::N,squalor,шавхай
115,See::N,lacus,нуур
116,Sumpf::N,palus,намаг
117,Sumpf::N,palus,балчиг
118,Moor::N,palus,хүлрийн намаг
119,Wiese::N,pratum,нуга
120,Wald::N,silva,ой
121,Hügel::N,collis,болдог
122,Anhöhe::N,specula,гүвээ
123,Berg::N,mons,уул
124,Gipfel::N,vertex,орой
125,Gipfel::N,vertex,оргил
126,Höhle::N,caverna,агуй
127,Höhle::N,spelunca,агуй
128,Abhang::N,declivum,хүр
129,Quelle::N,fons,булаг
130,Bach::N,rivus,горхи
131,Fluss::N,flumen,гол
132,Fluss::N,flumen,мөрөн
133,Ufer::N,ripa,эрэг
134,Küste::N,litus,эрэг
135,Festland::N,continens,хуурай газар
136,Meer::N,mare,далай
137,Meer::N,mare,тэнгис
138,Bucht::N,sinus,булан
139,Bucht::N,sinus,далайн тохой
140,Insel::N,insula,арал
141,Blume::N,flos,цэцэг
142,Gras::N,herba,өвс
143,Gras::N,herba,ногоо
144,Gras::N,gramen,өвс
145,Gras::N,gramen,ногоо
146,Wurzel::N,radix,үндэс
147,Baum::N,arbor,мод
148,Stamm::N,truncus,иш
149,Stamm::N,truncus,гуалин
150,Rinde::N,cortex,холтос
151,Ast::N,ramus,гишүү
152,Zweig::N,ramus,салаа
153,Blatt::N,folium,навч
154,Birke::N,betulla,хус
155,Kiefer[Baum]::N,pinus,нарс
156,Weide[Baum]::N,salix,уд
157,Weide[Baum]::N,salix,бургас
158,Tanne::N,abies,гачуур
159,Horn::N,cornu,эвэр
160,Feder::N,penna,өд
161,Fell::N,pellis,арьс
162,Flügel::N,ala,жигүүр
163,Flügel::N,ala,далавч
164,Klaue::N,unguis,савар
165,Klaue::N,unguis,хумс
166,Kralle::N,unguis,савар
167,Schwanz::N,cauda,сүүл
168,Ei::N,ovum,өндөг
169,Nest::N,nidus,үүр
170,Bau::N,cavum,нүх
171,Bau::N,cavum,элүү
172,Bau::N,latibulum,нүх
173,Bau::N,latibulum,элүү
174,Tier::N,bestia,амьтан
175,Tier::N,bestia,адгуус
176,Herde::N,grex,сүрэг
177,Kuh::N,vacca,үнээ
178,Bulle::N,taurus,бух
179,Pferd::N,equus,морь
180,Pferd::N,equus,адуу
181,Schaf::N,ovis,хонь
182,Schwein::N,sus,гахай
183,Schwein::N,porcus,гахай
184,Hund::N,canis,нохой
185,Katze::N,felis,муур
186,Katze::N,felis,мигуй
187,Bär::N,ursus,баавгай
188,Eichhörnchen::N,sciurus,хэрэм
189,Elch::N,alces,хандгай
190,Fuchs::N,vulpes,үнэг
191,Hase::N,lepus,туулай
192,Maus::N,mus,хулгана
193,Wolf::N,lupus,чоно
194,Vogel::N,avis,шувуу
195,Schwarm::N,examen,сүрэг
196,Huhn::N,gallina,тахиа
197,Hahn::N,gallus,эр тахиа
198,Gans::N,anser,галуу
199,Adler::N,aquila,бүргэд
200,Ente::N,anas,нугас
201,Eule::N,ulula,ууль
202,Eule::N,noctua,ууль
203,Kranich::N,grus,тогоруу
204,Krähe::N,cornix,хэрээ
205,Kuckuck::N,cuculus,хөхөө
206,Schwan::N,olor,хун
207,Schwan::N,cycnus,хун
208,Fisch::N,piscis,загас
209,Barsch::N,perca,алгана
210,Hecht::N,esox,цурхай
211,Schlange[Tier]::N,serpens,могой
212,Wurm::N,vermis,өт
213,Wurm::N,vermis,хорхой
214,Spinne::N,aranea,аалз
215,Ameise::N,formica,шоргоолж
216,Laus::N,pediculus,бөөс
217,Mücke::N,culex,шумуул
218,Fliege::N,musca,ялаа
219,Schmetterling::N,papilio,эрвээхэй
220,Beere::N,baca,жимсгэнэ
221,Apfel::N,malum,алим
222,Pilz::N,fungus,мөөг
223,Zwiebel::N,cepa,сонгино
224,Saat::N,seges,тариа
225,Korn::N,granum,үр
226,Korn::N,granum,мөхлөг
227,Heu::N,faenum,өвс
228,Schale::N,putamen,хальс
229,Grube::N,fovea,алам
230,Grube::N,fovea,нүх
231,Falle::N,pedica,хавх
232,Falle::N,pedica,занга
233,Schlinge::N,laqueus,урхи
234,Spur::N,vestigium,мөр
235,Asche::N,cinis,үнс
236,Dreck::N,lutum,хир
237,Eisen::N,ferrum,төмөр
238,Gold::N,aurum,алт
239,Silber::N,argentum,мөнгө
240,Kohle::N,carbo,нүүрс
241,Glas::N,vitrum,шил
242,Lehm::N,lutum,шавар
243,Sand::N,arena,элс
244,Mensch::N,homo,хүн
245,Mann::N,vir,эр
246,Mann::N,vir,эрэгтэй
247,Frau::N,mulier,эмэгтэй
248,Frau::N,mulier,хатагтай
249,Kind::N,puer,хүүхэд
250,Kind::N,infans,хүүхэд
251,Junge::N,puer,хүү
252,Mädchen::N,puella,охин
253,Mädchen::N,puella,бүсгүй
254,Familie::N,familia,айл
255,Großvater::N,avus,өвгөн аав
256,Großmutter::N,avia,эмэг эх
257,Großmutter::N,avia,эмгээ
258,Eltern::N,parentes,эцэг эх
259,Vater::N,pater,аав
260,Vater::N,pater,эцэг
261,Mutter::N,mater,эх
262,Mutter::N,mater,ээж
263,Sohn::N,filius,хүү
264,Tochter::N,filia,охин
265,Bruder::N,frater,ах
266,Bruder::N,frater,дүү
267,Schwester::N,soror,эгч
268,Schwester::N,soror,охин дүү
269,Onkel::N,patruus,авга ах
270,Onkel::N,patruus,нагац ах
271,Onkel::N,avunculus,авга ах
272,Onkel::N,avunculus,нагац ах
273,Tante::N,amita,авга эгч
274,Tante::N,amita,нагац эгч
275,Ehemann::N,maritus,нөхөр
276,Ehefrau::N,uxor,эхнэр
277,Ehefrau::N,uxor,гэргий
278,Freude::N,gaudium,баяр
279,Freude::N,gaudium,баясгалан
280,Freude::N,laetitia,баяр
281,Freude::N,laetitia,баясгалан
282,Gelächter::N,risus,инээдэм
283,Glück::N,felicitas,жаргалан
284,Kummer::N,aegritudo,гаслан
285,Wunsch::N,voluntas,ерөөл
286,Wunsch::N,desiderium,ерөөл
287,Lust::N,libido,дур
288,Lust::N,libido,хүсэл
289,Lust::N,voluptas,дур
290,Lust::N,voluptas,хүсэл
291,Geist::N,mens,оюун
292,Geist::N,animus,оюун
293,Gedanke::N,sententia,сэтгэл
294,Gedächtnis::N,memoria,ой
295,Gedächtnis::N,memoria,цээж
296,Verstand::N,ratio,ухаан
297,Verstand::N,ingenium,ухаан
298,Sinn::N,sensus,утга
299,Grund::N,causa,учир
300,Wahrheit::N,veritas,үнэн
301,Gespräch::N,sermo,яриа
302,Märchen::N,fabula,явган үлгэр
303,Erzählung::N,fabula,тууж
304,Erzählung::N,narratio,тууж
305,Nachricht::N,nuntius,мэдээ
306,Neuigkeit::N,novitas,сонин
307,Name::N,nomen,нэр
308,Rätsel::N,aenigma,оньсого
309,Rede::N,oratio,хэлсэн үг
310,Sprache::N,lingua,хэл
311,Stimme::N,vox,дуу
312,Wort::N,verbum,үг
313,Wort::N,vocabulum,үг
314,Zeichen::N,signum,тамга
315,Zeichen::N,signum,тэмдэг
316,Ruf::N,clamor,дуудлага
317,Lärm::N,strepitus,шуугиан
318,Lärm::N,strepitus,чимээ
319,Laut::N,sonus,анир
320,Laut::N,sonus,дуу
321,Ton::N,sonus,авиа
322,Ton::N,sonus,аялгуу
323,Lied::N,carmen,дуу
324,Ruhe::N,quies,энх
325,Ruhe::N,quies,тайван
326,Leute::N,homines,хүмүүс
327,Volk::N,populus,улс
328,Arbeit::N,labor,ажил
329,Arbeit::N,labor,хөдөлмөр
330,Gast::N,hospes,зочин
331,Gast::N,hospes,айлчин
332,Gast::N,conviva,зочин
333,Gast::N,conviva,айлчин
334,Geschenk::N,munus,бэлэг
335,Spiel::N,ludus,наадам
336,Spiel::N,ludus,тоглоом
337,Gesellschaft::N,societas,хамт байх
338,Hilfe::N,auxilium,тусламж
339,Hilfe::N,subsidium,тусламж
340,Freund::N,amicus,найз
341,Freund::N,amicus,нөхөр
342,Kamerad::N,socius,хань
343,Kamerad::N,socius,нөхөр
344,Angelegenheit::N,res,хэрэг
345,Anzahl::N,numerus,тоо
346,Art::N,genus,төрөл
347,Art::N,genus,янз
348,Stück::N,frustum,хэсэг
349,Stück::N,fragmentum,хэсэг
350,Teil::N,pars,хувь
351,Teil::N,pars,хэсэг
352,Hälfte::N,dimidium,хагас
353,Kreis::N,orbis,тойрог
354,Kreis::N,orbis,хүрээ
355,Kreis::N,circus,тойрог
356,Kreis::N,circus,хүрээ
357,Kreuz::N,crux,загалмай
358,Linie::N,linea,шугам
359,Strich::N,lineamentum,зураас
360,Abstand::N,intervallum,зай
361,Entfernung::N,spatium,зай
362,Entfernung::N,spatium,хол ойр
363,Gegend::N,loca,хавь
364,Gegend::N,loca,газар
365,Gegend::N,regio,хавь
366,Gegend::N,regio,газар
367,Platz::N,locus,зай
368,Platz::N,locus,завсар
369,Ort::N,locus,газар
370,Ort::N,locus,байр
371,Seite::N,latus,тал
372,Seite::N,latus,этгээд
373,Mitte::N,medium,төв
374,Mitte::N,medium,дунд
375,Gegenstand::N,res,юм
376,Sache::N,res,үйл
377,Sache::N,res,хэрэг
378,Rand::N,margo,зах
379,Rand::N,margo,хөвөө
380,Kante::N,angulus,ирмэг
381,Ecke::N,angulus,өнцөг
382,Spitze::N,cacumen,үзүүр
383,Ende::N,caput,зах
384,Ende::N,caput,үзүүр
385,Loch::N,foramen,цоорхой
386,Loch::N,foramen,онгорхой
387,Winkel::N,angulus,өнцөг
388,Muster::N,exemplum,хээ
389,Muster::N,exemplum,угалз
390,Größe::N,magnitudo,хэмжээ
391,Länge::N,longitudo,урт
392,Höhe::N,altitudo,өндөр
393,Gewicht::N,pondus,жин
394,Menge::N,copia,тоо
395,Haufen::N,acervus,бөөн
396,Reihe::N,ordo,эгнээ
397,Boot::N,navicula,завь
398,Ruder::N,remus,сэлүүр
399,Schlitten::N,sclodia,чарга
400,Ski::N,narta,цана
401,Lagerfeuer::N,ignis,түүдэг
402,Last::N,onus,ачаа
403,Gang::N,cursus,явдал
404,Schritt::N,gradus,алхам
405,Norden::N,septentriones,умар
406,Süden::N,meridies,урд
407,Süden::N,meridies,өмнө
408,Westen::N,occidens,өрнө
409,Westen::N,occidens,баруун
410,Osten::N,oriens,зүүн
411,Osten::N,oriens,дорно
412,Holz::N,lignum,мод
413,Brett::N,tabula,банз
414,Platte::N,lamina,хавтан
415,Stütze::N,adminiculum,тулгуур
416,Stütze::N,adminiculum,тулга
417,Stange::N,pertica,сургааг
418,Stock::N,baculum,саваа
419,Stab::N,scipio,таяг
420,Rohr::N,tubus,хоолой
421,Haus::N,aedes,гэр
422,Haus::N,aedes,байшин
423,Heim::N,domicilium,гэр
424,Ofen::N,fornax,зуух
425,Ofen::N,fornax,пийшин
426,Fußboden::N,solum,шал
427,Tisch::N,mensa,ширээ
428,Stuhl::N,sella,сандал
429,Wiege::N,cunae,өлгий
430,Bett::N,lectus,ор
431,Regal::N,foruli,тавиур
432,Kiste::N,cista,авдар
433,Kiste::N,cista,хайрцаг
434,Fenster::N,fenestra,гэгээвч
435,Tür::N,ianua,үүд
436,Tür::N,ianua,хаалга
437,Tor::N,porta,хаалга
438,Zaun::N,saepes,хашаа
439,Dach::N,tectum,дээвэр
440,Leiter::N,scalae,шат
441,Besen::N,scopae,хамуур
442,Besen::N,scopae,туужуу
443,Spaten::N,pala,хүрз
444,Schaufel::N,pala,хүрз
445,Gabel::N,fuscinula,сэрээ
446,Löffel::N,coclear,халбага
447,Messer::N,culter,хутга
448,Nagel::N,clavus,хадаас
449,Netz::N,rete,өөш
450,Netz::N,rete,тор
451,Haken::N,hamus,гох
452,Griff::N,manubrium,иш
453,Griff::N,manubrium,сэнж
454,Schloss::N,claustra,цуурга
455,Schloss::N,claustra,цоож
456,Bild::N,tabula,зураг
457,Bild::N,pictura,зураг
458,Figur::N,statunculum,баримал
459,Puppe::N,pupa,хүүхэлдэй
460,Beutel::N,sacculus,агсаа
461,Beutel::N,sacculus,уут
462,Bündel::N,fascis,боодол
463,Tasche::N,sacculus,цүнх
464,Eimer::N,situla,хөнөг
465,Eimer::N,situla,хувин
466,Deckel::N,operculum,таг
467,Deckel::N,operculum,хавхаг
468,Geschirr::N,vasa,сав суулга
469,Sack::N,saccus,шуудай
470,Tasse::N,pocillum,аяга
471,Topf::N,olla,тогоо
472,Kessel::N,aenum,тогоо
473,Essen::N,cena,идээ
474,Nahrung::N,cibus,хүнс
475,Nahrung::N,alimenta,хүнс
476,Speise::N,cibus,идээ
477,Fleisch::N,caro,мах
478,Getreide::N,frumentum,будаа
479,Brei::N,puls,богшмол
480,Brei::N,puls,будаа
481,Brot::N,panis,талх
482,Scheibe::N,frustum,зүсэм
483,Scheibe::N,frustum,хэрчим
484,Fett::N,pingue,өөх
485,Butter::N,butȳrum,тос
486,Öl::N,oleum,тос
487,Salz::N,sal,давс
488,Suppe::N,ius,шөл
489,Honig::N,mel,бал
490,Milch::N,lac,сүү
491,Tee::N,thea,цай
492,Leder::N,corium,арьс
493,Leder::N,corium,савхи
494,Wolle::N,lana,ноос
495,Wolle::N,lana,унгас
496,Stoff::N,textum,бөс
497,Nadel::N,acus,зүү
498,Faden::N,filum,боолт
499,Faden::N,filum,утас
500,Knopf::N,bulla,товч
501,Knoten::N,nodus,зангилаа
502,Farbe::N,pigmentum,будаг
503,Kleidung::N,vestimenta,хувцас
504,Hemd::N,tunica,цамц
505,Kragen::N,collare,зах заам
506,Ärmel::N,manica,ханцуй
507,Hose::N,bracae,өмд
508,Gürtel::N,cingulum,бүс
509,Mütze::N,pilleus,малгай
510,Mütze::N,pilleus,бүрх
511,Schuh::N,calceus,туфли
512,Stiefel::N,pero,гутал
513,Stiefel::N,caliga,гутал
514,Ring::N,anulus,бөгж
515,Band::N,redimiculum,тууз
516,Kamm::N,pecten,сам
517,Spiegel::N,speculum,толь
518,Riemen::N,lorum,тасам
519,Riemen::N,lorum,сур
520,Schnur::N,linum,татлага
521,Leine::N,retinaculum,оосор
522,Decke::N,lodix,хөнжил
523,Decke::N,lodix,хучлага
524,Kissen::N,pulvinus,дэр
525,Tuch::N,velum,алчуур
526,Tuch::N,velum,даавуу
527,Handtuch::N,mantele,алчуур
528,Kraft::N,vis,чадал
529,Kraft::N,vis,хүч
530,Stärke::N,robur,эрч
531,Stärke::N,robur,тэнхээ
532,Gesundheit::N,valetudo,бие
533,Gesundheit::N,valetudo,эрүүл мэнд
534,Krankheit::N,morbus,эмгэг
535,Schmerz::N,dolor,өвчин
536,Wunde::N,vulnus,шарх
537,Fieber::N,febris,халуун
538,Arznei::N,remedium,эм
539,Brücke::N,pons,гүүр
540,Brunnen::N,puteus,худаг
541,Weide::N,pascua,бэлчээр
542,Pfad::N,semita,жим
543,Pfad::N,semita,зөрөг
544,Weg::N,iter,зам
545,Weg::N,iter,харгуй
546,Straße::N,via,зам
547,Straße::N,via,харгуй
548,Dorf::N,vicus,тосгон
549,Dorf::N,vicus,гацаа
550,Stadt::N,urbs,хот
551,Stadt::N,oppidum,хот
552,Brief::N,epistula,захидал
553,Brief::N,epistula,захиа
554,Buch::N,liber,ном
555,Buch::N,liber,бичиг
556,Buchstabe::N,littera,үсэг
557,Zeitung::N,diurnum,сонин
558,Leben::N,vita,амь
559,Leben::N,vita,амьдрал
560,Tod::N,mors,үхэл
561,Grab::N,sepulcrum,булш
562,Kirche::N,ecclesia,сүм
563,Sünde::N,peccatum,нүгэл
564,Sünde::N,peccatum,хилэнц
565,Gott::N,deus,бурхан
566,Arbeiter::N,operarius,ажилчин
567,Arbeiter::N,operarius,хөдөлмөрчин
568,Chef::N,praefectus,дарга
569,Meister::N,magister,дархан
570,Arzt::N,medicus,эмч
571,Lehrer::N,magister,багш
572,Geld::N,aes,цаас
573,Geld::N,aes,мөнгө
574,Geld::N,pecunia,цаас
575,Geld::N,pecunia,мөнгө
576,Geschäft::N,negotium,наймаа
577,Laden::N,taberna,дэлгүүр
578,Preis::N,pretium,үнэ
579,Ware::N,merx,таваар
580,Ware::N,merx,бараа
581,Nutzen::N,utilitas,ашиг
582,Reichtum::N,opes,баялаг
583,Reichtum::N,divitiae,баялаг
584,Welt::N,mundus,дэлхий
585,Welt::N,mundus,орчлон
586,Land::N,terra,улс
587,Land::N,terra,орон
588,Staat::N,res publica,төр
589,Staat::N,res publica,гүрэн
590,König::N,rex,ван
591,Macht::N,potestas,засаг
592,Grenze::N,limes,хил
593,Krieg::N,bellum,дайн
594,Feind::N,inimicus,дайсан
595,Gewalt::N,vis,хүчирхэх
596,Kampf::N,pugna,тэмцэл
597,Kampf::N,pugna,байлдаан
598,Bogen[Waffe]::N,arcus,нум
599,Pfeil::N,sagitta,годил
600,Pfeil::N,sagitta,сум
601,Gewehr::N,sclopetum,буу
602,Fehler::N,error,эндэл
603,Fehler::N,error,алдаа
604,Lüge::N,mendacium,худал
605,Schaden::N,damnum,хор
606,Schaden::N,damnum,хөнөөл
607,Schaden::N,detrimentum,хор
608,Schaden::N,detrimentum,хөнөөл
609,Unglück::N,miseria,гай
610,Unglück::N,miseria,гамшиг
611,Unglück::N,calamitas,гай
612,Unglück::N,calamitas,гамшиг
613,Schuld::N,culpa,гэм
614,Schuld::N,culpa,буруу
615,Alter::N,aetas,нас
616,Schluss::N,finis,эцэс
617,Schluss::N,finis,төгсгөл
618,Zeit::N,tempus,цаг
619,Tag::N,dies,өдөр
620,Morgen::N,mane,өглөө
621,Mittag::N,meridies,үд
622,Abend::N,vesper,үдэш
623,Nacht::N,nox,шөнө
624,Woche::N,septimana,долоо хоног
625,Monat::N,mensis,сар
626,Jahr::N,annus,жил
627,Frühling::N,ver,хавар
628,Sommer::N,aestas,зун
629,Herbst::N,autumnus,намар
630,Winter::N,hiems,өвөл
631,Januar::N,Ianuarius,нэгдүгээр сар
632,Februar::N,Februarius,хоёрдугаар сар
633,März::N,Martius,гуравдугаар сар
634,April::N,Aprilis,дөрөвдүгээр сар
635,Mai::N,Maius,тавдугаар сар
636,Juni::N,Iunius,зургаадугаар сар
637,Juli::N,Iulius,долдугаар сар
638,August::N,Augustus,наймдугаар сар
639,September::N,September,есдүгээр сар
640,Oktober::N,Octobris,аравдугаар сар
641,November::N,Novembris,арван нэгдүгээр сар
642,Dezember::N,December,арван хоёрдугаар сар
643,Montag::N,dies lunae,даваа
644,Dienstag::N,dies Martis ,мягмар
645,Mittwoch::N,dies Mercurii,лхагва
646,Donnerstag::N,dies Iovis,пүрэв
647,Freitag::N,dies Veneris,баасан
648,Samstag::N,dies Saturni,бямба
649,Sonntag::N,dominicus,ням
650,Sonntag::N,dies solis,ням
651,groß::A,magnus,их
652,groß::A,magnus,том
653,klein::A,parvus,бага
654,klein::A,parvus,жаахан
655,lang::A,longus,урт
656,kurz::A,brevis,охор
657,kurz::A,brevis,богино
658,breit::A,latus,өргөн
659,schmal::A,angustus,уйтан
660,schmal::A,angustus,нарийн
661,dicht::A,densus,нягт
662,dicht::A,densus,чигжүү
663,dick[Gegenstand]::A,crassus,зузаан
664,dünn::A,tenuis,нимгэн
665,fein::A,subtilis,нарийн
666,fest::A,solidus,бөх
667,fest::A,solidus,хатуу
668,fest::A,stabilis,бөх
669,fest::A,stabilis,хатуу
670,flach::A,planus,хавтгай
671,glatt::A,levis,цагаан
672,hart::A,durus,хатуу
673,weich::A,mollis,зөөлөн
674,rund::A,rotundus,дугуй
675,rund::A,rotundus,дугариг
676,spitz::A,acutus,шовх
677,spitz::A,acutus,шовгор
678,scharf::A,acer,хурц
679,scharf::A,acer,иртэй
680,stumpf::A,hebes,мохоо
681,schwer::A,gravis,хүнд
682,schön::A,pulcher,гуа
683,schön::A,pulcher,сайхан
684,schön::A,formosus,гуа
685,schön::A,formosus,сайхан
686,heiß::A,fervidus,халуун
687,warm::A,calidus,дулаан
688,kalt::A,frigidus,хүйтэн
689,kühl::A,frigidus,сэрүүн
690,frisch::A,recens,эрүүл
691,frisch::A,recens,жихүүн
692,feucht::A,umidus,чийгтэй
693,nass::A,madidus,нойтон
694,trocken::A,aridus,хатсан
695,voll::A,plenus,дүүрэн
696,leer::A,vacuus,хоосон
697,offen::A,apertus,онгорхой
698,geschlossen::A,clausus,битүү
699,geschlossen::A,clausus,хаалтай
700,sauber::A,lautus,цэвэр
701,sauber::A,lautus,хиргүй
702,schmutzig::A,sordidus,бохир
703,schmutzig::A,sordidus,хиртэй
704,roh::A,crudus,түүхий
705,reif::A,maturus,болсон
706,lecker::A,delicatus,амттай
707,süß::A,dulcis,амттай
708,süß::A,dulcis,чихэрлэг
709,bitter::A,amarus,гашуун
710,bitter::A,acerbus,гашуун
711,sauer::A,acidus,эсгэлэн
712,hell::A,clarus,гэгээн
713,hell::A,clarus,гэрэлтэй
714,dunkel::A,obscurus,бараан
715,dunkel::A,obscurus,харанхуй
716,schwarz::A,niger,хар
717,weiß::A,albus,цагаан
718,rot::A,ruber,улаан
719,gelb::A,flavus,шар
720,blau::A,caeruleus,хөх
721,blau::A,caeruleus,цэнхэр
722,grün::A,viridis,ногоон
723,grau::A,canus,орог
724,grau::A,canus,саарал
725,bunt::A,varius,эрээн
726,billig::A,vilis,хямд
727,teuer::A,carus,үнэтэй
728,wertvoll::A,pretiosus,үнэт
729,blind::A,caecus,сохор
730,taub::A,surdus,чих хатуу
731,kräftig::A,robustus,чийрэг
732,stark::A,firmus,хүчтэй
733,stark::A,firmus,чадалтай
734,stark::A,validus,хүчтэй
735,stark::A,validus,чадалтай
736,schwach::A,debilis,сул
737,schwach::A,infirmus,сул
738,fett::A,crassus,тарган
