,Concept_ID,ku,mdf
84,Schatten::N,sî,цильф
85,Wetter::N,hewa,уша
86,Nebel::N,mij,тума́н
87,Wolke::N,ewr,ковол
88,Regen::N,baran,пизем
89,Schnee::N,berf,лов
90,Eis::N,qeşa,эй
91,Frost::N,xûsik,ке́льме
92,Kälte::N,serma,якшама
93,Hitze::N,germayî,пси
94,Raureif::N,şext,леш
95,Regenbogen::N,heftreng,а́тямъёнга
96,Donner::N,gire-gir,атям
97,Strömung::N,şewl,шудема́
98,Tropfen::N,dilop,путькс
99,Tropfen::N,dilop,пътняфкс
100,Schaum::N,kef,шов
101,Schmutz::N,gemar,ърда́з
102,See::N,gol,эрьхке
103,Sumpf::N,hezek,шяй
104,Moor::N,mafêl,шяй
105,Wiese::N,sûrik,луга
106,Wald::N,çiya,вирь
107,Wald::N,daristan,вирь
108,Hügel::N,gir,губо́р
109,Hügel::N,gir,пандоня
110,Anhöhe::N,sere gir,губо́р
111,Berg::N,kaş,панда
112,Gipfel::N,sere gir,пря
113,Höhle::N,şikeft,у́нда
114,Abhang::N,kaş,па́нда ша́ма
115,Quelle::N,kanî,эшиня
116,Bach::N,çem,шудерькс
117,Fluss::N,çem,ляй
118,Fluss::N,rûbar,ляй
119,Ufer::N,kevî,търва́
120,Küste::N,berav,ляйтърва́
121,Festland::N,bejahî,мода
122,Meer::N,behr,моря
123,Bucht::N,derav,ведьуське
124,Insel::N,girav,цёнга
125,Blume::N,kulînk,панчф
126,Gras::N,giha,тише
127,Wurzel::N,reh,юр
128,Wurzel::N,reh,ункс
129,Baum::N,dar,шуфта
130,Stamm::N,bavik,ро́нга
131,Rinde::N,qaqil,кер
132,Ast::N,gulî,морга
133,Zweig::N,şax,тарад
134,Blatt::N,pel,лопа
135,Birke::N,dara sipî,ке́лу
136,Kiefer[Baum]::N,dara bî,пиче
137,Weide[Baum]::N,dara belalûk,каль
138,Tanne::N,merx,куз
139,Horn::N,strô,сюра
140,Feder::N,pîrtîk,толга
141,Fell::N,heyar,кедь
142,Flügel::N,per,паця
143,Klaue::N,napîk,кенже
144,Kralle::N,dinik,кенже
145,Kralle::N,dirnax,кенже
146,Schwanz::N,dûv,пула
147,Ei::N,hêk,ал
148,Nest::N,hêlîn,пиза
149,Bau::N,avahî,пиза
150,Tier::N,heywan,жува́та
151,Herde::N,hoz,нал
152,Herde::N,hoz,стада
153,Kuh::N,çêlek,скал
154,Kuh::N,çêlek,тракс
155,Bulle::N,ga,бука
156,Pferd::N,hesp,лишме
157,Schaf::N,mîh,уча́
158,Schwein::N,beraz,тува
159,Hund::N,seh,пине
160,Katze::N,pişîk,катоня
161,Katze::N,pişîk,аваката
162,Bär::N,hirç,офта
163,Eichhörnchen::N,pilûr,ур
164,Elch::N,pazkovî,ся́рда
165,Fuchs::N,rovî,келазь
166,Hase::N,kîroşk,ну́мол
167,Maus::N,mişk,шеер
168,Wolf::N,gur,върьгаз
169,Vogel::N,çûk,нармонь
170,Schwarm::N,lufik,ко́вол
171,Schwarm::N,lufik,ме́швеле
172,Huhn::N,mirîşk,сараз
173,Hahn::N,dîk,а́тякш
174,Gans::N,qaz,маци
175,Adler::N,eylo,куцькан
176,Ente::N,werdek,яксярга
177,Eule::N,bûm,ко́рож
178,Eule::N,kund,ко́рож
179,Kranich::N,quling,ка́рга
180,Krähe::N,qijik,ва́рси
181,Kuckuck::N,pepûk,ку́ку
182,Schwan::N,qû,ло́ксти
183,Fisch::N,masî,кал
184,Barsch::N,okûn,о́кунь
185,Hecht::N,mesîyê lûf,щу́ка
186,Schlange[Tier]::N,mar,куй
187,Wurm::N,kurm,сукс
188,Spinne::N,pîrê,унжа́
189,Ameise::N,mîro,панжам
190,Ameise::N,gêrîk,панжам
191,Laus::N,spi,си
192,Mücke::N,mêş,ся́ське
193,Fliege::N,mêş,кару
194,Schmetterling::N,perperîk,ме́лав
195,Beere::N,hirç,и́мож
196,Apfel::N,sêv,марь
197,Pilz::N,bîrov,панга
198,Zwiebel::N,pîvaz,шурьхкя́
199,Saat::N,tov,видьмот
200,Korn::N,dexl,сёра
201,Heu::N,sap,тише
202,Schale::N,qaşik,кедь
203,Grube::N,çahl,лотка
204,Falle::N,dafik,туфкс
205,Falle::N,dafik,кунда́ма
206,Schlinge::N,dahf,килькш
207,Spur::N,rêç,пильгоки́
208,Asche::N,xweli,кулу
209,Dreck::N,gemarî,ърда́з
210,Eisen::N,hesing,кшни
211,Gold::N,zêr,ока
212,Gold::N,zêr,золота
213,Silber::N,zîv,сия́
214,Kohle::N,komir,седь
215,Kohle::N,komir,седьвальмя
216,Glas::N,qedeh,кля́нцек
217,Lehm::N,kelpîç,сёвонь
218,Sand::N,qûm,шува́р
219,Mensch::N,mirov,ломань
220,Mann::N,mêr,аля
221,Mann::N,mêr,цёраломань
222,Frau::N,jin,ава
223,Kind::N,zarok,идь
224,Kind::N,zarok,шаба
225,Junge::N,kur,цёраня
226,Mädchen::N,keç,стирня́
227,Mädchen::N,keçik,стирня́
228,Familie::N,malbat,тнал
229,Familie::N,malbat,семья
230,Großvater::N,bapîr,атя
231,Großvater::N,bapîr,щя́тя
232,Großmutter::N,pîrik,баба
233,Eltern::N,bavudê,тя́дят-а́лят
234,Vater::N,bav,аля
235,Mutter::N,dê,ава
236,Mutter::N,dê,тядя
237,Mutter::N,dayik,ава
238,Mutter::N,dayik,тядя
239,Sohn::N,kur,цёра
240,Tochter::N,keç,стирь
241,Bruder::N,bira,дуган
242,Bruder::N,bira,пяльне
243,Schwester::N,xweh,ака
244,Schwester::N,xweh,сазор
245,Onkel::N,am,оця
246,Onkel::N,am,патя
247,Onkel::N,am,щеня́
