,Concept_ID,lt,mn
0,Auge::N,akis,нүд
1,Ohr::N,ausis,чих
2,Nase::N,nosis,хамар
3,Mund::N,burna,ам
4,Zahn::N,dantis,шүд
5,Zunge::N,liežuvis,хэл
6,Lippe::N,lūpa,уруул
7,Wange::N,žandas,хацар
8,Wange::N,skruostas,хацар
9,Gesicht::N,veidas,царай
10,Gesicht::N,veidas,нүүр
11,Stirn::N,kakta,дух
12,Haar::N,plaukai,үс
13,Schnurrbart::N,ūsai,дээд сахал
14,Schnurrbart::N,ūsai,живэр сахал
15,Bart::N,barzda,сахал
16,Kinn::N,smakras,эрүү
17,Kiefer[Anatomie]::N,žandikaulis,эрүү
18,Kehle::N,gerklė,хоолой
19,Hals::N,kaklas,хүзүү
20,Genick::N,sprandas,шил
21,Genick::N,sprandas,хүзүү
22,Kopf::N,galva,толгой
23,Rücken::N,nugara,ар
24,Rücken::N,nugara,нуруу
25,Bauch::N,pilvas,хэвлий
26,Bauch::N,pilvas,гэдэс
27,Nabel::N,bamba,хүйс
28,Busen::N,krūtinė,хөх
29,Brust::N,krūtis,цээж
30,Schulter::N,petys,мөр
31,Schulter::N,petys,бугалга
32,Arm::N,ranka,гар
33,Ellenbogen::N,alkūnė,тохой
34,Hand::N,ranka,гар
35,Hand::N,ranka,алга
36,Hand::N,plaštaka,гар
37,Hand::N,plaštaka,алга
38,Handfläche::N,delnas,алга
39,Handfläche::N,plaštaka,алга
40,Finger::N,pirštas,хуруу
41,Fingernagel::N,nagas,хурууны хумс
42,Nagel[Anatomie]::N,nagas,хумс
43,Zeh::N,pirštas,хуруу
44,Fuß::N,pėda,хөл
45,Ferse::N,kulnas,өсгий
46,Knie::N,kelis,өвдөг
47,Oberschenkel::N,kulšis,гуя
48,Oberschenkel::N,šlaunis,гуя
49,Bein::N,koja,хөл
50,Körper::N,kūnas,бие
51,Haut::N,oda,арьс
52,Blut::N,kraujas,цус
53,Ader::N,kraujagyslė,судас
54,Sehne::N,sausgyslė,бүлх
55,Sehne::N,sausgyslė,шандас
56,Knochen::N,kaulas,яс
57,Gehirn::N,smegenys,тархи
58,Herz::N,širdis,зүрх
59,Magen::N,skrandis,ходоод
60,Leber::N,kepenys,элэг
61,Atem::N,kvapas,амьсгаа
62,Hunger::N,badas,өлсгөлөн
63,Hunger::N,alkis,өлсгөлөн
64,Träne::N,ašara,нулимс
65,Geschmack::N,skonis,амт
66,Geruch::N,kvapas,үнэр
67,Schlaf::N,miegas,нойр
68,Traum::N,sapnas,зүүд
69,Himmel::N,dangus,тэнгэр
70,Himmel::N,dangus,огторгуй
71,Sonne::N,saulė,нар
72,Mond::N,mėnulis,сар
73,Stern::N,žvaigždė,од
74,Luft::N,oras,агаар
75,Wind::N,vėjas,салхи
