,Concept_ID,ga,fr
0,Auge::N,súil,œil
1,Ohr::N,cluas,oreille
2,Nase::N,soc,nez
3,Mund::N,béal,bouche
4,Zahn::N,fiacail,dent
5,Zunge::N,teanga,langue
6,Lippe::N,liopa,lèvre
7,Wange::N,grua,joue
8,Wange::N,leiceann,joue
9,Gesicht::N,éadan,face
10,Gesicht::N,éadan,visage
11,Gesicht::N,aghaidh,face
12,Gesicht::N,aghaidh,visage
13,Stirn::N,baithis,front
14,Stirn::N,clár éadain,front
15,Haar::N,gruaig,cheveu
16,Schnurrbart::N,croiméal,moustache
17,Bart::N,féasóg,barbe
18,Kinn::N,smig,menton
19,Kiefer[Anatomie]::N,giall,mâchoire
20,Kehle::N,scornach,gorge
21,Hals::N,muinéal,cou
22,Genick::N,baic,nuque
23,Kopf::N,ceann,tête
24,Rücken::N,droim,dos
25,Bauch::N,bolg,ventre
26,Nabel::N,imleacán,nombril
27,Busen::N,cíoch,sein
28,Brust::N,brollach,poitrine
29,Schulter::N,gualainn,épaule
30,Arm::N,lámh,bras
31,Ellenbogen::N,uillinn,coude
32,Hand::N,lámh,main
33,Handfläche::N,bos,paume
34,Finger::N,méar,doigt
35,Fingernagel::N,ionga,ongle
36,Nagel[Anatomie]::N,ionga,ongle
37,Zeh::N,ladhar,orteil
38,Zeh::N,ladhar,doigt de pied
39,Fuß::N,cos,pied
40,Fuß::N,troigh,pied
41,Ferse::N,sáil,talon
42,Knie::N,glúin,genou
43,Oberschenkel::N,ceathrú,cuisse
44,Bein::N,cos,jambe
45,Körper::N,corp,corps
46,Körper::N,colainn,corps
47,Haut::N,cneas,peau
48,Haut::N,craiceann,peau
49,Blut::N,fuil,sang
50,Sehne::N,teannán,tendon
51,Sehne::N,féitheog,tendon
52,Knochen::N,cnámh,os
53,Gehirn::N,inchinn,cerveau
54,Herz::N,croí,cœur
55,Magen::N,bolg,estomac
56,Magen::N,goile,estomac
57,Leber::N,ae,foie
58,Atem::N,anáil,haleine
59,Hunger::N,ocras,faim
60,Träne::N,deoir,larme
61,Geschmack::N,blas,goût
62,Geschmack::N,blas,saveur
63,Geruch::N,boladh,odeur
64,Schlaf::N,suan,sommeil
65,Schlaf::N,codladh,sommeil
66,Traum::N,taibhreamh,songe
67,Himmel::N,spéir,ciel
68,Sonne::N,grian,soleil
69,Mond::N,ré,lune
70,Mond::N,gealach,lune
71,Stern::N,rinn,étoile
72,Stern::N,réalta,étoile
73,Luft::N,aer,air
74,Wind::N,gaoth,vent
75,Welle::N,tonn,vague
76,Wasser::N,uisce,eau
77,Stein::N,cloch,pierre
78,Boden::N,talamh,sol
79,Boden::N,talamh,terrain
80,Erde::N,cré,terre
81,Erde::N,ithir,terre
82,Staub::N,dusta,poussière
83,Staub::N,deannach,poussière
84,Rauch::N,toit,fumée
85,Rauch::N,deatach,fumée
86,Funke::N,drithle,étincelle
87,Feuer::N,tine,feu
88,Licht::N,solas,lumière
89,Schatten::N,scáth,ombre
90,Wetter::N,aimsir,temps
91,Nebel::N,ceo,brume
92,Nebel::N,ceo,brouillard
93,Wolke::N,néal,nuage
94,Wolke::N,scamall,nuage
95,Regen::N,báisteach,pluie
96,Regen::N,fearthainn,pluie
97,Schnee::N,sneachta,neige
98,Eis::N,oighear,glace
99,Frost::N,sioc,gel
100,Frost::N,sioc,gelée
101,Kälte::N,fuacht,froid
102,Hitze::N,teas,chaleur
103,Hitze::N,teocht,chaleur
104,Raureif::N,sioc bán,givre
105,Regenbogen::N,stua ceatha,arc-en-ciel
106,Regenbogen::N,bogha báistí,arc-en-ciel
107,Donner::N,toirneach,tonnerre
108,Strömung::N,sruth,courant
109,Tropfen::N,deoir,goutte
110,Schaum::N,cúr,écume
111,Schaum::N,cúr,mousse
112,Schmutz::N,salachar,boue
113,Schmutz::N,salachar,saleté
114,See::N,loch,lac
115,Sumpf::N,portach,marais
116,Sumpf::N,portach,marécage
117,Moor::N,caorán,tourbière
118,Moor::N,móinteán,tourbière
119,Wiese::N,cluain,pré
120,Wiese::N,móinéar,pré
121,Wald::N,coill,bois
122,Wald::N,coill,forêt
123,Wald::N,foraois,bois
124,Wald::N,foraois,forêt
125,Hügel::N,ard,coteau
126,Hügel::N,ard,colline
127,Anhöhe::N,ard,éminence
128,Anhöhe::N,ard,élévation
129,Anhöhe::N,ardán,éminence
130,Anhöhe::N,ardán,élévation
131,Berg::N,sliabh,mont
132,Berg::N,sliabh,montagne
133,Gipfel::N,barr,cime
134,Gipfel::N,barr,sommet
135,Gipfel::N,mullach,cime
136,Gipfel::N,mullach,sommet
137,Höhle::N,uaimh,caverne
138,Höhle::N,pluais,caverne
139,Abhang::N,fána,pente
140,Abhang::N,fána,versant
141,Quelle::N,foinse,source
142,Quelle::N,foinse,fontaine
143,Bach::N,sruthán,ruisseau
144,Fluss::N,abhainn,fleuve
145,Fluss::N,abhainn,rivière
146,Ufer::N,bruach,bord
147,Ufer::N,bruach,rivage
148,Küste::N,cósta,côte
149,Küste::N,cladach,côte
150,Festland::N,míntír,terre ferme
151,Meer::N,muir,mer
152,Meer::N,farraige,mer
153,Bucht::N,bá,baie
154,Bucht::N,cuan,baie
155,Insel::N,inis,île
156,Insel::N,oileán,île
157,Blume::N,bláth,fleur
158,Gras::N,féar,herbe
159,Wurzel::N,rúta,racine
160,Wurzel::N,fréamh,racine
161,Baum::N,crann,arbre
162,Stamm::N,stoc,tronc
163,Stamm::N,tamhan,tronc
164,Rinde::N,coirt,écorce
165,Rinde::N,craiceann,écorce
166,Ast::N,géag,branche
167,Zweig::N,géag,rameau
168,Zweig::N,craobh,rameau
169,Blatt::N,duille,feuille
170,Blatt::N,duilleog,feuille
171,Birke::N,beith,bouleau
172,Birke::N,crann beithe,bouleau
173,Kiefer[Baum]::N,péine,pin
174,Weide[Baum]::N,saileach,saule
175,Tanne::N,giúis,sapin
176,Horn::N,adharc,corne
177,Feder::N,cleite,plume
178,Fell::N,clúmh,peau
179,Flügel::N,eite,aile
180,Flügel::N,sciathán,aile
181,Klaue::N,crúb,serre
182,Klaue::N,crobh,serre
183,Kralle::N,crobh,ongle
184,Kralle::N,crobh,griffe
185,Schwanz::N,eireaball,queue
186,Ei::N,ubh,œuf
187,Nest::N,nead,nid
188,Bau::N,brocais,terrier
189,Tier::N,ainmhí,animal
190,Tier::N,beithíoch,animal
191,Herde::N,tréad,troupeau
192,Kuh::N,bó,vache
193,Bulle::N,tarbh,taureau
194,Pferd::N,each,cheval
195,Pferd::N,capall,cheval
196,Schaf::N,caora,mouton
197,Schwein::N,muc,porc
198,Schwein::N,muc,cochon
199,Hund::N,madra,chien
200,Katze::N,cat,chat
201,Bär::N,béar,ours
202,Eichhörnchen::N,iora,écureuil
203,Elch::N,eilc,élan
204,Fuchs::N,sionnach,renard
205,Fuchs::N,madra rua,renard
206,Hase::N,giorria,lièvre
207,Maus::N,luch,souris
208,Wolf::N,mac tíre,loup
209,Vogel::N,éan,oiseau
210,Schwarm::N,saithe,nuée
211,Schwarm::N,saithe,volée
212,Huhn::N,cearc,poule
213,Hahn::N,coileach,coq
214,Gans::N,gé,oie
215,Adler::N,iolar,aigle
216,Ente::N,lacha,canard
217,Eule::N,ulchabhán,hibou
218,Kranich::N,grús,grue
219,Krähe::N,caróg,corneille
220,Krähe::N,préachán,corneille
221,Kuckuck::N,cuach,coucou
222,Schwan::N,eala,cygne
223,Fisch::N,iasc,poisson
224,Barsch::N,péirse,perche
225,Hecht::N,liús,brochet
226,Schlange[Tier]::N,nathair,serpent
227,Wurm::N,péist,ver
228,Spinne::N,damhán alla,araignée
229,Ameise::N,seangán,fourmi
230,Laus::N,míol,pou
231,Mücke::N,muiscít,moucheron
232,Mücke::N,corrmhíol,moucheron
233,Fliege::N,cuil,mouche
234,Fliege::N,cuileog,mouche
235,Schmetterling::N,féileacán,papillon
236,Beere::N,caor,baie
237,Apfel::N,úll,pomme
238,Pilz::N,beacán,champignon
239,Pilz::N,muisiriún,champignon
240,Zwiebel::N,oinniún,oignon
241,Saat::N,síol,semence
242,Korn::N,gráinne,grain
243,Heu::N,féar,foin
244,Schale::N,scaimh,pelure
245,Grube::N,poll,fosse
246,Falle::N,gaiste,piège
247,Schlinge::N,sealán,lacs
248,Spur::N,rian,trace
249,Asche::N,luaith,cendre
250,Dreck::N,salachar,crotte
251,Eisen::N,iarann,fer
252,Gold::N,ór,or
253,Silber::N,airgead,argent
254,Kohle::N,gual,charbon
255,Glas::N,gloine,verre
256,Lehm::N,cré,glaise
257,Sand::N,gaineamh,sable
258,Mensch::N,duine,homme
259,Mann::N,fear,homme
260,Frau::N,bean,femme
261,Kind::N,gasúr,enfant
262,Kind::N,páiste,enfant
263,Junge::N,buachaill,garçon
264,Mädchen::N,cailín,fille
265,Mädchen::N,cailín,jeune fille
266,Familie::N,teaghlach,famille
267,Familie::N,comhluadar,famille
268,Großvater::N,seanathair,grand-père
269,Großmutter::N,seanmháthair,grand-mère
270,Eltern::N,tuismitheoirí,parents
271,Vater::N,athair,père
272,Mutter::N,máthair,mère
273,Sohn::N,mac,fils
274,Tochter::N,iníon,fille
275,Bruder::N,deartháir,frère
276,Schwester::N,deirfiúr,sœur
277,Onkel::N,uncail,oncle
278,Tante::N,aintín,tante
279,Ehemann::N,fear céile,mari
280,Ehemann::N,fear céile,époux
281,Ehefrau::N,bean chéile,femme
282,Ehefrau::N,bean chéile,épouse
283,Freude::N,áthas,joie
284,Freude::N,áthas,plaisir
285,Gelächter::N,gáire,rires
286,Glück::N,séan,bonheur
287,Glück::N,sonas,bonheur
288,Kummer::N,brón,peine
289,Kummer::N,brón,chagrin
290,Kummer::N,buairt,peine
291,Kummer::N,buairt,chagrin
292,Wunsch::N,guí,désir
