,Concept_ID,fi,hi
0,Auge::N,silmä,आँख
1,Auge::N,silmä,चक्षु
2,Ohr::N,korva,कान
3,Ohr::N,korva,कर्ण
4,Nase::N,nenä,नाक
5,Nase::N,nenä,नासा
6,Mund::N,suu,मुख
7,Mund::N,suu,मुँह
8,Zahn::N,hammas,दंत
9,Zahn::N,hammas,दाँत
10,Zunge::N,kieli,जीभ
11,Zunge::N,kieli,ज़बान
12,Zunge::N,kieli,जिह्वा
13,Lippe::N,huuli,ओंठ
14,Lippe::N,huuli,होंठ
15,Wange::N,poski,गाल
16,Wange::N,poski,कपोल
17,Gesicht::N,naama,मुँह
18,Gesicht::N,naama,चेहरा
19,Gesicht::N,kasvot,मुँह
20,Gesicht::N,kasvot,चेहरा
21,Stirn::N,otsa,माथा
22,Stirn::N,otsa,मस्तक
23,Haar::N,hius,बाल
24,Haar::N,tukka,बाल
25,Schnurrbart::N,viikset,मूँछें
26,Bart::N,parta,दाढ़ी
27,Kinn::N,leuka,चिबुक
28,Kiefer[Anatomie]::N,leukaluu,जबड़ा
29,Kehle::N,kurkku,गला
30,Hals::N,kaula,गला
31,Hals::N,kaula,गरदन
32,Genick::N,niska,गरदन
33,Genick::N,niska,ग्रीवा
34,Kopf::N,pää,सिर
35,Kopf::N,pää,शीर्ष
36,Rücken::N,selkä,पीठ
37,Bauch::N,maha,उदर
38,Bauch::N,vatsa,उदर
39,Nabel::N,napa,नाभि
40,Nabel::N,napa,ढोंढी
41,Busen::N,rinta,कुच
42,Busen::N,rinta,स्तन
43,Brust::N,rinta,वक्ष
44,Schulter::N,olka,कंधा
45,Schulter::N,olka,स्कंध
46,Schulter::N,hartia,कंधा
47,Schulter::N,hartia,स्कंध
48,Schulter::N,olkapää,कंधा
49,Schulter::N,olkapää,स्कंध
50,Arm::N,käsivarsi,बाँह
51,Arm::N,käsivarsi,बाज़ू
52,Ellenbogen::N,kyynärpää,कुहनी
53,Hand::N,käsi,हाथ
54,Hand::N,käsi,हस्त
55,Handfläche::N,kämmen,हथेली
56,Finger::N,sormi,उँगली
57,Finger::N,sormi,अँगुली
58,Fingernagel::N,kynsi,नख
59,Fingernagel::N,kynsi,नाख़ून
60,Nagel[Anatomie]::N,kynsi,नख
61,Nagel[Anatomie]::N,kynsi,नाख़ून
62,Zeh::N,varvas,उँगली
63,Zeh::N,varvas,पाँव की उँगली
64,Fuß::N,jalka,चरण
65,Fuß::N,jalka,पाँव
66,Ferse::N,kantapää,एड़ी
67,Knie::N,polvi,जानु
68,Knie::N,polvi,घुटना
69,Oberschenkel::N,reisi,उरु
70,Bein::N,jalka,टाँग
71,Körper::N,keho,तन
72,Körper::N,keho,देह
73,Körper::N,keho,शरीर
74,Körper::N,ruumis,तन
75,Körper::N,ruumis,देह
76,Körper::N,ruumis,शरीर
77,Haut::N,iho,चर्म
78,Haut::N,iho,त्वचा
79,Blut::N,veri,लहू
80,Blut::N,veri,ख़ून
81,Ader::N,suoni,रग
82,Ader::N,suoni,शिरा
83,Sehne::N,jänne,कंडरा
84,Sehne::N,jänne,स्नायु
85,Knochen::N,luu,अस्थि
86,Gehirn::N,aivot,दिमाग़
87,Gehirn::N,aivot,मस्तिष्क
88,Herz::N,sydän,दिल
89,Herz::N,sydän,हृदय
90,Magen::N,maha,मेदा
91,Magen::N,maha,अमाशय
92,Magen::N,vatsa,मेदा
93,Magen::N,vatsa,अमाशय
94,Leber::N,maksa,जिगर
95,Leber::N,maksa,यकृत्
96,Atem::N,henki,दम
97,Atem::N,henki,साँस
98,Atem::N,henki,श्वास
99,Atem::N,hengitys,दम
100,Atem::N,hengitys,साँस
101,Atem::N,hengitys,श्वास
102,Hunger::N,nälkä,भूख
103,Hunger::N,nälkä,क्षुधा
104,Träne::N,kyynel,आँसू
