,Concept_ID,pt,et
0,Auge::N,olho,silm
1,Ohr::N,orelha,kõrv
2,Nase::N,nariz,nina
3,Mund::N,boca,suu
4,Zahn::N,dente,hammas
5,Zunge::N,língua,keel
6,Lippe::N,lábio,huul
7,Wange::N,face,põsk
8,Gesicht::N,cara,nägu
9,Gesicht::N,rosto,nägu
10,Stirn::N,testa,otsmik
11,Haar::N,cabelo,juus
12,Schnurrbart::N,bigode,vurrud
13,Schnurrbart::N,bigode,vuntsid
14,Bart::N,barba,habe
15,Kinn::N,queixo,lõug
16,Kiefer[Anatomie]::N,maxila,lõualuu
17,Kiefer[Anatomie]::N,mandíbula,lõualuu
18,Kehle::N,garganta,kõri
19,Hals::N,colo,kael
20,Hals::N,pescoço,kael
21,Genick::N,nuca,kukal
22,Kopf::N,cabeça,pea
23,Rücken::N,dorso,selg
24,Rücken::N,costas,selg
25,Bauch::N,ventre,kõht
26,Bauch::N,barriga,kõht
27,Nabel::N,umbigo,naba
28,Busen::N,seio,rind
29,Brust::N,peito,rind
30,Schulter::N,ombro,õlg
31,Arm::N,braço,käsivars
32,Ellenbogen::N,cotovelo,küünarnukk
33,Hand::N,mão,käsi
34,Handfläche::N,palma,pihk
35,Handfläche::N,palma da mão,pihk
36,Finger::N,dedo,sõrm
37,Fingernagel::N,unha,küüs
38,Nagel[Anatomie]::N,unha,küüs
39,Zeh::N,dedo do pé,varvas
40,Fuß::N,pé,jalg
41,Ferse::N,calcanhar,kand
42,Knie::N,joelho,põlv
43,Oberschenkel::N,coxa,reis
44,Bein::N,perna,jalg
45,Körper::N,corpo,ihu
46,Körper::N,corpo,keha
47,Haut::N,pele,nahk
48,Blut::N,sangue,veri
49,Ader::N,veia,veen
50,Sehne::N,tendão,kõõlus
51,Knochen::N,osso,luu
52,Gehirn::N,cérebro,aju
53,Herz::N,coração,süda
54,Magen::N,estômago,magu
55,Leber::N,fígado,maks
56,Atem::N,fôlego,hingeõhk
57,Atem::N,fôlego,hingamine
58,Hunger::N,fome,nälg
59,Träne::N,lágrima,pisar
60,Geschmack::N,gosto,maitse
61,Geruch::N,odor,lõhn
62,Geruch::N,cheiro,lõhn
63,Schlaf::N,sono,uni
64,Traum::N,sonho,unenägu
65,Himmel::N,céu,taevas
66,Sonne::N,sol,päike
67,Mond::N,lua,kuu
68,Stern::N,estrela,täht
69,Luft::N,ar,õhk
70,Wind::N,vento,tuul
71,Welle::N,onda,laine
72,Wasser::N,água,vesi
73,Stein::N,pedra,kivi
74,Boden::N,solo,maa
75,Boden::N,solo,pinnas
76,Erde::N,terra,maa
77,Staub::N,pó,põrm
78,Rauch::N,fumo,suits
79,Funke::N,faísca,säde
80,Funke::N,centelha,säde
