,Concept_ID,ku,uk
0,Auge::N,çav,око
1,Ohr::N,guh,вухо
2,Nase::N,bêvil,ніс
3,Mund::N,dev,рот
4,Zahn::N,didan,зуб
5,Zunge::N,ziman,язик
6,Lippe::N,lêv,губа
7,Wange::N,dêm,щока
8,Wange::N,hinarik,щока
9,Gesicht::N,rû,обличчя
10,Stirn::N,enî,лоб
11,Haar::N,por,волосся
12,Schnurrbart::N,simbêl,вуса
13,Bart::N,rih,борода
14,Kinn::N,zenî,підборіддя
15,Kiefer[Anatomie]::N,arguşk,щелепа
16,Kehle::N,qirik,горло
17,Hals::N,stû,шия
18,Hals::N,qirik,шия
19,Genick::N,stû,потилиця
20,Kopf::N,serî,голова
21,Rücken::N,pişt,спина
22,Bauch::N,ûr,живіт
23,Bauch::N,zik,живіт
24,Nabel::N,navik,пупок
25,Busen::N,sîng,груди
26,Brust::N,sîng,груди
27,Schulter::N,mil,плече
28,Arm::N,çepil,рука
29,Ellenbogen::N,enîşk,лікоть
30,Hand::N,dest,рука
31,Handfläche::N,kefadest,долоня
32,Finger::N,tilî,палець
33,Fingernagel::N,neynuk,ніготь
34,Nagel[Anatomie]::N,bizmar,ніготь
35,Zeh::N,tilî linga,палець на нозі
36,Fuß::N,ling,нога
37,Ferse::N,pahnî,п’ятка
38,Knie::N,kabok,коліно
39,Oberschenkel::N,rahn,стегно
40,Bein::N,çip,нога
41,Körper::N,laş,тіло
42,Körper::N,gowde,тіло
43,Haut::N,çerm,шкіра
44,Blut::N,xwîn,кров
45,Ader::N,reh,вена
46,Sehne::N,reh,сухожилля
47,Knochen::N,hestî,кістка
48,Gehirn::N,mêjî,мозок
49,Herz::N,dil,серце
50,Magen::N,navêş,шлунок
51,Leber::N,kezeb,печінка
52,Atem::N,hilm,дихання
53,Hunger::N,birçîtî,голод
54,Träne::N,hêstir,сльоза
55,Geschmack::N,tam,смак
56,Geruch::N,bêhn,запах
57,Schlaf::N,xew,сон
58,Schlaf::N,xew,сплячка
59,Traum::N,xewn,сон
60,Himmel::N,ezman,небо
61,Sonne::N,roj,сонце
62,Mond::N,heyv,місяць
63,Stern::N,stêrk,зірка
64,Luft::N,ba,повітря
