,Concept_ID,it,az
0,Auge::N,occhio,göz
1,Ohr::N,orecchio,qulaq
2,Nase::N,naso,burun
3,Mund::N,bocca,ağız
4,Zahn::N,dente,diş
5,Zunge::N,lingua,dil
6,Lippe::N,labbro,dodaq
7,Wange::N,guancia,yanaq
8,Gesicht::N,viso,üz
9,Gesicht::N,faccia,üz
10,Stirn::N,fronte,alın
11,Haar::N,capello,saç
12,Schnurrbart::N,baffi,bığ
13,Schnurrbart::N,mustacchi,bığ
14,Bart::N,barba,saqqal
15,Kinn::N,mento,çənə
16,Kiefer[Anatomie]::N,mascella,çənə
17,Kehle::N,gola,boğaz
18,Hals::N,collo,boyun
19,Genick::N,nuca,ənsə
20,Kopf::N,capo,baş
21,Kopf::N,testa,baş
22,Rücken::N,dorso,bel
23,Rücken::N,schiena,bel
24,Bauch::N,ventre,qarın
25,Nabel::N,ombelico,göbək
26,Busen::N,seno,məmə
27,Brust::N,petto,döş
28,Schulter::N,spalla,çiyin
29,Arm::N,braccio,qol
30,Ellenbogen::N,gomito,dirsək
31,Hand::N,mano,əl
32,Handfläche::N,palma,ovuc
33,Finger::N,dito,barmaq
34,Fingernagel::N,unghia,barmaq dırnağı
35,Nagel[Anatomie]::N,unghia,dırnak
36,Zeh::N,dito del piede,ayaq barmağı
37,Fuß::N,piede,ayaq
38,Ferse::N,tallone,daban
39,Ferse::N,calcagno,daban
40,Knie::N,ginocchio,diz
41,Oberschenkel::N,fèmore,bud
42,Bein::N,gamba,qıç
43,Körper::N,corpo,əndam
44,Haut::N,pelle,dəri
45,Blut::N,sangue,qan
46,Ader::N,vena,damar
47,Sehne::N,tèndine,vətər
48,Knochen::N,osso,sümük
49,Gehirn::N,cervello,beyin
50,Herz::N,cuore,ürək
51,Magen::N,stòmaco,mədə
52,Leber::N,fegato,qara ciyər
53,Atem::N,fiato,nəfəs
54,Atem::N,respiro,nəfəs
55,Hunger::N,fame,aclıq
56,Träne::N,làcrima,göz yaşı
57,Geschmack::N,gusto,tam
58,Geschmack::N,gusto,ləzzət
59,Geschmack::N,sapore,tam
60,Geschmack::N,sapore,ləzzət
61,Geruch::N,odore,qoxu
62,Schlaf::N,sonno,yuxu
63,Traum::N,sogno,röya
64,Himmel::N,cielo,göy
65,Himmel::N,cielo,səma
66,Sonne::N,sole,günəş
67,Mond::N,luna,ay
68,Stern::N,stella,ulduz
69,Luft::N,aria,hava
70,Wind::N,vento,yel
71,Wind::N,vento,külək
72,Welle::N,onda,dalğa
73,Wasser::N,acqua,su
74,Stein::N,sasso,daş
75,Stein::N,pietra,daş
76,Boden::N,suolo,yer
77,Boden::N,suolo,zəmin
78,Boden::N,terreno,yer
79,Boden::N,terreno,zəmin
80,Erde::N,terra,yer torpaq
81,Staub::N,polvere,toz
82,Rauch::N,fumo,tüstü
83,Funke::N,scintilla,qığılcım
84,Feuer::N,fuoco,od
85,Licht::N,luce,işıq
86,Schatten::N,ombra,kölgə
87,Wetter::N,tempo,hava
88,Nebel::N,nebbia,duman
89,Wolke::N,nube,bulud
90,Wolke::N,nùvola,bulud
91,Regen::N,pioggia,yağış
92,Regen::N,pioggia,yağmur
93,Schnee::N,neve,qar
94,Eis::N,ghiaccio,buz
95,Frost::N,gelo,ayaz
96,Kälte::N,freddo,soyuq
97,Hitze::N,caldo,coşğunluq
98,Hitze::N,calura,coşğunluq
99,Raureif::N,brina,qırov
100,Regenbogen::N,arcobaleno,göy qurşağı
101,Donner::N,tuono,göy gurultusu
102,Strömung::N,corrente,axın
103,Tropfen::N,goccia,damcı
104,Schaum::N,spuma,köpük
105,Schaum::N,schiuma,köpük
106,Schmutz::N,sudiciume,çamır
107,See::N,lago,göl
108,Sumpf::N,palude,bataqlıq
109,Moor::N,torbiera,bataqlıq
110,Wiese::N,prato,çəmən
111,Wald::N,bosco,meşə
112,Wald::N,foresta,meşə
113,Hügel::N,colle,təpə
114,Hügel::N,collina,təpə
115,Anhöhe::N,altura,təpə
116,Berg::N,monte,dağ
117,Berg::N,montagna,dağ
118,Gipfel::N,cima,zirvə
119,Höhle::N,grotta,mağara
120,Höhle::N,caverna,mağara
121,Abhang::N,pendìo,yamac
122,Quelle::N,sorgente,bulaq
123,Bach::N,ruscello,kiçik çay
124,Fluss::N,fiume,çay
125,Ufer::N,riva,kənar
126,Küste::N,costa,sahil
127,Festland::N,terraferma,materik
128,Meer::N,mare,dəniz
129,Bucht::N,cala,körfəz
130,Insel::N,ìsola,ada
131,Blume::N,fiore,çiçək
132,Gras::N,erba,ot
133,Wurzel::N,radice,kök
134,Baum::N,àlbero,ağac
135,Stamm::N,tronco,gövdə
136,Rinde::N,corteccia,qabıq
137,Ast::N,ramo,şax
138,Zweig::N,ramo,budaq
139,Blatt::N,foglia,yarpaq
140,Birke::N,betulla,tozağacı
141,Kiefer[Baum]::N,pino,şam
142,Weide[Baum]::N,sàlice,söyüd
143,Tanne::N,abete,küknar
144,Horn::N,corno,buynuz
145,Feder::N,penna,tük
146,Feder::N,penna,lələk
147,Fell::N,manto,xəz
148,Fell::N,pelame,xəz
149,Flügel::N,ala,qanad
150,Klaue::N,grinfia,pəncə
151,Kralle::N,unghia,dırnaq
152,Kralle::N,artiglio,dırnaq
153,Schwanz::N,coda,quyruq
154,Ei::N,uovo,yumurta
155,Nest::N,nido,yuva
156,Bau::N,covo,yuva
157,Tier::N,bestia,heyvan
158,Tier::N,animale,heyvan
159,Herde::N,gregge,sürü
160,Kuh::N,vacca,inək
161,Bulle::N,toro,öküz
162,Pferd::N,cavallo,at
163,Schaf::N,pècora,qoyun
164,Schwein::N,porco,donuz
165,Schwein::N,maiale,donuz
166,Hund::N,cane,it
167,Hund::N,cane,köpək
168,Katze::N,gatta,pişik
169,Bär::N,orso,ayı
170,Eichhörnchen::N,scoiàttolo,dələ
171,Elch::N,alce,sığın
172,Fuchs::N,volpe,tülkü
173,Hase::N,lepre,dovşan
174,Maus::N,topo,siçan
175,Maus::N,sorcio,siçan
176,Wolf::N,lupo,qurd
177,Vogel::N,uccello,quş
178,Schwarm::N,stormo,sürü
179,Huhn::N,gallina,toyuq
180,Hahn::N,gallo,xoruz
181,Gans::N,oca,qaz
182,Adler::N,àquila,qartal
183,Adler::N,àquila,qaraquş
184,Ente::N,ànatra,ördək
185,Eule::N,gufo,bayquş
186,Eule::N,civetta,bayquş
187,Kranich::N,gru,durna
