,Concept_ID,,ga
0,Auge::N,,súil
1,Ohr::N,,cluas
2,Nase::N,,soc
3,Mund::N,,béal
4,Zahn::N,,fiacail
5,Zunge::N,,teanga
6,Lippe::N,,liopa
7,Wange::N,,grua
8,Wange::N,,leiceann
9,Gesicht::N,,éadan
10,Gesicht::N,,aghaidh
11,Stirn::N,,baithis
12,Stirn::N,,clár éadain
13,Haar::N,,gruaig
14,Schnurrbart::N,,croiméal
15,Bart::N,,féasóg
16,Kinn::N,,smig
17,Kiefer[Anatomie]::N,,giall
18,Kehle::N,,scornach
19,Hals::N,,muinéal
20,Genick::N,,baic
21,Kopf::N,,ceann
22,Rücken::N,,droim
23,Bauch::N,,bolg
24,Nabel::N,,imleacán
25,Busen::N,,cíoch
26,Brust::N,,brollach
27,Schulter::N,,gualainn
28,Arm::N,,lámh
29,Ellenbogen::N,,uillinn
30,Hand::N,,lámh
31,Handfläche::N,,bos
32,Finger::N,,méar
33,Fingernagel::N,,ionga
34,Nagel[Anatomie]::N,,ionga
35,Zeh::N,,ladhar
36,Fuß::N,,cos
37,Fuß::N,,troigh
38,Ferse::N,,sáil
39,Knie::N,,glúin
40,Oberschenkel::N,,ceathrú
41,Bein::N,,cos
42,Körper::N,,corp
43,Körper::N,,colainn
44,Haut::N,,cneas
45,Haut::N,,craiceann
46,Blut::N,,fuil
47,Sehne::N,,teannán
48,Sehne::N,,féitheog
49,Knochen::N,,cnámh
50,Gehirn::N,,inchinn
51,Herz::N,,croí
52,Magen::N,,bolg
53,Magen::N,,goile
54,Leber::N,,ae
55,Atem::N,,anáil
56,Hunger::N,,ocras
57,Träne::N,,deoir
58,Geschmack::N,,blas
59,Geruch::N,,boladh
60,Schlaf::N,,suan
61,Schlaf::N,,codladh
62,Traum::N,,taibhreamh
63,Himmel::N,,spéir
64,Sonne::N,,grian
65,Mond::N,,ré
66,Mond::N,,gealach
67,Stern::N,,rinn
68,Stern::N,,réalta
69,Luft::N,,aer
70,Wind::N,,gaoth
71,Welle::N,,tonn
72,Wasser::N,,uisce
73,Stein::N,,cloch
74,Boden::N,,talamh
75,Erde::N,,cré
76,Erde::N,,ithir
77,Staub::N,,dusta
78,Staub::N,,deannach
79,Rauch::N,,toit
80,Rauch::N,,deatach
81,Funke::N,,drithle
82,Feuer::N,,tine
83,Licht::N,,solas
84,Schatten::N,,scáth
85,Wetter::N,,aimsir
86,Nebel::N,,ceo
87,Wolke::N,,néal
88,Wolke::N,,scamall
89,Regen::N,,báisteach
90,Regen::N,,fearthainn
91,Schnee::N,,sneachta
92,Eis::N,,oighear
93,Frost::N,,sioc
94,Kälte::N,,fuacht
95,Hitze::N,,teas
96,Hitze::N,,teocht
97,Raureif::N,,sioc bán
98,Regenbogen::N,,stua ceatha
99,Regenbogen::N,,bogha báistí
100,Donner::N,,toirneach
101,Strömung::N,,sruth
102,Tropfen::N,,deoir
103,Schaum::N,,cúr
104,Schmutz::N,,salachar
105,See::N,,loch
106,Sumpf::N,,portach
107,Moor::N,,caorán
108,Moor::N,,móinteán
109,Wiese::N,,cluain
110,Wiese::N,,móinéar
111,Wald::N,,coill
112,Wald::N,,foraois
113,Hügel::N,,ard
114,Anhöhe::N,,ard
115,Anhöhe::N,,ardán
116,Berg::N,,sliabh
117,Gipfel::N,,barr
118,Gipfel::N,,mullach
119,Höhle::N,,uaimh
120,Höhle::N,,pluais
121,Abhang::N,,fána
122,Quelle::N,,foinse
123,Bach::N,,sruthán
124,Fluss::N,,abhainn
125,Ufer::N,,bruach
126,Küste::N,,cósta
127,Küste::N,,cladach
128,Festland::N,,míntír
129,Meer::N,,muir
130,Meer::N,,farraige
131,Bucht::N,,bá
132,Bucht::N,,cuan
133,Insel::N,,inis
134,Insel::N,,oileán
135,Blume::N,,bláth
136,Gras::N,,féar
137,Wurzel::N,,rúta
138,Wurzel::N,,fréamh
139,Baum::N,,crann
140,Stamm::N,,stoc
141,Stamm::N,,tamhan
142,Rinde::N,,coirt
143,Rinde::N,,craiceann
144,Ast::N,,géag
145,Zweig::N,,géag
146,Zweig::N,,craobh
147,Blatt::N,,duille
148,Blatt::N,,duilleog
149,Birke::N,,beith
150,Birke::N,,crann beithe
151,Kiefer[Baum]::N,,péine
152,Weide[Baum]::N,,saileach
153,Tanne::N,,giúis
154,Horn::N,,adharc
155,Feder::N,,cleite
156,Fell::N,,clúmh
157,Flügel::N,,eite
158,Flügel::N,,sciathán
159,Klaue::N,,crúb
160,Klaue::N,,crobh
161,Kralle::N,,crobh
162,Schwanz::N,,eireaball
163,Ei::N,,ubh
164,Nest::N,,nead
165,Bau::N,,brocais
166,Tier::N,,ainmhí
167,Tier::N,,beithíoch
168,Herde::N,,tréad
169,Kuh::N,,bó
170,Bulle::N,,tarbh
171,Pferd::N,,each
172,Pferd::N,,capall
173,Schaf::N,,caora
174,Schwein::N,,muc
175,Hund::N,,madra
176,Katze::N,,cat
177,Bär::N,,béar
178,Eichhörnchen::N,,iora
179,Elch::N,,eilc
180,Fuchs::N,,sionnach
181,Fuchs::N,,madra rua
182,Hase::N,,giorria
183,Maus::N,,luch
184,Wolf::N,,mac tíre
185,Vogel::N,,éan
186,Schwarm::N,,saithe
187,Huhn::N,,cearc
188,Hahn::N,,coileach
189,Gans::N,,gé
190,Adler::N,,iolar
191,Ente::N,,lacha
192,Eule::N,,ulchabhán
193,Kranich::N,,grús
194,Krähe::N,,caróg
195,Krähe::N,,préachán
196,Kuckuck::N,,cuach
197,Schwan::N,,eala
198,Fisch::N,,iasc
199,Barsch::N,,péirse
200,Hecht::N,,liús
201,Schlange[Tier]::N,,nathair
202,Wurm::N,,péist
203,Spinne::N,,damhán alla
204,Ameise::N,,seangán
205,Laus::N,,míol
206,Mücke::N,,muiscít
207,Mücke::N,,corrmhíol
208,Fliege::N,,cuil
209,Fliege::N,,cuileog
210,Schmetterling::N,,féileacán
211,Beere::N,,caor
212,Apfel::N,,úll
213,Pilz::N,,beacán
214,Pilz::N,,muisiriún
215,Zwiebel::N,,oinniún
216,Saat::N,,síol
217,Korn::N,,gráinne
218,Heu::N,,féar
219,Schale::N,,scaimh
220,Grube::N,,poll
221,Falle::N,,gaiste
222,Schlinge::N,,sealán
223,Spur::N,,rian
224,Asche::N,,luaith
225,Dreck::N,,salachar
226,Eisen::N,,iarann
227,Gold::N,,ór
228,Silber::N,,airgead
229,Kohle::N,,gual
230,Glas::N,,gloine
231,Lehm::N,,cré
232,Sand::N,,gaineamh
233,Mensch::N,,duine
234,Mann::N,,fear
235,Frau::N,,bean
236,Kind::N,,gasúr
237,Kind::N,,páiste
238,Junge::N,,buachaill
239,Mädchen::N,,cailín
240,Familie::N,,teaghlach
241,Familie::N,,comhluadar
242,Großvater::N,,seanathair
243,Großmutter::N,,seanmháthair
244,Eltern::N,,tuismitheoirí
245,Vater::N,,athair
246,Mutter::N,,máthair
247,Sohn::N,,mac
248,Tochter::N,,iníon
249,Bruder::N,,deartháir
250,Schwester::N,,deirfiúr
251,Onkel::N,,uncail
252,Tante::N,,aintín
253,Ehemann::N,,fear céile
254,Ehefrau::N,,bean chéile
255,Freude::N,,áthas
256,Gelächter::N,,gáire
257,Glück::N,,séan
258,Glück::N,,sonas
259,Kummer::N,,brón
260,Kummer::N,,buairt
261,Wunsch::N,,guí
262,Wunsch::N,,achainí
263,Lust::N,,fonn
264,Geist::N,,meon
265,Geist::N,,spiorad
266,Gedanke::N,,smaoineamh
267,Gedächtnis::N,,cuimhne
268,Verstand::N,,ciall
269,Verstand::N,,intinn
270,Sinn::N,,brí
271,Sinn::N,,ciall
272,Grund::N,,fáth
273,Wahrheit::N,,fírinne
274,Gespräch::N,,comhrá
275,Märchen::N,,scéal
276,Erzählung::N,,scéal
277,Nachricht::N,,teachtaireacht
278,Neuigkeit::N,,scéala
279,Name::N,,ainm
280,Rätsel::N,,tomhas
281,Rede::N,,óráid
282,Rede::N,,aitheasc
283,Sprache::N,,teanga
284,Stimme::N,,guth
285,Wort::N,,focal
286,Zeichen::N,,comhartha
287,Ruf::N,,glaoch
288,Lärm::N,,torann
289,Laut::N,,fuaim
290,Ton::N,,ton
291,Lied::N,,amhrán
292,Ruhe::N,,suaimhneas
293,Leute::N,,muintir
294,Volk::N,,pobal
295,Arbeit::N,,obair
296,Gast::N,,aoi
297,Geschenk::N,,féirín
298,Geschenk::N,,bronntanas
299,Spiel::N,,cluiche
300,Gesellschaft::N,,comhluadar
301,Hilfe::N,,cúnamh
302,Hilfe::N,,cabhair
303,Freund::N,,cara
304,Kamerad::N,,comrádaí
305,Angelegenheit::N,,ábhar
306,Anzahl::N,,líon
307,Art::N,,sórt
308,Art::N,,saghas
309,Stück::N,,píosa
310,Teil::N,,cuid
311,Teil::N,,páirt
312,Hälfte::N,,leath
313,Kreis::N,,ciorcal
