,Concept_ID,ta,be
0,Auge::N,கண்,вока
1,Ohr::N,காது,вуха
2,Nase::N,மூக்கு,нос
3,Mund::N,வாய்,рот
4,Zahn::N,பல்,зуб
5,Zunge::N,நாக்கு,язык
6,Lippe::N,உதடு,губа
7,Wange::N,கன்னம்,шчака
8,Gesicht::N,முகம்,твар
9,Stirn::N,முன்னெற்றி,лоб
10,Haar::N,முடி,волас
11,Haar::N,முடி,валасы
12,Schnurrbart::N,மீசை,вус
13,Schnurrbart::N,மீசை,вусы
14,Bart::N,தாடி,барада
15,Kinn::N,கீழதாடை,падбародак
16,Kiefer[Anatomie]::N,தாடை,сківіца
17,Kehle::N,தொண்டை,горла
18,Hals::N,கழுத்து,шыя
19,Genick::N,கழுத்து,патыліца
20,Kopf::N,தலை,галава
21,Rücken::N,முதுகு,спіна
22,Bauch::N,வயிறு,жывот
23,Nabel::N,தொப்புள்,пупок
24,Busen::N,மார்பகம்,грудзі
25,Brust::N, மார்பு,грудзі
26,Schulter::N,தோள்பட்டை,плячо
27,Arm::N,கரம்,рука
28,Ellenbogen::N,முழங்கை,локаць
29,Hand::N,கை,кісць
30,Handfläche::N,உள்ளங்கை,далонь
31,Finger::N,விரல்,палец
32,Fingernagel::N,விரல் நகம்,ногаць
33,Nagel[Anatomie]::N,நகம்,ногаць
34,Zeh::N,கால்விரல்,палец
35,Fuß::N,கால்,нага
36,Ferse::N,குதிகால்,пята
37,Ferse::N,குதிகால்,пятка
38,Knie::N,முழங்கால்,калена
39,Oberschenkel::N,தொடை,бядро
40,Oberschenkel::N,தொடை,сцягно
41,Bein::N,கால்,нага
42,Körper::N,உடல்,цела
43,Haut::N,சருமம்,скура
44,Blut::N,இரத்தம்,кроў
45,Ader::N,நாளம்,вена
46,Ader::N,நாளம்,сасуд
47,Sehne::N,தசைநார்,жыла
48,Sehne::N,தசைநார்,цеціва
49,Sehne::N,தசைநார்,сухажылле
50,Knochen::N,எலுமபு,косць
51,Gehirn::N,மூனை,мозг
52,Herz::N,இதயம,сэрца
53,Magen::N,வயிறு,страўнік
54,Leber::N,கல்லீரல்,печань
55,Atem::N,மூச்சு,дыханне
56,Hunger::N,பசி,голад
57,Träne::N,கண்ணீர்,сляза
58,Geschmack::N,நறுமணம்,смак
59,Geruch::N,துர்நாற்றம்,пах
60,Schlaf::N,தூக்கம்,сон
61,Traum::N,கனவு,сон
62,Himmel::N,வானம்,неба
63,Sonne::N,சூரியன்,сонца
64,Mond::N,சந்திரன்,месяц
65,Stern::N,நட்சத்திரம்,зорка
66,Luft::N,காறறு,паветра
67,Wind::N,காற்று,вецер
68,Welle::N,அலை,хваля
69,Wasser::N,நீர்,вада
70,Stein::N,கல்,камень
71,Boden::N,தரை,глеба
72,Erde::N,மண்,зямля
73,Staub::N,தூசி,пыл
74,Rauch::N,புகை,дым
75,Funke::N,தீப்பொறி,іскра
76,Feuer::N,தீ,агонь
77,Licht::N,வெளிச்சம்,святло
78,Schatten::N,நிழல்,цень
79,Wetter::N,வானிலை,пагода
80,Wetter::N,வானிலை,надворʼе
81,Nebel::N,பனிமூட்டம்,туман
82,Wolke::N,மேகம்,воблака
83,Regen::N,மழை,дождж
84,Schnee::N,உறைபனி,снег
85,Eis::N,பனிக்கட்டி,лёд
86,Frost::N,உறைபனி,мароз
87,Kälte::N,குளிர்ந்த,холад
88,Hitze::N,சூடு,спёка
89,Raureif::N,உறைபனி வெண்திரை,іней
90,Regenbogen::N,வானவில்,вясёлка
91,Donner::N,இடி,гром
92,Strömung::N,நீரோட்டம்,цячэнне
93,Tropfen::N,துளி,кропля
94,Schaum::N,நுரை,пена
95,Schmutz::N,அழுக்கு,гразь
96,See::N,ஏரி,возера
97,Sumpf::N,சதுப்பு நிலம்,багна
98,Moor::N,முட்புதற்காடு,балота
99,Wiese::N,பசும் புல்தரை,луг
100,Wald::N,காடு,лес
101,Hügel::N,குன்று,узгорак
102,Anhöhe::N,பதுக்கை,узвышша
103,Berg::N,மலை,гара
104,Gipfel::N,உச்சி மாநாடு,вяршыня
105,Höhle::N,குகை,пячора
106,Abhang::N,சரிவு,схіл
107,Quelle::N,மூலம்,крыніца
108,Bach::N,ஓடை,ручай
109,Fluss::N,ஆறு,рака
110,Ufer::N,நீர்க்கரை,бераг
111,Küste::N,கடற்கரை,узбярэжжа
112,Festland::N,நிலம்,суша
113,Meer::N,கடல்,мора
114,Bucht::N,சிறுகுடா,бухта
115,Insel::N,தீவு,востраў
116,Blume::N,பூ,кветка
117,Gras::N,புல்தரை,трава
118,Wurzel::N,வேர்,корань
119,Baum::N,மரம்,дрэва
120,Stamm::N,அடிமரம்,ствол
121,Rinde::N,பட்டை,кара
122,Rinde::N,மரப்பட்டை,кара
123,Ast::N,கினை,сук
124,Zweig::N,குச்சி,галіна
125,Blatt::N,இலை,ліст
126,Birke::N,பிர்ச் மரம்,бяроза
127,Kiefer[Baum]::N,தேவதாரு மரம்,хвоя
128,Kiefer[Baum]::N,தேவதாரு மரம்,сасна
129,Weide[Baum]::N,மர வகைகளுள் ஒன்று,вярба
130,Tanne::N,சாதிக்கய்,яліна
131,Horn::N,கொம்பு,рог
132,Feder::N,இறகு,пяро
133,Fell::N,மென்முடி,шкура
134,Flügel::N,இறக்கை,крыло
135,Klaue::N,நகம்,кіпцюр
136,Kralle::N,நகம்,лапа
137,Schwanz::N,வால்,хвост
