,Concept_ID,kv,cy
0,Auge::N,син,llygad
1,Ohr::N,пель,clust
2,Nase::N,ныр,trwyn
3,Mund::N,ӧм,ceg
4,Zahn::N,пинь,dant
5,Zunge::N,кыв,tafod
6,Lippe::N,тырп,gwefus
7,Wange::N,рожабан,boch
8,Gesicht::N,бан,wyneb
9,Stirn::N,кымӧс,talcen
10,Haar::N,юрси,blew
11,Schnurrbart::N,уссэз,mwstas
12,Bart::N,тош,barf
13,Kinn::N,тшӧка,gên
14,Kiefer[Anatomie]::N,ан,gên
15,Kehle::N,юан,gwddf
16,Hals::N,юан,gwddf
17,Genick::N,юр бӧр,gwar
18,Genick::N,юр бӧр,gwegil
19,Kopf::N,юр,pen
20,Rücken::N,мышк,cefn
21,Bauch::N,кынӧм,bol
22,Nabel::N,гӧг,bogail
23,Busen::N,морос,bron
24,Brust::N,морос,brest
25,Schulter::N,пельпон,ysgwydd
26,Arm::N,ки,braich
27,Ellenbogen::N,гырдзза,penelin
28,Hand::N,кикар,llaw
29,Handfläche::N,ки пыдӧс,palf
30,Finger::N,чунь,bys
31,Fingernagel::N,гыж,ewin
32,Nagel[Anatomie]::N,гыж,ewin
33,Zeh::N,чунь,bys troed
34,Fuß::N,кокпыдӧс,troed
35,Ferse::N,кокдзир,sawdl
36,Knie::N,пидзӧс,glin
37,Oberschenkel::N,лядьбей,clun
38,Bein::N,кок,coes
39,Körper::N,вывтыр,corff
40,Haut::N,кучик,croen
41,Blut::N,вир,gwaed
42,Ader::N,сӧн,gwythïen
43,Sehne::N,жила,gewyn
44,Knochen::N,коска,asgwrn
45,Gehirn::N,вем,ymennydd
46,Herz::N,сьӧлӧм,calon
47,Magen::N,жӧвдӧк,cylla
48,Magen::N,жӧвдӧк,stumog
49,Leber::N,мус,iau
50,Atem::N,лолалӧм,anadl
51,Hunger::N,тшыг,newyn
52,Träne::N,синва,deigryn
53,Geschmack::N,кӧр,cyflas
54,Geruch::N,дук,aroglau
55,Schlaf::N,он,cwsg
56,Traum::N,вӧт,breuddwyd
57,Himmel::N,небо,awyr
58,Sonne::N,шондi,haul
59,Mond::N,тӧлiсь,lleuad
60,Stern::N,кӧдзыв,seren
61,Luft::N,ру,awyr
62,Wind::N,тӧв,gwynt
63,Welle::N,гы,ton
64,Wasser::N,ва,dŵr
65,Stein::N,из,carreg
66,Boden::N,му,llawr
67,Erde::N,му,pridd
68,Staub::N,бус,llwch
69,Rauch::N,тшын,mwg
70,Funke::N,бичир,gwreichioni
71,Feuer::N,би,tân
72,Licht::N,би,golau
73,Schatten::N,вуджӧр,cysgod
74,Wetter::N,погоддя,tywydd
75,Nebel::N,туман,niwl
76,Wolke::N,кымӧр,cwmwl
77,Regen::N,зэр,glaw
78,Schnee::N,лым,ôd
79,Schnee::N,лым,eira
80,Eis::N,йы,iâ
81,Frost::N,мороз,rhew
82,Kälte::N,кӧдзыт,oerni
83,Kälte::N,кӧдзыт,annwyd
84,Hitze::N,ӧд,gwres
85,Raureif::N,кижа,barrug
86,Regenbogen::N,енӧшка,enfys
87,Donner::N,гым,tyrfau
88,Strömung::N,визывтӧм,cerrynt
89,Tropfen::N,тёп,dafn
90,Tropfen::N,тёп,diferyn
91,Schaum::N,быг,ewyn
92,Schmutz::N,нять,baw
93,Schmutz::N,нять,budreddi
94,See::N,ты,llyn
95,Sumpf::N,арай,cors
96,Moor::N,нюр,rhos
97,Wiese::N,видз,dôl
98,Wald::N,вӧр,coedwig
99,Hügel::N,мыльк,bryn
100,Anhöhe::N,вывтас,bryn
101,Anhöhe::N,вылынін,bryn
102,Berg::N,керӧс,mynydd
103,Gipfel::N,йыв,copa
104,Höhle::N,нора,ogof
105,Abhang::N,покат,llethr
106,Quelle::N,больган,tarddiad
107,Quelle::N,больган,ffynhonnell
108,Bach::N,шор,nant
