,Concept_ID,mdf,el
0,Auge::N,сельме,μάτι
1,Auge::N,сельме,οφθαλμός
2,Ohr::N,пиле,αυτί
3,Nase::N,шалхка,μύτη
4,Mund::N,курга,στόμα
5,Zahn::N,пей,δόντι
6,Zunge::N,кяль,γλώσσα
7,Lippe::N,търва́,χείλος
8,Wange::N,щёка,παρειά
9,Wange::N,щёка,μάγουλο
10,Gesicht::N,шама,πρόσωπο
11,Stirn::N,коня,μέτωπο
12,Haar::N,шя́ярь,μαλλιά
13,Schnurrbart::N,уса́,μουστάκι
14,Bart::N,сакал,γένια
15,Kinn::N,ула,πιγούνι
16,Kiefer[Anatomie]::N,саласка,σαγόνι
17,Kehle::N,кълдома,λαρύγγι
18,Kehle::N,кърга́парь,λαρύγγι
19,Hals::N,сялдаз,λαιμός
20,Genick::N,шовонь,σβέρκος
21,Kopf::N,пря,κεφάλι
22,Rücken::N,копорь,ράχη
23,Bauch::N,пеке,κοιλιά
24,Nabel::N,по́кон,αφαλός
25,Busen::N,потя,στήθος
26,Brust::N,мяште,στήθος
27,Schulter::N,лафту,ώμος
28,Arm::N,кядь,χέρι
29,Arm::N,кядь,μπράτςο
30,Ellenbogen::N,кенерьба́карь,αγκώνας
31,Hand::N,кядь,χέρι
32,Handfläche::N,кядьлапш,παλάμη
33,Finger::N,сур,δάχτυλο
34,Fingernagel::N,кенже,νύχι
35,Nagel[Anatomie]::N,кенже,νύχι
36,Zeh::N,пильгосу́р,δάχτυλο του ποδιού
37,Fuß::N,пильге,πόδι
38,Fuß::N,пильгелапа,πόδι
39,Ferse::N,кочкяря,φτέρνα
40,Knie::N,эль,γόνατο
41,Knie::N,пълма́нжа,γόνατο
42,Oberschenkel::N,пильгепукша,μηρός
43,Bein::N,пильге,πόδι
44,Körper::N,ро́нга,σώμα
45,Körper::N,ро́нга,κορμί
46,Körper::N,по́нда,σώμα
47,Körper::N,по́нда,κορμί
48,Haut::N,киське,πετσί
49,Blut::N,вер,αίμα
50,Ader::N,сан,φλέβα
51,Ader::N,верза́н,φλέβα
52,Sehne::N,коське сан,νεύρο
53,Sehne::N,коське сан,τένοντας
54,Knochen::N,пакарь,οστό
55,Knochen::N,пакарь,κόκκαλο
56,Gehirn::N,уй,μυαλό
57,Gehirn::N,уй,εγκέφαλος
58,Herz::N,седи,καρδιά
59,Magen::N,коткърдазь,στομάχι
60,Leber::N,макса,ήπαρ
61,Leber::N,макса,συκωτί
62,Atem::N,лекома,αναπνοή
63,Atem::N,ваймонь тарксема,αναπνοή
64,Hunger::N,вачеши,πείνα
65,Träne::N,сельмове́дь,δάκρυ
66,Geschmack::N,таньф,γεύση
67,Geruch::N,шине,οσμή
68,Geruch::N,шине,μυρωδία
69,Schlaf::N,удома́,ύπνος
70,Traum::N,он,όνειρο
71,Himmel::N,менель,ουρανός
72,Sonne::N,ши,ήλιος
73,Mond::N,ков,σελήνη
74,Mond::N,ков,φεγγάρι
75,Stern::N,тяште,άστρο
76,Stern::N,тяште,αστέρι
77,Luft::N,кожф,αέρας
78,Wind::N,варма,αέρας
79,Wind::N,варма,άνεμος
80,Welle::N,тавла,κύμα
81,Wasser::N,ведь,νερό
82,Stein::N,кев,πέτρα
83,Boden::N,мода,χώμα
84,Boden::N,потмакс,χώμα
85,Erde::N,мода,γη
86,Erde::N,мастор,γη
87,Staub::N,пуль,σκόνη
88,Rauch::N,качам,καπνός
89,Funke::N,ця́тка,σπίθα
90,Funke::N,ця́тка,σπινθήρας
91,Feuer::N,тол,φωτιά
92,Licht::N,ва́лда,φως
93,Schatten::N,цильф,σκιά
94,Schatten::N,цильф,ίσκιος
95,Wetter::N,уша,καιρός
96,Nebel::N,тума́н,ομίχλη
97,Wolke::N,ковол,σύννεφο
98,Regen::N,пизем,βροχή
99,Schnee::N,лов,χιόνι
100,Eis::N,эй,πάγος
101,Frost::N,ке́льме,παγωνία
102,Kälte::N,якшама,κρύο
103,Kälte::N,якшама,ψύχος
104,Hitze::N,пси,ζέστη
105,Raureif::N,леш,πάχνη
106,Regenbogen::N,а́тямъёнга,ουράνιο τόξο
107,Donner::N,атям,βροντή
108,Strömung::N,шудема́,ρεύμα
109,Tropfen::N,путькс,στάλα
110,Tropfen::N,пътняфкс,στάλα
111,Schaum::N,шов,αφρός
112,Schmutz::N,ърда́з,βρωμιά
113,See::N,эрьхке,λίμνη
114,Sumpf::N,шяй,βάλτος
115,Moor::N,шяй,έλος
116,Wiese::N,луга,λιβάδι
117,Wald::N,вирь,δάσος
118,Hügel::N,губо́р,λόφος
119,Hügel::N,пандоня,λόφος
120,Anhöhe::N,губо́р,ύψωμα
121,Berg::N,панда,όρος
122,Berg::N,панда,βουνό
123,Gipfel::N,пря,κορυφή
124,Höhle::N,у́нда,σπηλιά
125,Abhang::N,па́нда ша́ма,πλαγιά
126,Quelle::N,эшиня,πηγή
127,Quelle::N,эшиня,βρύση
128,Bach::N,шудерькс,ρυάκι
129,Fluss::N,ляй,ποτάμι
130,Fluss::N,ляй,ποταμός
131,Ufer::N,търва́,όχθη
132,Küste::N,ляйтърва́,ακτή
133,Küste::N,ляйтърва́,ακρογιαλιά
134,Festland::N,мода,στεριά
135,Meer::N,моря,θάλασσα
136,Bucht::N,ведьуське,κόλπος
137,Insel::N,цёнга,νησί
138,Insel::N,цёнга,νήσος
139,Blume::N,панчф,άνθος
140,Blume::N,панчф,λουλούδι
141,Gras::N,тише,χόρτο
142,Gras::N,тише,χορτάρι
143,Wurzel::N,юр,ρίζα
144,Wurzel::N,ункс,ρίζα
145,Baum::N,шуфта,δέντρο
146,Stamm::N,ро́нга,κορμός
147,Rinde::N,кер,φλούδα
148,Ast::N,морга,κλαδί
149,Zweig::N,тарад,κλαδί
150,Zweig::N,тарад,κλάδος
151,Blatt::N,лопа,φύλλο
152,Birke::N,ке́лу,σημύδα
153,Kiefer[Baum]::N,пиче,πεύκο
154,Weide[Baum]::N,каль,ιτιά
155,Tanne::N,куз,έλατο
156,Horn::N,сюра,κέρας
157,Horn::N,сюра,κέρατο
158,Feder::N,толга,φτερό
159,Fell::N,кедь,δέρμα
160,Fell::N,кедь,τομάρι
161,Flügel::N,паця,πτερύγιο
162,Klaue::N,кенже,κουλό
163,Kralle::N,кенже,νύχι
164,Schwanz::N,пула,ουρά
165,Ei::N,ал,αβγό
166,Nest::N,пиза,φωλιά
167,Bau::N,пиза,φωλιά
168,Tier::N,жува́та,ζώο
169,Herde::N,нал,κοπάδι
170,Herde::N,стада,κοπάδι
171,Kuh::N,скал,αγελάδα
172,Kuh::N,тракс,αγελάδα
173,Bulle::N,бука,ταύρος
174,Pferd::N,лишме,άλογο
175,Schaf::N,уча́,πρόβατο
176,Schwein::N,тува,γουρούνι
177,Hund::N,пине,σκυλί
178,Hund::N,пине,σκύλος
179,Katze::N,катоня,γάτα
180,Katze::N,аваката,γάτα
181,Bär::N,офта,άρκτος
182,Bär::N,офта,αρκούδα
183,Eichhörnchen::N,ур,βερβερίτσα
184,Elch::N,ся́рда,άλκη
185,Fuchs::N,келазь,αλεπού
186,Hase::N,ну́мол,λαγός
187,Maus::N,шеер,ποντικός
188,Wolf::N,върьгаз,λύκος
189,Vogel::N,нармонь,πουλί
190,Schwarm::N,ко́вол,σμήνος
191,Schwarm::N,ме́швеле,σμήνος
192,Huhn::N,сараз,κότα
193,Huhn::N,сараз,όρνιθα
194,Hahn::N,а́тякш,πετεινός
195,Gans::N,маци,χήνα
196,Adler::N,куцькан,αετός
197,Ente::N,яксярга,πάπια
198,Eule::N,ко́рож,κουκουβάγια
199,Kranich::N,ка́рга,γερανός
200,Krähe::N,ва́рси,καρακάξα
201,Kuckuck::N,ку́ку,κούκος
202,Schwan::N,ло́ксти,κύκνος
203,Fisch::N,кал,ψάρι
204,Barsch::N,о́кунь,πέρκα
205,Hecht::N,щу́ка,λούτσος
206,Schlange[Tier]::N,куй,φίδι
207,Wurm::N,сукс,σκουλήκι
208,Spinne::N,унжа́,αράχνη
209,Ameise::N,панжам,μυρμήγκι
210,Laus::N,си,ψείρα
211,Mücke::N,ся́ське,κουνούπι
212,Fliege::N,кару,μύγα
213,Schmetterling::N,ме́лав,πεταλούδα
214,Beere::N,и́мож,ρόγα
215,Apfel::N,марь,μήλο
216,Pilz::N,панга,μανιτάρι
217,Zwiebel::N,шурьхкя́,κρεμμύδι
218,Saat::N,видьмот,σπόρος
219,Korn::N,сёра,σπυρί
220,Heu::N,тише,σανός
221,Schale::N,кедь,τσόφλι
222,Grube::N,лотка,λάκκος
223,Falle::N,туфкс,παγίδα
224,Falle::N,кунда́ма,παγίδα
225,Schlinge::N,килькш,θηλειά
226,Spur::N,пильгоки́,ίχνος
227,Asche::N,кулу,στάχτη
228,Dreck::N,ърда́з,βρωμιά
229,Eisen::N,кшни,σίδερο
230,Gold::N,ока,μάλαμα
231,Gold::N,ока,χρυσάφι
232,Gold::N,золота,μάλαμα
233,Gold::N,золота,χρυσάφι
234,Silber::N,сия́,ασήμι
235,Silber::N,сия́,άργυρος
236,Kohle::N,седь,κάρβουνο
237,Kohle::N,седьвальмя,κάρβουνο
238,Glas::N,кля́нцек,γυαλί
239,Lehm::N,сёвонь,πηλός
240,Sand::N,шува́р,άμμος
241,Mensch::N,ломань,άνθρωπος
242,Mann::N,аля,άνδρας
243,Mann::N,цёраломань,άνδρας
244,Frau::N,ава,γυναίκα
245,Kind::N,идь,παιδί
246,Kind::N,шаба,παιδί
247,Junge::N,цёраня,αγόρι
248,Mädchen::N,стирня́,κοπέλα
249,Mädchen::N,стирня́,κορίτσι
250,Familie::N,тнал,οικογένεια
251,Familie::N,семья,οικογένεια
252,Großvater::N,атя,παππούς
253,Großvater::N,щя́тя,παππούς
254,Großmutter::N,баба,γιαγιά
255,Eltern::N,тя́дят-а́лят,γονείς
256,Vater::N,аля,πατέρας
257,Mutter::N,ава,μητέρα
258,Mutter::N,тядя,μητέρα
259,Sohn::N,цёра,γιος
260,Tochter::N,стирь,κόρη
261,Bruder::N,дуган,αδελφός
262,Bruder::N,пяльне,αδελφός
263,Schwester::N,ака,αδελφή
264,Schwester::N,сазор,αδελφή
265,Onkel::N,оця,θείος
266,Onkel::N,патя,θείος
267,Onkel::N,щеня́,θείος
268,Tante::N,ака,θεία
269,Tante::N,щака,θεία
270,Ehemann::N,мирде,σύζυγος
271,Ehefrau::N,ърьвя́,σύζυγος
272,Freude::N,ке́нярдема,χαρά
273,Gelächter::N,рахсема,γέλια
274,Glück::N,паваз,ευτυχία
275,Kummer::N,ризф,έγνοια
276,Kummer::N,пичефкс,έγνοια
277,Wunsch::N,мяль,επιθυμία
278,Wunsch::N,таколдома,επιθυμία
279,Lust::N,таколдома,όρεξη
280,Geist::N,вайме,πνέυμα
281,Gedanke::N,мяль,σκέψη
282,Gedächtnis::N,прявий,μνήμη
283,Verstand::N,прявий,νους
284,Sinn::N,ён,νόημα
285,Grund::N,туфта́л,λόγος
286,Wahrheit::N,ви́де,αλήθεια
287,Wahrheit::N,видеши́,αλήθεια
288,Gespräch::N,корхтама,συνομιλία
289,Märchen::N,ёфкс,παραμύθι
290,Erzählung::N,азкс,διήγημα
291,Nachricht::N,куля́,είδηση
292,Neuigkeit::N,куля́,νέο
293,Name::N,лем,όνομα
294,Rätsel::N,со́дама ёфкс,αίνιγμα
295,Rede::N,вал,λόγος
296,Rede::N,вал,ομιλία
297,Rede::N,корхтама,λόγος
298,Rede::N,корхтама,ομιλία
299,Sprache::N,кяль,γλώσσα
300,Stimme::N,вайгяль,φωνή
301,Wort::N,вал,λέξη
302,Zeichen::N,тя́ште,σημείο
303,Zeichen::N,тя́штькс,σημείο
304,Ruf::N,тердема,κραυγή
305,Lärm::N,гайф,θόρυβος
306,Lärm::N,жалакодома,θόρυβος
307,Laut::N,вайгяль,ήχος
308,Ton::N,вайгяль,ήχος
309,Ton::N,вайгяль,τόνος
310,Lied::N,мора,τραγούδι
311,Ruhe::N,сетьме,ησυχία
312,Leute::N,ломатть,κόσμος
313,Leute::N,ломатть,άνθρωποι
314,Volk::N,наро́д,λαός
315,Arbeit::N,тев,εργασία
316,Gast::N,и́нжи,επισκέπτης
317,Gast::N,ко́нак,επισκέπτης
318,Geschenk::N,казне,δώρο
319,Spiel::N,налхкома,παιχνίδι
320,Spiel::N,налхксема,παιχνίδι
321,Gesellschaft::N,кружок,κοινωνία
322,Hilfe::N,лездома,βοήθεια
323,Freund::N,я́лга,φίλος
324,Kamerad::N,я́лга,σύντροφος
325,Angelegenheit::N,тев,υπόθεση
326,Anzahl::N,лувкс,αριθμός
327,Art::N,вид,είδος
328,Stück::N,пакш,κομμάτι
329,Teil::N,часть,μέρος
330,Teil::N,пялькс,μέρος
331,Hälfte::N,пяле,μισό
332,Kreis::N,шаркс,κύκλος
333,Kreuz::N,крёз,σταυρός
334,Linie::N,межа,γραμμή
335,Linie::N,китькс,γραμμή
336,Strich::N,межа,γραμμή
337,Abstand::N,ётка,απόσταση
338,Entfernung::N,ётка,απόσταση
339,Gegend::N,ва́ста,περιοχή
340,Gegend::N,ва́ста,τοποθεσία
341,Gegend::N,перьфпя́ль,περιοχή
342,Gegend::N,перьфпя́ль,τοποθεσία
343,Platz::N,ва́ста,χώρος
344,Ort::N,ва́ста,τόπος
345,Seite::N,пяле,πλευρά
346,Mitte::N,кучка́,μέση
347,Gegenstand::N,веща,αντικείμενο
348,Sache::N,тев,πράγμα
349,Sache::N,веща,πράγμα
350,Rand::N,пе,άκρη
351,Rand::N,пе,χείλος
352,Kante::N,и́рдез,άκρη
353,Ecke::N,ужа,γωνιά
354,Spitze::N,пря,μύτη
355,Ende::N,пе,άκρη
356,Loch::N,варя,τρύπα
357,Winkel::N,ужа,γωνία
358,Muster::N,сёрма,σχέδιο
359,Größe::N,серь,μέγεθος
360,Länge::N,кува́лма,μήκος
361,Höhe::N,серь,ύψος
362,Gewicht::N,сталма,βάρος
363,Menge::N,лувкс,ποσότητα
364,Haufen::N,мар,σωρός
365,Reihe::N,ряд,αράδα
366,Boot::N,венеж,βάρκα
367,Ruder::N,миле,κουπί
368,Schlitten::N,ну́рда,έλκηθρο
369,Ski::N,сокс,σκι
370,Lagerfeuer::N,то́лмар,φωτιά
371,Last::N,канкс,φορτίο
372,Last::N,сталма,φορτίο
373,Gang::N,молема,δρόμος
374,Schritt::N,аськолкс,βήμα
375,Norden::N,якшама шире,βορράς
376,Süden::N,ля́мбе ши́ре,νότος
377,Westen::N,ши валгома шире,δύση
378,Osten::N,шинь стяма шире,ανατολή
379,Holz::N,вирь,ξύλο
380,Holz::N,шуфта,ξύλο
381,Brett::N,лавця,σανίδι
382,Platte::N,плита́,πλάκα
383,Stütze::N,неже,στήριγμα
384,Stange::N,олга,ραβδί
385,Stange::N,олга,κοντός
386,Stock::N,байдек,ξύλο
387,Stock::N,байдек,μπαστούνι
388,Stab::N,олгоня,ραβδί
389,Rohr::N,турама,σωλήνας
390,Haus::N,куд,σπίτι
391,Heim::N,куд,σπίτι
392,Ofen::N,пянакуд,σόμπα
393,Ofen::N,пянакуд,θερμάστρα
394,Fußboden::N,кия́кс,πάτωμα
395,Tisch::N,шра,τραπέζι
396,Tisch::N,моркш,τραπέζι
397,Stuhl::N,стул,καρέκλα
398,Wiege::N,нюря́м,κούνια
399,Bett::N,ацам,κρεβάτι
400,Regal::N,лавцяланга,ράφι
401,Kiste::N,парга,κιβώτιο
402,Fenster::N,валмья,παράθυρο
403,Tür::N,кенкш,πόρτα
404,Tor::N,ортат,πύλη
405,Zaun::N,перяфкс,φράχτης
406,Dach::N,кудпря,στέγη
407,Leiter::N,куцема,σκάλα
408,Leiter::N,куцема,κλίμακα
409,Besen::N,тяльме,σκούπα
410,Spaten::N,ка́йме,φτυάρι
411,Schaufel::N,ко́поня,φτυάρι
412,Schaufel::N,ця́рдом,φτυάρι
413,Gabel::N,ця́нгоня,πιρούνι
414,Löffel::N,куцю,κουτάλι
415,Messer::N,пеель,μαχαίρι
416,Nagel::N,эска,καρφί
417,Haken::N,кя́чказ,γάντζος
418,Haken::N,кя́чказ,αγκίστρι
419,Griff::N,недь,λαβή
420,Griff::N,кунда́мка,λαβή
421,Schloss::N,замо́к,κλειδαριά
422,Bild::N,карти́на,εικόνα
423,Figur::N,ронга-понда,ανάστημα
424,Puppe::N,ня́ка,κούκλα
425,Beutel::N,кяскав,πουγγί
426,Bündel::N,кярьме,δεμάτι
427,Tasche::N,кошяльня,τσάντα
428,Eimer::N,ве́дарка,κουβάς
429,Deckel::N,тавадкс,καπάκι
430,Deckel::N,вельхкс,καπάκι
431,Geschirr::N,кядьге,σκεύη
432,Sack::N,кяскав,σάκος
433,Tasse::N,ша́ваня,φλιτζάνι
434,Topf::N,кавозь,χύτρα
435,Kessel::N,сргавозь,καζάνι
436,Essen::N,ярхцама,φαγητό
437,Nahrung::N,ярхцампяль,τροφή
438,Speise::N,ярхцама,φαγητό
439,Fleisch::N,пал,κρέας
440,Fleisch::N,сиволь,κρέας
441,Getreide::N,сёра,σιτάρι
442,Brei::N,ям,χυλός
443,Brot::N,кши,ψωμί
444,Brot::N,кши,άρτος
445,Scheibe::N,кочам,φέτα
446,Fett::N,куя́,πάχος
447,Butter::N,вай,βούτυρο
448,Öl::N,вай,λάδι
449,Salz::N,сал,αλάτι
450,Suppe::N,шонгарям,σούπα
451,Suppe::N,коршампяль,σούπα
452,Honig::N,медь,μέλι
453,Milch::N,лофца,γάλα
454,Tee::N,чай,τσάι
455,Leder::N,кедь,πετσί
456,Wolle::N,пона,μαλλί
457,Stoff::N,котф,ύφασμα
458,Nadel::N,салмокс,βελόνα
459,Faden::N,сюре,κλωστή
460,Knopf::N,пуня,κουμπί
461,Knoten::N,сюлма,κόμπος
462,Farbe::N,архтомбяль,μπογιά
463,Kleidung::N,щам,ρούχα
464,Kleidung::N,щам,ενδυμασία
465,Hemd::N,па́нар,πουκάμισο
466,Kragen::N,сиве,κολάρο
467,Ärmel::N,ожа,μανίκι
468,Hose::N,понкст,πανταλόνι
469,Gürtel::N,каркс,ζώνη
470,Mütze::N,вазь,σκούφος
471,Schuh::N,башма́к,παπούτσι
472,Stiefel::N,кя́ме,μπότα
473,Ring::N,суркс,δαχτυλίδι
474,Band::N,керькс,κορδέλα
475,Band::N,лента,κορδέλα
476,Kamm::N,сюрьхцем,χτένα
477,Spiegel::N,ванома,καθρέφτης
478,Riemen::N,шнань каркс,λουρί
479,Schnur::N,пикс,κορδόνι
480,Schnur::N,карькскя,κορδόνι
481,Leine::N,вядьме,σχοινί
482,Decke::N,вельхкс,κουβέρτα
483,Kissen::N,тоду,μαξιλάρι
484,Tuch::N,руця́,πανί
485,Tuch::N,руця́,μαντήλι
486,Handtuch::N,на́рдама,πετσέτα
487,Kraft::N,вий,δύναμη
488,Stärke::N,вииши,ισχύς
489,Stärke::N,вииши,δύναμη
490,Gesundheit::N,шумбраши́,υγεία
491,Krankheit::N,урма́,αρρώστια
492,Krankheit::N,сярядема,αρρώστια
493,Schmerz::N,маряма,πόνος
494,Wunde::N,керф,πληγή
495,Fieber::N,маштыкс,πυρετός
496,Arznei::N,надо́бья,φάρμακο
497,Arznei::N,пъчка́фтома,φάρμακο
498,Brücke::N,седь,γέφυρα
499,Brunnen::N,эши,πηγάδι
500,Weide::N,ванома васта,βοσκή
501,Pfad::N,ян,μονοπάτι
502,Pfad::N,киня́,μονοπάτι
503,Weg::N,ки,δρόμος
504,Straße::N,ки,οδός
505,Straße::N,ки,δρόμος
506,Dorf::N,веле,χωριό
507,Stadt::N,ош,πόλη
508,Brief::N,сёрма,γράμμα
509,Brief::N,сёрма,επιστολή
510,Buch::N,книга,βιβλίο
511,Buchstabe::N,бу́ква,γράμμα
512,Zeitung::N,газе́та,εφημερίδα
513,Leben::N,эряф,ζωή
514,Leben::N,эряф,βίος
515,Leben::N,эряма,ζωή
516,Leben::N,эряма,βίος
