,Concept_ID,sq,eu
0,Auge::N,sy,begi
1,Ohr::N,vesh,belarri
2,Nase::N,hundë,sudur
3,Mund::N,gojë,aho
4,Zahn::N,dhëmb,hortz
5,Zunge::N,gjuhë,mihi
6,Lippe::N,buzë,ezpain
7,Wange::N,faqe,masail
8,Wange::N,mollëz,masail
9,Gesicht::N,fytyrë,aurpegi
10,Stirn::N,ballë,bekoki
11,Haar::N,flokë,ile
12,Haar::N,flokë,bilo
13,Schnurrbart::N,mustaqe,bibote
14,Schnurrbart::N,mustaqe,sudurpeko
15,Bart::N,mjekër,bizar
16,Kinn::N,mjekër,kokots
17,Kiefer[Anatomie]::N,nofull,masailezur
18,Kehle::N,fyt,eztarri
19,Kehle::N,grykë,eztarri
20,Hals::N,qafë,sama
21,Genick::N,arrëz,garondo
22,Kopf::N,kokë,buru
23,Rücken::N,kurriz,bizkar
24,Bauch::N,bark,sabel
25,Nabel::N,kërthizë,zilbor
26,Busen::N,gji,titi
27,Busen::N,gji,ugatz
28,Brust::N,gjoks,bular
29,Brust::N,kraharor,bular
30,Schulter::N,sup,besaburu
31,Schulter::N,krah,besaburu
32,Arm::N,krah,beso
33,Ellenbogen::N,bërryl,ukondo
34,Hand::N,dorë,esku
35,Handfläche::N,pëllëmbë,ahur
36,Finger::N,gisht,hatz
37,Fingernagel::N,thua,azazkal
38,Nagel[Anatomie]::N,thua,azazkal
39,Zeh::N,gisht i këmbës,behatz
40,Fuß::N,këmbë,oin
41,Ferse::N,thembër,orpo
42,Ferse::N,thembër,oinburu
43,Knie::N,gju,belaun
44,Oberschenkel::N,kofshë,izter
45,Bein::N,këmbë,zango
46,Körper::N,trup,soin
47,Haut::N,lëkurë,azal
48,Blut::N,gjak,odol
49,Ader::N,venë,zain
50,Sehne::N,dell,gihar-zain
51,Knochen::N,asht,hezur
52,Knochen::N,kockë,hezur
53,Gehirn::N,tru,garun
54,Gehirn::N,tru,burmuin
55,Herz::N,zemër,bihotz
56,Magen::N,stomak,urdail
57,Leber::N,mëlçi,gibel
58,Atem::N,frymë,hats
59,Atem::N,frymë,arnasa
60,Hunger::N,uri,gose
61,Träne::N,lot,malko
62,Geschmack::N,shije,dasta
63,Geruch::N,erë,usain
64,Schlaf::N,gjumë,lo
65,Traum::N,ëndërr,amets
66,Himmel::N,qiell,zeru
67,Sonne::N,diell,eguzki
68,Mond::N,hënë,ilargi
69,Stern::N,yll,izar
70,Luft::N,ajër,aire
71,Wind::N,erë,haize
72,Welle::N,valë,uhin
73,Welle::N,valë,olatu
74,Welle::N,dallgë,uhin
75,Welle::N,dallgë,olatu
76,Wasser::N,ujë,ur
77,Stein::N,gur,harri
78,Boden::N,tokë,lur
79,Boden::N,tokë,zoru
80,Boden::N,truall,lur
81,Boden::N,truall,zoru
82,Erde::N,dhe,lur
83,Erde::N,baltë,lur
84,Staub::N,pluhur,hauts
85,Rauch::N,tym,ke
86,Funke::N,xixë,zirta
87,Funke::N,xixë,txinparta
88,Funke::N,shkëndijë,zirta
89,Funke::N,shkëndijë,txinparta
90,Feuer::N,zjarr,su
91,Licht::N,dritë,argi
92,Schatten::N,hije,itzal
93,Schatten::N,hije,geriza
94,Wetter::N,mot,eguraldi
95,Nebel::N,mjegull,laino
96,Wolke::N,re,hodei
97,Regen::N,shi,euri
98,Schnee::N,borë,elur
99,Eis::N,akull,horma
100,Frost::N,ngricë,izotzaldi
101,Kälte::N,të ftohtë,hotz
102,Hitze::N,vapë,bero
103,Hitze::N,nxehtësi,bero
104,Raureif::N,cikmë,antzigar
105,Regenbogen::N,ylber,ostadar
106,Regenbogen::N,ylber,ortzadar
107,Donner::N,gjëmim,ostots
