,Concept_ID,be,ga
0,Auge::N,вока,súil
1,Ohr::N,вуха,cluas
2,Nase::N,нос,soc
3,Mund::N,рот,béal
4,Zahn::N,зуб,fiacail
5,Zunge::N,язык,teanga
6,Lippe::N,губа,liopa
7,Wange::N,шчака,grua
8,Wange::N,шчака,leiceann
9,Gesicht::N,твар,éadan
10,Gesicht::N,твар,aghaidh
11,Stirn::N,лоб,baithis
12,Stirn::N,лоб,clár éadain
13,Haar::N,волас,gruaig
14,Haar::N,валасы,gruaig
15,Schnurrbart::N,вус,croiméal
16,Schnurrbart::N,вусы,croiméal
17,Bart::N,барада,féasóg
18,Kinn::N,падбародак,smig
19,Kiefer[Anatomie]::N,сківіца,giall
20,Kehle::N,горла,scornach
21,Hals::N,шыя,muinéal
22,Genick::N,патыліца,baic
23,Kopf::N,галава,ceann
24,Rücken::N,спіна,droim
25,Bauch::N,жывот,bolg
26,Nabel::N,пупок,imleacán
27,Busen::N,грудзі,cíoch
28,Brust::N,грудзі,brollach
29,Schulter::N,плячо,gualainn
30,Arm::N,рука,lámh
31,Ellenbogen::N,локаць,uillinn
32,Hand::N,кісць,lámh
33,Handfläche::N,далонь,bos
34,Finger::N,палец,méar
35,Fingernagel::N,ногаць,ionga
36,Nagel[Anatomie]::N,ногаць,ionga
37,Zeh::N,палец,ladhar
38,Fuß::N,нага,cos
39,Fuß::N,нага,troigh
40,Ferse::N,пята,sáil
41,Ferse::N,пятка,sáil
42,Knie::N,калена,glúin
43,Oberschenkel::N,бядро,ceathrú
44,Oberschenkel::N,сцягно,ceathrú
45,Bein::N,нага,cos
46,Körper::N,цела,corp
47,Körper::N,цела,colainn
48,Haut::N,скура,cneas
49,Haut::N,скура,craiceann
50,Blut::N,кроў,fuil
51,Ader::N,вена,
52,Ader::N,сасуд,
53,Sehne::N,жыла,teannán
54,Sehne::N,жыла,féitheog
55,Sehne::N,цеціва,teannán
56,Sehne::N,цеціва,féitheog
57,Sehne::N,сухажылле,teannán
58,Sehne::N,сухажылле,féitheog
59,Knochen::N,косць,cnámh
60,Gehirn::N,мозг,inchinn
61,Herz::N,сэрца,croí
62,Magen::N,страўнік,bolg
63,Magen::N,страўнік,goile
64,Leber::N,печань,ae
65,Atem::N,дыханне,anáil
66,Hunger::N,голад,ocras
67,Träne::N,сляза,deoir
68,Geschmack::N,смак,blas
69,Geruch::N,пах,boladh
70,Schlaf::N,сон,suan
71,Schlaf::N,сон,codladh
72,Traum::N,сон,taibhreamh
73,Himmel::N,неба,spéir
74,Sonne::N,сонца,grian
75,Mond::N,месяц,ré
76,Mond::N,месяц,gealach
77,Stern::N,зорка,rinn
78,Stern::N,зорка,réalta
79,Luft::N,паветра,aer
80,Wind::N,вецер,gaoth
81,Welle::N,хваля,tonn
82,Wasser::N,вада,uisce
83,Stein::N,камень,cloch
84,Boden::N,глеба,talamh
85,Erde::N,зямля,cré
86,Erde::N,зямля,ithir
87,Staub::N,пыл,dusta
88,Staub::N,пыл,deannach
89,Rauch::N,дым,toit
90,Rauch::N,дым,deatach
91,Funke::N,іскра,drithle
92,Feuer::N,агонь,tine
93,Licht::N,святло,solas
94,Schatten::N,цень,scáth
95,Wetter::N,пагода,aimsir
96,Wetter::N,надворʼе,aimsir
97,Nebel::N,туман,ceo
98,Wolke::N,воблака,néal
99,Wolke::N,воблака,scamall
100,Regen::N,дождж,báisteach
101,Regen::N,дождж,fearthainn
102,Schnee::N,снег,sneachta
103,Eis::N,лёд,oighear
104,Frost::N,мароз,sioc
105,Kälte::N,холад,fuacht
106,Hitze::N,спёка,teas
107,Hitze::N,спёка,teocht
108,Raureif::N,іней,sioc bán
109,Regenbogen::N,вясёлка,stua ceatha
110,Regenbogen::N,вясёлка,bogha báistí
111,Donner::N,гром,toirneach
112,Strömung::N,цячэнне,sruth
113,Tropfen::N,кропля,deoir
114,Schaum::N,пена,cúr
115,Schmutz::N,гразь,salachar
116,See::N,возера,loch
117,Sumpf::N,багна,portach
118,Moor::N,балота,caorán
119,Moor::N,балота,móinteán
120,Wiese::N,луг,cluain
121,Wiese::N,луг,móinéar
122,Wald::N,лес,coill
123,Wald::N,лес,foraois
124,Hügel::N,узгорак,ard
125,Anhöhe::N,узвышша,ard
126,Anhöhe::N,узвышша,ardán
127,Berg::N,гара,sliabh
128,Gipfel::N,вяршыня,barr
129,Gipfel::N,вяршыня,mullach
130,Höhle::N,пячора,uaimh
131,Höhle::N,пячора,pluais
132,Abhang::N,схіл,fána
133,Quelle::N,крыніца,foinse
134,Bach::N,ручай,sruthán
135,Fluss::N,рака,abhainn
136,Ufer::N,бераг,bruach
137,Küste::N,узбярэжжа,cósta
138,Küste::N,узбярэжжа,cladach
139,Festland::N,суша,míntír
140,Meer::N,мора,muir
141,Meer::N,мора,farraige
142,Bucht::N,бухта,bá
143,Bucht::N,бухта,cuan
144,Insel::N,востраў,inis
145,Insel::N,востраў,oileán
146,Blume::N,кветка,bláth
147,Gras::N,трава,féar
148,Wurzel::N,корань,rúta
149,Wurzel::N,корань,fréamh
150,Baum::N,дрэва,crann
151,Stamm::N,ствол,stoc
152,Stamm::N,ствол,tamhan
153,Rinde::N,кара,coirt
154,Rinde::N,кара,craiceann
155,Ast::N,сук,géag
156,Zweig::N,галіна,géag
157,Zweig::N,галіна,craobh
158,Blatt::N,ліст,duille
159,Blatt::N,ліст,duilleog
160,Birke::N,бяроза,beith
161,Birke::N,бяроза,crann beithe
162,Kiefer[Baum]::N,хвоя,péine
163,Kiefer[Baum]::N,сасна,péine
164,Weide[Baum]::N,вярба,saileach
165,Tanne::N,яліна,giúis
166,Horn::N,рог,adharc
167,Feder::N,пяро,cleite
168,Fell::N,шкура,clúmh
169,Flügel::N,крыло,eite
170,Flügel::N,крыло,sciathán
171,Klaue::N,кіпцюр,crúb
172,Klaue::N,кіпцюр,crobh
173,Kralle::N,лапа,crobh
174,Schwanz::N,хвост,eireaball
175,Ei::N,яйка,ubh
176,Nest::N,гняздо,nead
177,Bau::N,нара,brocais
178,Tier::N,жывёла,ainmhí
179,Tier::N,жывёла,beithíoch
180,Herde::N,статак,tréad
