,Concept_ID,te,ko
102,Höhle::N,గుహ,공동
103,Abhang::N,ఏటవాలు,몰매
104,Quelle::N,మూలము,근원
105,Bach::N,కాలువ,내
106,Fluss::N,నది,강
107,Ufer::N,తీరము,강변
108,Ufer::N,తీరము,바닷가
109,Küste::N,తీరము,해변
110,Küste::N,తీరము,해변가
111,Festland::N,భూమి,본토
112,Meer::N,సముద్రము,바다
113,Bucht::N,మరుగు,협만
114,Insel::N,దీవి,섬
115,Blume::N,పుష్పము,꽃
116,Gras::N,పచ్చగడ్డి,풀
117,Wurzel::N,వేరు,뿌리
118,Baum::N,చెట్టు,나무
119,Stamm::N,చెట్టుబోదె,대
120,Rinde::N,చెట్టుపట్ట,나무껍질
121,Ast::N,కొమ్మ,가지
122,Zweig::N,చివుకు,가지
123,Blatt::N,ఆకు,잎
124,Birke::N,తరహా చెట్టు,자작나무
125,Kiefer[Baum]::N,దేవదారు చెట్టు,소나무
126,Weide[Baum]::N,జాతిచెట్టు,쉬양버들
127,Tanne::N,దేవదారుచెట్టు,전나무
128,Horn::N,కొమ్ము,뿔
129,Feder::N,ఈక,깃털
130,Fell::N,తోలు,피혁모피
131,Flügel::N,ఱెక్క,날개
132,Klaue::N,వంకరగోరు,갈고리 발톺
133,Kralle::N,వంకరగోరు,발툭
134,Schwanz::N,తోక,꼬리
135,Ei::N,గ్రుడ్డు,알
136,Nest::N,పక్షిగూడు,보금자리
137,Bau::N,గుహ,굴
138,Tier::N,జంతువు,짐승
139,Herde::N,మంద,가축의떼
140,Kuh::N,ఆవు,암소
141,Bulle::N,గిత్త,황소
142,Pferd::N,గుఱ్ఱము,말
143,Schaf::N,గొఱ్ఱె,양
144,Schwein::N,పంది,돼지
145,Hund::N,కుక్క,개
146,Katze::N,పిల్లి,고양이
147,Bär::N,ఎలుగుబంటి,콤
148,Eichhörnchen::N,ఉడుత,다람쥐
149,Elch::N,కణంజు,고라니
150,Fuchs::N,గుంటనక్క,여우
151,Hase::N,కుందేలు,토끼
152,Maus::N,చిట్టెలుక,쥐
153,Wolf::N,తోడేలు,늑대
154,Vogel::N,పక్షి,새
155,Schwarm::N,గుంపు,뗴
156,Huhn::N,కోడిపిల్ల,암탉
157,Hahn::N,కోడివుంజు,수탉
158,Gans::N,ఆడుబాతు,거위
159,Adler::N,గ్రద్ద,수리
160,Ente::N,పాట్టిబాతు,오리
161,Eule::N,గ్రుడ్లగూబ,부엉이
162,Kranich::N,కొంగ,두루미
163,Krähe::N,కాకి,까마귀
164,Kuckuck::N,కోయల,뻐꾸기
165,Schwan::N,హంస,배조
166,Fisch::N,చేప,물고기
167,Barsch::N,ఒకచేఁప,농어
168,Hecht::N,గండుమీను,에속스
169,Schlange[Tier]::N,పాము,뱀
170,Wurm::N,పురుగు,벌레
171,Spinne::N,సాలె పురుగు,거미
172,Ameise::N,చీమ,개미
173,Laus::N,పేను,이
174,Mücke::N,చీకటీగ,모기
175,Fliege::N,ఈగ,날기
176,Schmetterling::N,సీతాకోకచిలుక,나비
177,Beere::N,కాయ,장과
178,Apfel::N,ఆపిల్ పండు,사과
179,Pilz::N,కుక్కగొడుగు,고방이
180,Zwiebel::N,నీరుల్లి,양파
181,Saat::N,విత్తనము,씨
182,Korn::N,గింజ,알맹이
183,Heu::N,ఎండుగడ్డి,건초
184,Schale::N,పొట్టు,피상
185,Grube::N,గొయ్యి,
186,Falle::N,బోను,함정
187,Schlinge::N,ఉరి,올가미
188,Schlinge::N,ఉరి,멜빵붕대
189,Spur::N,జాడ,발지국
190,Asche::N,బూడిద,재
191,Dreck::N,ముఱికి,똥
192,Dreck::N,ముఱికి,오물
193,Eisen::N,ఇనుము,쇠
194,Eisen::N,ఇనుము,철
195,Gold::N,బంగారము,항금
196,Silber::N,వెండి,은
197,Kohle::N,నేలబొగ్గు,슻
198,Glas::N,గాజు,유리
199,Lehm::N,బంకమన్ను,찰흙
200,Sand::N,ఇసుక,모래
201,Mensch::N,నరుడు,사람
202,Mann::N,పురుమడు,남자
203,Frau::N,ఆడుది,여자
204,Kind::N,బిడ్డ,아이
205,Junge::N,బాలుడు,소녁
206,Mädchen::N,బాలిక,소녀
207,Familie::N,కుటుంబము,가족
208,Großvater::N,తాత,할아버지
209,Großmutter::N,అయ్యమ్మ,할머니
210,Eltern::N,తల్లితండ్రులు,어버오
211,Vater::N,తండ్రి,아버지
212,Mutter::N,తల్లి,어머니
213,Sohn::N,కొడుకు,아들
214,Tochter::N,కూతురు,딸기
215,Bruder::N,పోదరుడు,형제
216,Schwester::N,సోదరి,누이
217,Onkel::N,మేనమామ,백부
218,Tante::N,మేనత్త,아주머니
219,Tante::N,పినతల్లి,아주머니
220,Ehemann::N,భర్త,남편
221,Ehefrau::N,భార్య,아내
222,Freude::N,సంతోషము,기쁨
223,Gelächter::N,నవ్వు,웃음
224,Glück::N,సంతోషము,즐거움
225,Kummer::N,దుఃఖము,슬픔
226,Wunsch::N,కోరిక,소망
227,Lust::N,కోరిక,
228,Geist::N,ఆత్మ,할기
229,Gedanke::N,ఆలోచన,상념
230,Gedächtnis::N,జ్ఞాపకము,기억
231,Verstand::N,మనస్సు,분별
232,Verstand::N,మనస్సు,지능
233,Sinn::N,అర్థము,센스
234,Grund::N,కారణము,까닭
235,Wahrheit::N,సత్యము,참
236,Wahrheit::N,సత్యము,진실
237,Gespräch::N,పంభాషణ,대화
238,Märchen::N,అద్భుతకథ,동화
239,Erzählung::N,కథ,이야기
240,Nachricht::N,వార్త,
241,Neuigkeit::N,వార్త,뉴스
242,Name::N,పేరు,이름
243,Rätsel::N,చిక్కు,수수께끼
244,Rede::N,ఉపన్యాసము,연설
245,Sprache::N,భాష,말
246,Stimme::N,కంరథ్సని,목소리
247,Wort::N,మాట,낱말
248,Zeichen::N,గుర్తు,신호
249,Ruf::N,పిలువు,부름
250,Lärm::N,సందడి,소동
251,Laut::N,ధ్వని,음성
252,Ton::N,స్వరము,목소리
253,Lied::N,పాట,노래
254,Ruhe::N,గాలిలేమి,쉼
255,Leute::N,జనులు,사람들
256,Volk::N,జాతి,국중
257,Arbeit::N,పని,근로
258,Arbeit::N,పని,너무
259,Gast::N,అతిధి,손님
260,Geschenk::N,దానము,행하
261,Spiel::N,ఆట,무리
262,Gesellschaft::N,జట్టు,교제
263,Hilfe::N,సాహాయ్యము,거들음
264,Hilfe::N,సాహాయ్యము,보좌
265,Freund::N,స్నేహితుడు,친구
266,Kamerad::N,చెలికాడు,동실자
267,Angelegenheit::N,విషయము,용무
268,Anzahl::N,లెక్క,어떤
269,Anzahl::N,లెక్క,수
270,Art::N,జాతి,정류
271,Stück::N,తునుక,일부분
272,Teil::N,భాగము,몱
273,Teil::N,భాగము,구훠
274,Hälfte::N,సగము,2분의
275,Kreis::N,వృత్తము,고리
276,Kreuz::N,సిలువ,열십자
277,Linie::N,గీత,선
278,Strich::N,గీత,스침
279,Abstand::N,సందు,거리
280,Entfernung::N,దూరము,거리
281,Gegend::N,విస్తీర్ణము,곳
282,Gegend::N,విస్తీర్ణము,부금
283,Platz::N,ఎడము,장소
284,Ort::N,స్థలము,장소
285,Seite::N,ప్రక్క,옆면
286,Mitte::N,నడిమి,궁간
287,Gegenstand::N,పద్దు,항목
288,Sache::N,వస్తువు,뭉에
289,Rand::N,అంచు,가
290,Kante::N,అంచు,귀퉁
291,Ecke::N,మూల,구석
292,Spitze::N,మొన,끝
293,Spitze::N,మొన,참단
294,Ende::N,కొన,말당
295,Loch::N,రంధ్రము,빙옷
296,Winkel::N,కోణము,각도
297,Muster::N,మాదిరి,본
298,Muster::N,మాదిరి,견복
299,Größe::N,పరిమాణము,신장
300,Länge::N,పొడుగు,길이긺
301,Höhe::N,పొడుగు,높이
302,Gewicht::N,భారము,추
303,Menge::N,మొత్తము,수양
304,Haufen::N,రాశి,퇴적
305,Reihe::N,వరుస,열
306,Boot::N,పడవ,보트
307,Ruder::N,అడక,노
308,Schlitten::N,సరవండ్లు,썰매
309,Ski::N,స్కీ,스키
