,Concept_ID,ko,ru
0,Auge::N,눈,глаз
1,Ohr::N,귀,ухо
2,Nase::N,코,нос
3,Mund::N,입,рот
4,Zahn::N,이,зуб
5,Zunge::N,혀,язык
6,Lippe::N,입술,губа
7,Wange::N,뺨,щека
8,Gesicht::N,얼굴,лицо
9,Stirn::N,이마,лоб
10,Haar::N,털,волос
11,Haar::N,털,волосы
12,Schnurrbart::N,윗수몀,ус
13,Schnurrbart::N,윗수몀,усы
14,Schnurrbart::N,코밑수염,ус
15,Schnurrbart::N,코밑수염,усы
16,Bart::N,수엄,борода
17,Kinn::N,아래턱,подбородок
18,Kiefer[Anatomie]::N,턱,челюсть
19,Kehle::N,인후,горло
20,Hals::N,목,шея
21,Genick::N,먹덜이,затылок
22,Kopf::N,머리,голова
23,Rücken::N,든,спина
24,Bauch::N,배,живот
25,Nabel::N,배꼽,пупок
26,Busen::N,가슴속,женская грудь
27,Brust::N,가슴,грудь
28,Schulter::N,어깨,плечо
29,Arm::N,팔,рука
30,Ellenbogen::N,팔쿰치,локоть
31,Hand::N,손,кисть
32,Handfläche::N,손바닥,ладонь
33,Finger::N,속가락,палец
34,Fingernagel::N,손톱,ноготь
35,Nagel[Anatomie]::N,손톱,ноготь
36,Zeh::N,발가락,палец
37,Fuß::N,발,ступня
38,Ferse::N,발꿈치,пята
39,Ferse::N,발꿈치,пятка
40,Knie::N,무릎,колено
41,Oberschenkel::N,허벅다리,бедро
42,Bein::N,다리,нога
43,Körper::N,구간,тело
44,Haut::N,살갗,кожа
45,Blut::N,피,кровь
46,Ader::N,정맥,вена
47,Ader::N,정맥,сосуд
48,Sehne::N,현,жила
49,Sehne::N,현,тетива
50,Sehne::N,현,сухожилие
51,Knochen::N,뼈,кость
52,Gehirn::N,뇌,мозг
53,Gehirn::N,뇌수,мозг
54,Herz::N,염통,сердце
55,Magen::N,위,желудок
56,Leber::N,간,печень
57,Atem::N,기식,дух
58,Atem::N,기식,дыхание
59,Hunger::N,공복,голод
60,Träne::N,눈물,слеза
61,Geschmack::N,기호,вкус
62,Geruch::N,냄새,запах
63,Schlaf::N,수면,сон
64,Traum::N,쿰,сновидение
65,Himmel::N,하늘,небо
66,Sonne::N,해,солнце
67,Mond::N,달,луна
68,Stern::N,별,звезда
69,Luft::N,동준,воздух
70,Luft::N,가스채,воздух
71,Wind::N,바람,ветер
72,Welle::N,물결,волна
73,Wasser::N,물,вода
74,Stein::N,돌,камень
75,Boden::N,바닥,почва
76,Erde::N,흙,земля
77,Staub::N,먼지,пыль
78,Rauch::N,연기,дым
79,Funke::N,불티,искра
80,Feuer::N,불,огонь
81,Licht::N,불,свет
82,Schatten::N,어스레함,тень
83,Wetter::N,기상,погода
84,Nebel::N,안개,туман
85,Wolke::N,구름,облако
86,Regen::N,비,дождь
87,Schnee::N,눈,снег
88,Eis::N,얼음,лед
89,Frost::N,혹한,мороз
90,Kälte::N,추위,холод
91,Kälte::N,차가움,холод
92,Hitze::N,고온,жара
93,Hitze::N,더위,жара
94,Regenbogen::N,무지개,радуга
95,Donner::N,뇌명,гром
96,Strömung::N,유동,течение
97,Tropfen::N,물방울,капля
98,Schaum::N,포말,пена
99,Schmutz::N,때,грязь
100,See::N,호수,озеро
101,Sumpf::N,습지,топь
102,Moor::N,저습지,болото
103,Wiese::N,목초지,луг
104,Wald::N,숲,лес
105,Hügel::N,언덕,холм
106,Anhöhe::N,언덕,возвышенность
107,Berg::N,산,гора
108,Gipfel::N,졀졍,вершина
109,Höhle::N,공동,пещера
110,Abhang::N,몰매,склон
111,Quelle::N,근원,источник
112,Bach::N,내,ручей
113,Fluss::N,강,река
114,Ufer::N,강변,берег
115,Ufer::N,바닷가,берег
116,Küste::N,해변,побережье
117,Küste::N,해변가,побережье
118,Festland::N,본토,суша
119,Meer::N,바다,море
120,Bucht::N,협만,бухта
121,Insel::N,섬,остров
122,Blume::N,꽃,цветок
123,Gras::N,풀,трава
124,Wurzel::N,뿌리,корень
125,Baum::N,나무,дерево
126,Stamm::N,대,ствол
127,Rinde::N,나무껍질,кора
128,Ast::N,가지,сук
129,Zweig::N,가지,ветвь
130,Blatt::N,잎,лист
131,Birke::N,자작나무,береза
132,Kiefer[Baum]::N,소나무,сосна
133,Weide[Baum]::N,쉬양버들,ива
134,Tanne::N,전나무,ель
135,Horn::N,뿔,рог
136,Feder::N,깃털,перо
137,Fell::N,피혁모피,шкура
138,Flügel::N,날개,крыло
139,Klaue::N,갈고리 발톺,коготь
140,Kralle::N,발툭,лапа
141,Schwanz::N,꼬리,хвост
142,Ei::N,알,яйцо
143,Nest::N,보금자리,гнездо
144,Bau::N,굴,нора
145,Tier::N,짐승,животное
146,Herde::N,가축의떼,стадо
147,Kuh::N,암소,корова
148,Bulle::N,황소,бык
149,Pferd::N,말,лошадь
150,Schaf::N,양,овца
151,Schwein::N,돼지,свинья
152,Hund::N,개,собака
153,Katze::N,고양이,кошка
154,Bär::N,콤,медведь
155,Eichhörnchen::N,다람쥐,белка
156,Elch::N,고라니,лось
157,Fuchs::N,여우,лиса
158,Hase::N,토끼,заяц
159,Maus::N,쥐,мышь
160,Wolf::N,늑대,волк
161,Vogel::N,새,птица
162,Schwarm::N,뗴,стая
163,Huhn::N,암탉,курица
164,Hahn::N,수탉,петух
165,Gans::N,거위,гусь
166,Adler::N,수리,орел
167,Ente::N,오리,утка
168,Eule::N,부엉이,сова
169,Kranich::N,두루미,журавль
170,Krähe::N,까마귀,ворона
171,Kuckuck::N,뻐꾸기,кукушка
172,Schwan::N,배조,лебедь
173,Fisch::N,물고기,рыба
174,Barsch::N,농어,окунь
175,Hecht::N,에속스,щука
176,Schlange[Tier]::N,뱀,змея
177,Wurm::N,벌레,червяк
178,Spinne::N,거미,паук
179,Ameise::N,개미,муравей
180,Laus::N,이,вошь
181,Mücke::N,모기,комар
182,Fliege::N,날기,муха
183,Schmetterling::N,나비,бабочка
184,Beere::N,장과,ягода
185,Apfel::N,사과,яблоко
186,Pilz::N,고방이,гриб
187,Zwiebel::N,양파,луковица
188,Saat::N,씨,семя
189,Korn::N,알맹이,зерно
190,Heu::N,건초,сено
191,Schale::N,피상,шелуха
192,Falle::N,함정,ловушка
193,Schlinge::N,올가미,силок
194,Schlinge::N,멜빵붕대,силок
195,Spur::N,발지국,след
196,Asche::N,재,зола
197,Asche::N,재,пепел
198,Dreck::N,똥,грязь
199,Dreck::N,오물,грязь
200,Eisen::N,쇠,железо
201,Eisen::N,철,железо
202,Gold::N,항금,золото
203,Silber::N,은,серебро
204,Kohle::N,슻,уголь
205,Glas::N,유리,стекло
206,Lehm::N,찰흙,глина
207,Sand::N,모래,песок
208,Mensch::N,사람,человек
209,Mann::N,남자,мужчина
210,Frau::N,여자,женщина
211,Kind::N,아이,ребенок
212,Junge::N,소녁,мальчик
213,Mädchen::N,소녀,девочка
214,Familie::N,가족,семья
215,Großvater::N,할아버지,дедушка
216,Großmutter::N,할머니,бабушка
217,Eltern::N,어버오,родители
218,Vater::N,아버지,отец
219,Mutter::N,어머니,мать
220,Sohn::N,아들,сын
221,Tochter::N,딸기,дочь
222,Bruder::N,형제,брат
223,Schwester::N,누이,сестра
224,Onkel::N,백부,дядя
225,Tante::N,아주머니,тетя
226,Ehemann::N,남편,муж
227,Ehefrau::N,아내,жена
228,Freude::N,기쁨,радость
229,Gelächter::N,웃음,смех
230,Glück::N,즐거움,счастье
231,Kummer::N,슬픔,горе
232,Wunsch::N,소망,желание
233,Geist::N,할기,дух
234,Gedanke::N,상념,мысль
235,Gedächtnis::N,기억,память
236,Verstand::N,분별,ум
237,Verstand::N,지능,ум
238,Sinn::N,센스,смысл
239,Grund::N,까닭,повод
240,Wahrheit::N,참,правда
241,Wahrheit::N,진실,правда
242,Gespräch::N,대화,беседа
243,Märchen::N,동화,сказка
244,Erzählung::N,이야기,рассказ
245,Neuigkeit::N,뉴스,новость
246,Name::N,이름,имя
247,Rätsel::N,수수께끼,загадка
248,Rede::N,연설,речь
249,Sprache::N,말,язык
250,Stimme::N,목소리,голос
251,Wort::N,낱말,слово
252,Zeichen::N,신호,знак
253,Ruf::N,부름,зов
254,Lärm::N,소동,шум
255,Laut::N,음성,звук
256,Ton::N,목소리,звучание
257,Lied::N,노래,песня
258,Ruhe::N,쉼,покой
259,Leute::N,사람들,люди
260,Volk::N,국중,народ
261,Arbeit::N,근로,работа
262,Arbeit::N,너무,работа
263,Gast::N,손님,гость
264,Geschenk::N,행하,подарок
265,Spiel::N,무리,игра
266,Gesellschaft::N,교제,общество
267,Hilfe::N,거들음,помощь
268,Hilfe::N,보좌,помощь
269,Freund::N,친구,друг
270,Kamerad::N,동실자,приятель
271,Angelegenheit::N,용무,дело
272,Anzahl::N,어떤,количество
273,Anzahl::N,수,количество
274,Art::N,정류,вид
275,Stück::N,일부분,кусок
276,Teil::N,몱,часть
277,Teil::N,구훠,часть
278,Hälfte::N,2분의,половина
279,Kreis::N,고리,круг
280,Kreuz::N,열십자,крест
281,Linie::N,선,линия
282,Strich::N,스침,черта
283,Abstand::N,거리,промежуток
284,Entfernung::N,거리,расстояние
285,Gegend::N,곳,местность
286,Gegend::N,부금,местность
287,Platz::N,장소,пространство
288,Ort::N,장소,место
289,Seite::N,옆면,сторона
290,Mitte::N,궁간,середина
291,Gegenstand::N,항목,предмет
292,Sache::N,뭉에,вещь
293,Rand::N,가,край
294,Kante::N,귀퉁,ребро
295,Ecke::N,구석,угол
296,Spitze::N,끝,кончик
297,Spitze::N,참단,кончик
298,Ende::N,말당,конец
299,Loch::N,빙옷,дыра
300,Winkel::N,각도,угол
301,Muster::N,본,узор
302,Muster::N,견복,узор
303,Größe::N,신장,размер
304,Länge::N,길이긺,длина
305,Höhe::N,높이,высота
306,Gewicht::N,추,вес
307,Menge::N,수양,количество
308,Haufen::N,퇴적,куча
309,Reihe::N,열,ряд
310,Boot::N,보트,лодка
311,Ruder::N,노,весло
312,Schlitten::N,썰매,сани
313,Ski::N,스키,лыжа
314,Lagerfeuer::N,캠프의 모닥불,костер
315,Last::N,무거운짐,тяжесть
316,Gang::N,걸음,ход
317,Schritt::N,보조,шаг
318,Norden::N,북쪽 ,север
319,Süden::N,남쪽,юг
320,Westen::N,서쪽,запад
321,Osten::N,동쪽,восток
322,Holz::N,목재,древесина
323,Brett::N,마루널,доска
324,Platte::N,탤,плита
325,Platte::N,금속판,плита
326,Stütze::N,버팀목,подпорка
327,Stange::N,장대,жердь
328,Stock::N,막대기,палка
329,Stab::N,작대기,шест
330,Rohr::N,갈대,труба
331,Haus::N,집,дом
332,Heim::N,집,дом
333,Ofen::N,아궁이,печь
334,Fußboden::N,마루,пол
