,Concept_ID,ps,fi
0,Auge::N,سترګه,silmä
1,Ohr::N,غوږ,korva
2,Nase::N,پوزه,nenä
3,Mund::N,خوله,suu
4,Zahn::N,غاښ,hammas
5,Zunge::N,جبه,kieli
6,Lippe::N,شونډه,huuli
7,Wange::N,باړخو,poski
8,Gesicht::N,مخ,naama
9,Gesicht::N,مخ,kasvot
10,Stirn::N,تندی,otsa
11,Stirn::N,وچولی,otsa
12,Haar::N,وېښته,hius
13,Haar::N,وېښته,tukka
14,Schnurrbart::N,برېت,viikset
15,Bart::N,ږیره,parta
16,Kinn::N,زنه,leuka
17,Kiefer[Anatomie]::N,جامه,leukaluu
18,Kehle::N,غاړه,kurkku
19,Hals::N,غاړه,kaula
20,Genick::N,ورمېږ,niska
21,Kopf::N,سر,pää
22,Rücken::N,شا,selkä
23,Bauch::N,نس,maha
24,Bauch::N,نس,vatsa
25,Bauch::N,ګېډه,maha
26,Bauch::N,ګېډه,vatsa
27,Nabel::N,نوم,napa
28,Busen::N,تی,rinta
29,Brust::N,سینه,rinta
30,Schulter::N,اوږه,olka
31,Schulter::N,اوږه,hartia
32,Schulter::N,اوږه,olkapää
33,Arm::N,لاس,käsivarsi
34,Ellenbogen::N,څنګل,kyynärpää
35,Hand::N,لاس,käsi
36,Handfläche::N,ورغوی,kämmen
37,Finger::N,ګوته,sormi
38,Fingernagel::N,نوک,kynsi
39,Nagel[Anatomie]::N,نوک,kynsi
40,Zeh::N,ګوته,varvas
41,Fuß::N,پښه,jalka
42,Ferse::N,پونده,kantapää
43,Knie::N,زنګون,polvi
44,Oberschenkel::N,پتون,reisi
45,Bein::N,پښه,jalka
46,Körper::N,ځان,keho
47,Körper::N,ځان,ruumis
48,Haut::N,پوټکی,iho
49,Blut::N,وینه,veri
50,Ader::N,رګ,suoni
51,Sehne::N,پله,jänne
52,Knochen::N,هډوکی,luu
53,Gehirn::N,ماغزه,aivot
54,Herz::N,زړه,sydän
55,Magen::N,معده,maha
56,Magen::N,معده,vatsa
57,Leber::N,ينه,maksa
58,Leber::N,ځیګر,maksa
59,Atem::N,نفس,henki
60,Atem::N,نفس,hengitys
61,Hunger::N,ولږه,nälkä
62,Träne::N,اوښکه,kyynel
63,Geschmack::N,مزه,maku
64,Geschmack::N,خوند,maku
65,Geruch::N,بوی,haju
66,Schlaf::N,خوب,uni
67,Traum::N,خوب,uni
68,Himmel::N,اسمان,taivas
69,Sonne::N,لمر,aurinko
70,Mond::N,سپوږمۍ,kuu
71,Stern::N,ستوری,tähti
72,Luft::N,هوا,ilma
73,Wind::N,ورښ,tuuli
74,Welle::N,موج,aalto
75,Wasser::N,اوبه,vesi
76,Stein::N,ډبره,kivi
77,Boden::N,مځکه,maa
78,Boden::N,مځکه,maaperä
79,Erde::N,خاوره,maa
80,Staub::N,ګرد,pöly
81,Staub::N,خاوره,pöly
82,Rauch::N,دود,savu
83,Rauch::N,لوګی,savu
84,Funke::N,سپرغۍ,kipinä
85,Feuer::N,اور,tuli
86,Licht::N,رڼا,valo
87,Schatten::N,سیوری,varjo
88,Wetter::N,هوا,sää
89,Nebel::N,لړه,sumu
90,Wolke::N,ورېځ,pilvi
91,Regen::N,وریا,sade
92,Regen::N,باران,sade
93,Schnee::N,واوره,lumi
94,Eis::N,یخ,jää
95,Eis::N,کنګل,jää
96,Frost::N,یخ,halla
97,Frost::N,یخ,pakkanen
98,Kälte::N,ساړه,vilu
99,Kälte::N,ساړه,kylmyys
