,Concept_ID,no,lt
0,Auge::N,øye,akis
1,Ohr::N,øre,ausis
2,Nase::N,nese,nosis
3,Mund::N,munn,burna
4,Zahn::N,tann,dantis
5,Zunge::N,tunge,liežuvis
6,Lippe::N,leppe,lūpa
7,Wange::N,kinn,žandas
8,Wange::N,kinn,skruostas
9,Gesicht::N,fjes,veidas
10,Gesicht::N,ansikt,veidas
11,Stirn::N,panne,kakta
12,Haar::N,hår,plaukai
13,Schnurrbart::N,bart,ūsai
14,Bart::N,skjegg,barzda
15,Kinn::N,hake,smakras
16,Kiefer[Anatomie]::N,kjeve,žandikaulis
17,Kehle::N,strupe,gerklė
18,Hals::N,hals,kaklas
19,Genick::N,nakke,sprandas
20,Kopf::N,hode,galva
21,Rücken::N,rygg,nugara
22,Bauch::N,buk,pilvas
23,Bauch::N,mage,pilvas
24,Nabel::N,navle,bamba
25,Busen::N,barm,krūtinė
26,Brust::N,bryst,krūtis
27,Schulter::N,skulder,petys
28,Arm::N,arm,ranka
29,Ellenbogen::N,albue,alkūnė
30,Hand::N,hånd,ranka
31,Hand::N,hånd,plaštaka
32,Handfläche::N,håndflate,delnas
33,Handfläche::N,håndflate,plaštaka
34,Finger::N,finger,pirštas
35,Fingernagel::N,fingernegl,nagas
36,Nagel[Anatomie]::N,negl,nagas
37,Zeh::N,tå,pirštas
38,Fuß::N,fot,pėda
39,Ferse::N,hæl,kulnas
40,Knie::N,kne,kelis
41,Oberschenkel::N,lår,kulšis
42,Oberschenkel::N,lår,šlaunis
43,Bein::N,bein,koja
44,Körper::N,kropp,kūnas
45,Körper::N,legeme,kūnas
46,Haut::N,hud,oda
47,Haut::N,skinn,oda
48,Blut::N,blod,kraujas
49,Ader::N,åre,kraujagyslė
50,Sehne::N,sene,sausgyslė
51,Knochen::N,bein,kaulas
52,Knochen::N,knokkel,kaulas
53,Gehirn::N,hjerne,smegenys
54,Herz::N,hjerte,širdis
55,Magen::N,mage,skrandis
56,Leber::N,lever,kepenys
57,Atem::N,pust,kvapas
58,Hunger::N,sult,badas
59,Hunger::N,sult,alkis
60,Träne::N,tåre,ašara
61,Geschmack::N,smak,skonis
62,Geruch::N,lukt,kvapas
63,Schlaf::N,søvn,miegas
64,Traum::N,drøm,sapnas
65,Himmel::N,himmel,dangus
66,Sonne::N,sol,saulė
67,Mond::N,måne,mėnulis
68,Stern::N,stjerne,žvaigždė
69,Luft::N,luft,oras
70,Wind::N,vind,vėjas
71,Welle::N,bølge,banga
72,Welle::N,bølge,vilnis
73,Wasser::N,vann,vanduo
74,Stein::N,stein,akmuo
75,Boden::N,bakke,žemė
76,Boden::N,bakke,dugnas
77,Erde::N,jord,žemė
78,Staub::N,støv,dulkės
79,Rauch::N,røyk,dūmai
80,Funke::N,gnist,kibirkštis
81,Feuer::N,ild,ugnis
82,Licht::N,lys,šviesa
83,Schatten::N,skygge,paūksmė
84,Wetter::N,vær,oras
85,Nebel::N,tåke,migla
86,Nebel::N,tåke,rūkas
87,Wolke::N,sky,debesis
88,Regen::N,regn,lietus
89,Schnee::N,snø,sniegas
90,Eis::N,is,ledas
91,Frost::N,frost,šalna
92,Kälte::N,kulde,šaltis
93,Hitze::N,hete,karštis
94,Raureif::N,rimfrost,šerkšnas
95,Regenbogen::N,regnbue,vaivorykštė
96,Donner::N,torden,perkūnas
97,Donner::N,torden,griaustinis
98,Strömung::N,strømning,tėkmė
99,Tropfen::N,dråpe,lašas
100,Schaum::N,skum,putos
101,Schmutz::N,søl,purvas
102,Schmutz::N,skitt,purvas
103,See::N,sjø,ežeras
104,Sumpf::N,sump,klampynė
105,Sumpf::N,sump,liūnas
106,Sumpf::N,myrlende,klampynė
107,Sumpf::N,myrlende,liūnas
108,Moor::N,myr,pelkė
109,Moor::N,myrhei,pelkė
110,Wiese::N,eng,pieva
111,Wald::N,skog,miškas
112,Hügel::N,haug,kalva
113,Hügel::N,bakke,kalva
114,Anhöhe::N,haug,kauburys
115,Anhöhe::N,bakke,kauburys
116,Berg::N,berg,kalnas
117,Berg::N,fjell,kalnas
118,Gipfel::N,topp,viršūnė
119,Höhle::N,hule,ola
120,Abhang::N,li,šlaitas
121,Abhang::N,li,nuokalnė
122,Abhang::N,skråning,šlaitas
123,Abhang::N,skråning,nuokalnė
124,Quelle::N,kilde,versmė
125,Quelle::N,kilde,šaltinis
126,Bach::N,bekk,upelis
127,Fluss::N,elv,upė
128,Ufer::N,bredd,krantas
129,Küste::N,kyst,pajūris
130,Festland::N,fastland,sausuma
131,Meer::N,hav,jūra
132,Bucht::N,bukt,įlanka
133,Bucht::N,bukt,užutekis
134,Insel::N,øy,sala
135,Blume::N,blomst,gėlė
136,Gras::N,gress,žolė
137,Wurzel::N,rot,šaknis
138,Baum::N,tre,medis
139,Stamm::N,stamme,kamienas
140,Rinde::N,bark,žievė
141,Ast::N,gren,šaka
142,Zweig::N,kvist,šakelė
143,Blatt::N,blad,lapas
144,Birke::N,bjørk,beržas
145,Kiefer[Baum]::N,furu,pušis
146,Weide[Baum]::N,selje,karklas
147,Weide[Baum]::N,piletre,karklas
148,Tanne::N,gran,eglė
149,Tanne::N,gran,kėnis
150,Horn::N,horn,ragas
151,Feder::N,fjær,plunksna
152,Fell::N,skinn,kailis
153,Flügel::N,vinge,sparnas
