,Concept_ID,et,mdf
0,Auge::N,silm,сельме
1,Ohr::N,kõrv,пиле
2,Nase::N,nina,шалхка
3,Mund::N,suu,курга
4,Zahn::N,hammas,пей
5,Zunge::N,keel,кяль
6,Lippe::N,huul,търва́
7,Wange::N,põsk,щёка
8,Gesicht::N,nägu,шама
9,Stirn::N,otsmik,коня
10,Haar::N,juus,шя́ярь
11,Schnurrbart::N,vurrud,уса́
12,Schnurrbart::N,vuntsid,уса́
13,Bart::N,habe,сакал
14,Kinn::N,lõug,ула
15,Kiefer[Anatomie]::N,lõualuu,саласка
16,Kehle::N,kõri,кълдома
17,Kehle::N,kõri,кърга́парь
18,Hals::N,kael,сялдаз
19,Genick::N,kukal,шовонь
20,Kopf::N,pea,пря
21,Rücken::N,selg,копорь
22,Bauch::N,kõht,пеке
23,Nabel::N,naba,по́кон
24,Busen::N,rind,потя
25,Brust::N,rind,мяште
26,Schulter::N,õlg,лафту
27,Arm::N,käsivars,кядь
28,Ellenbogen::N,küünarnukk,кенерьба́карь
29,Hand::N,käsi,кядь
30,Handfläche::N,pihk,кядьлапш
31,Finger::N,sõrm,сур
32,Fingernagel::N,küüs,кенже
33,Nagel[Anatomie]::N,küüs,кенже
34,Zeh::N,varvas,пильгосу́р
35,Fuß::N,jalg,пильге
36,Fuß::N,jalg,пильгелапа
37,Ferse::N,kand,кочкяря
38,Knie::N,põlv,эль
39,Knie::N,põlv,пълма́нжа
40,Oberschenkel::N,reis,пильгепукша
41,Bein::N,jalg,пильге
42,Körper::N,ihu,ро́нга
43,Körper::N,ihu,по́нда
44,Körper::N,keha,ро́нга
45,Körper::N,keha,по́нда
46,Haut::N,nahk,киське
47,Blut::N,veri,вер
48,Ader::N,veen,сан
49,Ader::N,veen,верза́н
50,Sehne::N,kõõlus,коське сан
51,Knochen::N,luu,пакарь
52,Gehirn::N,aju,уй
53,Herz::N,süda,седи
54,Magen::N,magu,коткърдазь
55,Leber::N,maks,макса
56,Atem::N,hingeõhk,лекома
57,Atem::N,hingeõhk,ваймонь тарксема
58,Atem::N,hingamine,лекома
59,Atem::N,hingamine,ваймонь тарксема
60,Hunger::N,nälg,вачеши
61,Träne::N,pisar,сельмове́дь
62,Geschmack::N,maitse,таньф
63,Geruch::N,lõhn,шине
64,Schlaf::N,uni,удома́
65,Traum::N,unenägu,он
66,Himmel::N,taevas,менель
67,Sonne::N,päike,ши
68,Mond::N,kuu,ков
69,Stern::N,täht,тяште
70,Luft::N,õhk,кожф
71,Wind::N,tuul,варма
72,Welle::N,laine,тавла
73,Wasser::N,vesi,ведь
74,Stein::N,kivi,кев
75,Boden::N,maa,мода
76,Boden::N,maa,потмакс
77,Boden::N,pinnas,мода
78,Boden::N,pinnas,потмакс
79,Erde::N,maa,мода
80,Erde::N,maa,мастор
81,Staub::N,põrm,пуль
82,Rauch::N,suits,качам
83,Funke::N,säde,ця́тка
84,Feuer::N,tuli,тол
85,Licht::N,valgus,ва́лда
86,Schatten::N,vari,цильф
87,Wetter::N,ilm,уша
88,Nebel::N,udu,тума́н
89,Wolke::N,pilv,ковол
90,Regen::N,sadu,пизем
91,Schnee::N,lumi,лов
92,Eis::N,jää,эй
93,Frost::N,pakane,ке́льме
94,Kälte::N,külm,якшама
95,Kälte::N,külmus,якшама
96,Hitze::N,kuumus,пси
97,Hitze::N,palavus,пси
98,Raureif::N,härmatis,леш
99,Regenbogen::N,vikerkaar,а́тямъёнга
100,Donner::N,kõu,атям
101,Donner::N,müristamine,атям
102,Strömung::N,voolus,шудема́
103,Strömung::N,jõevool,шудема́
104,Tropfen::N,tilk,путькс
105,Tropfen::N,tilk,пътняфкс
106,Schaum::N,vaht,шов
