,Concept_ID,mn,he
0,Auge::N,нүд,עין
1,Ohr::N,чих,אזן
2,Nase::N,хамар,אף
3,Nase::N,хамар,חטם
4,Mund::N,ам,פה
5,Zahn::N,шүд,שן
6,Zunge::N,хэл,לשון
7,Lippe::N,уруул,שפה
8,Wange::N,хацар,לחי
9,Gesicht::N,царай,פנים
10,Gesicht::N,нүүр,פנים
11,Stirn::N,дух,מצח
12,Haar::N,үс,שערה
13,Schnurrbart::N,дээд сахал,שפם
14,Schnurrbart::N,живэр сахал,שפם
15,Bart::N,сахал,זקן
16,Kinn::N,эрүү,סנטר
17,Kiefer[Anatomie]::N,эрүү,לסת
18,Kehle::N,хоолой,גרון
19,Hals::N,хүзүү,צואר
20,Genick::N,шил,ערף
21,Genick::N,хүзүү,ערף
22,Kopf::N,толгой,ראש
23,Rücken::N,ар,גב
24,Rücken::N,нуруу,גב
25,Bauch::N,хэвлий,בטן
26,Bauch::N,гэдэс,בטן
27,Nabel::N,хүйс,טבור
28,Busen::N,хөх,שד
29,Brust::N,цээж,חזה
30,Schulter::N,мөр,כתף
31,Schulter::N,бугалга,כתף
32,Arm::N,гар,זרוע
33,Ellenbogen::N,тохой,מרפק
34,Hand::N,гар,יד
35,Hand::N,алга,יד
36,Handfläche::N,алга,כף יד
37,Finger::N,хуруу,אצבע
38,Fingernagel::N,хурууны хумс,צפרן
39,Nagel[Anatomie]::N,хумс,צפרן
40,Zeh::N,хуруу,אצבע
41,Fuß::N,хөл,רגל
42,Ferse::N,өсгий,עקב
43,Knie::N,өвдөг,ברך
44,Oberschenkel::N,гуя,ירך
45,Bein::N,хөл,רגל
46,Körper::N,бие,גוף
47,Haut::N,арьс,עור
48,Blut::N,цус,דם
49,Ader::N,судас,וריד
50,Sehne::N,бүлх,גיד
51,Sehne::N,шандас,גיד
52,Knochen::N,яс,עצם
53,Gehirn::N,тархи,מוח
54,Herz::N,зүрх,לב
55,Magen::N,ходоод,קבה
56,Leber::N,элэг,כבד
57,Atem::N,амьсгаа,נשימה
58,Hunger::N,өлсгөлөн,רעב
59,Träne::N,нулимс,דמעה
60,Geschmack::N,амт,טעם
61,Geruch::N,үнэр,ריח
62,Schlaf::N,нойр,שנה
63,Traum::N,зүүд,חלום
64,Himmel::N,тэнгэр,שמים
65,Himmel::N,огторгуй,שמים
66,Sonne::N,нар,שמש
67,Mond::N,сар,ירח
68,Stern::N,од,כוכב
69,Luft::N,агаар,אויר
70,Wind::N,салхи,רוח
71,Welle::N,долгио,גל
72,Welle::N,давалгаа,גל
73,Wasser::N,ус,מים
74,Stein::N,чулуу,אבן
75,Boden::N,хөрс,קרקע
76,Erde::N,газар,אדמה
77,Erde::N,шороо,אדמה
78,Staub::N,тоос,אבק
79,Rauch::N,утаа,עשן
80,Funke::N,оч,ניצוץ
81,Feuer::N,гал,אש
82,Licht::N,гэрэл,אור
83,Licht::N,гэгээ,אור
84,Schatten::N,сүүдэр,צל
85,Wetter::N,тэнгэр,מזג אויר
86,Wetter::N,цаг уур,מזג אויר
87,Nebel::N,будан,ערפל
88,Wolke::N,үүл,ענן
89,Regen::N,бороо,גשם
90,Schnee::N,цас,שלג
91,Eis::N,мөс,קרח
92,Frost::N,хүйт,צנה
93,Kälte::N,хүйт,קר
94,Hitze::N,халуун,חם
95,Raureif::N,цан,כפור
96,Raureif::N,хяруу,כפור
97,Regenbogen::N,солонго,קשת
98,Donner::N,тэнгэрийн дуу,רעם
99,Strömung::N,урсгал,זרימה
100,Tropfen::N,дусал,טפה
101,Schaum::N,хөөс,קצף
102,Schmutz::N,хир,לכלוך
103,Schmutz::N,шавхай,לכלוך
104,See::N,нуур,אגם
105,Sumpf::N,намаг,בצה
106,Sumpf::N,балчиг,בצה
107,Moor::N,хүлрийн намаг,בצה
108,Wiese::N,нуга,מרעה
109,Wald::N,ой,יער
110,Hügel::N,болдог,תל
111,Anhöhe::N,гүвээ,מעלה
112,Berg::N,уул,הר
113,Gipfel::N,орой,פסגה
114,Gipfel::N,оргил,פסגה
115,Höhle::N,агуй,מערה
116,Abhang::N,хүр,מדרון
117,Abhang::N,хүр,שפוע
118,Quelle::N,булаг,מעין
119,Bach::N,горхи,נחל
120,Fluss::N,гол,נהר
121,Fluss::N,мөрөн,נהר
122,Ufer::N,эрэг,גדה
123,Küste::N,эрэг,חוף
124,Festland::N,хуурай газар,יבשה
125,Meer::N,далай,ים
126,Meer::N,тэнгис,ים
127,Bucht::N,булан,מפרץ
128,Bucht::N,далайн тохой,מפרץ
129,Insel::N,арал,אי
130,Blume::N,цэцэг,פרח
131,Gras::N,өвс,דשא
132,Gras::N,ногоо,דשא
133,Wurzel::N,үндэс,שרש
134,Baum::N,мод,עץ
135,Stamm::N,иш,גזע
136,Stamm::N,гуалин,גזע
137,Rinde::N,холтос,קלפת עץ
138,Ast::N,гишүү,ענף
139,Zweig::N,салаа,ענף
140,Blatt::N,навч,עלה
141,Birke::N,хус,שדר
142,Kiefer[Baum]::N,нарс,ארן
143,Weide[Baum]::N,уд,ערבה
144,Weide[Baum]::N,бургас,ערבה
145,Tanne::N,гачуур,אשוח
146,Horn::N,эвэр,קרן
147,Feder::N,өд,נוצה
148,Fell::N,арьс,פרוה
149,Flügel::N,жигүүр,כנף
150,Flügel::N,далавч,כנף
151,Klaue::N,савар,טלף
152,Klaue::N,хумс,טלף
153,Kralle::N,савар,טפר
154,Schwanz::N,сүүл,זנב
155,Ei::N,өндөг,ביצה
156,Nest::N,үүр,קן
157,Bau::N,нүх,מחלה
158,Bau::N,элүү,מחלה
159,Tier::N,амьтан,חיה
160,Tier::N,адгуус,חיה
161,Herde::N,сүрэг,עדר
162,Kuh::N,үнээ,פרה
163,Bulle::N,бух,פר
164,Pferd::N,морь,סוס
165,Pferd::N,адуу,סוס
166,Schaf::N,хонь,כבשה
167,Schwein::N,гахай,חזיר
168,Hund::N,нохой,כלב
169,Katze::N,муур,חתול
