,Concept_ID,tr,pl
0,Auge::N,göz,oko
1,Ohr::N,kulak,ucho
2,Nase::N,burun,nos
3,Mund::N,ağız,usta
4,Zahn::N,diş,ząb
5,Zunge::N,dil,język
6,Lippe::N,dudak,warga
7,Wange::N,yanak,policzek
8,Gesicht::N,yüz,twarz
9,Stirn::N,alın,czoło
10,Haar::N,saç,włos
11,Haar::N,saç,włosy
12,Schnurrbart::N,bıyık,wąsy
13,Bart::N,sakal,broda
14,Kinn::N,çene,podbródek
15,Kiefer[Anatomie]::N,çene,czeluść
16,Kehle::N,boğaz,gardło
17,Hals::N,boyun,szyja
18,Hals::N,gerdan,szyja
19,Genick::N,ense,kark
20,Kopf::N,baş,głowa
21,Kopf::N,kafa,głowa
22,Rücken::N,arka,plecy
23,Rücken::N,arka,grzbiet
24,Bauch::N,karın,brzuch
25,Nabel::N,göbek,pępek
26,Busen::N,koyun,biust
27,Brust::N,göğüs,pierś
28,Schulter::N,omuz,bark
29,Schulter::N,omuz,ramię
30,Arm::N,kol,ręka
31,Arm::N,kol,ramię
32,Ellenbogen::N,dirsek,łokieć
33,Hand::N,el,dłoń
34,Handfläche::N,avuç,dłoń
35,Handfläche::N,el ayası,dłoń
36,Finger::N,parmak,palec
37,Fingernagel::N,el tırnağı,paznokieć
38,Nagel[Anatomie]::N,tırnak,paznokieć
39,Zeh::N,ayak parmağı,palec
40,Fuß::N,ayak,stopa
41,Ferse::N,topuk,pięta
42,Knie::N,diz,kolano
43,Oberschenkel::N,uyluk,udo
44,Bein::N,bacak,noga
45,Körper::N,vücut,ciało
46,Haut::N,cilt,skóra
47,Blut::N,kan,krew
48,Ader::N,damar,żyła
49,Sehne::N,kiriş,ścięgno
50,Knochen::N,kemik,kość
51,Gehirn::N,beyin,mózg
52,Herz::N,kalp,serce
53,Herz::N,yürek,serce
54,Magen::N,mide,żołądek
55,Leber::N,karaciğer,wątroba
56,Atem::N,nefes,dech
57,Atem::N,nefes,oddech
58,Hunger::N,açlık,głód
59,Träne::N,gözyaşı,łza
60,Geschmack::N,tat,smak
61,Geschmack::N,lezzet,smak
62,Geruch::N,koku,woń
63,Geruch::N,koku,zapach
64,Schlaf::N,uyku,sen
65,Traum::N,düş,sen
66,Traum::N,rüya,sen
67,Himmel::N,gök,niebo
68,Sonne::N,güneş,słońce
69,Mond::N,ay,księżyc
70,Stern::N,yıldız,gwiazda
71,Luft::N,hava,powietrze
72,Wind::N,yel,wiatr
73,Wind::N,rüzgâr,wiatr
74,Welle::N,dalga,fala
75,Wasser::N,su,woda
76,Stein::N,taş,kamień
77,Boden::N,yer,grunt
78,Boden::N,zemin,grunt
79,Erde::N,toprak,ziemia
80,Staub::N,toz,pył
81,Staub::N,toz,kurz
82,Rauch::N,duman,dym
83,Funke::N,kıvılcım,iskra
84,Feuer::N,ateş,ogień
85,Licht::N,ışık,światło
86,Schatten::N,gölge,cień
87,Wetter::N,hava,pogoda
88,Nebel::N,pus,mgła
89,Wolke::N,bulut,obłok
90,Wolke::N,bulut,chmura
91,Regen::N,yağmur,deszcz
92,Schnee::N,kar,śnieg
93,Eis::N,buz,lód
94,Frost::N,don,mróz
95,Kälte::N,soğukluk,chłód
96,Hitze::N,sıcaklık,gorąco
97,Raureif::N,kırç,szron
98,Regenbogen::N,gökkuşağı,tęcza
99,Donner::N,gök gürlemesi,grzmot
100,Strömung::N,akıntı,nurt
101,Strömung::N,cereyan,nurt
102,Tropfen::N,damla,kropla
103,Schaum::N,köpük,piana
104,Schmutz::N,çamur,brud
105,Schmutz::N,pislik,brud
106,See::N,göl,jezioro
107,Sumpf::N,batak,bagno
108,Moor::N,cılgıt,bagno
109,Wiese::N,çimen,łąka
110,Wald::N,koru,las
111,Wald::N,orman,las
112,Hügel::N,tepe,pagórek
113,Anhöhe::N,tümsek,wzgórze
114,Anhöhe::N,yükseklik,wzgórze
115,Berg::N,dağ,góra
116,Gipfel::N,zirve,szczyt
117,Gipfel::N,zirve,wierzchołek
118,Höhle::N,in,pieczara
119,Höhle::N,mağara,pieczara
120,Abhang::N,bayır,stok
121,Abhang::N,bayır,zbocze
122,Quelle::N,pınar,zdrój
123,Quelle::N,pınar,źródło
124,Quelle::N,kaynak,zdrój
125,Quelle::N,kaynak,źródło
126,Bach::N,çay,potok
127,Bach::N,çay,strumień
128,Bach::N,dere,potok
129,Bach::N,dere,strumień
130,Fluss::N,nehir,rzeka
131,Ufer::N,kıyı,brzeg
132,Ufer::N,sahil,brzeg
133,Küste::N,kıyı,wybrzeże
134,Küste::N,sahil,wybrzeże
135,Festland::N,kara,ląd
136,Meer::N,deniz,morze
137,Bucht::N,koy,zatoka
138,Bucht::N,körfez,zatoka
139,Insel::N,ada,wyspa
140,Blume::N,çiçek,kwiat
141,Gras::N,ot,trawa
142,Gras::N,çim,trawa
143,Wurzel::N,kök,korzeń
144,Baum::N,ağaç,drzewo
145,Stamm::N,gövde,pień
146,Rinde::N,kabuk,kora
147,Ast::N,dal,gałąź
148,Ast::N,budak,gałąź
149,Zweig::N,dal,gałąź
150,Blatt::N,yaprak,liść
151,Birke::N,huş,brzoza
