,Concept_ID,hy,ml
0,Auge::N,աչք,കണ്ണ്
1,Ohr::N,ականջ,ചെവി
2,Nase::N,քիթ,മൂക്ക്
3,Mund::N,բերան,വായ
4,Zahn::N,ատամ,പല്ല്
5,Zunge::N,լեզու,നാക്ക്
6,Lippe::N,շրթունք,ചുണ്ട്
7,Wange::N,այտ,കവിൾത്തടം
8,Wange::N,թուշ,കവിൾത്തടം
9,Gesicht::N,դեմք,മുഖം
10,Stirn::N,ճակատ,നെറ്റി
11,Haar::N,մազ,തലമുടി
12,Schnurrbart::N,բեղ,മീശ
13,Bart::N,մորուք,താടിരോമം
14,Kinn::N,կզակ,താടി
15,Kiefer[Anatomie]::N,ծնոտ,താടിയെല്ല്
16,Kehle::N,կոկորդ,കണ്ഠനാളം
17,Hals::N,վիզ,കഴുത്ത്
18,Hals::N,պարանոց,കഴുത്ത്
19,Genick::N,ծոծրակ,പിടലി
20,Kopf::N,գլուխ,തല
21,Rücken::N,մեջք,മുതുക്
22,Bauch::N,փոր,നയറ്
23,Bauch::N,որովայն,നയറ്
24,Nabel::N,պորտ,നാഭി
25,Busen::N,ծոց,സ്തനം
26,Brust::N,կուրծք,സ്തനം
27,Schulter::N,ուս,തോൾ
28,Arm::N,թեւ,കൈ
29,Arm::N,բազուկ,കൈ
30,Ellenbogen::N,արմունկ,കൈമുട്ട്
31,Hand::N,ձեռք,കൈ
32,Handfläche::N,ափ,ഉള്ളം കൈ
33,Finger::N,մատ,വിരൽ
34,Fingernagel::N,եղունգ,നഖം
35,Nagel[Anatomie]::N,եղունգ,നഖം
36,Zeh::N,ոտքի մատ,കാൽവിരൽ
37,Fuß::N,ոտք,കാൽപ്പാദം
38,Ferse::N,գարշապար,ഉപ്പൂറ്റി
39,Knie::N,ծունկ,കാൽമുട്ട്
40,Oberschenkel::N,ազդր,തുട
41,Bein::N,ոտք,കാൽ
42,Körper::N,մարմին,ശരീരം
43,Haut::N,մաշկ,ചർമ്മം
44,Blut::N,արյուն,രക്തം
45,Ader::N,երակ,ഞരമ്പ്
46,Sehne::N,ջիղ,സ്നായു
47,Sehne::N,ձգտան,സ്നായു
48,Knochen::N,ոսկոր,അസ്ഥി
49,Gehirn::N,խելք,തലച്ചോറ്
50,Herz::N,սիրտ,ഹൃദയം
51,Magen::N,ստամոքս,വയർ
52,Leber::N,լյարդ,കരൾ
53,Atem::N,շունչ,ശ്വാസം
54,Hunger::N,քաղց,വിശപ്പ്
55,Träne::N,արտասուք,കണ്ണീർ
56,Geschmack::N,համ,രുചി
57,Geschmack::N,բուրմունք,രുചി
58,Geruch::N,հոտ,ഗന്ധം
59,Geruch::N,բուրում,ഗന്ധം
60,Schlaf::N,քուն,ഉറകും
61,Traum::N,երազ,സ്വപ്നം
62,Himmel::N,երկինք,ആകാശം
63,Sonne::N,արեւ,സൂര്യൻ
64,Mond::N,լուսին,ചന്ദ്രൻ
