,Concept_ID,ba,he
0,Auge::N,күҙ,עין
1,Ohr::N,ҡолаҡ,אזן
2,Nase::N,танау,אף
3,Nase::N,танау,חטם
4,Mund::N,ауыҙ,פה
5,Zahn::N,теш,שן
6,Zunge::N,тел,לשון
7,Lippe::N,ирен,שפה
8,Wange::N,яцаҡтар,לחי
9,Gesicht::N,бит,פנים
10,Stirn::N,маңлай,מצח
11,Haar::N,сәс,שערה
12,Schnurrbart::N,мылтыҡ,שפם
13,Bart::N,һаҡал,זקן
14,Kinn::N,эйэк,סנטר
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,לסת
16,Kehle::N,тамаҡ,גרון
17,Hals::N,муйын,צואר
18,Genick::N,соңҡа,ערף
19,Kopf::N,баш,ראש
20,Rücken::N,арҡа,גב
21,Bauch::N,ҡорһаҡ,בטן
22,Nabel::N,кендек,טבור
23,Busen::N,күкрәк,שד
24,Brust::N,түш,חזה
25,Schulter::N,яурын,כתף
26,Arm::N,ҡул,זרוע
27,Ellenbogen::N,терһәк,מרפק
28,Hand::N,ҡул,יד
29,Hand::N,ҡул суғы,יד
30,Handfläche::N,ус төбө,כף יד
31,Finger::N,бармаҡ,אצבע
32,Fingernagel::N,тырнаҡ,צפרן
33,Nagel[Anatomie]::N,тырнаҡ,צפרן
34,Zeh::N,бармаҡ,אצבע
35,Fuß::N,табан,רגל
36,Ferse::N,үксә,עקב
37,Knie::N,тубыҡ,ברך
38,Oberschenkel::N,сандыр,ירך
39,Bein::N,аяҡ,רגל
40,Körper::N,тән,גוף
41,Haut::N,тире,עור
42,Blut::N,ҡан,דם
43,Ader::N,тамыр,וריד
44,Sehne::N,һеңер,גיד
45,Sehne::N,тарамыш,גיד
46,Knochen::N,һойәк,עצם
47,Gehirn::N,мейе,מוח
48,Herz::N,йорәк,לב
49,Magen::N,ашҡаҙан,קבה
50,Leber::N,бауыр,כבד
51,Atem::N,һулыш,נשימה
52,Hunger::N,аслыҡ,רעב
53,Träne::N,күҙ иәше,דמעה
54,Geschmack::N,тәм,טעם
55,Geruch::N,еҫ,ריח
56,Schlaf::N,йоҡлау,שנה
57,Traum::N,төш,חלום
58,Himmel::N,күк,שמים
59,Sonne::N,ҡояш,שמש
60,Mond::N,ай,ירח
61,Stern::N,йондоҙ,כוכב
62,Luft::N,һауа,אויר
63,Wind::N,ел,רוח
64,Welle::N,тулҡын,גל
65,Wasser::N,һыу,מים
66,Stein::N,таш,אבן
67,Boden::N,тупраҡ,קרקע
68,Erde::N,балсҡ,אדמה
69,Staub::N,туҙан,אבק
70,Rauch::N,төтөн,עשן
71,Funke::N,осҡон,ניצוץ
72,Feuer::N,ут,אש
73,Licht::N,яҡтылыҡ,אור
74,Schatten::N,күләгә,צל
75,Wetter::N,һауа торошо,מזג אויר
76,Nebel::N,төман,ערפל
77,Wolke::N,болот,ענן
78,Regen::N,ямғыр,גשם
79,Schnee::N,ҡар,שלג
80,Eis::N,боҙ,קרח
81,Frost::N,һалҡын,צנה
82,Kälte::N,һыуыҡ,קר
83,Hitze::N,томра,חם
84,Hitze::N,эҫелек,חם
85,Raureif::N,ҡырау,כפור
86,Regenbogen::N,йәйғор,קשת
87,Donner::N,күк күкрәү,רעם
88,Strömung::N,ағым,זרימה
89,Tropfen::N,тамсы,טפה
90,Schaum::N,күбек,קצף
91,Schmutz::N,батҡаҡ,לכלוך
92,See::N,күл,אגם
93,Sumpf::N,һаҙлык,בצה
94,Moor::N,һаҙ,בצה
95,Wiese::N,болон,מרעה
96,Wald::N,урман,יער
97,Hügel::N,түбә,תל
98,Anhöhe::N,түбә,מעלה
99,Anhöhe::N,ҡалҡыулыҡ,מעלה
100,Berg::N,тау,הר
101,Gipfel::N,түбә,פסגה
102,Höhle::N,мәмерйә,מערה
103,Abhang::N,ипкен,מדרון
104,Abhang::N,ипкен,שפוע
105,Quelle::N,шишмә,מעין
106,Bach::N,шишмә,נחל
107,Fluss::N,йылға,נהר
108,Ufer::N,яр,גדה
109,Küste::N,яр буйы,חוף
110,Festland::N,ҡоро ер,יבשה
111,Meer::N,диңгез,ים
112,Bucht::N,бухта,מפרץ
113,Insel::N,үтрау,אי
114,Blume::N,сәскә,פרח
115,Gras::N,үлән,דשא
116,Wurzel::N,тамыр,שרש
117,Baum::N,ағас,עץ
118,Stamm::N,олон,גזע
119,Stamm::N,көбәк,גזע
120,Rinde::N,ҡабыҡ,קלפת עץ
121,Ast::N,ботаҡ,ענף
122,Zweig::N,ботаҡ,ענף
123,Zweig::N,тармаҡ,ענף
124,Blatt::N,япраҡ,עלה
125,Birke::N,ҡайын,שדר
126,Kiefer[Baum]::N,ҡарғай,ארן
127,Weide[Baum]::N,тал,ערבה
128,Tanne::N,шыршы,אשוח
129,Horn::N,мөғөҙ,קרן
130,Feder::N,ҡауырһын,נוצה
131,Fell::N,тире,פרוה
132,Flügel::N,ҡанат,כנף
133,Klaue::N,тырнаҡ,טלף
134,Kralle::N,аяҡ,טפר
135,Schwanz::N,ҡойроҡ,זנב
136,Ei::N,йомортҡа,ביצה
137,Nest::N,оя,קן
138,Bau::N,оң,מחלה
139,Tier::N,жайуан,חיה
140,Tier::N,йыртҡыс,חיה
141,Herde::N,көтөү,עדר
142,Kuh::N,һыйыр,פרה
143,Bulle::N,үгеҙ,פר
144,Pferd::N,ат,סוס
145,Schaf::N,һарыҡ,כבשה
146,Schwein::N,сусҡа,חזיר
147,Hund::N,эт,כלב
148,Katze::N,бесәй,חתול
149,Bär::N,айыу,דב
150,Eichhörnchen::N,тейен,סנאי
151,Elch::N,мышы,דישון
152,Fuchs::N,төлкө,שועל
153,Hase::N,ҡуян,ארנב
154,Maus::N,сысҡан,עכבר
155,Wolf::N,бүре,זאב
156,Vogel::N,ҡош,צפור
157,Schwarm::N,көтөү,נחיל
158,Schwarm::N,көтөү,להקה
159,Huhn::N,тауыҡ,תרנגלת
160,Hahn::N,әтәс,תרנגול
161,Gans::N,ҡаҙ,אוז
162,Adler::N,бөркөт,עיט
163,Ente::N,өйрәк,ברוז
164,Eule::N,өкө,ינשוף
165,Eule::N,ябалаҡ,ינשוף
166,Kranich::N,торна,עגור
167,Kranich::N,торна,כרוכיה
168,Krähe::N,ҡарға,עורב
169,Kuckuck::N,кәкүк,קוקיה
170,Schwan::N,аҡҡош,ברבור
171,Fisch::N,балыҡ,דג
172,Barsch::N,алабуға,אוקונוס
173,Hecht::N,суртан,זאב הים
174,Schlange[Tier]::N,йылан,נחש
175,Wurm::N,селяүсен,תולעת
176,Spinne::N,үрмәксе,עכביש
177,Ameise::N,ҡырмыҫҡа,נמלה
178,Laus::N,бет,כנה
179,Mücke::N,серәкәй,יתוש
180,Fliege::N,себен,זבוב
181,Schmetterling::N,күбәләк,פרפר
182,Beere::N,еләк,ענבה
183,Apfel::N,алма,תפוח
184,Pilz::N,бәшмәк,פטריה
185,Zwiebel::N,һуган,בצל
186,Saat::N,орлоҡ,זרעים
187,Korn::N,иген,גרעין
188,Heu::N,бесән,חציר
189,Schale::N,ҡабыҡ,קלפה
190,Grube::N,соҡор,בור
191,Grube::N,соҡор,שוחה
192,Falle::N,тоҙак,מלכדת
193,Falle::N,ҡапҡан,מלכדת
194,Schlinge::N,тоҙак,לולאה
195,Spur::N,әҫер,עקבה
196,Asche::N,көл,אפר
197,Dreck::N,батҡаҡ,זהמה
198,Eisen::N,тимер,ברזל
199,Gold::N,алтын,זהב
200,Silber::N,көмөш,כסף
201,Kohle::N,күмер,פחם
202,Glas::N,быяла,זכוכית
203,Lehm::N,балсыҡ,חרסית
204,Sand::N,ҡом,חול
205,Mensch::N,кеше,אדם
206,Mann::N,ир,איש
207,Mann::N,ир,גבר
208,Frau::N,ҡатын,אשה
209,Frau::N,ҡатын,גברת
210,Kind::N,бала,ילד
