,Concept_ID,cs,no
0,Auge::N,oko,øye
1,Ohr::N,ucho,øre
2,Nase::N,nos,nese
3,Mund::N,pusa,munn
4,Zahn::N,zub,tann
5,Zunge::N,jazyk,tunge
6,Lippe::N,ret,leppe
7,Wange::N,tvář,kinn
8,Gesicht::N,obličej,fjes
9,Gesicht::N,obličej,ansikt
10,Stirn::N,čelo,panne
11,Haar::N,vlas,hår
12,Haar::N,vlasy,hår
13,Schnurrbart::N,kníry,bart
14,Bart::N,vousy,skjegg
15,Kinn::N,brada,hake
16,Kiefer[Anatomie]::N,čelist,kjeve
17,Kehle::N,hrdlo,strupe
18,Hals::N,krk,hals
19,Genick::N,týl,nakke
20,Kopf::N,hlava,hode
21,Rücken::N,záda,rygg
22,Rücken::N,hřbet,rygg
23,Bauch::N,břicho,buk
24,Bauch::N,břicho,mage
25,Nabel::N,pupek,navle
26,Busen::N,ňadra,barm
27,Brust::N,prsa,bryst
28,Schulter::N,plece,skulder
29,Schulter::N,rameno,skulder
30,Arm::N,ruka,arm
31,Ellenbogen::N,loket,albue
32,Hand::N,ruka,hånd
33,Handfläche::N,dlaň,håndflate
34,Finger::N,prst,finger
35,Fingernagel::N,nehet,fingernegl
36,Nagel[Anatomie]::N,nehet,negl
37,Zeh::N,prst u nohy,tå
38,Fuß::N,noha,fot
39,Ferse::N,pata,hæl
40,Knie::N,koleno,kne
41,Oberschenkel::N,stehno,lår
42,Bein::N,noha,bein
43,Körper::N,tělo,kropp
44,Körper::N,tělo,legeme
45,Haut::N,kůže,hud
46,Haut::N,kůže,skinn
47,Blut::N,krev,blod
48,Ader::N,céva,åre
49,Sehne::N,šlacha,sene
50,Knochen::N,kost,bein
51,Knochen::N,kost,knokkel
52,Gehirn::N,mozek,hjerne
53,Herz::N,srdce,hjerte
54,Magen::N,žaludek,mage
55,Leber::N,játra,lever
56,Atem::N,dech,pust
57,Hunger::N,hlad,sult
58,Träne::N,slza,tåre
59,Geschmack::N,vkus,smak
60,Geruch::N,vůně,lukt
61,Geruch::N,zápach,lukt
62,Schlaf::N,spánek,søvn
63,Traum::N,sen,drøm
64,Himmel::N,nebe,himmel
65,Sonne::N,slunce,sol
66,Mond::N,měsíc,måne
67,Stern::N,hvězda,stjerne
68,Luft::N,vzduch,luft
69,Wind::N,vítr,vind
70,Welle::N,vlna,bølge
71,Wasser::N,voda,vann
72,Stein::N,kámen,stein
73,Boden::N,půda,bakke
74,Erde::N,země,jord
75,Staub::N,prach,støv
76,Rauch::N,dým,røyk
77,Rauch::N,kouř,røyk
78,Funke::N,jiskra,gnist
79,Feuer::N,oheň,ild
80,Licht::N,světlo,lys
81,Schatten::N,stín,skygge
82,Wetter::N,počasí,vær
83,Nebel::N,mlha,tåke
84,Wolke::N,mrak,sky
85,Wolke::N,oblak,sky
86,Regen::N,déšť,regn
87,Schnee::N,sníh,snø
88,Eis::N,led,is
89,Frost::N,mráz,frost
90,Kälte::N,chlad,kulde
91,Hitze::N,horko,hete
92,Raureif::N,jinovatka,rimfrost
93,Regenbogen::N,duha,regnbue
94,Donner::N,hrom,torden
95,Strömung::N,proudění,strømning
96,Tropfen::N,kapka,dråpe
97,Schaum::N,pěna,skum
98,Schmutz::N,špína,søl
99,Schmutz::N,špína,skitt
100,See::N,jezero,sjø
101,Sumpf::N,močál,sump
102,Sumpf::N,močál,myrlende
103,Sumpf::N,bažina,sump
104,Sumpf::N,bažina,myrlende
105,Moor::N,bažina,myr
106,Moor::N,bažina,myrhei
107,Moor::N,slatina,myr
108,Moor::N,slatina,myrhei
109,Wiese::N,louka,eng
110,Wald::N,les,skog
111,Hügel::N,kopec,haug
112,Hügel::N,kopec,bakke
113,Anhöhe::N,pahorek,haug
114,Anhöhe::N,pahorek,bakke
115,Berg::N,hora,berg
116,Berg::N,hora,fjell
117,Gipfel::N,vrchol,topp
118,Höhle::N,jeskyně,hule
119,Abhang::N,svah,li
120,Abhang::N,svah,skråning
121,Abhang::N,stráň,li
122,Abhang::N,stráň,skråning
123,Quelle::N,pramen,kilde
124,Bach::N,potok,bekk
125,Fluss::N,řeka,elv
126,Ufer::N,břeh,bredd
127,Küste::N,pobřeží,kyst
128,Festland::N,souš,fastland
129,Festland::N,pevnina,fastland
130,Meer::N,moře,hav
131,Bucht::N,záliv,bukt
132,Bucht::N,zátoka,bukt
133,Insel::N,ostrov,øy
134,Blume::N,květina,blomst
135,Gras::N,tráva,gress
136,Wurzel::N,kořen,rot
137,Baum::N,strom,tre
138,Stamm::N,kmen,stamme
139,Rinde::N,kůra,bark
140,Ast::N,větev,gren
141,Zweig::N,větev,kvist
142,Blatt::N,lupen,blad
143,Birke::N,bříza,bjørk
144,Kiefer[Baum]::N,sosna,furu
145,Kiefer[Baum]::N,borovice,furu
146,Weide[Baum]::N,vrba,selje
147,Weide[Baum]::N,vrba,piletre
148,Tanne::N,jedle,gran
149,Horn::N,roh,horn
150,Feder::N,pero,fjær
151,Fell::N,srst,skinn
152,Flügel::N,křídlo,vinge
153,Klaue::N,dráp,klauv
154,Klaue::N,pazneht,klauv
155,Kralle::N,dráp,klo
156,Schwanz::N,ocas,hale
157,Ei::N,vejce,egg
158,Nest::N,hnízdo,rede
159,Bau::N,nora,hi
160,Tier::N,zvíře,dyr
161,Herde::N,stádo,flokk
162,Kuh::N,kráva,ku
163,Bulle::N,býk,tyr
164,Pferd::N,kůň,hest
165,Schaf::N,ovce,får
166,Schwein::N,vepř,gris
167,Schwein::N,prase,gris
168,Hund::N,pes,hund
169,Katze::N,kočka,katt
170,Bär::N,medvěd,bjørn
171,Eichhörnchen::N,veverka,ekorn
172,Elch::N,los,elg
173,Fuchs::N,liška,rev
174,Hase::N,zajíc,hare
175,Maus::N,myš,mus
176,Wolf::N,vlk,ulv
177,Wolf::N,vlk,varg
178,Vogel::N,pták,fugl
179,Schwarm::N,roj,sverm
180,Schwarm::N,hejno,sverm
181,Huhn::N,kuře,høne
182,Huhn::N,slepice,høne
183,Hahn::N,kohout,hane
184,Gans::N,husa,gås
185,Adler::N,orel,ørn
186,Ente::N,kachna,and
187,Eule::N,sova,ugle
188,Kranich::N,jeřáb,trane
189,Krähe::N,vrána,kråke
190,Kuckuck::N,kukačka,gjøk
191,Schwan::N,labuť,svane
192,Fisch::N,ryba,fisk
193,Barsch::N,okoun,abbor
194,Hecht::N,štika,gjedde
195,Schlange[Tier]::N,had,orm
196,Schlange[Tier]::N,had,slange
197,Wurm::N,červ,orm
198,Wurm::N,červ,mark
199,Spinne::N,pavouk,edderkopp
200,Ameise::N,mravenec,maur
201,Laus::N,veš,lus
202,Mücke::N,komár,mygg
203,Fliege::N,moucha,flue
204,Schmetterling::N,motýl,sommerfugl
205,Beere::N,bobule,bær
206,Apfel::N,jablko,eple
207,Pilz::N,houba,sopp
208,Zwiebel::N,cibule,løk
209,Saat::N,osivo,sæd
210,Korn::N,zrno,korn
211,Heu::N,seno,høy
212,Schale::N,slupka,skall
213,Schale::N,skořápka,skall
214,Grube::N,jáma,grop
215,Falle::N,past,felle
216,Falle::N,léčka,felle
217,Schlinge::N,smyčka,snare
218,Spur::N,stopa,spor
219,Asche::N,popel,aske
220,Dreck::N,špína,møkk
221,Dreck::N,špína,skitt
222,Eisen::N,železo,jern
223,Gold::N,zlato,gull
224,Silber::N,stříbro,sølv
225,Kohle::N,uhlí,kol
226,Kohle::N,uhlí,kull
227,Glas::N,sklo,glass
228,Lehm::N,jíl,leire
229,Lehm::N,hlína,leire
230,Sand::N,písek,sand
231,Mensch::N,člověk,menneske
232,Mann::N,muž,mann
233,Frau::N,žena,kvinne
234,Kind::N,dítě,barn
235,Junge::N,hoch,gutt
236,Junge::N,chlapec,gutt
237,Mädchen::N,děvče,pike
238,Mädchen::N,děvče,jente
239,Familie::N,rodina,familie
240,Großvater::N,děd,bestefar
241,Großvater::N,dědeček,bestefar
242,Großmutter::N,babička,bestemor
243,Eltern::N,rodiče,foreldre
244,Vater::N,otec,far
245,Mutter::N,matka,mor
246,Sohn::N,syn,sønn
247,Tochter::N,dcera,datter
248,Bruder::N,bratr,bror
249,Schwester::N,sestra,søster
250,Onkel::N,strýc,onkel
251,Tante::N,teta,tante
252,Ehemann::N,choť,ektemann
253,Ehemann::N,manžel,ektemann
254,Ehefrau::N,choť,hustru
255,Ehefrau::N,manželka,hustru
256,Freude::N,radost,glede
257,Gelächter::N,smích,latter
258,Glück::N,štěstí,lykke
259,Kummer::N,žal,sorg
260,Kummer::N,trápení,sorg
261,Wunsch::N,přání,ønske
262,Lust::N,chuť,lyst
263,Geist::N,duch,ånd
264,Gedanke::N,myšlenka,tanke
