,Concept_ID,ja,be
0,Auge::N,目,вока
1,Ohr::N,耳,вуха
2,Nase::N,鼻,нос
3,Mund::N,口,рот
4,Zahn::N,歯,зуб
5,Zunge::N,舌,язык
6,Lippe::N,唇,губа
7,Wange::N,頬,шчака
8,Gesicht::N,顔,твар
9,Stirn::N,額,лоб
10,Haar::N,髪,волас
11,Haar::N,髪,валасы
12,Schnurrbart::N,口髭,вус
13,Schnurrbart::N,口髭,вусы
14,Bart::N,髭,барада
15,Kinn::N,顎,падбародак
16,Kiefer[Anatomie]::N,顎,сківіца
17,Kehle::N,喉,горла
18,Hals::N,首,шыя
19,Genick::N,首,патыліца
20,Kopf::N,頭,галава
21,Rücken::N,背中,спіна
22,Bauch::N,腹,жывот
23,Bauch::N,お腹,жывот
24,Nabel::N,へそ,пупок
25,Busen::N,乳房,грудзі
26,Brust::N,胸,грудзі
27,Schulter::N,肩,плячо
28,Arm::N,腕,рука
29,Ellenbogen::N,肘,локаць
30,Hand::N,手,кісць
31,Handfläche::N,手のひら,далонь
32,Finger::N,指,палец
33,Fingernagel::N,爪,ногаць
34,Nagel[Anatomie]::N,爪,ногаць
35,Zeh::N,足の指,палец
36,Fuß::N,足,нага
37,Ferse::N,かかと,пята
38,Ferse::N,かかと,пятка
39,Knie::N,膝,калена
40,Oberschenkel::N,上腿,бядро
41,Oberschenkel::N,上腿,сцягно
42,Bein::N,足,нага
43,Körper::N,体,цела
44,Haut::N,皮膚,скура
45,Blut::N,血,кроў
46,Ader::N,血管,вена
47,Ader::N,血管,сасуд
48,Sehne::N,腱,жыла
49,Sehne::N,腱,цеціва
50,Sehne::N,腱,сухажылле
51,Knochen::N,骨,косць
52,Gehirn::N,脳,мозг
53,Herz::N,心,сэрца
54,Herz::N,心臓,сэрца
55,Magen::N,胃,страўнік
56,Leber::N,肝臓,печань
57,Atem::N,息,дыханне
58,Atem::N,呼吸,дыханне
59,Hunger::N,空腹,голад
60,Träne::N,涙,сляза
61,Geschmack::N,味,смак
62,Geruch::N,匂い,пах
63,Schlaf::N,睡眠,сон
64,Traum::N,夢,сон
65,Himmel::N,空,неба
66,Sonne::N,太陽,сонца
67,Mond::N,月,месяц
68,Stern::N,星,зорка
69,Luft::N,空気,паветра
70,Wind::N,風,вецер
71,Welle::N,波,хваля
72,Wasser::N,水,вада
73,Stein::N,石,камень
74,Boden::N,土地,глеба
75,Erde::N,土,зямля
76,Staub::N,埃,пыл
77,Rauch::N,煙,дым
78,Funke::N,火花,іскра
79,Feuer::N,火,агонь
80,Licht::N,光,святло
81,Schatten::N,陰,цень
82,Wetter::N,天気,пагода
83,Wetter::N,天気,надворʼе
84,Nebel::N,霧,туман
85,Wolke::N,雲,воблака
86,Regen::N,雨,дождж
87,Schnee::N,雪,снег
88,Eis::N,氷,лёд
89,Frost::N,霜,мароз
90,Kälte::N,寒さ,холад
91,Hitze::N,暑さ,спёка
92,Raureif::N,霧氷,іней
93,Regenbogen::N,虹,вясёлка
94,Donner::N,雷,гром
95,Strömung::N,流れ,цячэнне
96,Tropfen::N,滴,кропля
97,Schaum::N,泡,пена
98,Schmutz::N,汚れ,гразь
99,See::N,湖,возера
100,Sumpf::N,沼,багна
101,Moor::N,湿原,балота
102,Wiese::N,草原,луг
103,Wald::N,森,лес
104,Hügel::N,丘,узгорак
105,Anhöhe::N,高み,узвышша
106,Berg::N,山,гара
107,Gipfel::N,頂上,вяршыня
108,Höhle::N,洞窟,пячора
109,Abhang::N,斜面,схіл
110,Quelle::N,泉,крыніца
111,Bach::N,小川,ручай
112,Fluss::N,川,рака
113,Ufer::N,岸,бераг
114,Küste::N,海岸,узбярэжжа
115,Festland::N,陸,суша
116,Meer::N,海,мора
117,Bucht::N,湾,бухта
118,Insel::N,島,востраў
119,Blume::N,花,кветка
120,Gras::N,草,трава
121,Wurzel::N,根,корань
122,Baum::N,木,дрэва
123,Stamm::N,幹,ствол
124,Rinde::N,皮層,кара
125,Ast::N,枝,сук
126,Zweig::N,小枝,галіна
127,Blatt::N,葉,ліст
128,Birke::N,樺,бяроза
129,Kiefer[Baum]::N,松,хвоя
130,Kiefer[Baum]::N,松,сасна
131,Weide[Baum]::N,柳,вярба
132,Tanne::N,樅,яліна
133,Horn::N,角,рог
134,Feder::N,羽根,пяро
135,Fell::N,毛皮,шкура
136,Flügel::N,羽,крыло
137,Klaue::N,鉤爪,кіпцюр
138,Kralle::N,爪,лапа
139,Schwanz::N,尻尾,хвост
140,Ei::N,卵,яйка
141,Nest::N,巣,гняздо
142,Bau::N,穴,нара
143,Tier::N,動物,жывёла
144,Herde::N,群れ,статак
145,Kuh::N,牛,карова
146,Bulle::N,雄牛,бык
147,Pferd::N,馬,конь
148,Schaf::N,羊,авечка
149,Schwein::N,豚,свіння
150,Hund::N,犬,сабака
151,Katze::N,猫,кошка
152,Bär::N,熊,мядзведзь
153,Eichhörnchen::N,栗鼠,вавёрка
154,Elch::N,ヘラジカ,лось
155,Fuchs::N,狐,ліса
156,Hase::N,兎,заяц
157,Maus::N,鼠,мыш
158,Wolf::N,狼,воўк
159,Vogel::N,鳥,птах
160,Vogel::N,鳥,птушка
161,Schwarm::N,群れ,чарада
162,Huhn::N,鶏,курыца
163,Hahn::N,雄鶏,певень
164,Gans::N,ガチョウ,гусь
165,Adler::N,鷲,арол
166,Ente::N,鴨,качка
167,Eule::N,フクロウ,сава
168,Kranich::N,鶴,жораў
169,Kranich::N,鶴,журавель
170,Krähe::N,烏,варона
171,Kuckuck::N,郭公,зязюля
172,Schwan::N,白鳥,лебедзь
173,Fisch::N,魚,рыба
174,Barsch::N,鱸,акунь
175,Hecht::N,川魳,шчупак
176,Schlange[Tier]::N,蛇,змяя
177,Wurm::N,虫,чарвяк
178,Spinne::N,蜘蛛,павук
179,Ameise::N,蟻,мурашка
180,Laus::N,虱,вош
181,Mücke::N,蚊,камар
182,Fliege::N,蝿,муха
183,Schmetterling::N,蝶,матыль
184,Beere::N,漿果,ягада
185,Apfel::N,林檎,яблык
186,Pilz::N,茸,грыб
187,Zwiebel::N,玉葱,цыбуля
188,Saat::N,種,семя
189,Korn::N,粒,зерне
190,Heu::N,干し草,сена
191,Schale::N,皮,шалупінне
192,Grube::N,穴,яма
193,Falle::N,わな,пастка
194,Schlinge::N,輪,сіло
195,Spur::N,跡,след
196,Asche::N,灰,попел
197,Dreck::N,泥,бруд
198,Eisen::N,鉄,жалеза
199,Gold::N,金,золата
200,Silber::N,銀,сребра
201,Kohle::N,炭,вугаль
202,Glas::N,ガラス,шкло
203,Lehm::N,ローム,гліна
204,Sand::N,砂,пясок
205,Mensch::N,人,чалавек
206,Mann::N,男,мужчына
207,Mann::N,男性,мужчына
208,Frau::N,女,жанчына
209,Frau::N,女性,жанчына
210,Kind::N,子,дзіця
211,Kind::N,子供,дзіця
212,Junge::N,男の子,хлопчык
213,Mädchen::N,女の子,дзяўчынка
214,Familie::N,家族,сямʼя
215,Großvater::N,祖父,дзядуля
216,Großvater::N,おじいさん,дзядуля
217,Großmutter::N,祖母,бабуля
218,Großmutter::N,おばあさん,бабуля
219,Eltern::N,親,бацькі
220,Eltern::N,両親,бацькі
221,Vater::N,父,бацька
222,Vater::N,お父さん,бацька
223,Mutter::N,母,маці
224,Mutter::N,お母さん,маці
225,Sohn::N,息子,сын
226,Sohn::N,息子さん,сын
227,Tochter::N,娘,дачка
228,Tochter::N,お嬢さん,дачка
229,Bruder::N,弟,брат
230,Schwester::N,妹,сястра
231,Onkel::N,伯父,дзядзька
232,Onkel::N,伯父さん,дзядзька
233,Tante::N,叔母,цётка
234,Tante::N,叔母さん,цётка
235,Ehemann::N,夫,муж
236,Ehemann::N,主人,муж
237,Ehefrau::N,妻,жонка
238,Ehefrau::N,奥さん,жонка
239,Freude::N,喜び,радасць
240,Gelächter::N,笑い,смех
241,Glück::N,幸せ,шчасце
242,Kummer::N,悩み,гора
243,Wunsch::N,希望,жаданне
244,Lust::N,気,цяга
245,Geist::N,精神,дух
246,Gedanke::N,考え,думка
247,Gedächtnis::N,記憶,памяць
248,Verstand::N,理解力,розум
249,Sinn::N,意味,сэнс
250,Grund::N,理由,зачэпка
251,Wahrheit::N,真実,праўда
252,Gespräch::N,会話,размова
253,Märchen::N,童話,казка
254,Erzählung::N,物語,расказ
255,Erzählung::N,物語,апавяданне
256,Nachricht::N,報告,вестка
257,Nachricht::N,報告,паведамленне
258,Neuigkeit::N,ニュース,навіна
259,Name::N,名前,імя
260,Rätsel::N,謎,загадка
261,Rede::N,演説,прамова
262,Sprache::N,言語,мова
263,Stimme::N,声,голас
264,Wort::N,言葉,слова
265,Zeichen::N,記号,знак
266,Ruf::N,呼び声,кліч
267,Lärm::N,騒音,шум
268,Laut::N,音,гук
269,Ton::N,音,гучанне
270,Lied::N,歌,песня
271,Ruhe::N,静けさ,спакой
272,Leute::N,人々,людзі
273,Volk::N,民族,народ
274,Arbeit::N,仕事,праца
275,Arbeit::N,仕事,работа
276,Gast::N,客,госць
277,Geschenk::N,贈り物,падарунак
278,Spiel::N,遊び,гульня
279,Gesellschaft::N,社会,таварыства
280,Hilfe::N,援助,дапамога
281,Freund::N,友達,друг
282,Freund::N,友達,сябар
283,Kamerad::N,同志,прыяцель
284,Angelegenheit::N,件,справа
285,Anzahl::N,数,колькасць
286,Art::N,種類,від
287,Stück::N,部分,кусок
288,Stück::N,部分,кавалак
289,Teil::N,部分,частка
290,Hälfte::N,半分,палова
291,Hälfte::N,半分,палавіна
292,Kreis::N,円,круг
293,Kreuz::N,十字,крыж
294,Linie::N,線,лінія
295,Strich::N,線,рыса
296,Abstand::N,距離,прамежак
297,Entfernung::N,距離,адлегласць
298,Gegend::N,辺,мясцовасць
299,Gegend::N,地域,мясцовасць
300,Platz::N,ゆとり,месца
301,Ort::N,所,месца
302,Ort::N,場所,месца
303,Seite::N,横,бок
304,Mitte::N,真ん中,сярэдзіна
305,Gegenstand::N,物件,прадмет
306,Sache::N,物,рэч
307,Rand::N,端,край
308,Kante::N,縁,руб
309,Kante::N,縁,кант
310,Ecke::N,角,вугал
311,Spitze::N,先頭,кончык
312,Ende::N,端,канец
313,Loch::N,穴,дзірка
314,Winkel::N,片隅,вугал
315,Muster::N,模様,узор
316,Größe::N,大きさ,памер
317,Länge::N,長さ,даўжыня
318,Höhe::N,高さ,вышыня
319,Gewicht::N,重さ,вага
320,Menge::N,量,колькасць
321,Haufen::N,堆積,куча
322,Reihe::N,並び,рад
323,Boot::N,ボート,лодка
324,Ruder::N,オール,вясло
325,Schlitten::N,そり,сані
326,Ski::N,スキー,лыжа
327,Lagerfeuer::N,篝火,вогнішча
328,Last::N,荷物,цяжар
329,Gang::N,歩み,ход
330,Schritt::N,歩,шаг
331,Schritt::N,歩,крок
332,Norden::N,北,поўнач
333,Süden::N,南,поўдзень
334,Westen::N,西,захад
335,Osten::N,東,усход
336,Holz::N,木,дрэва
337,Holz::N,木,драўніна
338,Holz::N,木材,дрэва
339,Holz::N,木材,драўніна
340,Brett::N,板,дошка
341,Platte::N,盤,пліта
342,Stütze::N,支柱,падпорка
343,Stange::N,棒,жэрдка
344,Stock::N,杖,палка
345,Stab::N,棒,шост
346,Rohr::N,管,труба
347,Haus::N,家,дом
348,Heim::N,家,дом
349,Heim::N,家,хата
350,Ofen::N,ストーブ,печ
351,Fußboden::N,床,падлога
352,Tisch::N,机,стол
353,Stuhl::N,椅子,стул
354,Stuhl::N,椅子,крэсла
355,Wiege::N,揺籃,калыска
356,Bett::N,ベッド,ложак
357,Bett::N,ベッド,пасцель
358,Regal::N,棚,паліца
359,Kiste::N,箱,скрынка
360,Fenster::N,窓,акно
361,Tür::N,戸,дзверы
362,Tür::N,ドア,дзверы
363,Tor::N,門,вароты
364,Zaun::N,垣根,агароджа
365,Dach::N,屋根,дах
366,Leiter::N,梯子,лесвіца
367,Besen::N,ほうき,мятла
368,Spaten::N,スコップ,лапата
369,Spaten::N,スコップ,жалязняк
370,Schaufel::N,シャベル,шуфлік
371,Schaufel::N,シャベル,лапатка
372,Gabel::N,フォーク,відэлец
373,Löffel::N,スプーン,лыжка
374,Messer::N,ナイフ,нож
375,Nagel::N,釘,цвік
376,Netz::N,網,сетка
377,Haken::N,鉤,крук
378,Haken::N,フック,крук
379,Griff::N,取っ手,ручка
380,Schloss::N,錠,замок
381,Bild::N,絵,карціна
382,Figur::N,像,фігура
383,Puppe::N,人形,лялька
384,Beutel::N,袋,мяшок
385,Bündel::N,束,вязка
386,Bündel::N,包み,вязка
387,Tasche::N,かばん,торба
388,Eimer::N,バケツ,вядро
389,Deckel::N,蓋,накрыўка
390,Geschirr::N,食器,пасуда
391,Sack::N,袋,мех
392,Tasse::N,カップ,кубак
393,Topf::N,鍋,каструля
394,Kessel::N,釜,кацёл
395,Essen::N,食事,ежа
396,Nahrung::N,食物,харч
397,Speise::N,料理,страва
398,Fleisch::N,肉,мяса
399,Getreide::N,麦,збожжа
400,Getreide::N,穀物,збожжа
401,Brei::N,粥,каша
402,Brot::N,パン,хлеб
403,Scheibe::N,枚,луста
404,Scheibe::N,枚,скібка
405,Scheibe::N,切れ,луста
406,Scheibe::N,切れ,скібка
407,Fett::N,脂肪,тлушч
408,Butter::N,バター,масла
409,Öl::N,油,алей
410,Salz::N,塩,соль
411,Suppe::N,スープ,суп
412,Honig::N,蜂蜜,мёд
413,Milch::N,牛乳,малако
414,Tee::N,茶,чай
415,Tee::N,茶,гарбата
416,Tee::N,お茶,чай
417,Tee::N,お茶,гарбата
418,Leder::N,革,скура
419,Wolle::N,毛糸,воўна
420,Stoff::N,布,тканіна
421,Nadel::N,針,іголка
422,Faden::N,糸,нітка
423,Knopf::N,ボタン,гузік
424,Knoten::N,結び目,вузел
425,Farbe::N,ペンキ,фарба
426,Kleidung::N,衣服,адзенне
427,Hemd::N,シャツ,кашуля
428,Kragen::N,襟,каўнер
429,Ärmel::N,袖,рукаў
430,Hose::N,ズボン,штаны
431,Gürtel::N,帯,пояс
432,Gürtel::N,ベルト,пояс
433,Mütze::N,帽子,шапка
434,Schuh::N,靴,чаравік
435,Stiefel::N,ブーツ,бот
436,Ring::N,輪,кольца
437,Band::N,リボン,стужка
438,Kamm::N,櫛,расчоска
439,Spiegel::N,鏡,люстра
440,Riemen::N,緒,рэмень
441,Schnur::N,紐,вяроўка
442,Leine::N,綱,павадок
443,Decke::N,掛け布団,коўдра
444,Kissen::N,枕,падушка
445,Tuch::N,スカーフ,хустка
446,Handtuch::N,タオル,ручнік
447,Kraft::N,力,сіла
448,Stärke::N,強さ,моц
449,Gesundheit::N,健康,здароўе
450,Krankheit::N,病気,хвароба
451,Schmerz::N,痛み,боль
452,Wunde::N,傷,рана
453,Fieber::N,熱,гарачка
454,Fieber::N,熱,ліхаманка
455,Arznei::N,薬,лекі
456,Brücke::N,橋,мост
457,Brunnen::N,井戸,калодзеж
458,Weide::N,牧場,паша
459,Pfad::N,小路,сцежка
460,Weg::N,道,шлях
461,Weg::N,道,дарога
462,Straße::N,街道,вуліца
463,Dorf::N,村,вёска
464,Stadt::N,町,горад
465,Stadt::N,都市,горад
466,Brief::N,手紙,ліст
467,Brief::N,手紙,пісьмо
468,Buch::N,本,кніга
469,Buchstabe::N,文字,літара
470,Zeitung::N,新聞,газета
471,Leben::N,生活,жыццё
472,Tod::N,死,смерць
473,Grab::N,墓,магіла
474,Kirche::N,教会,касцёл
475,Kirche::N,教会,царква
476,Sünde::N,罪,грэх
477,Gott::N,神,бог
478,Arbeiter::N,労働者,рабочы
479,Chef::N,上司,начальнік
480,Meister::N,達人,майстар
481,Meister::N,マイスター,майстар
482,Arzt::N,医者,урач
483,Lehrer::N,先生,настаўнік
484,Geld::N,金,грошы
485,Geschäft::N,取り引き,заняцце
486,Laden::N,店,крама
487,Laden::N,店,магазін
488,Preis::N,値段,цана
489,Ware::N,商品,тавар
490,Nutzen::N,利益,выгада
491,Reichtum::N,豊かさ,багацце
492,Welt::N,世界,свет
493,Land::N,国,краіна
494,Staat::N,国家,дзяржава
495,König::N,国王,кароль
496,Macht::N,権力,улада
497,Grenze::N,国境,граніца
498,Krieg::N,戦争,вайна
499,Feind::N,敵,вораг
500,Gewalt::N,暴力,насілле
501,Kampf::N,戦い,барацьба
502,Bogen[Waffe]::N,弓,лук
503,Pfeil::N,矢,страла
504,Gewehr::N,銃,ружжо
505,Fehler::N,間違い,памылка
506,Lüge::N,嘘,хлусня
507,Schaden::N,損害,шкода
508,Unglück::N,不幸,ліха
509,Unglück::N,不幸,бядота
510,Schuld::N,罪,віна
511,Alter::N,年,узрост
512,Alter::N,年齢,узрост
513,Schluss::N,終わり,канец
514,Zeit::N,時,час
515,Zeit::N,時間,час
516,Tag::N,日,дзень
517,Morgen::N,朝,ранак
518,Morgen::N,朝,раніца
519,Mittag::N,昼,паўдня
520,Mittag::N,昼,поўдзень
521,Abend::N,晩,вечар
522,Abend::N,夕方,вечар
523,Nacht::N,夜,ноч
524,Woche::N,週,тыдзень
525,Monat::N,月,месяц
526,Jahr::N,年,год
527,Frühling::N,春,вясна
528,Sommer::N,夏,лета
529,Herbst::N,秋,восень
530,Winter::N,冬,зіма
531,Januar::N,一月,студзень
532,Februar::N,二月,люты
533,März::N,三月,сакавік
534,April::N,四月,красавік
535,Mai::N,五月,май
536,Mai::N,五月,травень
537,Juni::N,六月,чэрвень
538,Juli::N,七月,ліпень
539,August::N,八月,жнівень
540,September::N,九月,верасень
541,Oktober::N,十月,кастрычнік
542,November::N,十一月,лістапад
543,Dezember::N,十二月,снежань
544,Montag::N,月曜日,панядзелак
545,Dienstag::N,火曜日,аўторак
546,Mittwoch::N,水曜日,серада
547,Donnerstag::N,木曜日,чацвер
548,Freitag::N,金曜日,пятніца
549,Samstag::N,土曜日,субота
550,Sonntag::N,日曜日,нядзеля
551,groß::A,大きい,вялікі
552,klein::A,小さい,маленькі
553,lang::A,長い,доўгі
554,kurz::A,短い,кароткі
555,breit::A,広い,шырокі
556,schmal::A,狭い,вузкі
557,dicht::A,密な,густы
558,dick[Gegenstand]::A,厚い,тоўсты
559,dünn::A,薄い,тонкі
560,fein::A,細い,тонкі
561,fest::A,硬い,моцны
562,flach::A,平らな,плоскі
563,glatt::A,滑らかな,гладкі
564,hart::A,堅い,цвёрды
565,weich::A,柔らかい,мяккі
566,rund::A,丸い,круглы
567,spitz::A,尖った,спічасты
568,spitz::A,尖った,востраканцовы
569,scharf::A,鋭い,востры
570,stumpf::A,鈍い,тупы
571,schwer::A,重い,цяжкі
