,Concept_ID,lt,ga
0,Auge::N,akis,súil
1,Ohr::N,ausis,cluas
2,Nase::N,nosis,soc
3,Mund::N,burna,béal
4,Zahn::N,dantis,fiacail
5,Zunge::N,liežuvis,teanga
6,Lippe::N,lūpa,liopa
7,Wange::N,žandas,grua
8,Wange::N,žandas,leiceann
9,Wange::N,skruostas,grua
10,Wange::N,skruostas,leiceann
11,Gesicht::N,veidas,éadan
12,Gesicht::N,veidas,aghaidh
13,Stirn::N,kakta,baithis
14,Stirn::N,kakta,clár éadain
15,Haar::N,plaukai,gruaig
16,Schnurrbart::N,ūsai,croiméal
17,Bart::N,barzda,féasóg
18,Kinn::N,smakras,smig
19,Kiefer[Anatomie]::N,žandikaulis,giall
20,Kehle::N,gerklė,scornach
21,Hals::N,kaklas,muinéal
22,Genick::N,sprandas,baic
23,Kopf::N,galva,ceann
24,Rücken::N,nugara,droim
25,Bauch::N,pilvas,bolg
26,Nabel::N,bamba,imleacán
27,Busen::N,krūtinė,cíoch
28,Brust::N,krūtis,brollach
29,Schulter::N,petys,gualainn
30,Arm::N,ranka,lámh
31,Ellenbogen::N,alkūnė,uillinn
32,Hand::N,ranka,lámh
33,Hand::N,plaštaka,lámh
34,Handfläche::N,delnas,bos
35,Handfläche::N,plaštaka,bos
36,Finger::N,pirštas,méar
37,Fingernagel::N,nagas,ionga
38,Nagel[Anatomie]::N,nagas,ionga
39,Zeh::N,pirštas,ladhar
40,Fuß::N,pėda,cos
41,Fuß::N,pėda,troigh
42,Ferse::N,kulnas,sáil
43,Knie::N,kelis,glúin
44,Oberschenkel::N,kulšis,ceathrú
45,Oberschenkel::N,šlaunis,ceathrú
46,Bein::N,koja,cos
47,Körper::N,kūnas,corp
48,Körper::N,kūnas,colainn
49,Haut::N,oda,cneas
50,Haut::N,oda,craiceann
51,Blut::N,kraujas,fuil
52,Ader::N,kraujagyslė,
53,Sehne::N,sausgyslė,teannán
54,Sehne::N,sausgyslė,féitheog
55,Knochen::N,kaulas,cnámh
56,Gehirn::N,smegenys,inchinn
57,Herz::N,širdis,croí
58,Magen::N,skrandis,bolg
59,Magen::N,skrandis,goile
60,Leber::N,kepenys,ae
61,Atem::N,kvapas,anáil
62,Hunger::N,badas,ocras
63,Hunger::N,alkis,ocras
64,Träne::N,ašara,deoir
65,Geschmack::N,skonis,blas
66,Geruch::N,kvapas,boladh
67,Schlaf::N,miegas,suan
68,Schlaf::N,miegas,codladh
69,Traum::N,sapnas,taibhreamh
70,Himmel::N,dangus,spéir
71,Sonne::N,saulė,grian
72,Mond::N,mėnulis,ré
73,Mond::N,mėnulis,gealach
74,Stern::N,žvaigždė,rinn
75,Stern::N,žvaigždė,réalta
76,Luft::N,oras,aer
