,Concept_ID,et,kk
0,Auge::N,silm,көз
1,Ohr::N,kõrv,құлақ
2,Nase::N,nina,мұрын
3,Mund::N,suu,ауыз
4,Zahn::N,hammas,тіс
5,Zunge::N,keel,тіл
6,Lippe::N,huul,ерін
7,Wange::N,põsk,ұрт
8,Gesicht::N,nägu,бет-аузы
9,Stirn::N,otsmik,маңдай
10,Haar::N,juus,қыл
11,Schnurrbart::N,vurrud,мұрт
12,Schnurrbart::N,vuntsid,мұрт
13,Bart::N,habe,сақал
14,Kinn::N,lõug,иек
15,Kiefer[Anatomie]::N,lõualuu,жақ
16,Kehle::N,kõri,алқым
17,Hals::N,kael,мойын
18,Genick::N,kukal,желке
19,Kopf::N,pea,кәллә
20,Rücken::N,selg,арқа
21,Bauch::N,kõht,қарын
22,Nabel::N,naba,кіндік
23,Busen::N,rind,омырау
24,Brust::N,rind,кеуде
25,Schulter::N,õlg,иық
26,Arm::N,käsivars,қол
27,Ellenbogen::N,küünarnukk,шынтақ
28,Hand::N,käsi,қол
29,Handfläche::N,pihk,алақан
30,Finger::N,sõrm,саусақ
31,Fingernagel::N,küüs,тырнақ
32,Nagel[Anatomie]::N,küüs,тырнақ
33,Zeh::N,varvas,тырнақ
34,Zeh::N,varvas,тұяқ
35,Fuß::N,jalg,аяқ-басы
36,Ferse::N,kand,өкше
37,Ferse::N,kand,өкшелік
38,Knie::N,põlv,тізе
39,Oberschenkel::N,reis,жамбас
40,Bein::N,jalg,аяқ
41,Körper::N,ihu,дене
42,Körper::N,keha,дене
43,Haut::N,nahk,тері
44,Blut::N,veri,қан
45,Ader::N,veen,көктамыр
46,Ader::N,veen,күретамыр
47,Sehne::N,kõõlus,сіңір
48,Knochen::N,luu,жілік
49,Gehirn::N,aju,ми
50,Herz::N,süda,жүрек
51,Magen::N,magu,асқазан
52,Leber::N,maks,бауыр
53,Atem::N,hingeõhk,леп
54,Atem::N,hingamine,леп
55,Hunger::N,nälg,ашаршылық
56,Träne::N,pisar,жас
57,Geschmack::N,maitse,дәм
58,Geschmack::N,maitse,татым
59,Geschmack::N,maitse,талғам
60,Geruch::N,lõhn,иіс
61,Schlaf::N,uni,ұйқы
62,Schlaf::N,uni,ұйықтау
63,Traum::N,unenägu,түс
64,Himmel::N,taevas,аспан
65,Himmel::N,taevas,көқ
66,Himmel::N,taevas,таңдай
67,Sonne::N,päike,күн
68,Mond::N,kuu,ай
69,Stern::N,täht,жұлдыз
70,Luft::N,õhk,әуе
71,Wind::N,tuul,жел
72,Welle::N,laine,толқын
73,Wasser::N,vesi,су
74,Stein::N,kivi,тас
75,Boden::N,maa,қыртыс
76,Boden::N,pinnas,қыртыс
77,Erde::N,maa,топырақ
78,Staub::N,põrm,шаң
79,Rauch::N,suits,түтін
80,Funke::N,säde,ұшқын
81,Feuer::N,tuli,алау
82,Licht::N,valgus,шұғыла
83,Schatten::N,vari,көлеңке
84,Wetter::N,ilm,ауа райы
85,Nebel::N,udu,тұман
86,Wolke::N,pilv,бұлт
87,Regen::N,sadu,жаңбыр
88,Schnee::N,lumi,қар
89,Eis::N,jää,мұз
90,Frost::N,pakane,суық
91,Kälte::N,külm,ызғар
92,Kälte::N,külm,суықтық
93,Kälte::N,külmus,ызғар
94,Kälte::N,külmus,суықтық
95,Hitze::N,kuumus,аптап
96,Hitze::N,palavus,аптап
97,Raureif::N,härmatis,қырау
98,Regenbogen::N,vikerkaar,кемпірқосақ
99,Donner::N,kõu,күн күркіреу
100,Donner::N,müristamine,күн күркіреу
101,Strömung::N,voolus,ағын
102,Strömung::N,jõevool,ағын
103,Tropfen::N,tilk,тамшы
104,Schaum::N,vaht,көбік
105,Schmutz::N,pori,кір
106,Schmutz::N,mustus,кір
107,See::N,järv,көл
108,Sumpf::N,soo,саз
109,Moor::N,raba,саз
110,Wiese::N,aas,шалғын
111,Wiese::N,nurm,шалғын
112,Wald::N,mets,орман
113,Hügel::N,küngas,төбе
114,Hügel::N,küngas,белес
115,Hügel::N,küngas,белес-белес
116,Anhöhe::N,küngas,дөң
117,Anhöhe::N,küngas,адыр
118,Anhöhe::N,küngas,қырат
119,Berg::N,mägi,тау
120,Gipfel::N,mäetipp,төбе
121,Höhle::N,koobas,үңгір
122,Abhang::N,nõlvak,бауыр
123,Quelle::N,allikas,қайнар
124,Bach::N,oja,жылға
125,Fluss::N,jõgi,өзен
126,Ufer::N,kallas,жиек
127,Küste::N,rannik,жиегі
128,Küste::N,rannik,жағалау
129,Festland::N,mander,құрылық
130,Festland::N,maismaa,құрылық
131,Meer::N,meri,теңіз
132,Bucht::N,laht,шығанақ
133,Insel::N,saar,арал
134,Blume::N,lill,гүл
135,Gras::N,rohi,от
136,Wurzel::N,juur,түбір
137,Baum::N,puu,ағаш
138,Baum::N,puu,дарақ
139,Stamm::N,tüvi,сояу
140,Stamm::N,tüvi,оқпан
141,Rinde::N,koor,қабық
142,Ast::N,oks,бұтақ
143,Zweig::N,oks,шыбық
144,Blatt::N,leht,жапырақ
145,Birke::N,kask,қайың
146,Kiefer[Baum]::N,mänd,қарағай
147,Weide[Baum]::N,paju,тал
148,Tanne::N,nulg,шырша
149,Horn::N,sarv,мүйіз
150,Feder::N,sulg,қаламұш
151,Fell::N,karvkate,тері
152,Fell::N,karusnahk,тері
153,Flügel::N,tiib,қанат
154,Flügel::N,tiivik,қанат
155,Klaue::N,küüs,тырнақ
156,Kralle::N,küünis,аяқ
157,Schwanz::N,saba,құйрық
158,Ei::N,muna,жұмыртқа
159,Nest::N,pesa,ұя
160,Bau::N,urg,жатақ
161,Tier::N,loom,айуан
162,Tier::N,loom,жануар
163,Herde::N,kari,пада
164,Kuh::N,lehm,сиыр
165,Bulle::N,pull,өгіз
166,Pferd::N,hobune,жылқы
167,Schaf::N,lammas,қой
168,Schwein::N,siga,шошқа
169,Hund::N,koer,ит
170,Katze::N,kass,мысық
171,Bär::N,karu,аю
172,Eichhörnchen::N,orav,тиін
173,Elch::N,põder,бұғы
174,Fuchs::N,rebane,түлкі
175,Hase::N,jänes,қоян
176,Maus::N,hiir,қаптесер
177,Wolf::N,hunt,бөрі
178,Wolf::N,hunt,қасқыр
179,Vogel::N,lind,құс
180,Schwarm::N,parv,топ
181,Schwarm::N,parv,үйір
182,Huhn::N,kana,тауық
183,Huhn::N,kana,мекиен
184,Hahn::N,kukk,әтеш
185,Hahn::N,kukk,қораз
186,Gans::N,hani,қаз
187,Adler::N,kotkas,бүркіт
188,Ente::N,part,үйрек
189,Eule::N,kakk,жапалақ
190,Eule::N,öökull,жапалақ
191,Kranich::N,kurg,тырна
192,Krähe::N,vares,қарға
193,Kuckuck::N,kägu,көкек
194,Schwan::N,luik,аққу
195,Fisch::N,kala,балық
196,Barsch::N,ahven,алабұға
197,Hecht::N,haug,шортан
198,Schlange[Tier]::N,uss,жылан
199,Wurm::N,uss,шұбалшаң
200,Wurm::N,vagel,шұбалшаң
201,Spinne::N,ämblik,өрмекші
202,Ameise::N,sipelgas,қүмырска
203,Laus::N,täi,бит
204,Mücke::N,sääsk,маса
205,Fliege::N,kärbes,шыбын
206,Schmetterling::N,liblikas,көбелек
207,Beere::N,mari,жидек
208,Apfel::N,õun,алма
209,Pilz::N,seen,қозықұйрық
