,Concept_ID,cs,hy
0,Auge::N,oko,աչք
1,Ohr::N,ucho,ականջ
2,Nase::N,nos,քիթ
3,Mund::N,pusa,բերան
4,Zahn::N,zub,ատամ
5,Zunge::N,jazyk,լեզու
6,Lippe::N,ret,շրթունք
7,Wange::N,tvář,այտ
8,Wange::N,tvář,թուշ
9,Gesicht::N,obličej,դեմք
10,Stirn::N,čelo,ճակատ
11,Haar::N,vlas,մազ
12,Haar::N,vlasy,մազ
13,Schnurrbart::N,kníry,բեղ
14,Bart::N,vousy,մորուք
15,Kinn::N,brada,կզակ
16,Kiefer[Anatomie]::N,čelist,ծնոտ
17,Kehle::N,hrdlo,կոկորդ
18,Hals::N,krk,վիզ
19,Hals::N,krk,պարանոց
20,Genick::N,týl,ծոծրակ
21,Kopf::N,hlava,գլուխ
22,Rücken::N,záda,մեջք
23,Rücken::N,hřbet,մեջք
24,Bauch::N,břicho,փոր
25,Bauch::N,břicho,որովայն
26,Nabel::N,pupek,պորտ
27,Busen::N,ňadra,ծոց
28,Brust::N,prsa,կուրծք
29,Schulter::N,plece,ուս
30,Schulter::N,rameno,ուս
31,Arm::N,ruka,թեւ
32,Arm::N,ruka,բազուկ
33,Ellenbogen::N,loket,արմունկ
34,Hand::N,ruka,ձեռք
35,Handfläche::N,dlaň,ափ
36,Finger::N,prst,մատ
37,Fingernagel::N,nehet,եղունգ
38,Nagel[Anatomie]::N,nehet,եղունգ
39,Zeh::N,prst u nohy,ոտքի մատ
40,Fuß::N,noha,ոտք
41,Ferse::N,pata,գարշապար
42,Knie::N,koleno,ծունկ
43,Oberschenkel::N,stehno,ազդր
44,Bein::N,noha,ոտք
45,Körper::N,tělo,մարմին
46,Haut::N,kůže,մաշկ
47,Blut::N,krev,արյուն
48,Ader::N,céva,երակ
49,Sehne::N,šlacha,ջիղ
50,Sehne::N,šlacha,ձգտան
51,Knochen::N,kost,ոսկոր
52,Gehirn::N,mozek,խելք
53,Herz::N,srdce,սիրտ
54,Magen::N,žaludek,ստամոքս
55,Leber::N,játra,լյարդ
56,Atem::N,dech,շունչ
57,Hunger::N,hlad,քաղց
58,Träne::N,slza,արտասուք
59,Geschmack::N,vkus,համ
60,Geschmack::N,vkus,բուրմունք
61,Geruch::N,vůně,հոտ
62,Geruch::N,vůně,բուրում
63,Geruch::N,zápach,հոտ
64,Geruch::N,zápach,բուրում
65,Schlaf::N,spánek,քուն
66,Traum::N,sen,երազ
67,Himmel::N,nebe,երկինք
68,Sonne::N,slunce,արեւ
69,Mond::N,měsíc,լուսին
70,Stern::N,hvězda,աստղ
71,Luft::N,vzduch,օդ
72,Wind::N,vítr,քամի
73,Welle::N,vlna,ալիք
74,Wasser::N,voda,ջուր
75,Stein::N,kámen,քար
76,Boden::N,půda,գետին
77,Erde::N,země,հող
78,Staub::N,prach,փոշի
79,Rauch::N,dým,ծուխ
80,Rauch::N,kouř,ծուխ
81,Funke::N,jiskra,կայծ
82,Feuer::N,oheň,կրակ
83,Feuer::N,oheň,հրդեհ
84,Licht::N,světlo,լույս
85,Schatten::N,stín,ստվեր
86,Wetter::N,počasí,եղանակ
87,Nebel::N,mlha,մեգ
88,Nebel::N,mlha,մառախուղ
89,Wolke::N,mrak,ամպ
90,Wolke::N,oblak,ամպ
91,Regen::N,déšť,անձրև
92,Schnee::N,sníh,ձյուն
93,Eis::N,led,սառույց
94,Frost::N,mráz,սառնամանիք
95,Kälte::N,chlad,դող
96,Hitze::N,horko,շոգ
97,Raureif::N,jinovatka,ցօղեղեամ
98,Regenbogen::N,duha,ծիածան
99,Donner::N,hrom,որոտ
100,Strömung::N,proudění,հոսանք
101,Tropfen::N,kapka,կաթիլ
102,Schaum::N,pěna,փրփուր
103,Schmutz::N,špína,կեղտ
104,See::N,jezero,լիճ
105,Sumpf::N,močál,ճահիճ
