,Concept_ID,ja,av
0,Auge::N,目,
1,Ohr::N,耳,гӏин
2,Nase::N,鼻,мегӏер
3,Mund::N,口,кӏал
4,Zahn::N,歯,гӏус
5,Zunge::N,舌,мацӏ
6,Lippe::N,唇,кӏветӏ
7,Wange::N,頬,гӏоно
8,Gesicht::N,顔,гьумер
9,Stirn::N,額,нодо
10,Haar::N,髪,рас
11,Schnurrbart::N,口髭,михъ
12,Bart::N,髭,мегеж
13,Kinn::N,顎,нилъу
14,Kiefer[Anatomie]::N,顎,чанагъ
15,Kehle::N,喉,щекъер
16,Hals::N,首,габур
17,Genick::N,首,гъванща
18,Kopf::N,頭,бетӏер
19,Rücken::N,背中,мугъ
20,Bauch::N,腹,чехь
21,Bauch::N,お腹,чехь
22,Nabel::N,へそ,цӏину
23,Busen::N,乳房,керен
24,Brust::N,胸,керен
25,Schulter::N,肩,гъажазубетӏер
26,Arm::N,腕,гъеж
27,Ellenbogen::N,肘,гӏункӏрукь
28,Hand::N,手,квер
29,Handfläche::N,手のひら,огъохъат
30,Handfläche::N,手のひら,жанисахъат
31,Finger::N,指,килищ
32,Fingernagel::N,爪,малъ
33,Nagel[Anatomie]::N,爪,малъ
34,Zeh::N,足の指,килищ
35,Fuß::N,足,хӏетӏ
36,Fuß::N,足,хӏетӏе
37,Ferse::N,かかと,эгъе
38,Knie::N,膝,наку
39,Oberschenkel::N,上腿,мачӏ
40,Bein::N,足,бох
41,Körper::N,体,къаркъала
42,Haut::N,皮膚,тӏом
43,Blut::N,血,би
44,Ader::N,血管,бидурихь
45,Sehne::N,腱,
46,Knochen::N,骨,ракьа
47,Gehirn::N,脳,гӏадалнах
48,Herz::N,心,ракӏ
49,Herz::N,心臓,ракӏ
50,Magen::N,胃,кванирукъ
51,Leber::N,肝臓,тӏул
52,Atem::N,息,хӏухь
53,Atem::N,呼吸,хӏухь
54,Hunger::N,空腹,ракъи
55,Träne::N,涙,магӏу
56,Geschmack::N,味,тату
57,Geruch::N,匂い,махӏ
58,Schlaf::N,睡眠,макьу
59,Traum::N,夢,макьу
60,Himmel::N,空,зоб
61,Sonne::N,太陽,бакъ
62,Mond::N,月,моцӏ
63,Stern::N,星,цӏва
64,Luft::N,空気,гьава
65,Wind::N,風,гьури
66,Welle::N,波,карачел
67,Wasser::N,水,лъим
68,Stein::N,石,гьецӏо
69,Boden::N,土地,ракь
70,Erde::N,土,ракь
71,Erde::N,土,дуниял
72,Staub::N,埃,хӏур
73,Rauch::N,煙,кӏкӏуй
74,Funke::N,火花,
75,Feuer::N,火,цӏа
76,Licht::N,光,канлъи
77,Schatten::N,陰,рагӏад
78,Wetter::N,天気,гьава-бакъ
79,Nebel::N,霧,гӏодобнакӏкӏ
80,Wolke::N,雲,накӏкӏ
81,Regen::N,雨,цӏад
82,Schnee::N,雪,гӏазу
83,Eis::N,氷,цӏер
84,Frost::N,霜,замгьари
85,Kälte::N,寒さ,квач
86,Hitze::N,暑さ,багӏари
87,Raureif::N,霧氷,мартӏ
88,Regenbogen::N,虹,нур
89,Regenbogen::N,虹,чамбара
90,Donner::N,雷,гъугъай
91,Donner::N,雷,гъугъади
92,Strömung::N,流れ,чвахи
93,Tropfen::N,滴,резел
94,Tropfen::N,滴,тӏинкӏ
95,Tropfen::N,滴,къатӏра
96,Tropfen::N,滴,тӏенкӏел
97,Schaum::N,泡,полоп
98,Schmutz::N,汚れ,чороклъи
99,See::N,湖,хӏор
100,Sumpf::N,沼,хьуцӏ
101,Moor::N,湿原,
102,Wiese::N,草原,мегъ
103,Wiese::N,草原,гӏурдаллъи
104,Wald::N,森,рохь
105,Hügel::N,丘,гохӏ
106,Anhöhe::N,高み,сийитма
107,Berg::N,山,мегӏер
108,Gipfel::N,頂上,тӏогь
109,Höhle::N,洞窟,нохъо
110,Abhang::N,斜面,лабаллъи
111,Quelle::N,泉,ицц
112,Bach::N,小川,лъар
113,Fluss::N,川,гӏор
114,Ufer::N,岸,рагӏал
115,Küste::N,海岸,рагӏал
116,Festland::N,陸,ракь
117,Festland::N,陸,ракъдаллъи
118,Meer::N,海,ралъад
119,Bucht::N,湾,кӏветӏ
120,Insel::N,島,чӏинкӏиллъи
121,Blume::N,花,тӏегь
122,Gras::N,草,хер
123,Wurzel::N,根,кьибил
124,Baum::N,木,гъветӏ
125,Stamm::N,幹,рохти
126,Rinde::N,皮層,макъар
127,Ast::N,枝,ноцӏ
128,Zweig::N,小枝,гӏаркьел
129,Blatt::N,葉,тӏамах
130,Birke::N,樺,мах
131,Birke::N,樺,махигъветӏ
132,Kiefer[Baum]::N,松,накӏкӏигъветӏ
133,Weide[Baum]::N,柳,рицӏцӏ
134,Weide[Baum]::N,柳,рицӏцӏигъветӏ
135,Tanne::N,樅,ёлка
136,Horn::N,角,лълъар
137,Feder::N,羽根,хӏули
138,Fell::N,毛皮,тӏом
139,Fell::N,毛皮,цӏоко
140,Flügel::N,羽,кваркьи
141,Klaue::N,鉤爪,галъ
142,Kralle::N,爪,квачӏ
143,Kralle::N,爪,катиквачӏ
144,Schwanz::N,尻尾,рачӏ
145,Ei::N,卵,хоно
146,Nest::N,巣,бусен
147,Bau::N,穴,каратӏ
148,Tier::N,動物,хӏайван
149,Herde::N,群れ,рехъен
150,Herde::N,群れ,рехъед
151,Kuh::N,牛,гӏака
152,Bulle::N,雄牛,оц
153,Pferd::N,馬,чу
154,Schaf::N,羊,чахъу
155,Schwein::N,豚,болъон
156,Hund::N,犬,гьой
157,Katze::N,猫,кету
158,Bär::N,熊,ци
159,Eichhörnchen::N,栗鼠,гвангва
160,Elch::N,ヘラジカ,
161,Fuchs::N,狐,цер
162,Hase::N,兎,гӏанкӏ
163,Maus::N,鼠,гӏункӏкӏ
164,Wolf::N,狼,бацӏ
165,Vogel::N,鳥,хӏинчӏ
166,Schwarm::N,群れ,тӏел
167,Huhn::N,鶏,гӏанкӏу
168,Hahn::N,雄鶏,хӏелеко
169,Gans::N,ガチョウ,хъаз
170,Adler::N,鷲,цӏум
171,Ente::N,鴨,ордек
172,Eule::N,フクロウ,беццаруз
173,Kranich::N,鶴,къункъра
174,Krähe::N,烏,гъеду
175,Kuckuck::N,郭公,гагу
176,Schwan::N,白鳥,хӏанкъва
177,Fisch::N,魚,ччугӏа
178,Barsch::N,鱸,окунь
