,Concept_ID,bg,ps
0,Auge::N,око,سترګه
1,Ohr::N,ухо,غوږ
2,Nase::N,нос,پوزه
3,Mund::N,уста,خوله
4,Zahn::N,зъб,غاښ
5,Zunge::N,език,جبه
6,Lippe::N,устна,شونډه
7,Wange::N,буза,باړخو
8,Gesicht::N,лице,مخ
9,Gesicht::N,образ,مخ
10,Stirn::N,чело,تندی
11,Stirn::N,чело,وچولی
12,Haar::N,коса,وېښته
13,Haar::N,косъм,وېښته
14,Schnurrbart::N,мустаци,برېت
15,Bart::N,брада,ږیره
16,Kinn::N,брада,زنه
17,Kinn::N,брадичка,زنه
18,Kiefer[Anatomie]::N,челюст,جامه
19,Kehle::N,гърло,غاړه
20,Hals::N,врат,غاړه
21,Genick::N,тил,ورمېږ
22,Kopf::N,глава,سر
23,Rücken::N,гръб,شا
24,Bauch::N,корем,نس
25,Bauch::N,корем,ګېډه
26,Nabel::N,пъп,نوم
27,Busen::N,бозка,تی
28,Brust::N,гръд,سینه
29,Schulter::N,рамо,اوږه
30,Schulter::N,плещи,اوږه
31,Arm::N,ръка,لاس
32,Ellenbogen::N,лакът,څنګل
33,Hand::N,ръка,لاس
34,Hand::N,китка,لاس
35,Handfläche::N,длан,ورغوی
36,Finger::N,пръст,ګوته
37,Fingernagel::N,нокът,نوک
38,Nagel[Anatomie]::N,нокът,نوک
39,Zeh::N,пръст на крак,ګوته
40,Fuß::N,крак,پښه
41,Fuß::N,нога,پښه
42,Ferse::N,пета,پونده
43,Knie::N,коляно,زنګون
44,Oberschenkel::N,бедро,پتون
45,Bein::N,крак,پښه
46,Bein::N,нога,پښه
47,Körper::N,тяло,ځان
48,Haut::N,кожа,پوټکی
49,Blut::N,кръв,وینه
50,Ader::N,вена,رګ
51,Ader::N,артерия,رګ
52,Sehne::N,жила,پله
53,Sehne::N,сухожилие,پله
54,Knochen::N,кост,هډوکی
55,Gehirn::N,мозък,ماغزه
56,Herz::N,сърце,زړه
57,Magen::N,стомах,معده
58,Leber::N,черен дроб,ينه
59,Leber::N,черен дроб,ځیګر
60,Atem::N,дишане,نفس
61,Hunger::N,глад,ولږه
62,Träne::N,сълза,اوښکه
63,Geschmack::N,вкус,مزه
64,Geschmack::N,вкус,خوند
65,Geruch::N,миризма,بوی
66,Schlaf::N,сън,خوب
67,Traum::N,сън,خوب
68,Himmel::N,небе,اسمان
69,Sonne::N,слънце,لمر
70,Mond::N,луна,سپوږمۍ
71,Mond::N,месец,سپوږمۍ
72,Stern::N,звезда,ستوری
73,Luft::N,въздух,هوا
74,Wind::N,вятър,ورښ
75,Welle::N,вълна,موج
76,Wasser::N,вода,اوبه
77,Stein::N,камък,ډبره
78,Boden::N,земя,مځکه
79,Boden::N,почва,مځکه
80,Erde::N,земя,خاوره
81,Erde::N,почва,خاوره
82,Staub::N,прах,ګرد
83,Staub::N,прах,خاوره
84,Rauch::N,дим,دود
85,Rauch::N,дим,لوګی
86,Rauch::N,пушек,دود
