,Concept_ID,sq,av
0,Auge::N,sy,
1,Ohr::N,vesh,гӏин
2,Nase::N,hundë,мегӏер
3,Mund::N,gojë,кӏал
4,Zahn::N,dhëmb,гӏус
5,Zunge::N,gjuhë,мацӏ
6,Lippe::N,buzë,кӏветӏ
7,Wange::N,faqe,гӏоно
8,Wange::N,mollëz,гӏоно
9,Gesicht::N,fytyrë,гьумер
10,Stirn::N,ballë,нодо
11,Haar::N,flokë,рас
12,Schnurrbart::N,mustaqe,михъ
13,Bart::N,mjekër,мегеж
14,Kinn::N,mjekër,нилъу
15,Kiefer[Anatomie]::N,nofull,чанагъ
16,Kehle::N,fyt,щекъер
17,Kehle::N,grykë,щекъер
18,Hals::N,qafë,габур
19,Genick::N,arrëz,гъванща
20,Kopf::N,kokë,бетӏер
21,Rücken::N,kurriz,мугъ
22,Bauch::N,bark,чехь
23,Nabel::N,kërthizë,цӏину
24,Busen::N,gji,керен
25,Brust::N,gjoks,керен
26,Brust::N,kraharor,керен
27,Schulter::N,sup,гъажазубетӏер
28,Schulter::N,krah,гъажазубетӏер
29,Arm::N,krah,гъеж
30,Ellenbogen::N,bërryl,гӏункӏрукь
31,Hand::N,dorë,квер
32,Handfläche::N,pëllëmbë,огъохъат
33,Handfläche::N,pëllëmbë,жанисахъат
34,Finger::N,gisht,килищ
35,Fingernagel::N,thua,малъ
36,Nagel[Anatomie]::N,thua,малъ
37,Zeh::N,gisht i këmbës,килищ
38,Fuß::N,këmbë,хӏетӏ
39,Fuß::N,këmbë,хӏетӏе
40,Ferse::N,thembër,эгъе
41,Knie::N,gju,наку
42,Oberschenkel::N,kofshë,мачӏ
43,Bein::N,këmbë,бох
44,Körper::N,trup,къаркъала
45,Haut::N,lëkurë,тӏом
46,Blut::N,gjak,би
47,Ader::N,venë,бидурихь
48,Sehne::N,dell,
49,Knochen::N,asht,ракьа
50,Knochen::N,kockë,ракьа
51,Gehirn::N,tru,гӏадалнах
52,Herz::N,zemër,ракӏ
53,Magen::N,stomak,кванирукъ
54,Leber::N,mëlçi,тӏул
55,Atem::N,frymë,хӏухь
56,Hunger::N,uri,ракъи
57,Träne::N,lot,магӏу
58,Geschmack::N,shije,тату
59,Geruch::N,erë,махӏ
60,Schlaf::N,gjumë,макьу
61,Traum::N,ëndërr,макьу
62,Himmel::N,qiell,зоб
63,Sonne::N,diell,бакъ
64,Mond::N,hënë,моцӏ
65,Stern::N,yll,цӏва
66,Luft::N,ajër,гьава
67,Wind::N,erë,гьури
68,Welle::N,valë,карачел
69,Welle::N,dallgë,карачел
70,Wasser::N,ujë,лъим
71,Stein::N,gur,гьецӏо
72,Boden::N,tokë,ракь
73,Boden::N,truall,ракь
74,Erde::N,dhe,ракь
75,Erde::N,dhe,дуниял
76,Erde::N,baltë,ракь
77,Erde::N,baltë,дуниял
78,Staub::N,pluhur,хӏур
79,Rauch::N,tym,кӏкӏуй
80,Funke::N,xixë,
81,Funke::N,shkëndijë,
82,Feuer::N,zjarr,цӏа
83,Licht::N,dritë,канлъи
84,Schatten::N,hije,рагӏад
85,Wetter::N,mot,гьава-бакъ
86,Nebel::N,mjegull,гӏодобнакӏкӏ
87,Wolke::N,re,накӏкӏ
88,Regen::N,shi,цӏад
89,Schnee::N,borë,гӏазу
90,Eis::N,akull,цӏер
91,Frost::N,ngricë,замгьари
92,Kälte::N,të ftohtë,квач
93,Hitze::N,vapë,багӏари
94,Hitze::N,nxehtësi,багӏари
95,Raureif::N,cikmë,мартӏ
96,Regenbogen::N,ylber,нур
97,Regenbogen::N,ylber,чамбара
98,Donner::N,gjëmim,гъугъай
99,Donner::N,gjëmim,гъугъади
100,Donner::N,bubullimë,гъугъай
101,Donner::N,bubullimë,гъугъади
102,Strömung::N,rrymë,чвахи
103,Tropfen::N,pikë,резел
104,Tropfen::N,pikë,тӏинкӏ
105,Tropfen::N,pikë,къатӏра
106,Tropfen::N,pikë,тӏенкӏел
107,Schaum::N,shkumë,полоп
108,Schmutz::N,baltë,чороклъи
109,See::N,liqen,хӏор
110,Sumpf::N,batak,хьуцӏ
111,Moor::N,kënetë,
112,Wiese::N,livadh,мегъ
113,Wiese::N,livadh,гӏурдаллъи
114,Wald::N,pyll,рохь
115,Hügel::N,kodër,гохӏ
116,Anhöhe::N,bregore,сийитма
117,Berg::N,mal,мегӏер
118,Gipfel::N,kulm,тӏогь
119,Höhle::N,shpellë,нохъо
120,Höhle::N,zgafelle,нохъо
121,Abhang::N,shpat,лабаллъи
122,Abhang::N,tatëpjetë,лабаллъи
123,Quelle::N,krua,ицц
124,Quelle::N,burim,ицц
125,Bach::N,virua,лъар
126,Fluss::N,lumë,гӏор
127,Ufer::N,breg,рагӏал
128,Küste::N,anëdet,рагӏал
129,Küste::N,bregdet,рагӏал
130,Festland::N,kontinent,ракь
131,Festland::N,kontinent,ракъдаллъи
132,Meer::N,det,ралъад
133,Bucht::N,gji deti,кӏветӏ
134,Insel::N,ishull,чӏинкӏиллъи
135,Insel::N,ujdhesë,чӏинкӏиллъи
136,Blume::N,lule,тӏегь
137,Gras::N,bar,хер
138,Wurzel::N,rrënjë,кьибил
139,Baum::N,pemë,гъветӏ
140,Stamm::N,trung,рохти
141,Rinde::N,lëvore,макъар
142,Ast::N,degë,ноцӏ
143,Zweig::N,bisk,гӏаркьел
144,Blatt::N,fletë,тӏамах
145,Blatt::N,gjethe,тӏамах
146,Birke::N,mështekën,мах
147,Birke::N,mështekën,махигъветӏ
148,Kiefer[Baum]::N,pishë,накӏкӏигъветӏ
149,Weide[Baum]::N,shelg,рицӏцӏ
150,Weide[Baum]::N,shelg,рицӏцӏигъветӏ
151,Tanne::N,bredh,ёлка
152,Horn::N,bri,лълъар
153,Feder::N,pupël,хӏули
154,Fell::N,lëkurë,тӏом
155,Fell::N,lëkurë,цӏоко
156,Flügel::N,krah,кваркьи
157,Flügel::N,fletë,кваркьи
158,Klaue::N,kthetër,галъ
159,Kralle::N,thua,квачӏ
160,Kralle::N,thua,катиквачӏ
161,Kralle::N,kthetër,квачӏ
162,Kralle::N,kthetër,катиквачӏ
163,Schwanz::N,bisht,рачӏ
164,Ei::N,vezë,хоно
165,Nest::N,fole,бусен
166,Bau::N,strofkë,каратӏ
167,Tier::N,kafshë,хӏайван
168,Herde::N,kope,рехъен
169,Herde::N,kope,рехъед
170,Herde::N,grigjë,рехъен
171,Herde::N,grigjë,рехъед
172,Kuh::N,lopë,гӏака
173,Bulle::N,dem,оц
174,Pferd::N,kalë,чу
175,Schaf::N,dele,чахъу
176,Schwein::N,derr,болъон
177,Hund::N,qen,гьой
178,Katze::N,mace,кету
179,Bär::N,ari,ци
180,Eichhörnchen::N,ketër,гвангва
181,Elch::N,dre brilopatë,
182,Fuchs::N,dhelpër,цер
183,Hase::N,lepur,гӏанкӏ
184,Maus::N,mi,гӏункӏкӏ
185,Wolf::N,ujk,бацӏ
186,Vogel::N,zog,хӏинчӏ
187,Vogel::N,shpend,хӏинчӏ
188,Schwarm::N,luzmë,тӏел
189,Huhn::N,pulë,гӏанкӏу
190,Hahn::N,gjel,хӏелеко
191,Hahn::N,këndes,хӏелеко
192,Gans::N,patë,хъаз
193,Adler::N,shqiponjë,цӏум
194,Ente::N,rosë,ордек
195,Eule::N,buf,беццаруз
196,Kranich::N,lejlek,къункъра
197,Kranich::N,kurrillë,къункъра
198,Krähe::N,sorrë,гъеду
199,Kuckuck::N,qyqe,гагу
200,Schwan::N,mjellmë,хӏанкъва
201,Fisch::N,peshk,ччугӏа
202,Barsch::N,purtekë,окунь
203,Hecht::N,mlysh,щука
204,Schlange[Tier]::N,gjarpër,борохь
205,Wurm::N,krimb,хӏапара
206,Spinne::N,marimangë,хъанхъра
207,Ameise::N,thnegël,цӏунцӏра
208,Ameise::N,milingonë,цӏунцӏра
209,Laus::N,morr,нацӏ
210,Mücke::N,kunup,кӏкӏара
211,Mücke::N,mushkonjë,кӏкӏара
212,Fliege::N,mizë,тӏутӏ
