,Concept_ID,te,it
0,Auge::N,కన్ను,occhio
1,Ohr::N,చెవి,orecchio
2,Nase::N,ముక్కు,naso
3,Mund::N,నోరు,bocca
4,Zahn::N,పల్లు,dente
5,Zunge::N,నాలుక,lingua
6,Lippe::N,పెదవి,labbro
7,Wange::N,చెంప,guancia
8,Gesicht::N,ముఖము,viso
9,Gesicht::N,ముఖము,faccia
10,Stirn::N,నుదురు,fronte
11,Haar::N,వెండ్రుక,capello
12,Schnurrbart::N,మీసము,baffi
13,Schnurrbart::N,మీసము,mustacchi
14,Bart::N,గడ్డము,barba
15,Kinn::N,గడ్డము,mento
16,Kiefer[Anatomie]::N,దౌడ,mascella
17,Kehle::N,గొంతు,gola
18,Hals::N,మెడ,collo
19,Genick::N,మూపు,nuca
20,Kopf::N,తల,capo
21,Kopf::N,తల,testa
22,Rücken::N,వెన్ను,dorso
23,Rücken::N,వెన్ను,schiena
24,Bauch::N,కడుపు,ventre
25,Nabel::N,బొడ్డు,ombelico
26,Busen::N,స్తనము,seno
27,Brust::N,ఱొమ్ము,petto
28,Schulter::N,భుజము,spalla
29,Arm::N,చేయి,braccio
30,Ellenbogen::N,మోచేయి,gomito
31,Hand::N,చేయి,mano
32,Handfläche::N,అరచేయు,palma
33,Finger::N,చేతిప్రేలు,dito
34,Fingernagel::N,గోరు,unghia
35,Nagel[Anatomie]::N,గోరు,unghia
36,Zeh::N,కాలిప్రేలు,dito del piede
37,Fuß::N,అడుగు,piede
38,Ferse::N,మడమ,tallone
39,Ferse::N,మడమ,calcagno
40,Knie::N,మోకాలు,ginocchio
41,Oberschenkel::N,తొడ,fèmore
42,Bein::N,కాలు,gamba
43,Körper::N,కాయము,corpo
44,Haut::N,చర్మము,pelle
45,Blut::N,రక్తము,sangue
46,Ader::N,సిర,vena
47,Sehne::N,స్నాయువు,tèndine
48,Knochen::N,ఎముక,osso
49,Gehirn::N,మెదడు,cervello
50,Herz::N,హృదయము,cuore
51,Magen::N,కడుపు,stòmaco
52,Leber::N,కాలేయము,fegato
53,Atem::N,ఉపిరి,fiato
54,Atem::N,ఉపిరి,respiro
55,Hunger::N,ఆకలి,fame
56,Träne::N,కన్నీటిచుక్క,làcrima
57,Geschmack::N,రుచి,gusto
58,Geschmack::N,రుచి,sapore
59,Geruch::N,వాసన,odore
60,Schlaf::N,నిద్ర,sonno
61,Traum::N,కల,sogno
62,Himmel::N,ఆకాశము,cielo
63,Sonne::N,సూర్యుడు,sole
64,Mond::N,చంద్రుడు,luna
65,Stern::N,నక్షత్రము,stella
66,Luft::N,గాలి,aria
67,Wind::N,వీచుచున్నగాలి,vento
68,Welle::N,అల,onda
69,Wasser::N,నీరు,acqua
70,Stein::N,ఱాయి,sasso
71,Stein::N,ఱాయి,pietra
72,Boden::N,నేల,suolo
73,Boden::N,నేల,terreno
74,Erde::N,మన్ను,terra
75,Staub::N,దుమ్ము,polvere
76,Rauch::N,పొగ,fumo
77,Funke::N,అగ్నికణము,scintilla
78,Feuer::N,అగ్ని,fuoco
79,Licht::N,కాంతి,luce
80,Schatten::N,నీడ,ombra
81,Wetter::N,వాతావరణ స్థితి,tempo
82,Nebel::N,పొగమంచు,nebbia
83,Wolke::N,మేఘము,nube
84,Wolke::N,మేఘము,nùvola
85,Regen::N,వాన,pioggia
86,Schnee::N,హిమము,neve
87,Eis::N,మంచుగడ్డ,ghiaccio
88,Frost::N,పేరిన మంచు,gelo
89,Kälte::N,చలి,freddo
90,Hitze::N,వేడిమి,caldo
91,Hitze::N,వేడిమి,calura
92,Raureif::N,మంచు,brina
93,Regenbogen::N,ఇంద్రధనుస్సు,arcobaleno
94,Donner::N,ఉరుము,tuono
95,Strömung::N,ప్రవాహము,corrente
96,Tropfen::N,చుక్క,goccia
97,Schaum::N,నురుగు,spuma
98,Schaum::N,నురుగు,schiuma
99,Schmutz::N,మైల,sudiciume
100,See::N,సరస్సు,lago
101,Sumpf::N,చిత్తడినేల,palude
102,Moor::N,చిత్తడినేల,torbiera
103,Wiese::N,పచ్చిక బయలు,prato
104,Wald::N,అడవి,bosco
105,Wald::N,అడవి,foresta
106,Hügel::N,చివ్నకొండ,colle
107,Hügel::N,చివ్నకొండ,collina
108,Anhöhe::N,కొండ,altura
109,Berg::N,పర్వతము,monte
110,Berg::N,పర్వతము,montagna
