,Concept_ID,lt,bn
0,Auge::N,akis,চক্ষু
1,Ohr::N,ausis,কর্ণ
2,Nase::N,nosis,নাক
3,Mund::N,burna,মুখ
4,Zahn::N,dantis,দাঁত
5,Zunge::N,liežuvis,জিহবা
6,Lippe::N,lūpa,অধর
7,Wange::N,žandas,গণ্ড
8,Wange::N,skruostas,গণ্ড
9,Gesicht::N,veidas,মুখমণ্ডল
10,Stirn::N,kakta,কপাল
11,Haar::N,plaukai,চুল
12,Schnurrbart::N,ūsai,গোঁফ
13,Bart::N,barzda,শ্মশ্রু
14,Kinn::N,smakras,চিবুক
15,Kiefer[Anatomie]::N,žandikaulis,চোয়াল
16,Kehle::N,gerklė,কণ্ঠ
17,Hals::N,kaklas,গল
18,Genick::N,sprandas,ঘাড়
19,Kopf::N,galva,মাথা
20,Rücken::N,nugara,পৃষ্ঠ
21,Bauch::N,pilvas,উদর
22,Nabel::N,bamba,নাভি
23,Busen::N,krūtinė,স্তন
24,Brust::N,krūtis,বুক
25,Schulter::N,petys,স্কন্ধ
26,Arm::N,ranka,বাহু
27,Ellenbogen::N,alkūnė,কনুই
28,Hand::N,ranka,হাত
29,Hand::N,plaštaka,হাত
30,Handfläche::N,delnas,করতল
31,Handfläche::N,plaštaka,করতল
32,Finger::N,pirštas,আঙ্গুল
33,Fingernagel::N,nagas,হাতের নখ
34,Nagel[Anatomie]::N,nagas,নখ
35,Zeh::N,pirštas,আঙ্গুল
36,Fuß::N,pėda,পা
37,Ferse::N,kulnas,গোড়ালি
38,Knie::N,kelis,হাঁটু
39,Oberschenkel::N,kulšis,ঊরু
40,Oberschenkel::N,šlaunis,ঊরু
41,Bein::N,koja,পা
42,Körper::N,kūnas,দেহ
43,Haut::N,oda,ত্বক
44,Blut::N,kraujas,রক্ত
45,Ader::N,kraujagyslė,শিরা
46,Sehne::N,sausgyslė,কণ্ডরা
47,Knochen::N,kaulas,অস্থি
48,Gehirn::N,smegenys,মস্তিষ্ক
49,Herz::N,širdis,হৃৎপিণ্ড
50,Magen::N,skrandis,পাকস্থলী
51,Leber::N,kepenys,যকৃৎ
52,Atem::N,kvapas,শ্বাস
53,Hunger::N,badas,ক্ষুধা
