,Concept_ID,ca,ta
0,Auge::N,ull,கண்
1,Ohr::N,orella,காது
2,Nase::N,nas,மூக்கு
3,Mund::N,boca,வாய்
4,Zahn::N,dent,பல்
5,Zunge::N,llēngua,நாக்கு
6,Lippe::N,llavi,உதடு
7,Wange::N,galta,கன்னம்
8,Gesicht::N,cara,முகம்
9,Stirn::N,front,முன்னெற்றி
10,Haar::N,cabēll,முடி
11,Schnurrbart::N,bigoti,மீசை
12,Bart::N,barba,தாடி
13,Kinn::N,mentó,கீழதாடை
14,Kinn::N,barbeta,கீழதாடை
15,Kiefer[Anatomie]::N,queix,தாடை
16,Kiefer[Anatomie]::N,mandíbula,தாடை
17,Kehle::N,gola,தொண்டை
18,Kehle::N,gorja,தொண்டை
19,Hals::N,coll,கழுத்து
20,Genick::N,nuca,கழுத்து
21,Kopf::N,cap,தலை
22,Rücken::N,esquena,முதுகு
23,Bauch::N,panxa,வயிறு
24,Nabel::N,llombrígol,தொப்புள்
25,Busen::N,pit,மார்பகம்
26,Busen::N,mama,மார்பகம்
27,Brust::N,pit, மார்பு
28,Schulter::N,espatlla,தோள்பட்டை
29,Arm::N,braç,கரம்
30,Ellenbogen::N,colze,முழங்கை
31,Hand::N,mà,கை
32,Handfläche::N,palma,உள்ளங்கை
33,Finger::N,dit,விரல்
34,Fingernagel::N,ungla,விரல் நகம்
35,Nagel[Anatomie]::N,ungla,நகம்
36,Zeh::N,dit del peu,கால்விரல்
37,Fuß::N,peu,கால்
38,Ferse::N,taló,குதிகால்
39,Knie::N,genoll,முழங்கால்
40,Oberschenkel::N,cuixa,தொடை
41,Bein::N,cama,கால்
42,Körper::N,cos,உடல்
43,Haut::N,pell,சருமம்
44,Blut::N,sang,இரத்தம்
45,Ader::N,vena,நாளம்
46,Sehne::N,tendó,தசைநார்
47,Knochen::N,os,எலுமபு
48,Gehirn::N,cervell,மூனை
49,Herz::N,cor,இதயம
50,Magen::N,estómac,வயிறு
51,Leber::N,fetge,கல்லீரல்
52,Atem::N,alè,மூச்சு
53,Atem::N,hàlit,மூச்சு
54,Hunger::N,fam,பசி
55,Hunger::N,gana,பசி
56,Träne::N,llàgrima,கண்ணீர்
57,Geschmack::N,gust,நறுமணம்
58,Geschmack::N,sabor,நறுமணம்
59,Geruch::N,olor,துர்நாற்றம்
60,Schlaf::N,son,தூக்கம்
61,Traum::N,somni,கனவு
62,Himmel::N,celm,வானம்
63,Sonne::N,sol,சூரியன்
64,Mond::N,lluna,சந்திரன்
65,Stern::N,estel,நட்சத்திரம்
66,Stern::N,estrella,நட்சத்திரம்
67,Luft::N,aire,காறறு
68,Wind::N,vent,காற்று
69,Welle::N,ona,அலை
70,Wasser::N,āigua,நீர்
71,Stein::N,pedra,கல்
72,Boden::N,sòl,தரை
73,Erde::N,terra,மண்
74,Staub::N,pols,தூசி
75,Rauch::N,fum,புகை
76,Funke::N,guspira,தீப்பொறி
77,Funke::N,centella,தீப்பொறி
78,Feuer::N,foc,தீ
79,Licht::N,llum,வெளிச்சம்
80,Schatten::N,ombra,நிழல்
81,Wetter::N,temps,வானிலை
82,Nebel::N,boira,பனிமூட்டம்
83,Wolke::N,núvol,மேகம்
84,Regen::N,pluja,மழை
85,Schnee::N,neu,உறைபனி
86,Eis::N,gel,பனிக்கட்டி
87,Eis::N,glaç,பனிக்கட்டி
88,Frost::N,glaçada,உறைபனி
89,Kälte::N,fred,குளிர்ந்த
90,Hitze::N,calor,சூடு
91,Raureif::N,gebre,உறைபனி வெண்திரை
92,Regenbogen::N,arc iris,வானவில்
93,Donner::N,tro,இடி
94,Strömung::N,corrent,நீரோட்டம்
95,Tropfen::N,gota,துளி
96,Schaum::N,escuma,நுரை
97,Schmutz::N,brutícia,அழுக்கு
98,See::N,llac,ஏரி
99,Sumpf::N,pantà,சதுப்பு நிலம்
100,Moor::N,pantà,முட்புதற்காடு
101,Wiese::N,prat,பசும் புல்தரை
102,Wiese::N,prada,பசும் புல்தரை
103,Wald::N,bosc,காடு
104,Hügel::N,puig,குன்று
105,Hügel::N,pujol,குன்று
106,Anhöhe::N,turó,பதுக்கை
107,Berg::N,muntanya,மலை
108,Gipfel::N,cim,உச்சி மாநாடு
109,Höhle::N,cova,குகை
110,Abhang::N,coster,சரிவு
111,Quelle::N,font,மூலம்
112,Bach::N,riera,ஓடை
113,Fluss::N,riu,ஆறு
114,Ufer::N,riba,நீர்க்கரை
115,Küste::N,costa,கடற்கரை
116,Festland::N,terra ferma,நிலம்
117,Meer::N,mar,கடல்
118,Bucht::N,cala,சிறுகுடா
119,Bucht::N,badia,சிறுகுடா
120,Insel::N,illa,தீவு
121,Blume::N,flor,பூ
122,Gras::N,herba,புல்தரை
123,Wurzel::N,rel,வேர்
124,Wurzel::N,arrel,வேர்
125,Baum::N,arbre,மரம்
126,Stamm::N,tronc,அடிமரம்
127,Rinde::N,escorça,பட்டை
128,Rinde::N,escorça,மரப்பட்டை
129,Ast::N,branca,கினை
130,Zweig::N,ram,குச்சி
131,Blatt::N,fulla,இலை
132,Birke::N,bedoll,பிர்ச் மரம்
133,Kiefer[Baum]::N,pi,தேவதாரு மரம்
134,Weide[Baum]::N,salze,மர வகைகளுள் ஒன்று
135,Tanne::N,avet,சாதிக்கய்
136,Horn::N,corn,கொம்பு
137,Horn::N,banya,கொம்பு
138,Feder::N,ploma,இறகு
139,Fell::N,pell,மென்முடி
140,Flügel::N,ala,இறக்கை
141,Klaue::N,urpa,நகம்
142,Kralle::N,grapa,நகம்
143,Schwanz::N,cua,வால்
144,Ei::N,ou,முட்டை
145,Nest::N,niu,கூடு
146,Bau::N,cau,குகை
147,Tier::N,animāl,விலங்கு
148,Herde::N,ramat,கூட்டம்
149,Kuh::N,vaca,பசு
150,Bulle::N,toro,காளை
151,Pferd::N,cavāll,குதிரை
152,Schaf::N,be,செம்மறிஆடு
153,Schaf::N,ovella,செம்மறிஆடு
154,Schwein::N,bacó,பன்றி
155,Hund::N,ca,நாய்
156,Hund::N,gos,நாய்
157,Katze::N,gat,பூனை
158,Bär::N,ós,கரடி
159,Eichhörnchen::N,esquirol,அணில்
160,Elch::N,ant,கடம்பை
161,Fuchs::N,guilla,நரி
162,Hase::N,llebre,முயல்
163,Maus::N,ratolí,எலி
164,Wolf::N,llop,ஓநாய்
165,Vogel::N,au,பறவை
166,Vogel::N,ocēll,பறவை
167,Schwarm::N,bandada,தொகுதி
168,Huhn::N,gallina,கோழிக்குஞசு
169,Hahn::N,gall,சேவல்
170,Gans::N,oca,பெண் வாத்து
171,Adler::N,àguila,பருநது
172,Ente::N,ànec,வாத்து
173,Eule::N,òliba,ஆந்தை
174,Eule::N,mussol,ஆந்தை
175,Kranich::N,grua,நாரை
176,Krähe::N,cornella,காகம்
177,Kuckuck::N,cucut,குயில்
178,Schwan::N,cigne,அன்னம்
179,Fisch::N,peix,மீன்
180,Barsch::N,perca,பேர்ச்
181,Hecht::N,lluç,கோலாச்சி மீன்
182,Schlange[Tier]::N,serp,பாம்பு
183,Wurm::N,cuc,புழு
184,Spinne::N,aranya,சிலந்தி
185,Ameise::N,formiga,எறும்பு
186,Laus::N,poll,பேன்
187,Mücke::N,mosquit,கொசுவினப்பூச்சி
188,Fliege::N,mosca,ஈ
