,Concept_ID,kn,hu
0,Auge::N,ಕಣ್ಣು,szem
1,Ohr::N,ಕಿವಿ,fül
2,Nase::N,ಮೂಗು,orr
3,Mund::N,ಬಾಯಿ,száj
4,Zahn::N,ಹಲ್ಲು,fog
5,Zunge::N,ನಾಲಿಗೆ,nyelv
6,Lippe::N,ತುಟಿ,ajak
7,Wange::N,ಗಲ್ಲ,orca
8,Gesicht::N,ಮುಖ,arc
9,Stirn::N,ಹಣೆ,homlok
10,Haar::N,ಕೂದಲು,haj
11,Schnurrbart::N,ಮೀಸೆ,bajusz
12,Bart::N,ಗಡ್ಡ,szakáll
13,Kinn::N,ಗದ್ದ,áll
14,Kiefer[Anatomie]::N,ದವಡೆ,állkapocs
15,Kehle::N,ಗಂಟಲು,gége
16,Kehle::N,ಗಂಟಲು,torok
17,Hals::N,ಕೊರಳು,nyak
18,Genick::N,ಹಿಂಗತ್ತು,tarkó
19,Kopf::N,ತಲೆ,fő
20,Kopf::N,ತಲೆ,fej
21,Rücken::N,ಬೆನ್ನು,hát
22,Bauch::N,ಹೊಟ್ಟೆ,has
23,Nabel::N,ಹೊಕ್ಕುಳು,köldök
24,Busen::N,ಸ್ತನ,mell
25,Busen::N,ಸ್ತನ,kebel
26,Brust::N,ಎದೆ,mell
27,Schulter::N,ಭುಜ,váll
28,Arm::N,ತೋಳು,kar
29,Ellenbogen::N,ಮೊಣಕೈ,könyök
30,Hand::N,ಕೈ,kéz
31,Handfläche::N,ಅಂಗೈ,tenyér
32,Finger::N,ಕೈಬೆರಳು,ujj
33,Fingernagel::N,ಉಗುರು,köröm
34,Nagel[Anatomie]::N,ಉಗುರು,köröm
35,Zeh::N,ಕಾಲ್ಬೆರಳು,lábujj
36,Fuß::N,ಪಾದ,láb
37,Ferse::N,ಹಿಮ್ಮಡಿ,sarok
38,Knie::N,ಮಂಡಿ,térd
39,Oberschenkel::N,ತೊಡೆ,comb
40,Bein::N,ಕಾಲು,láb
41,Bein::N,ಕಾಲು,lábszár
42,Körper::N,ದೇಹ,test
43,Haut::N,ಚರ್ಮ,bőr
44,Blut::N,ರಕ್ತ,vér
45,Ader::N,ನರ,ér
46,Sehne::N,ನರ,ín
47,Knochen::N,ಮೂಳೆ,csont
48,Gehirn::N,ಮಿದುಳು,agy
49,Gehirn::N,ಮಿದುಳು,agyvelő
50,Herz::N,ಹೃದಯ,szív
51,Magen::N,ಉದರ,gyomor
52,Leber::N,ಯಕೃತ್ತು,máj
53,Atem::N,ಉಸಿರು,lehelet
54,Atem::N,ಉಸಿರು,lélegzet
55,Hunger::N,ಹಸಿವು,éhség
56,Träne::N,ಕಣ್ಣೀರು,könny
57,Geschmack::N,ರುಚಿ,íz
58,Geruch::N,ವಾಸನೆ,szag
59,Schlaf::N,ನಿದ್ರೆ,álom
60,Schlaf::N,ನಿದ್ರೆ,alvás
61,Traum::N,ಕನಸು,álom
62,Himmel::N,ಬಾನು,ég
63,Himmel::N,ಬಾನು,menny
64,Sonne::N,ಸೂರ್ಯ,nap
65,Mond::N,ಚಂದ್ರ,hold
66,Stern::N,ಚುಕ್ಕಿ,csillag
67,Luft::N,ವಾಯು,levegő
68,Wind::N,ಗಾಳಿ,szél
69,Welle::N,ಅಲೆ,hullám
70,Wasser::N,ನೀರು,víz
71,Stein::N,ಕಲ್ಲು,kő
72,Boden::N,ನೆಲ,föld
73,Boden::N,ನೆಲ,talaj
74,Erde::N,ಭೂಮಿ,föld
75,Staub::N,ದೂಳು,por
76,Rauch::N,ಹೊಗೆ,füst
77,Funke::N,ಕಿಡಿ,szikra
78,Feuer::N,ಬೆಂಕಿ,tűz
79,Licht::N,ಬೆಳಕು,fény
80,Schatten::N,ನೆರಳು,árnyék
81,Wetter::N,ಹವ,idő
82,Wetter::N,ಹವ,időjárás
83,Nebel::N,ಮಂಜು,köd
84,Wolke::N,ಮೋಡ,felhő
85,Regen::N,ಮಳೆ,eső
86,Schnee::N,ಹಿಮ,hó
87,Eis::N,ಮಂಜುಗಡ್ಡೆ,jég
88,Frost::N,ಮಂಜು,fagy
89,Kälte::N,ಹಿಮ,hideg
90,Hitze::N,ಉಷ್ಣ,hő
91,Hitze::N,ಉಷ್ಣ,hőség
92,Raureif::N,ಇಬ್ಬನಿ,zúzmara
93,Regenbogen::N,ಇಂದ್ರಚಾಪ,szivárvány
94,Donner::N,ಗುಡುಗು,dörgés
95,Donner::N,ಗುಡುಗು,mennydörgés
96,Strömung::N,ಪ್ರವಾಹ,áramlat
