,Concept_ID,kn,ab
0,Auge::N,ಕಣ್ಣು,ала
1,Ohr::N,ಕಿವಿ,алымҳа
2,Nase::N,ಮೂಗು,аҧынҵа
3,Mund::N,ಬಾಯಿ,аҧышə
4,Zahn::N,ಹಲ್ಲು,ахаҧыц
5,Zunge::N,ನಾಲಿಗೆ,абз
6,Lippe::N,ತುಟಿ,ақьышə
7,Wange::N,ಗಲ್ಲ,аӡамҩа
8,Gesicht::N,ಮುಖ,аҿы
9,Stirn::N,ಹಣೆ,алахь
10,Haar::N,ಕೂದಲು,ахəыц
11,Schnurrbart::N,ಮೀಸೆ,аҧаҵа
12,Bart::N,ಗಡ್ಡ,ажакьа
13,Kinn::N,ಗದ್ದ,ацламкəыгə
14,Kiefer[Anatomie]::N,ದವಡೆ,ацламҳəа
15,Kehle::N,ಗಂಟಲು,ахəда
16,Hals::N,ಕೊರಳು,ахəда
17,Genick::N,ಹಿಂಗತ್ತು,ахəдаџьал
18,Kopf::N,ತಲೆ,ахы
19,Rücken::N,ಬೆನ್ನು,азқəа
20,Bauch::N,ಹೊಟ್ಟೆ,амгəа
21,Nabel::N,ಹೊಕ್ಕುಳು,аҷапан
22,Busen::N,ಸ್ತನ,агəыҧҳəы
23,Brust::N,ಎದೆ,агəышҧы
24,Schulter::N,ಭುಜ,ажəҩахыр
25,Arm::N,ತೋಳು,амахəар
26,Ellenbogen::N,ಮೊಣಕೈ,амашьхəылҵ
27,Hand::N,ಕೈ,анапы
28,Handfläche::N,ಅಂಗೈ,анапсаргəыҵа
29,Finger::N,ಕೈಬೆರಳು,анацəа
30,Fingernagel::N,ಉಗುರು,анапхыц
31,Nagel[Anatomie]::N,ಉಗುರು,ашьапхыц
32,Zeh::N,ಕಾಲ್ಬೆರಳು,ашьацəа
33,Fuß::N,ಪಾದ,ашьапсыргəыҵа
34,Ferse::N,ಹಿಮ್ಮಡಿ,ашьхəа
35,Knie::N,ಮಂಡಿ,ашьамхы
36,Oberschenkel::N,ತೊಡೆ,ауаҭəа
37,Bein::N,ಕಾಲು,ашьапы
38,Körper::N,ದೇಹ,ацəеижь
39,Haut::N,ಚರ್ಮ,ацəа
40,Blut::N,ರಕ್ತ,ашьа
41,Ader::N,ನರ,ада
42,Sehne::N,ನರ,адаш
43,Knochen::N,ಮೂಳೆ,абаҩ
44,Gehirn::N,ಮಿದುಳು,ахшлыбаҩ
45,Gehirn::N,ಮಿದುಳು,ахшыбаҩ
46,Herz::N,ಹೃದಯ,агəы
47,Magen::N,ಉದರ,аца
48,Magen::N,ಉದರ,ацар
49,Leber::N,ಯಕೃತ್ತು,агəаҵəа
50,Atem::N,ಉಸಿರು,аҧсыҧлагаҩгара
51,Hunger::N,ಹಸಿವು,амла
52,Träne::N,ಕಣ್ಣೀರು,алабжыш
53,Geschmack::N,ರುಚಿ,агьама
54,Geruch::N,ವಾಸನೆ,афҩы
55,Schlaf::N,ನಿದ್ರೆ,ацəа
