,Concept_ID,bg,ml
0,Auge::N,око,കണ്ണ്
1,Ohr::N,ухо,ചെവി
2,Nase::N,нос,മൂക്ക്
3,Mund::N,уста,വായ
4,Zahn::N,зъб,പല്ല്
5,Zunge::N,език,നാക്ക്
6,Lippe::N,устна,ചുണ്ട്
7,Wange::N,буза,കവിൾത്തടം
8,Gesicht::N,лице,മുഖം
9,Gesicht::N,образ,മുഖം
10,Stirn::N,чело,നെറ്റി
11,Haar::N,коса,തലമുടി
12,Haar::N,косъм,തലമുടി
13,Schnurrbart::N,мустаци,മീശ
14,Bart::N,брада,താടിരോമം
15,Kinn::N,брада,താടി
16,Kinn::N,брадичка,താടി
17,Kiefer[Anatomie]::N,челюст,താടിയെല്ല്
18,Kehle::N,гърло,കണ്ഠനാളം
19,Hals::N,врат,കഴുത്ത്
20,Genick::N,тил,പിടലി
21,Kopf::N,глава,തല
22,Rücken::N,гръб,മുതുക്
23,Bauch::N,корем,നയറ്
24,Nabel::N,пъп,നാഭി
25,Busen::N,бозка,സ്തനം
26,Brust::N,гръд,സ്തനം
27,Schulter::N,рамо,തോൾ
28,Schulter::N,плещи,തോൾ
29,Arm::N,ръка,കൈ
30,Ellenbogen::N,лакът,കൈമുട്ട്
31,Hand::N,ръка,കൈ
32,Hand::N,китка,കൈ
33,Handfläche::N,длан,ഉള്ളം കൈ
34,Finger::N,пръст,വിരൽ
35,Fingernagel::N,нокът,നഖം
36,Nagel[Anatomie]::N,нокът,നഖം
37,Zeh::N,пръст на крак,കാൽവിരൽ
38,Fuß::N,крак,കാൽപ്പാദം
39,Fuß::N,нога,കാൽപ്പാദം
40,Ferse::N,пета,ഉപ്പൂറ്റി
41,Knie::N,коляно,കാൽമുട്ട്
42,Oberschenkel::N,бедро,തുട
43,Bein::N,крак,കാൽ
44,Bein::N,нога,കാൽ
45,Körper::N,тяло,ശരീരം
46,Haut::N,кожа,ചർമ്മം
47,Blut::N,кръв,രക്തം
48,Ader::N,вена,ഞരമ്പ്
49,Ader::N,артерия,ഞരമ്പ്
50,Sehne::N,жила,സ്നായു
51,Sehne::N,сухожилие,സ്നായു
52,Knochen::N,кост,അസ്ഥി
53,Gehirn::N,мозък,തലച്ചോറ്
54,Herz::N,сърце,ഹൃദയം
55,Magen::N,стомах,വയർ
56,Leber::N,черен дроб,കരൾ
57,Atem::N,дишане,ശ്വാസം
58,Hunger::N,глад,വിശപ്പ്
59,Träne::N,сълза,കണ്ണീർ
60,Geschmack::N,вкус,രുചി
61,Geruch::N,миризма,ഗന്ധം
62,Schlaf::N,сън,ഉറകും
63,Traum::N,сън,സ്വപ്നം
64,Himmel::N,небе,ആകാശം
65,Sonne::N,слънце,സൂര്യൻ
66,Mond::N,луна,ചന്ദ്രൻ
67,Mond::N,месец,ചന്ദ്രൻ
68,Stern::N,звезда,നക്ഷത്രം
69,Luft::N,въздух,കാറ്റ്
70,Wind::N,вятър,കാറ്റ്
71,Welle::N,вълна,തിരമാല
72,Wasser::N,вода,വെള്ളം
73,Stein::N,камък,ശില
74,Stein::N,камък,കല്ല്
75,Boden::N,земя,തറ
76,Boden::N,земя,നിലം
77,Boden::N,почва,തറ
78,Boden::N,почва,നിലം
79,Erde::N,земя,മണ്ണ്
80,Erde::N,почва,മണ്ണ്
81,Staub::N,прах,പൊടി
82,Rauch::N,дим,പുക
83,Rauch::N,пушек,പുക
84,Funke::N,искра,തീപ്പൊരി
85,Feuer::N,огън,തീ
86,Licht::N,светлина,വിളക്ക്
87,Licht::N,светлина,സൂര്യപ്രകാശം
88,Schatten::N,сянка,തണൽ
89,Wetter::N,време,കാലാവസ്ഥ
90,Nebel::N,мъгла,മൂടൽമഞ്ഞ്
91,Wolke::N,облак,മേഘം
92,Regen::N,дъжд,മഴ
93,Schnee::N,сняг,മഞ്ഞ്
94,Eis::N,лед,ഐസ്
95,Frost::N,мраз,മൂടൽമഞ്ഞ്
96,Kälte::N,студ,തണുപ്പ്
97,Hitze::N,жега,ചൂട്
98,Hitze::N,горещина,ചൂട്
99,Raureif::N,скреж,കോടമഞ്ഞ്
100,Raureif::N,слана,കോടമഞ്ഞ്
101,Regenbogen::N,дъга,മഴവില്ല്
102,Donner::N,гръм,ഇടി
103,Strömung::N,течение,പ്രവാഹം
104,Tropfen::N,капка,തുള്ളി
105,Schaum::N,пяна,നുര
106,Schmutz::N,кал,അഴുക്ക്
107,Schmutz::N,мръсотия,അഴുക്ക്
108,See::N,езеро,തടാകം
109,Sumpf::N,блато,ചതുപ്പുനിലം
110,Moor::N,мочурище,പാഴ്നിലം
111,Wiese::N,ливада,പുൽത്തകിടി
112,Wald::N,гора,വനം
113,Wald::N,гора,കാട്
114,Hügel::N,рид,കുന്ന്
115,Hügel::N,хълм,കുന്ന്
116,Anhöhe::N,могила,ഉയർന്ന ഭൂമി
117,Anhöhe::N,възвишение,ഉയർന്ന ഭൂമി
118,Berg::N,планина,പർവ്വതം
119,Gipfel::N,връх,ഉച്ചകോടി
120,Höhle::N,пещера,ഗുഹ
121,Abhang::N,склон,ചരിവ്
122,Abhang::N,стръмнина,ചരിവ്
123,Quelle::N,извор,ഉറവിടം
124,Bach::N,поток,അരുവി
125,Fluss::N,река,നദി
126,Ufer::N,бряг,തീരം
127,Küste::N,бряг,കടൽത്തീരം
128,Küste::N,крайбрежие,കടൽത്തീരം
129,Festland::N,суша,കര
130,Meer::N,море,കടൽ
131,Bucht::N,залив,ഉൾക്കടല്
132,Insel::N,остров,ദ്വീപ്
133,Blume::N,цвете,പൂവ്
134,Gras::N,трева,പുല്ല്
135,Wurzel::N,корен,വേര്
136,Baum::N,дърво,മരം
137,Stamm::N,стъбло,തായ്ത്തടി
138,Rinde::N,кора,പട്ട
139,Ast::N,клон,ശാഖ
140,Zweig::N,клон,ശാഖ
141,Blatt::N,лист,ഇല
142,Birke::N,бреза,പൂവരശ്
143,Kiefer[Baum]::N,бор,പൈൻമരം
144,Weide[Baum]::N,върба,വില്ലോ
145,Tanne::N,ела,ദേവദാരു
146,Horn::N,рог,മൃഗത്തിൻറെ കൊമ്പ്
147,Feder::N,перо,തൂവൽ
148,Fell::N,кожа,മൃദുരോമം
149,Flügel::N,крило,ചിറക്
150,Klaue::N,нокът,നഖം
151,Kralle::N,нокът,നഖം
152,Schwanz::N,опашка,വാൽ
153,Ei::N,яйце,മുട്ട
154,Nest::N,гнездо,കൂട്
155,Bau::N,дупка,മാളം
