,Concept_ID,kn,uz
0,Auge::N,ಕಣ್ಣು,ko'z
1,Ohr::N,ಕಿವಿ,quloq
2,Nase::N,ಮೂಗು,burun
3,Mund::N,ಬಾಯಿ,og'iz
4,Zahn::N,ಹಲ್ಲು,tish
5,Zunge::N,ನಾಲಿಗೆ,til
6,Lippe::N,ತುಟಿ,dudoq
7,Wange::N,ಗಲ್ಲ,bet
8,Gesicht::N,ಮುಖ,yuz
9,Stirn::N,ಹಣೆ,manglay
10,Haar::N,ಕೂದಲು,soch
11,Schnurrbart::N,ಮೀಸೆ,mo'ylov
12,Bart::N,ಗಡ್ಡ,soqol
13,Kinn::N,ಗದ್ದ,ängak
14,Kiefer[Anatomie]::N,ದವಡೆ,iyak
15,Kehle::N,ಗಂಟಲು,bo'g'iz
16,Hals::N,ಕೊರಳು,bo'yin
17,Genick::N,ಹಿಂಗತ್ತು,gardan
18,Kopf::N,ತಲೆ,bosh
19,Rücken::N,ಬೆನ್ನು,orqa
20,Bauch::N,ಹೊಟ್ಟೆ,qorin
21,Nabel::N,ಹೊಕ್ಕುಳು,kindik
22,Busen::N,ಸ್ತನ,ämchak
23,Brust::N,ಎದೆ,ko'krak
24,Schulter::N,ಭುಜ,elka
25,Arm::N,ತೋಳು,bilak
26,Ellenbogen::N,ಮೊಣಕೈ,tirsak
27,Hand::N,ಕೈ,qo'l
28,Handfläche::N,ಅಂಗೈ,kaft
29,Finger::N,ಕೈಬೆರಳು,barmoq
30,Fingernagel::N,ಉಗುರು,tirnoq
31,Nagel[Anatomie]::N,ಉಗುರು,tirnoq
32,Zeh::N,ಕಾಲ್ಬೆರಳು,oyoq barmog'i
33,Fuß::N,ಪಾದ,oyoq
34,Ferse::N,ಹಿಮ್ಮಡಿ,tovon
35,Knie::N,ಮಂಡಿ,tiz
36,Oberschenkel::N,ತೊಡೆ,son
37,Bein::N,ಕಾಲು,oyoq
38,Körper::N,ದೇಹ,badna
39,Haut::N,ಚರ್ಮ,teri
40,Blut::N,ರಕ್ತ,qon
41,Ader::N,ನರ,qon tomir
42,Sehne::N,ನರ,tomir
43,Knochen::N,ಮೂಳೆ,suyak
44,Gehirn::N,ಮಿದುಳು,miya
45,Herz::N,ಹೃದಯ,qalb
46,Magen::N,ಉದರ,oshqozon
47,Leber::N,ಯಕೃತ್ತು,bag'ir
48,Atem::N,ಉಸಿರು,dam
49,Hunger::N,ಹಸಿವು,ochlik
50,Träne::N,ಕಣ್ಣೀರು,yosh
51,Geschmack::N,ರುಚಿ,tam
52,Geruch::N,ವಾಸನೆ,jid
53,Schlaf::N,ನಿದ್ರೆ,uyqu
54,Traum::N,ಕನಸು,tush
55,Himmel::N,ಬಾನು,osmon
56,Sonne::N,ಸೂರ್ಯ,quyosh
57,Mond::N,ಚಂದ್ರ,oy
58,Stern::N,ಚುಕ್ಕಿ,yulduz
59,Luft::N,ವಾಯು,havo
60,Wind::N,ಗಾಳಿ,el
61,Welle::N,ಅಲೆ,to'lqin
62,Wasser::N,ನೀರು,suv
63,Stein::N,ಕಲ್ಲು,tosh
64,Boden::N,ನೆಲ,tuproq
65,Erde::N,ಭೂಮಿ,er
66,Staub::N,ದೂಳು,chang
67,Rauch::N,ಹೊಗೆ,tutun
68,Funke::N,ಕಿಡಿ,yalt
69,Feuer::N,ಬೆಂಕಿ,o't
70,Licht::N,ಬೆಳಕು,yorug'
71,Schatten::N,ನೆರಳು,soya
72,Wetter::N,ಹವ,havo
73,Nebel::N,ಮಂಜು,tuman
74,Wolke::N,ಮೋಡ,bulut
75,Regen::N,ಮಳೆ,yomg'ir
76,Schnee::N,ಹಿಮ,qor
77,Eis::N,ಮಂಜುಗಡ್ಡೆ,muz
78,Frost::N,ಮಂಜು,ajoz
79,Kälte::N,ಹಿಮ,ajoz
80,Hitze::N,ಉಷ್ಣ,issiq
81,Raureif::N,ಇಬ್ಬನಿ,qirov
82,Regenbogen::N,ಇಂದ್ರಚಾಪ,kamalak
83,Donner::N,ಗುಡುಗು,guldur
84,Strömung::N,ಪ್ರವಾಹ,oqim
85,Tropfen::N,ತೊಟ್ಟು,tomchi
86,Schaum::N,ನೊರೆ,ko'pik
87,Schmutz::N,ಕಸ,gard
88,See::N,ಸರೋವರ,ko'l
89,Sumpf::N,ಜೌಗುಸ್ಥಳ,botqoq
90,Moor::N,ಬಂಜರು ಭೂಮಿ,qir-adir
91,Wiese::N,ಹುಲ್ಲುಗಾವಲು,o'tzor
92,Wald::N,ಕಾಡು,o'rmon
93,Hügel::N,ಗುಡ್ಡೆ,tepa
94,Anhöhe::N,ದಿಬ್ಬ,adir
95,Berg::N,ಮಲೆ,tog'
96,Berg::N,ಪರ್ವತ,tog'
97,Gipfel::N,ಶೃಂಗ,cho'qqi
98,Höhle::N,ಗುಹೆ,kavak
99,Abhang::N,ಇಳಿಜಾರು,to'sh
100,Quelle::N,ಮೂಲ,buloq
101,Bach::N,ತೊರೆ,o'zan
102,Fluss::N,ನದಿ,daryo
103,Ufer::N,ತೀರ,sohil
104,Küste::N,ದಂಡೆ,qirg'oq
105,Festland::N,ಭೂಮಿ,materik
106,Meer::N,ಕಡಲು,dengiz
107,Bucht::N,ಖಾರಿ,qo'ltiq
108,Insel::N,ದ್ವೀಪ,orol
109,Blume::N,ಸುಮ,gul
110,Gras::N,ಹುಲ್ಲು,sabza
111,Wurzel::N,ಬೇರು,tub
112,Wurzel::N,ಬೇರು,tomir
113,Baum::N,ಮರ,daraxt
114,Stamm::N,ಕಾಂಡ,o'simta
115,Rinde::N,ತೂಗಟಿ,qobiq
116,Ast::N,ಶಾಖೆ,shox
117,Zweig::N,ರೆಂಬೆ,butoq
118,Blatt::N,ಎಲೆ,barg
119,Birke::N,ಬರ್ಚ್ ಮರ,qayin
120,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,qarag'ay
121,Weide[Baum]::N,ವಿಲೋಮರ,shum
122,Tanne::N,ಭದ್ರದಾರು,archa
123,Horn::N,ಕೊಂಬು,mugiz
124,Feder::N,ಪುಕ್ಕ,par
125,Fell::N,ರೋಮ,mo'yna
126,Flügel::N,ರೆಕ್ಕೆ,qanot
127,Klaue::N,ಪಂಜ,tirnoq
128,Kralle::N,ಉಗುರು,tirnoq
129,Schwanz::N,ಬಾಲ,quyruq
130,Ei::N,ಮೊಟ್ಟೆ,tuxum
131,Nest::N,ಗೂಡು,oshyon
132,Bau::N,ಅಡಗುದಾಣ,o'pqon
133,Tier::N,ಪ್ರಾಣಿ,hayvon
134,Herde::N,ಗುಂಪು,gala
135,Kuh::N,ಹಸು,inak
136,Bulle::N,ಗೂಳಿ,ho'kiz
137,Pferd::N,ಕುದುರೆ,ot
138,Schaf::N,ಕುರಿ,qo'y
139,Schwein::N,ಹಂದಿ,cho'chqa
140,Hund::N,ನಾಯಿ,it
141,Katze::N,ಬೆಕ್ಕು,mushuk
142,Bär::N,ಕರಡಿ,ayiq
143,Eichhörnchen::N,ಉಡುತೆ,tiyin
144,Elch::N,ಕಡವೆ,los
145,Fuchs::N,ನರಿ,tulki
146,Hase::N,ಮೊಲ,kuyon
147,Maus::N,ಇಲಿ,sichqon
148,Wolf::N,ತೋಳ,bo'ri
149,Vogel::N,ಪಕ್ಷಿ,qush
150,Schwarm::N,ಗುಂಪು,to'da
151,Huhn::N,ಚಿಕ್,tovuq
152,Hahn::N,ಹುಂಜ,xo'roz
153,Gans::N,ವರಟೆ,g'oz
154,Adler::N,ಗರುಡ,burgut
155,Ente::N,ಬಾತು,o'rdak
156,Eule::N,ಗೂಬೆ,boyo'g'li
157,Kranich::N,ಕೊಕ್ಕರ,turna
158,Krähe::N,ಕಾಗೆ,qarg'a
159,Kuckuck::N,ಕೋಗಿಲೆ,kakku
160,Schwan::N,ಹಂಸಪಕ್ಷಿ,oqkush
161,Fisch::N,ಮೀನು,baliq
162,Barsch::N,ಪರ್ಚ್ ಮೀನು,olabug'a
163,Hecht::N,ಪೈಕ್ ಮೀನು,cho'rtan
164,Schlange[Tier]::N,ಹಾವು,ilon
165,Wurm::N,ಹುಳು,qurt
166,Spinne::N,ಊರ್ಣನಾಭ,o'rgimchak
167,Ameise::N,ಇರುವೆ,chumoli
168,Laus::N,ಹೇನು,bit
169,Mücke::N,ಸೊಳ್ಳೆ,chivin
170,Fliege::N,ನೊಣ,pashsha
171,Schmetterling::N,ಪತಂಗ,kapalak
172,Beere::N,ನಯವಣ್ಣು,meva
173,Apfel::N,ಸೇಬು,olma
174,Pilz::N,ಅಣಬೆ,qo'ziqorin
175,Zwiebel::N,ನೀರುಳ್ಳಿ,piyoz
176,Saat::N,ಬಿತ್ತ,äkin
177,Korn::N,ಬೀಜ,zarra
178,Heu::N,ಕರಡ,xashak
179,Schale::N,ಹೊಟ್ಟು,po'choq
180,Grube::N,ಗುಂಡಿ,co'ra
181,Falle::N,ಬೋನು,qopqon
182,Schlinge::N,ಉರುಲು,sirtmoq
183,Spur::N,ಜಾಡು,iz
184,Asche::N,ಬೂದಿ,kul
185,Dreck::N,ಹೊಲಸು,kir
186,Eisen::N,ಕಬ್ಬಿಣ,temir
187,Gold::N,ಚಿನ್ನ,tilla
188,Silber::N,ಬೆಳ್ಳಿ,kumush
189,Kohle::N,ಕಲ್ಲಿದ್ದಲು,ko'mir
190,Glas::N,ಗಾಜು,oyna
191,Lehm::N,ಜೇಡಿಮಣ್ಣು,loy
192,Sand::N,ಮರಳು,qum
193,Mensch::N,ಪುರುಷ,odam
194,Mann::N,ಆಳು,ärkak
195,Frau::N,ಹೆಣ್ಣು,ayol
196,Kind::N,ಮಗು,bola
197,Kind::N,ಮಗು,kichkintoy
198,Junge::N,ಹುಡುಗ,bola
199,Mädchen::N,ಹುಡುಗಿ,qiz
200,Familie::N,ಕುಟುಂಬ,oila
201,Großvater::N,ಅಜ್ಜ,buva
202,Großvater::N,ಅಜ್ಜ,katta ota
203,Großmutter::N,ಅಮ್ಮ,buvi
204,Großmutter::N,ಅಮ್ಮ,katta oyi
205,Eltern::N,ಹೆತ್ತವರು,ota-ona
206,Vater::N,ತಂದೆ,ota
207,Mutter::N,ಅಮ್ಮ,ona
208,Sohn::N,ಮಗ ,o'g'il
209,Tochter::N,ಮಗಳು,qiz
210,Bruder::N,ತಮ್ಮ,og'a
211,Bruder::N,ತಮ್ಮ,uka
212,Schwester::N,ತಂಗಿ,opa
213,Schwester::N,ತಂಗಿ,singil
214,Onkel::N,ಸೋದರಮಾವ,amaki
215,Onkel::N,ದೊಡ್ಡಪ್ಪ,amaki
216,Tante::N,ಚಿಕ್ಕಮ್ಮ,amma
217,Tante::N,ಚಿಕ್ಕಮ್ಮ,xola
218,Ehemann::N,ಗಂಡ,är
219,Ehefrau::N,ಹೆಂಡತಿ,rafiqa
220,Freude::N,ನಲಿವು,ayish
221,Gelächter::N,ನಗೆ,kulgi
222,Glück::N,ಆನಂದ,saodat
223,Kummer::N,ದುಃಖ,g'am
224,Wunsch::N,ಬಯಕೆ,orzu
225,Lust::N,ಇಷ್ಟ,rag'bat
226,Geist::N,ಆತ್ಮ,ruh
227,Gedanke::N,ಯೋಚನೆ,fikr
228,Gedächtnis::N,ಸ್ಮರಣೆ,äs
229,Verstand::N,ಮನಸ್ಸು,aql
230,Sinn::N,ಅರ್ಥ,ma'ni
231,Grund::N,ಕಾರಣ,sabab
232,Wahrheit::N,ಸತ್ಯ,haq
233,Gespräch::N,ಸಂಭಾಷಣೆ,gap
234,Märchen::N,ಸುಳ್ಳು ಕಥೆ,ärtak
235,Erzählung::N,ಕಥೆ,rivoyat
236,Nachricht::N,ಸಂದೇಶ,xabar
237,Neuigkeit::N,ಸುದ್ದಿ,yangilik
238,Name::N,ಹೆಸರು,ot
239,Rätsel::N,ಒಗಟು,topishmoq
240,Rede::N,ಮಾತು,nutq
241,Sprache::N,ಭಾಷೆ,til
242,Stimme::N,ಧ್ವನಿ,ovoz
243,Wort::N,ಮಾತು,so'z
244,Zeichen::N,ಗುರುತು,alomat
245,Ruf::N,ಕೂಗು,chaqiriq
246,Lärm::N,ಸದ್ದು,taraq
247,Laut::N,ಶಬ್ದ,tovush
248,Ton::N,ನಾದ,un
249,Lied::N,ಗಾನ,ashula
250,Ruhe::N,ಶಾಂತಿ,tinchlik
251,Leute::N,ಮಂದಿ,xaloyiq
252,Volk::N,ಜನಾಂಗ,xalq
253,Arbeit::N,ಕೆಲಸ,ish
254,Gast::N,ಅತಿಥಿ,mehmon
255,Geschenk::N,ಕಾಣಿಕೆ,hadya
256,Spiel::N,ಆಟ,o'yin
257,Gesellschaft::N,ಸಂಗ,jamiyat
258,Hilfe::N,ಸಹಾಯ,yordam
259,Freund::N,ಸ್ನೇಹಿತ,do'st
260,Kamerad::N,ಜೊತೆಗಾರ,yo'ldosh
261,Angelegenheit::N,ವಿಚಾರ,daxl
262,Anzahl::N,ಎಣಿಕೆ,son
263,Art::N,ತರ,tur
264,Stück::N,ತುಂಡು,parcha
265,Teil::N,ಭಾಗ,bo'lak
266,Hälfte::N,ಅರ್ಧ,yarim
267,Kreis::N,ವೃತ್ತ,aylana
268,Kreuz::N,ಶಿಲುಬೆ,xoch
269,Linie::N,ರೀಖೆ,liniya
270,Strich::N,ಗೀಟು,chiziq
271,Abstand::N,ಅಂತರ,oralik
272,Entfernung::N,ದೂರ,uzoqlik
273,Gegend::N,ವಿಸ್ತೀರ್ಣ,yer
274,Platz::N,ಅಂತರ,oralig
275,Ort::N,ಸ್ಥಳ,joy
276,Seite::N,ಪಕ್ಷ,yon
277,Mitte::N,ನಡು,o'rta
278,Gegenstand::N,ವಸ್ತು,ashyo
279,Sache::N,ವಸ್ತು,buyum
280,Rand::N,ಅಂಚು,chek
281,Kante::N,ಅಂಚು,tig'
282,Ecke::N,ಮೂಲೆ,burchak
283,Spitze::N,ತುದಿ,uch
284,Ende::N,ಕೊನೆ,oxir
285,Loch::N,ತೂತು,teshik
286,Winkel::N,ಕೋನ,go'sha
287,Muster::N,ನಮೂನೆ,nusha
288,Größe::N,ಪ್ರಮಾಣ,kattalik
289,Länge::N,ಉದ್ದ,uzunlik
290,Höhe::N,ಎತ್ತರ,yuksaklik
291,Gewicht::N,ತೂಕ,solmoq
292,Menge::N,ಮೊತ್ತ,miqdor
293,Haufen::N,ರಾಶಿ,uyum
294,Reihe::N,ಸಾಲು,saf
295,Boot::N,ದೋಣಿ,qayiq
296,Ruder::N,ಹುಟ್ಟು,äshkak
297,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,chana
298,Ski::N,ಜಾರುಪಟ್ಟಿ,chang'i
299,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,gulxan
300,Last::N,ಹೊರೆ,yuk
301,Gang::N,ತಿರುಗಾಟ,yurish
302,Schritt::N,ಹೆಜ್ಜೆ,qadam
303,Norden::N,ಉತ್ತರ,shimol
304,Süden::N,ದಕ್ಷಿಣ,janub
305,Westen::N,ಪಶ್ಚಿಮ,g'arb
306,Osten::N,ಮೂಡಲು,sharq
307,Holz::N,ಚೌಬೀನೆ,yog'och
308,Brett::N,ಹಲಗೆ,taxta
309,Platte::N,ಹಲಗೆ,tabaqa
310,Stütze::N,ಆಸರೆ,tayanchi
311,Stange::N,ಕಂಬ,qo'noq
312,Stock::N,ಕೋಲು,tayoq
313,Stab::N,ದೊಣ್ಣೆ,gavron
314,Rohr::N,ನಳಿಕೆ,tarnov
315,Haus::N,ಮನೆ,uy
316,Heim::N,ಗೃಹ,makon
317,Ofen::N,ಒಲೆ,pechka
318,Fußboden::N,ನೆಲ,pol
319,Tisch::N,ಮೇಜು,mosa
320,Stuhl::N,ಕುರ್ಚಿ,o'rindiq
321,Wiege::N,ತೊಟ್ಟಿಲು,beshik
322,Bett::N,ಹಾಸಿಗೆ,yotoq
323,Regal::N,ಬೀರು,tokcha
324,Kiste::N,ಪಟ್ಟಿಗೆ,sandiq
325,Fenster::N,ಕಿಟಕಿ,deraza
326,Tür::N,ಬಾಗಿಲು,äshik
327,Tor::N,ಹೆಬ್ಬಾಗಿಲು,darvoza
328,Zaun::N,ಬೇಲಿ,panjara
329,Dach::N,ಮಾಳಿಗೆ,tom
330,Leiter::N,ಏಣಿ,narvon
331,Besen::N,ಪೊರಕೆ,supurgi
332,Spaten::N,ಗುದ್ದಲಿ,bel
333,Schaufel::N,ಸನಿಕೆ,kurak
334,Gabel::N,ಕವಲು,bilka
335,Löffel::N,ಚಮಚ,qoshiq
336,Messer::N,ಚಾಕು,pichoq
337,Nagel::N,ಆಣಿ,mix
338,Netz::N,ಬಲೆ,to'r
339,Haken::N,ಕೊಂಡಿ,ilgak
340,Griff::N,ಹಿಡಿ,sop
341,Griff::N,ಹಿಡಿ,tutqich
342,Schloss::N,ವೀಗ,qulf
343,Bild::N,ಚಿತ್ರ,rasm
344,Figur::N,ಆಕಾರ,shakl
345,Puppe::N,ಗೊಂಬೆ,ko'g'irchoq
346,Beutel::N,ಸಂಚಿ,to'rva
347,Bündel::N,ಕಟ್ಟು,bog'lam
348,Tasche::N,ಚೀಲ,kissa
349,Eimer::N,ಬಾನೆ,chelak
350,Deckel::N,ಮುಚ್ಚಳ,qopqoq
351,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,idish
352,Sack::N,ಮೂಟೆ,qop
353,Tasse::N,ಬಟ್ಟಲು,piyola
354,Topf::N,ಮಡಕೆ,tuvak
355,Kessel::N,ಕೆಟಲ್,qozon
356,Essen::N,ಊಟ,tomoq
357,Nahrung::N,ಆಹಾರ,emak
358,Speise::N,ಊಟ,taom
359,Fleisch::N,ಮಾಂಸ,go'sht
360,Getreide::N,ಧಾನ್ಯ,g'alla
361,Brei::N,ಗಂಜಿ,bo'tqa
362,Brot::N,ರೊಟ್ಟಿ,non
363,Scheibe::N,ಹೋಳು,disk
364,Fett::N,ಕೊಬ್ಬು,moy
365,Butter::N,ಬೆಣ್ಣೆ,yog'
366,Öl::N,ಎಣ್ಣೆ,moy
367,Salz::N,ಉಪ್ಪು,tuz
368,Suppe::N,ಎಸರು,sho'rva
369,Honig::N,ಮಧು,asal
370,Milch::N,ಹಾಲು,sut
371,Tee::N,ಚಹ,choy
372,Leder::N,ಚಕ್ಕಳ,charm
373,Wolle::N,ಉಣ್ಣೆ,jun
374,Stoff::N,ಬಟ್ಟೆ,mato
375,Nadel::N,ಸೂಜಿ,igna
376,Faden::N,ದಾರ,ip
377,Knopf::N,ಗುಂಡು,tugma
378,Knoten::N,ಗಂಟು,tugun
379,Farbe::N,ಬಣ್ಣ,bo'yok
380,Kleidung::N,ಅರಿವೆ,kiyim
381,Hemd::N,ಅಂಗಿ,ko'ylak
382,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,yoqa
383,Ärmel::N,ತೋಳು,yeng
384,Hose::N,ಇಜಾರ,shim
385,Gürtel::N,ಬೆಲ್ಟು,tasma
386,Mütze::N,ಟೋಪಿ,shapka
387,Schuh::N,ಪಾದರಕ್ಷೆ,but
388,Stiefel::N,ಬೂಟು,botinka
389,Ring::N,ಉಂಗುರ,yuzuk
390,Band::N,ರಿಬ್ಬನ್,rishta
391,Kamm::N,ಹಣಿಗೆ,taroq
392,Spiegel::N,ಕನ್ನಡಿ,ko'zgu
393,Riemen::N,ಬಾರು,qayish
394,Schnur::N,ಹುರಿ,bog'ich
395,Leine::N,ಹಗ್ಗ,etak
396,Decke::N,ಕಂಬಳಿ,odyol
397,Kissen::N,ದಿಂಬು,yostiq
398,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,gazlama
399,Handtuch::N,ಚೌಕ,sochiq
400,Kraft::N,ಬಲ,kuch
401,Stärke::N,ಶಕ್ತಿ,quvvat
402,Gesundheit::N,ಆರೋಗ್ಯ,sog'lik
403,Krankheit::N,ರೋಗ,kasallik
404,Schmerz::N,ನೋವು,og'riq
405,Wunde::N,ಗಾಯ,yara
406,Fieber::N,ಜ್ವರ,bezgak
407,Arznei::N,ಔಷಧ,dori
408,Brücke::N,ಸೇತುವೆ,ko'prik
409,Brunnen::N,ಬಾವಿ,buloq
410,Weide::N,ಗೋಮಾಳ,yaylov
411,Pfad::N,ದಾರಿ,dorojka
412,Weg::N,ಹಾದಿ,yo'l
413,Straße::N,ರಸ್ತೆ,ko'cha
414,Dorf::N,ಹಳ್ಳಿ,ovul
415,Stadt::N,ಪಟ್ಟಣ,shahar
416,Brief::N,ಕಾಗದ,maktub
417,Buch::N,ಪುಸ್ತಕ,kitob
418,Buchstabe::N,ಅಕ್ಷರ,harf
419,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,gazet
420,Leben::N,ಜೀವನ,hayot
421,Tod::N,ಮರಣ,o'lim
422,Grab::N,ಗೋರಿ,go'r
423,Kirche::N,ಚರ್ಚು,cherkov
424,Sünde::N,ಪಾಪ,gunoh
425,Gott::N,ದೇವರು,olloh
426,Arbeiter::N,ಕೆಲಸಗಾರ,ishchi
427,Chef::N,ದಣಿ,rais
428,Meister::N,ಶಿಕ್ಷಕ,usta
429,Arzt::N,ವೈದ್ಯ,hakim
430,Lehrer::N,ಉಪಾಧ್ಯಾಯ,muallim
431,Geld::N,ಹಣ,pul
432,Geschäft::N,ವಾಣಿಜ್ಯ,savdo
433,Laden::N,ಅಂಗಡಿ,do'kon
434,Preis::N,ಬೆಲೆ,baho
435,Ware::N,ಸರಕು,mol
436,Nutzen::N,ಲಾಭ,foyda
437,Reichtum::N,ಸಂಪತ್ತು,boylik
438,Welt::N,ಭೂಲೋಕ,olam
439,Land::N,ದೇಶ,o'lka
440,Staat::N,ರಾಜ್ಯ,davlat
441,König::N,ರಾಜ,qirol
442,Macht::N,ಅಧಿಕಾರ,iqtidor
443,Grenze::N,ಗಡಿ,chegara
444,Krieg::N,ಯುದ್ಧ,harb
445,Feind::N,ಶತ್ರು,dushman
