,Concept_ID,ady,ps
0,Auge::N,нэ,سترګه
1,Ohr::N,тхьакӏу́м,غوږ
2,Nase::N,пэ,پوزه
3,Mund::N,жэ,خوله
4,Zahn::N,цэ,غاښ
5,Zunge::N,бзэгу,جبه
6,Lippe::N,ӏупшӏэ́,شونډه
7,Wange::N,нэкӏу́шъу,باړخو
8,Gesicht::N,нэ́гу,مخ
9,Stirn::N,натӏэ́,تندی
10,Stirn::N,натӏэ́,وچولی
11,Haar::N,шъхьацы́,وېښته
12,Bart::N,жакӏэ́,ږیره
13,Kinn::N,жэкӏэпэпкъ,زنه
14,Kiefer[Anatomie]::N,жэпкъы́,جامه
15,Kehle::N,чый,غاړه
16,Hals::N,пшъэ,غاړه
17,Genick::N,шъхьэпхэтыку,ورمېږ
18,Kopf::N,шъхьэ́,سر
19,Rücken::N,кӏыбы́,شا
20,Bauch::N,ныбэ́,نس
21,Bauch::N,ныбэ́,ګېډه
22,Busen::N,бгъэ́,تی
23,Brust::N,бгъэ́,سینه
24,Schulter::N,блыпкъ,اوږه
25,Arm::N,ӏэ,لاس
26,Ellenbogen::N,ӏэнтэ́гъу,څنګل
27,Hand::N,ӏэтхьэцу,لاس
28,Handfläche::N,ӏэ́гу,ورغوی
29,Finger::N,ӏэхъуа́мб,ګوته
30,Fingernagel::N,ӏэбжъа́н,نوک
31,Nagel[Anatomie]::N,ӏэбжъа́н,نوک
32,Zeh::N,ӏэхъуа́мб,ګوته
33,Fuß::N,лъэгу,پښه
34,Ferse::N,лъэдакъэ,پونده
35,Knie::N,лъагуа́ндж,زنګون
36,Oberschenkel::N,ко,پتون
37,Bein::N,лъакъо́,پښه
38,Körper::N,пкъышъол,ځان
39,Haut::N,кӏы́шъу,پوټکی
40,Blut::N,лъы,وینه
41,Ader::N,льытф,رګ
42,Sehne::N,фэ,پله
43,Knochen::N,къупшъхьэ́,هډوکی
44,Gehirn::N,куцӏы,ماغزه
45,Herz::N,гу,زړه
46,Magen::N,мышкӏу,معده
47,Leber::N,шӏу,ينه
48,Leber::N,шӏу,ځیګر
49,Atem::N,къэщэныр,نفس
50,Hunger::N,гъаблэ́,ولږه
51,Träne::N,нэпсы,اوښکه
52,Geschmack::N,ӏэшӏугъа́кӏ,مزه
53,Geschmack::N,ӏэшӏугъа́кӏ,خوند
54,Geruch::N,мэ,بوی
55,Schlaf::N,пчыхьы́пӏ,خوب
56,Traum::N,пчыхьы́пӏ,خوب
57,Himmel::N,уашъо́,اسمان
58,Sonne::N,тыгъэ,لمر
59,Mond::N,мазэ,سپوږمۍ
60,Stern::N,жъуагъо́,ستوری
61,Luft::N,жьы,هوا
62,Wind::N,жьыбгъэ́,ورښ
63,Welle::N,ор,موج
64,Welle::N,оры,موج
65,Wasser::N,псы,اوبه
66,Stein::N,мыжъо́,ډبره
67,Boden::N,чӏ́ыгу,مځکه
68,Erde::N,чӏ́ыгу,خاوره
69,Staub::N,сап,ګرد
70,Staub::N,сап,خاوره
71,Rauch::N,ӏугъо́,دود
72,Rauch::N,ӏугъо́,لوګی
73,Funke::N,мэшӏуа́ч,سپرغۍ
74,Feuer::N,машӏо́,اور
75,Licht::N,нэфы,رڼا
76,Licht::N,нэфын,رڼا
77,Schatten::N,жьау́,سیوری
78,Schatten::N,ныбжьыкъу,سیوری
79,Nebel::N,пща́гъу,لړه
80,Wolke::N,ошъуапщэ,ورېځ
81,Regen::N,ощхы,وریا
82,Regen::N,ощхы,باران
83,Schnee::N,осы́,واوره
84,Eis::N,мылы,یخ
85,Eis::N,мылы,کنګل
86,Kälte::N,чъыӏэ́,ساړه
87,Hitze::N,фэба́е,تودوخي
88,Regenbogen::N, лэгъупэкъо́пс,بوډۍ ټال
89,Regenbogen::N, лэгъупэкъо́пс,سره زرغونه
90,Donner::N,шыблэ́,تالنده
91,Strömung::N,ток,بهېدنه
92,Tropfen::N,ткӏопс,قطره
93,Tropfen::N,ткӏопс,څاڅکی
94,Tropfen::N,гъуаткӏу,قطره
95,Tropfen::N,гъуаткӏу,څاڅکی
96,Schaum::N,тхъурбэ,ځګ
97,Schmutz::N,псынжъы,ناپاکي
98,See::N,хыку́м,جهیل
99,See::N,псыхъура́й,جهیل
100,Sumpf::N,орыжъ,جبه
101,Moor::N,орыжъ,جبه
102,Wiese::N,хъупӏэ́,چمن
103,Wiese::N,хъупӏэ́,شنېلی
104,Wiese::N,мэкъупӏ,چمن
105,Wiese::N,мэкъупӏ,شنېلی
106,Wald::N,мэзы́,ځنګل
107,Hügel::N,ӏуашъхь,تپه
108,Anhöhe::N,чӏыӏэтыгъ,غونډۍ
109,Berg::N,къушъхьэ́,غ‍‍‍‍‍ر
110,Gipfel::N,шыгу,څوکه
111,Höhle::N,гъочӏэгъ,کاز
112,Abhang::N,чапэ,لمن
