,Concept_ID,te,ja
0,Auge::N,కన్ను,目
1,Ohr::N,చెవి,耳
2,Nase::N,ముక్కు,鼻
3,Mund::N,నోరు,口
4,Zahn::N,పల్లు,歯
5,Zunge::N,నాలుక,舌
6,Lippe::N,పెదవి,唇
7,Wange::N,చెంప,頬
8,Gesicht::N,ముఖము,顔
9,Stirn::N,నుదురు,額
10,Haar::N,వెండ్రుక,髪
11,Schnurrbart::N,మీసము,口髭
12,Bart::N,గడ్డము,髭
13,Kinn::N,గడ్డము,顎
14,Kiefer[Anatomie]::N,దౌడ,顎
15,Kehle::N,గొంతు,喉
16,Hals::N,మెడ,首
17,Genick::N,మూపు,首
18,Kopf::N,తల,頭
19,Rücken::N,వెన్ను,背中
20,Bauch::N,కడుపు,腹
21,Bauch::N,కడుపు,お腹
22,Nabel::N,బొడ్డు,へそ
23,Busen::N,స్తనము,乳房
24,Brust::N,ఱొమ్ము,胸
25,Schulter::N,భుజము,肩
26,Arm::N,చేయి,腕
27,Ellenbogen::N,మోచేయి,肘
28,Hand::N,చేయి,手
29,Handfläche::N,అరచేయు,手のひら
30,Finger::N,చేతిప్రేలు,指
31,Fingernagel::N,గోరు,爪
32,Nagel[Anatomie]::N,గోరు,爪
33,Zeh::N,కాలిప్రేలు,足の指
34,Fuß::N,అడుగు,足
35,Ferse::N,మడమ,かかと
36,Knie::N,మోకాలు,膝
37,Oberschenkel::N,తొడ,上腿
38,Bein::N,కాలు,足
39,Körper::N,కాయము,体
40,Haut::N,చర్మము,皮膚
41,Blut::N,రక్తము,血
42,Ader::N,సిర,血管
43,Sehne::N,స్నాయువు,腱
44,Knochen::N,ఎముక,骨
45,Gehirn::N,మెదడు,脳
46,Herz::N,హృదయము,心
47,Herz::N,హృదయము,心臓
48,Magen::N,కడుపు,胃
49,Leber::N,కాలేయము,肝臓
50,Atem::N,ఉపిరి,息
51,Atem::N,ఉపిరి,呼吸
52,Hunger::N,ఆకలి,空腹
53,Träne::N,కన్నీటిచుక్క,涙
54,Geschmack::N,రుచి,味
55,Geruch::N,వాసన,匂い
56,Schlaf::N,నిద్ర,睡眠
57,Traum::N,కల,夢
58,Himmel::N,ఆకాశము,空
59,Sonne::N,సూర్యుడు,太陽
60,Mond::N,చంద్రుడు,月
61,Stern::N,నక్షత్రము,星
62,Luft::N,గాలి,空気
63,Wind::N,వీచుచున్నగాలి,風
64,Welle::N,అల,波
65,Wasser::N,నీరు,水
66,Stein::N,ఱాయి,石
67,Boden::N,నేల,土地
68,Erde::N,మన్ను,土
