,Concept_ID,kn,xal
0,Auge::N,ಕಣ್ಣು,нүдн
1,Ohr::N,ಕಿವಿ,чикн
2,Nase::N,ಮೂಗು,хамр
3,Mund::N,ಬಾಯಿ,амн
4,Zahn::N,ಹಲ್ಲು,шүдн
5,Zunge::N,ನಾಲಿಗೆ,келн
6,Lippe::N,ತುಟಿ,урл
7,Wange::N,ಗಲ್ಲ,халх
8,Gesicht::N,ಮುಖ,нүр
9,Stirn::N,ಹಣೆ,маңна
10,Haar::N,ಕೂದಲು,үсн
11,Schnurrbart::N,ಮೀಸೆ,сахл
12,Bart::N,ಗಡ್ಡ,сахл
13,Bart::N,ಗಡ್ಡ,өргнә сахл
14,Kinn::N,ಗದ್ದ,өргн
15,Kiefer[Anatomie]::N,ದವಡೆ,өргн
16,Kehle::N,ಗಂಟಲು,хол
17,Hals::N,ಕೊರಳು,күзүн
18,Genick::N,ಹಿಂಗತ್ತು,гиҗг
19,Kopf::N,ತಲೆ,толһа
20,Rücken::N,ಬೆನ್ನು,нурһн
21,Bauch::N,ಹೊಟ್ಟೆ,гесн
22,Nabel::N,ಹೊಕ್ಕುಳು,киисн
23,Busen::N,ಸ್ತನ,көкн
24,Brust::N,ಎದೆ,чееҗ
25,Schulter::N,ಭುಜ,ээм
26,Arm::N,ತೋಳು,һар
27,Ellenbogen::N,ಮೊಣಕೈ,тоха
28,Hand::N,ಕೈ,баһлцг
29,Handfläche::N,ಅಂಗೈ,альхн
30,Finger::N,ಕೈಬೆರಳು,хурһн
31,Finger::N,ಕೈಬೆರಳು,һарин хурһн
32,Fingernagel::N,ಉಗುರು,хумсн
33,Nagel[Anatomie]::N,ಉಗುರು,хумсн
34,Zeh::N,ಕಾಲ್ಬೆರಳು,хурһн
35,Zeh::N,ಕಾಲ್ಬೆರಳು,көлин хурһн
36,Fuß::N,ಪಾದ,тавг
37,Ferse::N,ಹಿಮ್ಮಡಿ,өскә
38,Knie::N,ಮಂಡಿ,өвдг
39,Oberschenkel::N,ತೊಡೆ,һуй
40,Bein::N,ಕಾಲು,көл
41,Körper::N,ದೇಹ,махмуд
42,Haut::N,ಚರ್ಮ,арсн
43,Blut::N,ರಕ್ತ,цусн
44,Ader::N,ನರ,судцн
45,Sehne::N,ನರ,шүрүсн
46,Knochen::N,ಮೂಳೆ,ясн
