,Concept_ID,,sq
0,Auge::N,,sy
1,Ohr::N,,vesh
2,Nase::N,,hundë
3,Mund::N,,gojë
4,Zahn::N,,dhëmb
5,Zunge::N,,gjuhë
6,Lippe::N,,buzë
7,Wange::N,,faqe
8,Wange::N,,mollëz
9,Gesicht::N,,fytyrë
10,Stirn::N,,ballë
11,Haar::N,,flokë
12,Schnurrbart::N,,mustaqe
13,Bart::N,,mjekër
14,Kinn::N,,mjekër
15,Kiefer[Anatomie]::N,,nofull
16,Kehle::N,,fyt
17,Kehle::N,,grykë
18,Hals::N,,qafë
19,Genick::N,,arrëz
20,Kopf::N,,kokë
21,Rücken::N,,kurriz
22,Bauch::N,,bark
23,Nabel::N,,kërthizë
24,Busen::N,,gji
25,Brust::N,,gjoks
26,Brust::N,,kraharor
27,Schulter::N,,sup
28,Schulter::N,,krah
29,Arm::N,,krah
30,Ellenbogen::N,,bërryl
31,Hand::N,,dorë
32,Handfläche::N,,pëllëmbë
33,Finger::N,,gisht
34,Fingernagel::N,,thua
35,Nagel[Anatomie]::N,,thua
36,Zeh::N,,gisht i këmbës
37,Fuß::N,,këmbë
38,Ferse::N,,thembër
39,Knie::N,,gju
40,Oberschenkel::N,,kofshë
41,Bein::N,,këmbë
42,Körper::N,,trup
43,Haut::N,,lëkurë
44,Blut::N,,gjak
45,Ader::N,,venë
46,Sehne::N,,dell
47,Knochen::N,,asht
48,Knochen::N,,kockë
49,Gehirn::N,,tru
50,Herz::N,,zemër
51,Magen::N,,stomak
52,Leber::N,,mëlçi
53,Atem::N,,frymë
54,Hunger::N,,uri
55,Träne::N,,lot
56,Geschmack::N,,shije
57,Geruch::N,,erë
58,Schlaf::N,,gjumë
59,Traum::N,,ëndërr
60,Himmel::N,,qiell
61,Sonne::N,,diell
62,Mond::N,,hënë
63,Stern::N,,yll
64,Luft::N,,ajër
65,Wind::N,,erë
66,Welle::N,,valë
67,Welle::N,,dallgë
68,Wasser::N,,ujë
69,Stein::N,,gur
70,Boden::N,,tokë
71,Boden::N,,truall
72,Erde::N,,dhe
73,Erde::N,,baltë
74,Staub::N,,pluhur
75,Rauch::N,,tym
76,Funke::N,,xixë
77,Funke::N,,shkëndijë
78,Feuer::N,,zjarr
79,Licht::N,,dritë
80,Schatten::N,,hije
81,Wetter::N,,mot
82,Nebel::N,,mjegull
83,Wolke::N,,re
84,Regen::N,,shi
85,Schnee::N,,borë
86,Eis::N,,akull
87,Frost::N,,ngricë
88,Kälte::N,,të ftohtë
89,Hitze::N,,vapë
90,Hitze::N,,nxehtësi
91,Raureif::N,,cikmë
92,Regenbogen::N,,ylber
93,Donner::N,,gjëmim
94,Donner::N,,bubullimë
95,Strömung::N,,rrymë
96,Tropfen::N,,pikë
97,Schaum::N,,shkumë
98,Schmutz::N,,baltë
99,See::N,,liqen
100,Sumpf::N,,batak
101,Moor::N,,kënetë
102,Wiese::N,,livadh
103,Wald::N,,pyll
104,Hügel::N,,kodër
105,Anhöhe::N,,bregore
106,Berg::N,,mal
107,Gipfel::N,,kulm
108,Höhle::N,,shpellë
109,Höhle::N,,zgafelle
110,Abhang::N,,shpat
111,Abhang::N,,tatëpjetë
112,Quelle::N,,krua
113,Quelle::N,,burim
114,Bach::N,,virua
115,Fluss::N,,lumë
116,Ufer::N,,breg
117,Küste::N,,anëdet
118,Küste::N,,bregdet
119,Festland::N,,kontinent
120,Meer::N,,det
121,Bucht::N,,gji deti
122,Insel::N,,ishull
123,Insel::N,,ujdhesë
124,Blume::N,,lule
125,Gras::N,,bar
126,Wurzel::N,,rrënjë
127,Baum::N,,pemë
128,Stamm::N,,trung
129,Rinde::N,,lëvore
130,Ast::N,,degë
131,Zweig::N,,bisk
132,Blatt::N,,fletë
133,Blatt::N,,gjethe
134,Birke::N,,mështekën
135,Kiefer[Baum]::N,,pishë
136,Weide[Baum]::N,,shelg
137,Tanne::N,,bredh
138,Horn::N,,bri
139,Feder::N,,pupël
140,Fell::N,,lëkurë
141,Flügel::N,,krah
142,Flügel::N,,fletë
143,Klaue::N,,kthetër
144,Kralle::N,,thua
145,Kralle::N,,kthetër
146,Schwanz::N,,bisht
147,Ei::N,,vezë
148,Nest::N,,fole
149,Bau::N,,strofkë
150,Tier::N,,kafshë
151,Herde::N,,kope
152,Herde::N,,grigjë
153,Kuh::N,,lopë
154,Bulle::N,,dem
155,Pferd::N,,kalë
156,Schaf::N,,dele
157,Schwein::N,,derr
158,Hund::N,,qen
159,Katze::N,,mace
160,Bär::N,,ari
161,Eichhörnchen::N,,ketër
162,Elch::N,,dre brilopatë
163,Fuchs::N,,dhelpër
164,Hase::N,,lepur
165,Maus::N,,mi
166,Wolf::N,,ujk
167,Vogel::N,,zog
168,Vogel::N,,shpend
169,Schwarm::N,,luzmë
170,Huhn::N,,pulë
171,Hahn::N,,gjel
172,Hahn::N,,këndes
173,Gans::N,,patë
174,Adler::N,,shqiponjë
175,Ente::N,,rosë
176,Eule::N,,buf
177,Kranich::N,,lejlek
178,Kranich::N,,kurrillë
179,Krähe::N,,sorrë
180,Kuckuck::N,,qyqe
181,Schwan::N,,mjellmë
182,Fisch::N,,peshk
183,Barsch::N,,purtekë
184,Hecht::N,,mlysh
185,Schlange[Tier]::N,,gjarpër
186,Wurm::N,,krimb
187,Spinne::N,,marimangë
188,Ameise::N,,thnegël
189,Ameise::N,,milingonë
190,Laus::N,,morr
191,Mücke::N,,kunup
192,Mücke::N,,mushkonjë
193,Fliege::N,,mizë
194,Schmetterling::N,,flutur
195,Beere::N,,frutë
196,Beere::N,,manaferrë
197,Apfel::N,,mollë
198,Pilz::N,,kërpudhë
199,Zwiebel::N,,qepë
200,Saat::N,,farë
201,Korn::N,,grurë
202,Korn::N,,kokërr
203,Heu::N,,sanë
204,Schale::N,,lëkurë
205,Grube::N,,gropë
206,Falle::N,,kurth
207,Falle::N,,grackë
208,Schlinge::N,,nyjë
209,Spur::N,,gjurmë
210,Asche::N,,hi
211,Dreck::N,,baltë
212,Eisen::N,,hekur
213,Gold::N,,ar
214,Gold::N,,flori
215,Silber::N,,argjend
216,Kohle::N,,qymyr
217,Glas::N,,qelq
218,Lehm::N,,argjilë
219,Sand::N,,rërë
220,Mensch::N,,njeri
221,Mann::N,,burrë
222,Mann::N,,mashkull
223,Frau::N,,grua
224,Frau::N,,femër
225,Kind::N,,kalama
226,Junge::N,,djalë
227,Mädchen::N,,gocë
228,Mädchen::N,,vajzë
229,Familie::N,,familje
230,Großvater::N,,gjysh
231,Großmutter::N,,gjyshe
232,Eltern::N,,prindër
233,Vater::N,,atë
234,Mutter::N,,nënë
235,Sohn::N,,bir
236,Tochter::N,,bijë
237,Bruder::N,,vëlla
238,Schwester::N,,motër
239,Onkel::N,,dajë
240,Onkel::N,,xhaxha
241,Tante::N,,teze
242,Tante::N,,hallë
243,Ehemann::N,,burrë
244,Ehemann::N,,bashkëshort
245,Ehefrau::N,,grua
246,Ehefrau::N,,bashkëshorte
247,Freude::N,,gaz
248,Freude::N,,gëzim
249,Gelächter::N,,qeshje
250,Glück::N,,lumturi
251,Kummer::N,,brengë
252,Kummer::N,,pikëllim
253,Wunsch::N,,dëshirë
254,Lust::N,,epsh
255,Lust::N,,dashuri
256,Geist::N,,frymë
257,Geist::N,,shpirt
258,Gedanke::N,,ide
259,Gedanke::N,,mendim
260,Gedächtnis::N,,kujtesë
261,Verstand::N,,mend
262,Sinn::N,,kuptim
263,Grund::N,,arsye
264,Wahrheit::N,,vërtetë
265,Gespräch::N,,bisedim
266,Märchen::N,,përrallë
267,Erzählung::N,,tregim
268,Nachricht::N,,lajm
269,Neuigkeit::N,,risi
270,Name::N,,emër
271,Rätsel::N,,gjëzë
272,Rätsel::N,,gjëegjëzë
273,Rede::N,,fjalim
274,Sprache::N,,gjuhë
275,Stimme::N,,zë
276,Wort::N,,fjalë
277,Zeichen::N,,shenjë
278,Ruf::N,,thirrmë
279,Lärm::N,,zhurmë
280,Laut::N,,tingull
281,Ton::N,,ton
282,Lied::N,,këngë
283,Ruhe::N,,qetësi
284,Leute::N,,botë
285,Leute::N,,njerëz
286,Volk::N,,popull
287,Arbeit::N,,punë
288,Gast::N,,mik
289,Gast::N,,mysafir
290,Geschenk::N,,dhuratë
291,Geschenk::N,,peshqesh
292,Spiel::N,,lojë
293,Gesellschaft::N,,shoqëri
294,Hilfe::N,,ndihmë
295,Freund::N,,mik
296,Kamerad::N,,shok
297,Angelegenheit::N,,punë
298,Anzahl::N,,sasi
299,Art::N,,lloj
300,Stück::N,,copë
301,Teil::N,,pjesë
302,Hälfte::N,,gjysmë
303,Kreis::N,,qark
304,Kreis::N,,rreth
305,Kreuz::N,,kryq
306,Linie::N,,vijë
307,Strich::N,,vizë
308,Abstand::N,,distancë
309,Entfernung::N,,largim
310,Gegend::N,,vise
311,Gegend::N,,krahinë
312,Platz::N,,shesh
313,Ort::N,,vend
314,Seite::N,,anë
315,Mitte::N,,mes
316,Gegenstand::N,,send
317,Sache::N,,gjë
318,Sache::N,,send
319,Rand::N,,qoshe
320,Kante::N,,teh
321,Ecke::N,,qoshe
322,Spitze::N,,majë
323,Ende::N,,skaj
324,Ende::N,,bisht
325,Loch::N,,vrimë
326,Winkel::N,,kënd
327,Muster::N,,mostër
328,Größe::N,,madhësi
329,Länge::N,,gjatësi
330,Höhe::N,,lartësi
331,Gewicht::N,,peshë
332,Menge::N,,sasi
333,Haufen::N,,grumbull
334,Reihe::N,,radhë
335,Reihe::N,,rresht
336,Boot::N,,barkë
337,Boot::N,,lundër
338,Ruder::N,,rrem
339,Schlitten::N,,sajë
340,Ski::N,,ski
341,Lagerfeuer::N,,flakadan
342,Lagerfeuer::N,,zjarr i madh
343,Last::N,,barrë
344,Gang::N,,ecje
345,Schritt::N,,hap
346,Norden::N,,veri
347,Süden::N,,jug
348,Westen::N,,perëndim
349,Osten::N,,lindje
350,Holz::N,,dru
351,Brett::N,,dërrasë
352,Platte::N,,pllakë
353,Stütze::N,,shtyllë
354,Stütze::N,,mbështetesë
355,Stange::N,,shufër
356,Stock::N,,dajak
357,Stab::N,,shkop
358,Rohr::N,,tub
359,Haus::N,,shtëpi
360,Heim::N,,konak
361,Heim::N,,shtëpi
362,Ofen::N,,sobë
363,Ofen::N,,stufë
364,Fußboden::N,,dysheme
365,Tisch::N,,tryezë
366,Stuhl::N,,karrige
367,Wiege::N,,djep
368,Bett::N,,shtrat
369,Regal::N,,raft
370,Kiste::N,,kuti
371,Fenster::N,,dritare
372,Tür::N,,derë
373,Tor::N,,portë
374,Zaun::N,,gardh
375,Dach::N,,çati
376,Leiter::N,,shkallë
377,Besen::N,,fshesë
378,Spaten::N,,lopatë
379,Schaufel::N,,qyrek
380,Gabel::N,,pirun
381,Löffel::N,,lugë
382,Messer::N,,thikë
383,Nagel::N,,gozhdë
384,Netz::N,,rrjetë
385,Haken::N,,grep
386,Haken::N,,grremç
387,Griff::N,,dorak
388,Griff::N,,dorezë
389,Schloss::N,,bravë
390,Bild::N,,tablo
391,Bild::N,,pikturë
392,Figur::N,,figurë
393,Puppe::N,,kukull
394,Beutel::N,,qese
395,Beutel::N,,trastë
396,Bündel::N,,deng
397,Tasche::N,,çantë
398,Eimer::N,,kovë
399,Deckel::N,,kapak
400,Deckel::N,,mbulesë
401,Geschirr::N,,enë
402,Sack::N,,thes
403,Sack::N,,torbë
404,Tasse::N,,filxhan
405,Topf::N,,kusi
406,Topf::N,,tenxhere
407,Kessel::N,,kazan
408,Essen::N,,ngrënie
409,Nahrung::N,,ushqim
410,Speise::N,,gatesë
411,Fleisch::N,,mish
412,Getreide::N,,drithë
413,Brei::N,,qull
414,Brot::N,,bukë
415,Scheibe::N,,fetë
416,Fett::N,,lyrë
417,Fett::N,,yndyrë
418,Butter::N,,gjalpë
419,Öl::N,,vaj
420,Salz::N,,kripë
421,Suppe::N,,supë
422,Suppe::N,,çorbë
423,Honig::N,,mjaltë
424,Milch::N,,qumësht
425,Tee::N,,çaj
426,Leder::N,,lëkurë
427,Wolle::N,,lesh
428,Stoff::N,,pëlhurë
429,Nadel::N,,gjilpërë
430,Faden::N,,pe
431,Faden::N,,fije
432,Knopf::N,,kopsë
433,Knoten::N,,komb
434,Farbe::N,,bojë
435,Kleidung::N,,veshje
436,Hemd::N,,këmishë
437,Kragen::N,,jakë
438,Ärmel::N,,mëngë
439,Hose::N,,brekë
440,Gürtel::N,,rrip
441,Mütze::N,,kësulë
442,Schuh::N,,këpucë
443,Stiefel::N,,çizme
444,Ring::N,,unazë
445,Band::N,,shirit
446,Kamm::N,,krehër
447,Spiegel::N,,pasqyrë
448,Riemen::N,,rrip
449,Schnur::N,,litar
450,Schnur::N,,cikomë
451,Leine::N,,rrip
452,Decke::N,,batanije
453,Kissen::N,,jastëk
454,Tuch::N,,shami
455,Handtuch::N,,peshqir
456,Kraft::N,,forcë
457,Stärke::N,,koll
458,Gesundheit::N,,shëndet
459,Krankheit::N,,sëmundje
460,Schmerz::N,,dhimbje
461,Wunde::N,,plagë
462,Fieber::N,,ethe
463,Arznei::N,,ilaç
464,Brücke::N,,urë
465,Brunnen::N,,pus
466,Weide::N,,kullotë
467,Pfad::N,,ravë
468,Pfad::N,,shteg
469,Weg::N,,udhë
470,Weg::N,,shteg
471,Straße::N,,rrugë
472,Dorf::N,,fshat
473,Dorf::N,,katund
474,Stadt::N,,qytet
475,Brief::N,,letër
476,Buch::N,,libër
477,Buchstabe::N,,shkronjë
478,Zeitung::N,,gazetë
479,Leben::N,,jetë
480,Tod::N,,mortje
481,Grab::N,,varr
482,Kirche::N,,kishë
483,Sünde::N,,mëkat
484,Sünde::N,,gjynah
485,Gott::N,,hy
486,Gott::N,,zot
487,Arbeiter::N,,punëtor
488,Chef::N,,shef
489,Chef::N,,drejtues
490,Meister::N,,mjeshtër
491,Arzt::N,,mjek
492,Arzt::N,,doktor
493,Lehrer::N,,mësues
494,Lehrer::N,,arsimtar
495,Geld::N,,para
496,Geld::N,,holla
497,Geschäft::N,,ujdi
498,Geschäft::N,,biznes
499,Laden::N,,dyqan
500,Preis::N,,çmim
501,Ware::N,,mall
502,Nutzen::N,,dobi
503,Nutzen::N,,leverdi
504,Reichtum::N,,kamje
505,Reichtum::N,,pasuri
506,Welt::N,,botë
507,Land::N,,vend
508,Staat::N,,shtet
509,König::N,,mbret
510,Macht::N,,fuqi
511,Macht::N,,pushtet
512,Grenze::N,,kufi
513,Krieg::N,,luftë
514,Feind::N,,armik
515,Gewalt::N,,dhunë
516,Kampf::N,,luftim
517,Bogen[Waffe]::N,,hark
518,Pfeil::N,,shigjetë
519,Gewehr::N,,pushkë
520,Fehler::N,,gafë
521,Fehler::N,,gabim
522,Lüge::N,,gënjeshtër
523,Schaden::N,,dëm
524,Schaden::N,,zarar
525,Unglück::N,,fatkeqësi
526,Schuld::N,,faj
527,Alter::N,,moshë
528,Schluss::N,,fund
529,Zeit::N,,kohë
530,Tag::N,,ditë
531,Morgen::N,,mëngjes
532,Mittag::N,,mesditë
533,Abend::N,,mbrëmje
534,Nacht::N,,natë
535,Woche::N,,javë
536,Monat::N,,muaj
537,Jahr::N,,vit
538,Frühling::N,,pranverë
539,Sommer::N,,verë
540,Herbst::N,,vjeshtë
541,Winter::N,,dimër
542,Januar::N,,janar
543,Februar::N,,shkurt
544,März::N,,mars
545,April::N,,prill
546,Mai::N,,maj
547,Juni::N,,qershor
548,Juli::N,,korrik
549,August::N,,gusht
550,September::N,,shtator
551,Oktober::N,,tetor
552,November::N,,nëntor
553,Dezember::N,,dhjetor
554,Montag::N,,hënë
555,Dienstag::N,,martë
556,Mittwoch::N,,mërkurë
557,Donnerstag::N,,enjte
558,Freitag::N,,premte
559,Samstag::N,,shtunë
560,Sonntag::N,,diel
561,groß::A,,madh
562,klein::A,,vogël
563,lang::A,,gjatë
564,kurz::A,,shkurtër
565,breit::A,,gjerë
566,schmal::A,,ngushtë
567,dicht::A,,dendur
568,dick[Gegenstand]::A,,trashë
569,dünn::A,,hollë
570,fein::A,,imët
571,fest::A,,fortë
572,flach::A,,sheshtë
573,glatt::A,,rrafshët
574,hart::A,,fortë
575,weich::A,,butë
576,rund::A,,rrumbullakët
577,spitz::A,,majëmprehtë
578,scharf::A,,mprehtë
579,stumpf::A,,topitur
580,schwer::A,,rëndë
581,schön::A,,bukur
582,heiß::A,,nxehtë
583,warm::A,,ngrohtë
584,kalt::A,,ftohtë
585,kühl::A,,freskët
586,frisch::A,,pastër
587,feucht::A,,lagësht
588,nass::A,,lagur
589,trocken::A,,thatë
590,voll::A,,plotë
591,leer::A,,bosh
592,leer::A,,zbrazët
593,offen::A,,hapur
594,geschlossen::A,,mbyllur
595,sauber::A,,dëlirë
596,schmutzig::A,,ndyrë
597,roh::A,,gjallë
598,reif::A,,arrirë
599,lecker::A,,shijshëm
600,süß::A,,ëmbël
601,bitter::A,,hidhur
602,sauer::A,,thartë
603,hell::A,,me dritë
604,dunkel::A,,errët
605,schwarz::A,,i zi
606,weiß::A,,bardhë
607,rot::A,,kuq
608,gelb::A,,verdhë
609,blau::A,,blu
610,blau::A,,kaltër
611,grün::A,,blertë
612,grün::A,,gjelbër
613,grau::A,,hirtë
614,grau::A,,bojë hiri
615,bunt::A,,shumëngjyrëshëm
616,billig::A,,lirë
617,teuer::A,,shtrenjtë
618,wertvoll::A,,çmuar
619,wertvoll::A,,vlershëm
620,blind::A,,qorr
621,blind::A,,verbër
622,taub::A,,shurdhër
623,kräftig::A,,fuqishëm
624,stark::A,,fortë
625,schwach::A,,dobët
626,fett::A,,dhjamur
627,schlank::A,,hollë
628,hübsch::A,,bukur
629,hübsch::A,,hijshëm
630,böse::A,,keq
631,dumm::A,,teveqel
632,faul::A,,dembel
633,fleißig::A,,zellshëm
634,geizig::A,,kurnac
635,geizig::A,,dorështrënguar
636,klug::A,,mençur
637,geschickt::A,,aftë
638,lieb::A,,dashur
639,lustig::A,,gëzuar
640,sanft::A,,butë
641,hungrig::A,,uritur
642,krank::A,,sëmurë
643,nackt::A,,lakuriq
644,nackt::A,,zhveshur
645,traurig::A,,trishtuar
646,lebendig::A,,gjallë
647,gut::A,,mirë
648,schlecht::A,,keq
649,richtig::A,,drejtë
650,schlimm::A,,keq
651,wahr::A,,vërtetë
652,alt::A,,vjetër
653,neu::A,,i ri
654,ehemalig::A,,dikurshëm
655,alt[Lebewesen]::A,,plak
656,jung::A,,i ri
657,arm::A,,varfër
658,arm::A,,vobektë
659,reich::A,,pasur
660,bekannt::A,,njohur
661,berühmt::A,,famshëm
662,fremd::A,,huaj
663,verschieden::A,,ndryshëm
664,nah::A,,afërt
665,fern::A,,largët
666,linker::A,,majtë
667,rechter::A,,djathtë
668,anderer::A,,tjetër
669,erster::A,,parë
670,zweiter::A,,dytë
671,dritter::A,,i tretë
672,letzter::A,,fundit
673,allein::ADV,,vetëm
674,auf einmal::ADV,,njëkohësisht
675,zusammen::ADV,,bashkë
676,zusammen::ADV,,së bashku
677,lange::ADV,,për një kohë të gjatë
678,plötzlich::ADV,,befas
679,sofort::ADV,,menjëherë
680,sofort::ADV,,aty për aty
681,später::ADV,,më vonë
682,jetzt::ADV,,tash
683,heute::ADV,,sot
684,morgen::ADV,,nesër
685,bald::ADV,,shpejt
686,bald::ADV,,së shpejti
687,dann::ADV,,pastaj
688,gestern::ADV,,dje
689,einst::ADV,,dikur
690,damals::ADV,,atëherë
691,danach::ADV,,mandej
692,vorher::ADV,,më parë
693,zuerst::ADV,,së pari
694,einmal::ADV,,njëherë
695,manchmal::ADV,,nganjëherë
696,oft::ADV,,shpesh
697,immer::ADV,,përherë
698,immer::ADV,,gjithnjë
699,niemals::ADV,,kurrë
700,niemals::ADV,,asnjëherë
701,hier::ADV,,këtu
702,hierhin::ADV,,knej
703,von hier::ADV,,që këtej
704,von hier::ADV,,prej këtej
705,dort::ADV,,aty
706,dort::ADV,,atje
707,dorthin::ADV,,anej
708,geradeaus::ADV,,drejt
709,vorwärts::ADV,,mbroth
710,vorwärts::ADV,,përpara
711,rückwärts::ADV,,mbrapsht
712,zurück::ADV,,prapa
713,zurück::ADV,,mbrapsht
714,unten::ADV,,poshtë
715,hinab::ADV,,përposh
716,oben::ADV,,lart
