,Concept_ID,ta,tt
0,Auge::N,கண்,күз
1,Ohr::N,காது,колак
2,Nase::N,மூக்கு,борын
3,Mund::N,வாய்,авыз
4,Mund::N,வாய்,тамак
5,Zahn::N,பல்,теш
6,Zunge::N,நாக்கு,тел
7,Lippe::N,உதடு,ирен
8,Wange::N,கன்னம்,яңак
9,Gesicht::N,முகம்,йөз
10,Stirn::N,முன்னெற்றி,маңгай
11,Haar::N,முடி,чәч
12,Schnurrbart::N,மீசை,мыек
13,Bart::N,தாடி,сакал
14,Kinn::N,கீழதாடை,ияк
15,Kiefer[Anatomie]::N,தாடை,казналык
16,Kehle::N,தொண்டை,тамак
17,Hals::N,கழுத்து,бугаз
18,Genick::N,கழுத்து,җилкә
19,Kopf::N,தலை,баш
20,Rücken::N,முதுகு,сырт
21,Bauch::N,வயிறு,корсак
22,Nabel::N,தொப்புள்,кендек
23,Busen::N,மார்பகம்,түш
24,Brust::N, மார்பு,имчәк
25,Brust::N, மார்பு,күкрәк
26,Schulter::N,தோள்பட்டை,иңбаш
27,Schulter::N,தோள்பட்டை,кулбаш
28,Arm::N,கரம்,кул
29,Ellenbogen::N,முழங்கை,терсәк
30,Hand::N,கை,кул
31,Handfläche::N,உள்ளங்கை,уч
32,Finger::N,விரல்,бармак
33,Fingernagel::N,விரல் நகம்,тырнак
34,Nagel[Anatomie]::N,நகம்,тырнак
35,Zeh::N,கால்விரல்,бармак
36,Fuß::N,கால்,табан
37,Ferse::N,குதிகால்,үкчә
38,Knie::N,முழங்கால்,тез
39,Oberschenkel::N,தொடை,бот
40,Bein::N,கால்,аяк
41,Körper::N,உடல்,тән
42,Körper::N,உடல்,җисем
43,Haut::N,சருமம்,тире
44,Blut::N,இரத்தம்,кан
45,Ader::N,நாளம்,тамыр
46,Sehne::N,தசைநார்,сеңер
47,Knochen::N,எலுமபு,сөяк
48,Gehirn::N,மூனை,ми
49,Herz::N,இதயம,йөрәк
50,Magen::N,வயிறு,ашказаны
51,Leber::N,கல்லீரல்,бавыр
52,Atem::N,மூச்சு,сулыш
53,Hunger::N,பசி,ачлык
54,Träne::N,கண்ணீர்,яшь
55,Geschmack::N,நறுமணம்,тәм
56,Geschmack::N,நறுமணம்,зәвык
57,Geruch::N,துர்நாற்றம்,ис
58,Schlaf::N,தூக்கம்,йокы
59,Traum::N,கனவு,төш
60,Himmel::N,வானம்,күк
61,Sonne::N,சூரியன்,кояш
62,Mond::N,சந்திரன்,ай
63,Stern::N,நட்சத்திரம்,йолдыз
64,Luft::N,காறறு,һава
65,Wind::N,காற்று,җил
66,Welle::N,அலை,дулкын
67,Wasser::N,நீர்,су
68,Stein::N,கல்,таш
69,Boden::N,தரை,туфрак
70,Erde::N,மண்,җир
71,Staub::N,தூசி,тузан
72,Rauch::N,புகை,төтен
73,Funke::N,தீப்பொறி,очкын
74,Feuer::N,தீ,ут
75,Licht::N,வெளிச்சம்,якты
76,Schatten::N,நிழல்,күләгә
77,Wetter::N,வானிலை,һава
78,Nebel::N,பனிமூட்டம்,томан
79,Wolke::N,மேகம்,болыт
80,Regen::N,மழை,яңгыр
81,Schnee::N,உறைபனி,кар
82,Eis::N,பனிக்கட்டி,боз
83,Frost::N,உறைபனி,суык
84,Frost::N,உறைபனி,салкын
85,Kälte::N,குளிர்ந்த,суык
86,Kälte::N,குளிர்ந்த,салкын
87,Hitze::N,சூடு,эсселек
88,Raureif::N,உறைபனி வெண்திரை,бәс
89,Raureif::N,உறைபனி வெண்திரை,сыкы
90,Regenbogen::N,வானவில்,салават күпере
91,Donner::N,இடி,күкрәү
92,Strömung::N,நீரோட்டம்,агыш'агым
93,Tropfen::N,துளி,тамчы
94,Schaum::N,நுரை,күбек
