,Concept_ID,uz,ro
0,Auge::N,ko'z,ochi
1,Ohr::N,quloq,ureche
2,Nase::N,burun,nas
3,Mund::N,og'iz,gură
4,Zahn::N,tish,dinte
5,Zunge::N,til,limbă
6,Lippe::N,dudoq,buză
7,Wange::N,bet,bucă
8,Wange::N,bet,obraz
9,Gesicht::N,yuz,față
10,Gesicht::N,yuz,figură
11,Stirn::N,manglay,frunte
12,Haar::N,soch,păr
13,Schnurrbart::N,mo'ylov,mustață
14,Bart::N,soqol,barbă
15,Kinn::N,ängak,bărbie
16,Kiefer[Anatomie]::N,iyak,falcă
17,Kehle::N,bo'g'iz,beregată
18,Hals::N,bo'yin,gât
19,Genick::N,gardan,ceafă
20,Kopf::N,bosh,cap
21,Rücken::N,orqa,dos
22,Rücken::N,orqa,spate
23,Rücken::N,orqa,spinare
24,Bauch::N,qorin,burtă
25,Bauch::N,qorin,pântece
26,Nabel::N,kindik,buric
27,Busen::N,ämchak,sân
28,Brust::N,ko'krak,piept
29,Schulter::N,elka,umăr
30,Schulter::N,elka,spate
31,Arm::N,bilak,braț
32,Ellenbogen::N,tirsak,cot
33,Hand::N,qo'l,mână
34,Handfläche::N,kaft,palmă
35,Finger::N,barmoq,deget
36,Fingernagel::N,tirnoq,unghie
37,Nagel[Anatomie]::N,tirnoq,unghie
38,Zeh::N,oyoq barmog'i,deget de la picior
39,Fuß::N,oyoq,picior
40,Ferse::N,tovon,călcâi
41,Knie::N,tiz,genunchi
42,Oberschenkel::N,son,coapsă
43,Bein::N,oyoq,picior
44,Körper::N,badna,corp
45,Haut::N,teri,piele
46,Blut::N,qon,sânge
47,Ader::N,qon tomir,vână
48,Ader::N,qon tomir,arteră
49,Sehne::N,tomir,tendon
50,Knochen::N,suyak,os
51,Gehirn::N,miya,creier
52,Herz::N,qalb,inimă
53,Magen::N,oshqozon,stomac
54,Leber::N,bag'ir,ficat
55,Atem::N,dam,răsuflare
56,Atem::N,dam,respirație
57,Hunger::N,ochlik,foame
58,Träne::N,yosh,lacrimă
59,Geschmack::N,tam,gust
60,Geruch::N,jid,miros
61,Schlaf::N,uyqu,somn
62,Traum::N,tush,vis
63,Himmel::N,osmon,cer
64,Sonne::N,quyosh,soare
65,Mond::N,oy,lună
66,Stern::N,yulduz,stea
67,Luft::N,havo,aer
68,Wind::N,el,vânt
69,Welle::N,to'lqin,val
70,Welle::N,to'lqin,undă
71,Wasser::N,suv,apă
72,Stein::N,tosh,piatră
73,Boden::N,tuproq,sol
74,Boden::N,tuproq,pământ
75,Erde::N,er,pământ
76,Staub::N,chang,praf
77,Rauch::N,tutun,fum
78,Funke::N,yalt,scânteie
79,Feuer::N,o't,foc
80,Licht::N,yorug',lumină
81,Schatten::N,soya,umbră
82,Wetter::N,havo,timp
83,Wetter::N,havo,vreme
84,Nebel::N,tuman,ceață
85,Nebel::N,tuman,negură
86,Wolke::N,bulut,nor
87,Regen::N,yomg'ir,ploaie
88,Schnee::N,qor,zăpadă
89,Eis::N,muz,gheață
90,Frost::N,ajoz,ger
91,Kälte::N,ajoz,frig
92,Hitze::N,issiq,arșiță
93,Hitze::N,issiq,căldură
94,Raureif::N,qirov,chiciură
95,Regenbogen::N,kamalak,curcubeu
96,Donner::N,guldur,tunet
97,Strömung::N,oqim,curent
98,Tropfen::N,tomchi,picătură
99,Schaum::N,ko'pik,spumă
100,Schmutz::N,gard,murdărie
101,See::N,ko'l,lac
102,Sumpf::N,botqoq,mlaștină
103,Moor::N,qir-adir,bărăgan
104,Wiese::N,o'tzor,fânaț
105,Wiese::N,o'tzor,livadă
106,Wald::N,o'rmon,codru
107,Wald::N,o'rmon,pădure
108,Hügel::N,tepa,deal
109,Hügel::N,tepa,movilă
110,Anhöhe::N,adir,deal
111,Anhöhe::N,adir,ridicătură
112,Berg::N,tog',munte
113,Gipfel::N,cho'qqi,pisc
114,Höhle::N,kavak,peșteră
115,Abhang::N,to'sh,pantă
116,Abhang::N,to'sh,versant
117,Quelle::N,buloq,izvor
118,Bach::N,o'zan,gârlă
119,Fluss::N,daryo,râu
120,Fluss::N,daryo,fluviu
121,Ufer::N,sohil,mal
122,Ufer::N,sohil,țărm
123,Küste::N,qirg'oq,coastă
124,Festland::N,materik,uscat
125,Meer::N,dengiz,mare
126,Bucht::N,qo'ltiq,golf
127,Insel::N,orol,insulă
128,Blume::N,gul,floare
129,Gras::N,sabza,iarbă
130,Wurzel::N,tub,rădăcină
131,Wurzel::N,tomir,rădăcină
132,Baum::N,daraxt,copac
133,Baum::N,daraxt,arbore
134,Stamm::N,o'simta,tulpină
135,Rinde::N,qobiq,scoarță
136,Ast::N,shox,cracă
137,Ast::N,shox,creangă
138,Zweig::N,butoq,ramură
139,Zweig::N,butoq,creangă
140,Blatt::N,barg,frunză
141,Birke::N,qayin,mesteacăn
142,Kiefer[Baum]::N,qarag'ay,pin
143,Weide[Baum]::N,shum,salcie
144,Weide[Baum]::N,shum,răchită
145,Tanne::N,archa,brad
146,Horn::N,mugiz,corn
147,Feder::N,par,pană
148,Fell::N,mo'yna,piele
149,Flügel::N,qanot,aripă
150,Klaue::N,tirnoq,gheară
151,Kralle::N,tirnoq,labă
152,Kralle::N,tirnoq,gheară
153,Schwanz::N,quyruq,coadă
154,Ei::N,tuxum,ou
155,Nest::N,oshyon,cuib
156,Bau::N,o'pqon,bârlog
157,Bau::N,o'pqon,vizuină
158,Tier::N,hayvon,animal
159,Herde::N,gala,turmă
160,Herde::N,gala,cireadă
161,Kuh::N,inak,vacă
162,Bulle::N,ho'kiz,taur
163,Pferd::N,ot,cal
164,Schaf::N,qo'y,oaie
165,Schwein::N,cho'chqa,porc
166,Hund::N,it,câine
167,Katze::N,mushuk,pisică
168,Bär::N,ayiq,urs
169,Eichhörnchen::N,tiyin,veveriță
170,Elch::N,los,elan
171,Fuchs::N,tulki,vulpe
172,Hase::N,kuyon,iepure
173,Maus::N,sichqon,șoarece
174,Wolf::N,bo'ri,lup
175,Vogel::N,qush,pasăre
176,Schwarm::N,to'da,cârd
177,Huhn::N,tovuq,găină
178,Hahn::N,xo'roz,cocoș
179,Gans::N,g'oz,gâscă
180,Adler::N,burgut,vultur
181,Ente::N,o'rdak,rață
182,Eule::N,boyo'g'li,bufniță
183,Kranich::N,turna,cocor
184,Krähe::N,qarg'a,cioară
185,Kuckuck::N,kakku,cuc
186,Schwan::N,oqkush,lebădă
187,Fisch::N,baliq,pește
188,Barsch::N,olabug'a,biban
189,Hecht::N,cho'rtan,știucă
190,Schlange[Tier]::N,ilon,șarpe
191,Wurm::N,qurt,vierme
192,Spinne::N,o'rgimchak,păianjen
193,Ameise::N,chumoli,furnică
194,Laus::N,bit,păduche
195,Mücke::N,chivin,țânțar
196,Fliege::N,pashsha,muscă
197,Schmetterling::N,kapalak,fluture
198,Beere::N,meva,boabă
199,Apfel::N,olma,măr
200,Pilz::N,qo'ziqorin,burete
201,Pilz::N,qo'ziqorin,ciupercă
202,Zwiebel::N,piyoz,ceapă
203,Saat::N,äkin,semănătură
204,Korn::N,zarra,grâu
205,Heu::N,xashak,fân
206,Schale::N,po'choq,coajă
207,Grube::N,co'ra,groapă
208,Falle::N,qopqon,cursă
209,Falle::N,qopqon,capcană
210,Schlinge::N,sirtmoq,laț
211,Spur::N,iz,dâră
212,Asche::N,kul,cenușă
213,Dreck::N,kir,noroi
214,Dreck::N,kir,murdărie
215,Eisen::N,temir,fier
216,Gold::N,tilla,aur
217,Silber::N,kumush,argint
218,Kohle::N,ko'mir,cărbune
219,Glas::N,oyna,sticlă
220,Lehm::N,loy,lut
221,Lehm::N,loy,humă
222,Sand::N,qum,nisip
223,Mensch::N,odam,om
224,Mensch::N,odam,persoană
225,Mann::N,ärkak,om
226,Mann::N,ärkak,bărbat
227,Frau::N,ayol,femeie
228,Kind::N,bola,copil
229,Kind::N,kichkintoy,copil
230,Junge::N,bola,băiat
231,Junge::N,bola,flăcău
232,Mädchen::N,qiz,fată
233,Familie::N,oila,familie
234,Großvater::N,buva,bunic
235,Großvater::N,buva,tată mare
236,Großvater::N,katta ota,bunic
237,Großvater::N,katta ota,tată mare
238,Großmutter::N,buvi,bunică
239,Großmutter::N,buvi,mamă mare
240,Großmutter::N,katta oyi,bunică
241,Großmutter::N,katta oyi,mamă mare
242,Eltern::N,ota-ona,părinți
243,Vater::N,ota,tată
244,Vater::N,ota,părinte
245,Mutter::N,ona,mamă
246,Sohn::N,o'g'il,fiu
247,Sohn::N,o'g'il,fecior
248,Tochter::N,qiz,fiică
249,Bruder::N,og'a,frate
250,Bruder::N,uka,frate
251,Schwester::N,opa,soră
252,Schwester::N,singil,soră
253,Onkel::N,amaki,unchi
254,Tante::N,amma,mătușă
255,Tante::N,xola,mătușă
256,Ehemann::N,är,soț
257,Ehemann::N,är,bărbat
258,Ehefrau::N,rafiqa,soție
259,Freude::N,ayish,bucurie
260,Gelächter::N,kulgi,râset
261,Glück::N,saodat,fericire
262,Kummer::N,g'am,mâhnire
263,Wunsch::N,orzu,dorință
264,Wunsch::N,orzu,deziderat
265,Lust::N,rag'bat,poftă
266,Lust::N,rag'bat,înclinare
267,Geist::N,ruh,duh
268,Geist::N,ruh,minte
269,Geist::N,ruh,suflet
270,Gedanke::N,fikr,gând
271,Gedanke::N,fikr,cuget
272,Gedächtnis::N,äs,memorie
273,Verstand::N,aql,minte
274,Verstand::N,aql,intelect
275,Sinn::N,ma'ni,sens
276,Sinn::N,ma'ni,înțeles
277,Grund::N,sabab,cauză
278,Grund::N,sabab,pricină
279,Wahrheit::N,haq,adevăr
280,Gespräch::N,gap,convorbire
281,Gespräch::N,gap,conversație
282,Märchen::N,ärtak,basm
283,Märchen::N,ärtak,poveste
284,Erzählung::N,rivoyat,poveste
285,Nachricht::N,xabar,veste
286,Neuigkeit::N,yangilik,noutate
287,Neuigkeit::N,yangilik,actualitate
288,Name::N,ot,nume
289,Rätsel::N,topishmoq,ghicitoare
290,Rede::N,nutq,discurs
291,Sprache::N,til,limbă
292,Sprache::N,til,limbaj
293,Stimme::N,ovoz,glas
294,Wort::N,so'z,cuvânt
295,Zeichen::N,alomat,semn
296,Zeichen::N,alomat,semnal
297,Ruf::N,chaqiriq,chemare
298,Lärm::N,taraq,zgomot
299,Lärm::N,taraq,tărăboi
300,Laut::N,tovush,sunet
301,Ton::N,un,ton
302,Lied::N,ashula,cântec
303,Ruhe::N,tinchlik,odihnă
304,Ruhe::N,tinchlik,liniște
305,Leute::N,xaloyiq,lume
306,Leute::N,xaloyiq,oameni
307,Volk::N,xalq,popor
308,Volk::N,xalq,națiune
309,Arbeit::N,ish,lucru
310,Gast::N,mehmon,musafir
311,Geschenk::N,hadya,dar
312,Geschenk::N,hadya,cadou
313,Spiel::N,o'yin,joc
314,Gesellschaft::N,jamiyat,societate
315,Hilfe::N,yordam,ajutor
316,Freund::N,do'st,amic
317,Freund::N,do'st,prieten
318,Kamerad::N,yo'ldosh,tovarăș
319,Angelegenheit::N,daxl,afacere
320,Anzahl::N,son,număr
321,Anzahl::N,son,cantitate
322,Art::N,tur,fel
323,Art::N,tur,specie
324,Stück::N,parcha,bucată
325,Teil::N,bo'lak,parte
326,Teil::N,bo'lak,porție
327,Hälfte::N,yarim,jumătate
328,Kreis::N,aylana,cerc
329,Kreuz::N,xoch,cruce
330,Linie::N,liniya,linie
331,Strich::N,chiziq,linie
332,Strich::N,chiziq,trăsătură
333,Abstand::N,oralik,distanță
334,Abstand::N,oralik,depărtare
335,Entfernung::N,uzoqlik,distanță
336,Entfernung::N,uzoqlik,depărtare
337,Gegend::N,yer,regiune
338,Platz::N,oralig,loc
339,Ort::N,joy,loc
340,Seite::N,yon,latură
341,Mitte::N,o'rta,centru
342,Gegenstand::N,ashyo,obiect
343,Sache::N,buyum,lucru
344,Sache::N,buyum,chestie
345,Rand::N,chek,bordură
346,Kante::N,tig',muchie
347,Kante::N,tig',bordură
348,Ecke::N,burchak,colț
349,Spitze::N,uch,vârf
350,Spitze::N,uch,creștet
351,Ende::N,oxir,capăt
352,Loch::N,teshik,gaură
353,Winkel::N,go'sha,colț
354,Muster::N,nusha,desen
355,Größe::N,kattalik,mărime
356,Länge::N,uzunlik,lungime
357,Höhe::N,yuksaklik,înălțime
358,Gewicht::N,solmoq,greutate
359,Menge::N,miqdor,cantitate
360,Haufen::N,uyum,grămadă
361,Reihe::N,saf,șir
362,Reihe::N,saf,rând
363,Boot::N,qayiq,barcă
364,Boot::N,qayiq,luntre
365,Ruder::N,äshkak,vâslă
366,Ruder::N,äshkak,lopată
367,Schlitten::N,chana,sanie
368,Ski::N,chang'i,schi
369,Lagerfeuer::N,gulxan,foc de tabără
370,Last::N,yuk,povară
371,Last::N,yuk,sarcină
372,Gang::N,yurish,mers
373,Gang::N,yurish,umblet
374,Schritt::N,qadam,pas
375,Norden::N,shimol,nord
376,Norden::N,shimol,miazănoapte
377,Süden::N,janub,sud
378,Süden::N,janub,miazăzi
379,Westen::N,g'arb,apus
380,Osten::N,sharq,est
381,Osten::N,sharq,răsărit
382,Holz::N,yog'och,lemn
383,Brett::N,taxta,scândură
384,Platte::N,tabaqa,placă
385,Stütze::N,tayanchi,proptea
386,Stange::N,qo'noq,bară
387,Stange::N,qo'noq,prăjină
388,Stock::N,tayoq,băț
389,Stock::N,tayoq,baston
390,Stab::N,gavron,baston
391,Stab::N,gavron,prăjină
392,Rohr::N,tarnov,tub
393,Rohr::N,tarnov,țeavă
394,Haus::N,uy,casă
395,Heim::N,makon,casă
396,Heim::N,makon,cămin
397,Ofen::N,pechka,sobă
398,Fußboden::N,pol,podea
399,Fußboden::N,pol,dușumea
400,Tisch::N,mosa,masă
401,Stuhl::N,o'rindiq,scaun
402,Wiege::N,beshik,leagăn
403,Bett::N,yotoq,pat
404,Regal::N,tokcha,rafturi
405,Kiste::N,sandiq,ladă
406,Kiste::N,sandiq,cutie
407,Fenster::N,deraza,fereastră
408,Tür::N,äshik,ușă
409,Tor::N,darvoza,poartă
410,Zaun::N,panjara,gard
411,Dach::N,tom,acoperiș
412,Leiter::N,narvon,scară
413,Besen::N,supurgi,mătură
414,Spaten::N,bel,cazma
415,Spaten::N,bel,hârleț
416,Schaufel::N,kurak,lopată
417,Gabel::N,bilka,furculiță
418,Löffel::N,qoshiq,lingură
419,Messer::N,pichoq,cuțit
420,Nagel::N,mix,cui
421,Netz::N,to'r,plasă
422,Haken::N,ilgak,cârlig
423,Griff::N,sop,mâner
424,Griff::N,tutqich,mâner
425,Schloss::N,qulf,lacăt
426,Bild::N,rasm,tablou
427,Bild::N,rasm,imagine
428,Figur::N,shakl,chip
429,Figur::N,shakl,figură
430,Puppe::N,ko'g'irchoq,păpușă
431,Beutel::N,to'rva,pungă
432,Beutel::N,to'rva,săculeț
433,Bündel::N,bog'lam,mănunchi
434,Tasche::N,kissa,geantă
