,Concept_ID,lt,sk
181,Huhn::N,višta,sliepka
182,Hahn::N,gaidys,kohút
183,Gans::N,žąsis,hus
184,Adler::N,erelis,orol
185,Ente::N,antis,kačka
186,Ente::N,antis,kačica
187,Eule::N,pelėda,sova
188,Kranich::N,gervė,žeriav
189,Krähe::N,varna,vrana
190,Kuckuck::N,gegužė,kukučka
191,Schwan::N,gulbė,labuť
192,Fisch::N,žuvis,ryba
193,Barsch::N,ešerys,ostriež
194,Hecht::N,lydeka,šťuka
195,Schlange[Tier]::N,gyvatė,had
196,Wurm::N,kirmėlė,červ
197,Spinne::N,voras,pavúk
198,Ameise::N,skruzdė,mravec
199,Laus::N,utėlė,voš
200,Mücke::N,uodas,komár
201,Fliege::N,musė,mucha
202,Schmetterling::N,drugys,motýľ
203,Schmetterling::N,peteliškė,motýľ
204,Beere::N,uoga,bobuľa
205,Apfel::N,obuolys,jablko
206,Pilz::N,grybas,hríb
207,Zwiebel::N,svogūnas,cibuľa
208,Saat::N,sėkla,osivo
209,Korn::N,grūdai,zrno
210,Heu::N,šienas,seno
211,Schale::N,žievelė,šupa
212,Schale::N,žievelė,škrupina
213,Grube::N,duobė,jama
214,Falle::N,pinklės,pasca
215,Falle::N,pinklės,klepec
216,Falle::N,žabangai,pasca
217,Falle::N,žabangai,klepec
218,Schlinge::N,kilpa,slučka
219,Spur::N,vėžė,stopa
220,Spur::N,pėdos,stopa
221,Spur::N,pėdsakas,stopa
222,Asche::N,pelenai,popol
223,Dreck::N,purvas,kal
224,Dreck::N,purvas,blato
225,Eisen::N,geležis,železo
226,Gold::N,auksas,zlato
227,Silber::N,sidabras,striebro
228,Kohle::N,anglis,uhlie
229,Glas::N,stiklas,sklo
230,Lehm::N,molis,íl
231,Lehm::N,molis,hlina
232,Sand::N,smėlis,piesok
233,Mensch::N,žmogus,človek
234,Mann::N,vyras,muž
235,Mann::N,vyras,chlap
236,Mann::N,vyriškis,muž
237,Mann::N,vyriškis,chlap
238,Frau::N,moteris,žena
239,Kind::N,vaikas,dieťa
240,Junge::N,vaikinas,chlapec
241,Junge::N,berniukas,chlapec
242,Mädchen::N,mergytė,dievka
243,Mädchen::N,mergaitė,dievka
244,Familie::N,šeima,rodina
245,Großvater::N,senelis,dedo
246,Großvater::N,senelis,starý otec
247,Großmutter::N,senelė,babička
248,Großmutter::N,senelė,stará mať
249,Eltern::N,tėvai,rodičia
250,Vater::N,tėvas,otec
251,Mutter::N,motina,mať
252,Mutter::N,motina,matka
253,Sohn::N,sūnus,syn
254,Tochter::N,duktė,dcéra
255,Bruder::N,brolis,brat
256,Schwester::N,sesuo,sestra
257,Onkel::N,dėdė,ujo
258,Onkel::N,dėdė,strýko
259,Tante::N,teta,teta
260,Tante::N,teta,tetka
261,Ehemann::N,vyras,muž
262,Ehemann::N,vyras,manžel
263,Ehefrau::N,žmona,žena
264,Ehefrau::N,žmona,manželka
265,Freude::N,džiaugsmas,radosť
266,Gelächter::N,juokas,smiech
267,Glück::N,laimė,šťastie
268,Kummer::N,vargas,žiaľ
269,Kummer::N,vargas,zármutok
270,Kummer::N,rūpestis,žiaľ
271,Kummer::N,rūpestis,zármutok
272,Wunsch::N,troškimas,prianie
273,Wunsch::N,pageidavimas,prianie
274,Lust::N,noras,chuť
275,Lust::N,geidulys,chuť
276,Geist::N,dvasia,duch
277,Gedanke::N,mintis,myšlienka
278,Gedächtnis::N,atmintis,pamäť
279,Verstand::N,protas,rozum
280,Sinn::N,prasmė,zmysel
281,Grund::N,priežastis,dôvod
282,Grund::N,priežastis,príčina
283,Wahrheit::N,tiesa,pravda
284,Wahrheit::N,teisybė,pravda
285,Gespräch::N,pokalbis,reč
286,Gespräch::N,pokalbis,rozhovor
287,Märchen::N,pasaka,rozprávka
288,Erzählung::N,apsakymas,poviedka
289,Erzählung::N,pasakojimas,poviedka
290,Nachricht::N,žinia,správa
291,Neuigkeit::N,naujiena,novinka
292,Name::N,vardas,meno
293,Rätsel::N,mįslė,záhada
294,Rätsel::N,mįslė,hádanka
295,Rede::N,kalba,reč
296,Sprache::N,kalba,reč
297,Sprache::N,kalba,jazyk
298,Stimme::N,balsas,hlas
299,Wort::N,žodis,slovo
300,Zeichen::N,žymė,znak
301,Zeichen::N,ženklas,znak
302,Ruf::N,šauksmas,volanie
303,Ruf::N,šauksmas,zavolanie
304,Lärm::N,triukšmas,hluk
305,Lärm::N,triukšmas,hurhaj
306,Laut::N,garsas,zvuk
307,Ton::N,tonas,tón
308,Ton::N,tonas,zvuk
309,Ton::N,garsas,tón
310,Ton::N,garsas,zvuk
311,Lied::N,daina,pieseň
312,Lied::N,giesmė,pieseň
313,Ruhe::N,ramybė,pokoj
314,Ruhe::N,ramumas,pokoj
315,Leute::N,žmonės,ľudia
316,Volk::N,tauta,ľud
317,Volk::N,tauta,národ
318,Arbeit::N,darbas,práca
319,Arbeit::N,darbas,robota
320,Arbeit::N,triūsas,práca
321,Arbeit::N,triūsas,robota
322,Gast::N,svečias,hosť
323,Geschenk::N,dovana,dar
324,Spiel::N,žaismas,hra
325,Spiel::N,žaidimas,hra
326,Gesellschaft::N,draugija,spoločnosť
327,Gesellschaft::N,kompanija,spoločnosť
328,Hilfe::N,pagalba,pomoc
329,Freund::N,draugas,priateľ
330,Freund::N,bičiulis,priateľ
331,Kamerad::N,draugas,kamarát
332,Angelegenheit::N,dalykas,vec
333,Angelegenheit::N,dalykas,záležitosť
334,Angelegenheit::N,reikalas,vec
335,Angelegenheit::N,reikalas,záležitosť
336,Anzahl::N,kiekis,počet
337,Anzahl::N,kiekis,množstvo
338,Anzahl::N,skaičius,počet
339,Anzahl::N,skaičius,množstvo
340,Art::N,rūšis,druh
341,Stück::N,gabalas,kus
342,Stück::N,gabalas,kúsok
343,Teil::N,dalis,časť
344,Hälfte::N,pusė,polka
345,Hälfte::N,pusė,polovica
346,Kreis::N,ratas,kruh
347,Kreis::N,apskritis,kruh
348,Kreis::N,apskritimas,kruh
349,Kreuz::N,kryžius,kríž
350,Linie::N,linija,línia
351,Strich::N,brėžis,čiara
352,Strich::N,brūkšnys,čiara
353,Abstand::N,atstumas,vzdialenosť
354,Entfernung::N,atstumas,vzdialenosť
355,Gegend::N,vietovė,kraj
356,Gegend::N,vietovė,krajina
357,Platz::N,vieta,miesto
358,Ort::N,vieta,miesto
359,Ort::N,vietovė,miesto
360,Seite::N,pusė,bok
361,Seite::N,pusė,strana
362,Seite::N,šonas,bok
363,Seite::N,šonas,strana
364,Mitte::N,vidurys,stred
365,Gegenstand::N,dalykas,predmet
366,Sache::N,daiktas,vec
367,Rand::N,kraštas,kraj
368,Rand::N,kraštas,okraj
369,Rand::N,pakraštys,kraj
370,Rand::N,pakraštys,okraj
371,Kante::N,kraštas,hrana
372,Ecke::N,kertė,roh
373,Ecke::N,kampas,roh
374,Spitze::N,priekis,hrot
375,Spitze::N,priekis,špička
376,Spitze::N,priešakys,hrot
377,Spitze::N,priešakys,špička
378,Ende::N,galas,koniec
379,Loch::N,skylė,diera
380,Winkel::N,kampas,kút
381,Winkel::N,kampelis,kút
382,Muster::N,raštas,vzor
383,Muster::N,raštas,vzorka
384,Größe::N,dydis,veľkosť
385,Größe::N,didumas,veľkosť
386,Länge::N,ilgis,dĺžka
387,Länge::N,ilgumas,dĺžka
388,Höhe::N,aukštis,výška
389,Höhe::N,aukštuma,výška
390,Gewicht::N,svoris,váha
391,Gewicht::N,svarstis,váha
392,Menge::N,kiekis,množstvo
393,Menge::N,daugybė,množstvo
394,Haufen::N,krūva,hŕba
395,Haufen::N,šūsnis,hŕba
396,Reihe::N,greta,rad
397,Boot::N,valtis,čln
398,Boot::N,laivelis,čln
399,Ruder::N,irklas,veslo
400,Schlitten::N,rogės,sane
401,Schlitten::N,rogutės,sane
402,Ski::N,slidė,lyža
403,Lagerfeuer::N,laužas,táborák
404,Last::N,našta,ťarcha
405,Last::N,našta,bremeno
406,Last::N,nešulys,ťarcha
407,Last::N,nešulys,bremeno
408,Gang::N,eisena,chôdza
409,Schritt::N,žingsnis,krok
410,Norden::N,šiaurė,sever
411,Norden::N,žiemiai,sever
412,Süden::N,pietūs,juh
413,Westen::N,vakarai,západ
414,Osten::N,rytai,východ
415,Holz::N,mediena,drevo
416,Brett::N,lenta,doska
417,Platte::N,plokštė,doska
418,Platte::N,plokštė,platňa
419,Stütze::N,atrama,opora
420,Stütze::N,atspara,opora
421,Stange::N,lazda,tyč
422,Stange::N,kartis,tyč
423,Stock::N,lazda,palica
424,Stab::N,kartis,palica
425,Rohr::N,vamzdis,rúra
426,Haus::N,namas,dom
427,Heim::N,namai,domov
428,Ofen::N,krosnis,pec
429,Ofen::N,krosnis,kachle
430,Fußboden::N,grindys,dlážka
431,Fußboden::N,grindys,podlaha
432,Tisch::N,stalas,stôl
433,Stuhl::N,kėdė,stolička
434,Wiege::N,lopšys,kolíska
435,Bett::N,lova,lôžko
436,Bett::N,lova,posteľ
437,Bett::N,patalai,lôžko
438,Bett::N,patalai,posteľ
439,Regal::N,lentyna,regál
440,Regal::N,lentyna,polica
441,Kiste::N,dėžė,debna
442,Fenster::N,langas,okno
443,Fenster::N,langas,oblok
444,Tür::N,durys,dvere
445,Tor::N,vartai,vráta
446,Zaun::N,tvora,plot
447,Zaun::N,tvora,ohrada
448,Dach::N,stogas,krov
449,Dach::N,stogas,strecha
450,Leiter::N,kopėčios,rebrík
451,Leiter::N,kopėčios,rebrina
452,Besen::N,šluota,metla
453,Spaten::N,lopeta,rýľ
454,Spaten::N,kastuvas,rýľ
455,Schaufel::N,semtuvas,lopata
456,Gabel::N,šakutė,vidlička
457,Löffel::N,šaukštas,lyžica
458,Messer::N,peilis,nôž
459,Nagel::N,vinis,klinec
460,Netz::N,tinklas,sieť
461,Haken::N,vagis,hák
462,Haken::N,vagis,háčik
463,Haken::N,kablys,hák
464,Haken::N,kablys,háčik
465,Griff::N,kotas,rukoväť
466,Griff::N,rankena,rukoväť
467,Schloss::N,spyna,zámka
468,Schloss::N,užraktas,zámka
469,Bild::N,paveikslas,obraz
470,Figur::N,figūra,figúra
471,Puppe::N,lėlė,bábka
472,Puppe::N,lėlė,bábika
473,Beutel::N,krepšys,vrece
474,Beutel::N,krepšys,vrecko
475,Beutel::N,maišelis,vrece
476,Beutel::N,maišelis,vrecko
477,Bündel::N,ryšulys,uzlík
478,Bündel::N,ryšulys,zväzok
479,Tasche::N,krepšelis,taška
480,Tasche::N,krepšelis,kabelka
481,Eimer::N,kibiras,vedro
482,Deckel::N,dangtis,vrchnák
483,Deckel::N,dangtis,pokrývka
484,Geschirr::N,indai,nádoba
485,Sack::N,maišas,mech
486,Sack::N,maišas,vrece
487,Tasse::N,puodukas,šálka
488,Topf::N,puodas,hrniec
489,Kessel::N,katilas,kotol
490,Essen::N,valgis,jedlo
