,Concept_ID,ab,bn
0,Auge::N,ала,চক্ষু
1,Ohr::N,алымҳа,কর্ণ
2,Nase::N,аҧынҵа,নাক
3,Mund::N,аҧышə,মুখ
4,Zahn::N,ахаҧыц,দাঁত
5,Zunge::N,абз,জিহবা
6,Lippe::N,ақьышə,অধর
7,Wange::N,аӡамҩа,গণ্ড
8,Gesicht::N,аҿы,মুখমণ্ডল
9,Stirn::N,алахь,কপাল
10,Haar::N,ахəыц,চুল
11,Schnurrbart::N,аҧаҵа,গোঁফ
12,Bart::N,ажакьа,শ্মশ্রু
13,Kinn::N,ацламкəыгə,চিবুক
14,Kiefer[Anatomie]::N,ацламҳəа,চোয়াল
15,Kehle::N,ахəда,কণ্ঠ
16,Hals::N,ахəда,গল
17,Genick::N,ахəдаџьал,ঘাড়
18,Kopf::N,ахы,মাথা
19,Rücken::N,азқəа,পৃষ্ঠ
20,Bauch::N,амгəа,উদর
21,Nabel::N,аҷапан,নাভি
22,Busen::N,агəыҧҳəы,স্তন
23,Brust::N,агəышҧы,বুক
24,Schulter::N,ажəҩахыр,স্কন্ধ
25,Arm::N,амахəар,বাহু
26,Ellenbogen::N,амашьхəылҵ,কনুই
27,Hand::N,анапы,হাত
28,Handfläche::N,анапсаргəыҵа,করতল
29,Finger::N,анацəа,আঙ্গুল
30,Fingernagel::N,анапхыц,হাতের নখ
31,Nagel[Anatomie]::N,ашьапхыц,নখ
32,Zeh::N,ашьацəа,আঙ্গুল
33,Fuß::N,ашьапсыргəыҵа,পা
34,Ferse::N,ашьхəа,গোড়ালি
35,Knie::N,ашьамхы,হাঁটু
36,Oberschenkel::N,ауаҭəа,ঊরু
37,Bein::N,ашьапы,পা
38,Körper::N,ацəеижь,দেহ
39,Haut::N,ацəа,ত্বক
40,Blut::N,ашьа,রক্ত
41,Ader::N,ада,শিরা
42,Sehne::N,адаш,কণ্ডরা
43,Knochen::N,абаҩ,অস্থি
44,Gehirn::N,ахшлыбаҩ,মস্তিষ্ক
45,Gehirn::N,ахшыбаҩ,মস্তিষ্ক
46,Herz::N,агəы,হৃৎপিণ্ড
47,Magen::N,аца,পাকস্থলী
48,Magen::N,ацар,পাকস্থলী
49,Leber::N,агəаҵəа,যকৃৎ
50,Atem::N,аҧсыҧлагаҩгара,শ্বাস
51,Hunger::N,амла,ক্ষুধা
52,Träne::N,алабжыш,অশ্রু
53,Geschmack::N,агьама,স্বাদ
54,Geruch::N,афҩы,গন্ধ
55,Schlaf::N,ацəа,ঘুম
56,Traum::N,аҧхыӡ,স্বপ্ন
57,Himmel::N,ажəҩан,আকাশ
58,Sonne::N,амра,সূর্য
59,Mond::N,амза,চন্দ্র
60,Stern::N,аеҵəа,নক্ষত্র
61,Luft::N,аҳаир,বায়ু
62,Wind::N,аҧша,বাতাস
63,Welle::N,ацəқəырҧа,ঢেউ
64,Welle::N,ацəқəырҧа,তরঙ্গ
65,Wasser::N,аӡы,জল
66,Stein::N,ахаҳə,ঢিল
67,Stein::N,ахаҳə,প্রস্তর
68,Boden::N,адгьыл,ভূতল
69,Erde::N,адгьыл,ভূমি
70,Staub::N,асаба,ধুলা
71,Rauch::N,алҩа,ধোঁয়া
72,Funke::N,акəиц,স্ফুলিঙ্গ
73,Funke::N,ацҧхь,স্ফুলিঙ্গ
74,Feuer::N,амца,অগ্নি
75,Licht::N,алашара,আলো
76,Schatten::N,ашəшьыра,ছায়া
77,Wetter::N,амш,আবহাওয়া
78,Nebel::N,анаҟəа,কুহেলিকা
79,Wolke::N,аҧсҭҳəа,মেঘ
80,Regen::N,ақəа,বৃষ্টি
81,Schnee::N,асы,তুষার
82,Eis::N,аҵаа,বরফ
83,Frost::N,аҵаа,তুষার
84,Kälte::N,ахьҭа,শৈত্য
85,Hitze::N,ашоура,তাপ
86,Raureif::N,аҵааҧшқа,তুহিন
87,Regenbogen::N,ацəаҟəа,রামধনু
88,Donner::N,адыд,বজ্রধ্বনি
89,Strömung::N,аиасра,স্রোত
90,Strömung::N,амҩасра,স্রোত
91,Tropfen::N,ацəыкəбар,ফোঁটা
92,Schaum::N,ашəах,ফেনা
93,Schmutz::N,алымт,ধুলা
94,See::N,аӡиа,হ্রদ
95,Sumpf::N,аӡмах,জলা
96,Wiese::N,адəы,তৃণভূমি
97,Wald::N,абна,বন
98,Hügel::N,ахəы,পাহাড়
99,Anhöhe::N,аҳаракыра,টিলা
100,Berg::N,ашьха,পর্বত
101,Gipfel::N,ацəқəа,শীর্ষ
102,Höhle::N,аҳаҧы,গুহা
103,Abhang::N,анаара,ঢাল
104,Quelle::N,аҵҵырҭа,উৎস
105,Bach::N,акəараҷҷа,ক্ষুদ্র নদী
106,Fluss::N,аӡиас,নদী
107,Ufer::N,ахықə,উপকূল
108,Küste::N,ахықə,তীর
109,Festland::N,абарра,ভূমি
110,Meer::N,амшын,সমুদ্র
111,Bucht::N,аӡбжьахала,উপসাগর
112,Insel::N,адгьылбжьаха,দ্বীপ
113,Blume::N,ашəҭ,ফুল
114,Gras::N,аҳасакьын,ঘাস
115,Wurzel::N,адац,শিকড়
116,Baum::N,аҵла,গাছ
117,Stamm::N,ашьапы,স্কন্ধ
118,Rinde::N,ацəа,বল্কল
119,Ast::N,амахə,শাখা
120,Ast::N,амахəҭа,শাখা
121,Zweig::N,амахə,ডাল
122,Zweig::N,амахəҭа,ডাল
123,Blatt::N,абҕьы,পর্ণ
124,Birke::N,аҵааҵла,ভুর্জ
125,Kiefer[Baum]::N,амза,পাইন গাছ
126,Weide[Baum]::N,аҧслыш,উইলো
127,Tanne::N,аҧсаӡ,দেবদারূ গাছ
128,Horn::N,атəыҩа,শিং
129,Feder::N,ахӡы,পালক
130,Fell::N,ацəа,রোম
131,Flügel::N,амҵəыжəа,ডানা
132,Klaue::N,ашьапхыц,নখর
133,Schwanz::N,аҵыхəа,লেজ
134,Ei::N,акəтаӷь,ডিম
135,Nest::N,аҭра,কুলায়
136,Nest::N,аҵысҭра,কুলায়
137,Bau::N,аҭыҩра,ডেরা
138,Tier::N,аҧстəы,জন্তু
139,Tier::N,агыгшəыг,জন্তু
140,Herde::N,агəарҭа,ঝাঁক
141,Kuh::N,ажə,গোরু
142,Bulle::N,ацə,বৃষ
143,Pferd::N,аҽы,ঘোড়া
144,Schaf::N,ауаса,ভেড়া
145,Schwein::N,аҳəа,শূকর
146,Hund::N,ала,কুকুর
147,Katze::N,ацгəы,বেড়াল
148,Bär::N,амшə,ভল্লুক
149,Eichhörnchen::N,аеш,কাঠবিড়াল
150,Elch::N,аҽаҩа,হরিণবিশেষ
151,Fuchs::N,абгахəыҷы,পাঁতিশিয়াল
152,Hase::N,ажьа,শশক
153,Maus::N,аҳəынаҧ,নেংটি ইঁদুর
154,Wolf::N,абгаду,নেকড়ে
155,Vogel::N,аҧсаатə,পক্ষী
156,Huhn::N,акəты,মোরগ
157,Hahn::N,арбаҕь,কুক্কুট
158,Gans::N,аҟыз,হংসী
159,Adler::N,ауарба,ইগল
160,Ente::N,акəата,হংসী
161,Eule::N,аты,পেচক
162,Kranich::N,апҟа,সারস
163,Krähe::N,аҟəараан,কাক
164,Kuckuck::N,акəыкəу,কোকিল
165,Schwan::N,агьад,মরাল
166,Fisch::N,аҧсыӡ,মাছ
167,Barsch::N,ацəыбла,মৎন্যবিশেষ
168,Hecht::N,ахиаала,বানমাছ
169,Schlange[Tier]::N,амаҭ,সর্প
170,Wurm::N,ахəа,কীট
171,Wurm::N,ахəац,কীট
172,Spinne::N,абызкаҭаҳа,মাকড়সা
173,Ameise::N,ашышкамс,পিপীলিকা
174,Laus::N,аҵа,উকুন
175,Mücke::N,акəыбры,মশা
176,Fliege::N,амҵ,মাছি
177,Schmetterling::N,аҧарҧалыкь,প্রজাপতি
178,Beere::N,аргуц,বেরি
179,Apfel::N,аҵəа,আপেল
180,Pilz::N,акəкəбаа,ছত্রক
181,Zwiebel::N,аџьымшьы,পিয়াজ
182,Zwiebel::N,аџьымшьхы,পিয়াজ
183,Saat::N,ажəла,বীজ
184,Korn::N,арыц,শস্য
185,Heu::N,аҭəа,খড়
186,Schale::N,ацəа,খোসা
187,Grube::N,ажра,গর্ত
188,Grube::N,атыша,গর্ত
189,Falle::N,арыҧҟьа,ফাঁদ
190,Schlinge::N,аҟəараҟəантə,পাশ
191,Spur::N,ашьҭа,চিহ্ন
192,Asche::N,ахəа,ভস্ম
193,Dreck::N,аҳəынҵəа,ময়লা
194,Dreck::N,аҟьамсар,ময়লা
195,Eisen::N,аиха,লোহা
196,Gold::N,ахьы,স্বর্ণ
197,Silber::N,аразны,রৌপ্য
198,Kohle::N,арацəа,অঙ্গার
199,Glas::N,асаркьа,কাচ
200,Lehm::N,анышəаҧшь,মৃত্তিকা
201,Sand::N,аҧслымӡ,বালি
202,Mensch::N,ауаҩы,নর
203,Mensch::N,ауаҩы,মানুষ
204,Mann::N,ахаҵа,মানুষ
205,Frau::N,аҧҳəыс,নারী
206,Kind::N,ахəыҷы,বাচ্চা
207,Junge::N,аҷкəын,ছেলে
208,Junge::N,ахаҵарҧыс,ছেলে
209,Mädchen::N,аӡӷаб,মেয়ে
210,Familie::N,аҭаацəа,পরিবার
211,Großvater::N,абду,মাতামহ
212,Großmutter::N,анду,মাতামহী
213,Eltern::N,ани аби,মাতাপিতা
214,Vater::N,аб,পিতা
215,Mutter::N,ан,মাতা
216,Sohn::N,аҧа,ছেলে
217,Tochter::N,аҧҳа,মেয়ে
218,Bruder::N,аиашьа,দাদা
219,Schwester::N,Аҳəшьа,বোন
220,Schwester::N,Аҳəшьа,দিদি
221,Onkel::N,абиашьа,মামা
222,Onkel::N,аншьа,মামা
223,Tante::N,абиаҳəшьа,মাসী
224,Ehemann::N,ахаҵа,স্বামী
225,Ehemann::N,аҧшəма,স্বামী
226,Ehefrau::N,аҧҳəыс,পত্নী
227,Freude::N,агəырӷьара,উল্লাস
228,Gelächter::N,ачча,হাসি
229,Gelächter::N,аччара,হাসি
230,Glück::N,аразҟы,সুখ
231,Kummer::N,агəырҩа,দুঃখ
232,Wunsch::N,агəхəтəы,আকাঙ্ক্ষা
233,Wunsch::N,аҭахра,আকাঙ্ক্ষা
234,Lust::N,агəазыҳəара,বাসনা
235,Geist::N,аҧсы,আত্না
236,Gedanke::N,ахəыцырҭа,চিন্তা
237,Gedächtnis::N,агəынкылара,স্মরণশক্তি
238,Verstand::N,ахшыҩ,মন
239,Sinn::N,аҵакы,পদার্থ
240,Grund::N,амзыз,কারণ
241,Wahrheit::N,аиаша,সত্য
242,Gespräch::N,аиҿцәажәара,কথাবার্তা
243,Märchen::N,алакə,রূপকথা
244,Erzählung::N,ажәабжь,গল্প
245,Nachricht::N,адырраҭара,তথ্য
246,Neuigkeit::N,ажәабжь ҿыц,খবরাখবর
247,Name::N,ахьӡ,নাম
248,Rätsel::N,ацуфара,ধাঁধা
249,Rede::N,ажәа,বক্তৃতা
250,Sprache::N,абызшəа,ভাষা
251,Stimme::N,абжьы,স্বর
252,Wort::N,ажәа,শব্দ
253,Zeichen::N,адырга,প্রতীক
254,Ruf::N,аҿҭы,ডাক
255,Lärm::N,ашьҭыбжь,হৈচৈ
256,Laut::N,ашьҭыбжь,ধ্বনি
257,Ton::N,атон,স্বর
258,Lied::N,ашəа,গান
259,Ruhe::N,аҭынчра,শান্তি
260,Leute::N,ауаа,প্রজাপুঞ্জ
261,Volk::N,ажəлар,জাতি
262,Arbeit::N,аусура,চাকরি
263,Gast::N,асас,অতিথি
264,Geschenk::N,аҳамҭа,উপহার
265,Geschenk::N,аҿанҵа,উপহার
266,Spiel::N,ахəмарра,খেলা
267,Gesellschaft::N,агəыҧ,সঙ্গিগণ
268,Hilfe::N,ацхыраара,সাহায্য
269,Freund::N,аҩыза,বন্ধু
270,Kamerad::N,Аҧхнагьла,সঙ্গী
271,Angelegenheit::N,аус,বিষয়
272,Anzahl::N,ахыҧхьаӡара,পরিমাণ
273,Art::N,ахкы,রকম
274,Stück::N,аҽыҭ,টুকরো
275,Teil::N,ахəҭа,অংশ
276,Hälfte::N,абжа,অর্ধেক
277,Kreis::N,агьагьа,বৃত্ত
278,Kreuz::N,аџьар,ক্রুশ
279,Linie::N,аицтәар,রেখা
280,Strich::N,ацəаҳəа,কষি
281,Abstand::N,абжьара,ফাঁক
282,Entfernung::N,абжьара,ব্যবধান
283,Gegend::N,аҭыҧ,ক্ষেত্র
284,Platz::N,аҭыҧ,জায়গা
285,Ort::N,аҭыҧ,স্থান
286,Seite::N,аган,পার্শ্ব
287,Mitte::N,агəҭа,মধ্য
288,Gegenstand::N,амаҭəар,জিনিস
