,Concept_ID,ga,uk
0,Auge::N,súil,око
1,Ohr::N,cluas,вухо
2,Nase::N,soc,ніс
3,Mund::N,béal,рот
4,Zahn::N,fiacail,зуб
5,Zunge::N,teanga,язик
6,Lippe::N,liopa,губа
7,Wange::N,grua,щока
8,Wange::N,leiceann,щока
9,Gesicht::N,éadan,обличчя
10,Gesicht::N,aghaidh,обличчя
11,Stirn::N,baithis,лоб
12,Stirn::N,clár éadain,лоб
13,Haar::N,gruaig,волосся
14,Schnurrbart::N,croiméal,вуса
15,Bart::N,féasóg,борода
16,Kinn::N,smig,підборіддя
17,Kiefer[Anatomie]::N,giall,щелепа
18,Kehle::N,scornach,горло
19,Hals::N,muinéal,шия
20,Genick::N,baic,потилиця
21,Kopf::N,ceann,голова
22,Rücken::N,droim,спина
23,Bauch::N,bolg,живіт
24,Nabel::N,imleacán,пупок
25,Busen::N,cíoch,груди
26,Brust::N,brollach,груди
27,Schulter::N,gualainn,плече
28,Arm::N,lámh,рука
29,Ellenbogen::N,uillinn,лікоть
30,Hand::N,lámh,рука
31,Handfläche::N,bos,долоня
32,Finger::N,méar,палець
33,Fingernagel::N,ionga,ніготь
34,Nagel[Anatomie]::N,ionga,ніготь
35,Zeh::N,ladhar,палець на нозі
36,Fuß::N,cos,нога
37,Fuß::N,troigh,нога
38,Ferse::N,sáil,п’ятка
39,Knie::N,glúin,коліно
40,Oberschenkel::N,ceathrú,стегно
41,Bein::N,cos,нога
42,Körper::N,corp,тіло
43,Körper::N,colainn,тіло
44,Haut::N,cneas,шкіра
45,Haut::N,craiceann,шкіра
46,Blut::N,fuil,кров
47,Sehne::N,teannán,сухожилля
48,Sehne::N,féitheog,сухожилля
49,Knochen::N,cnámh,кістка
50,Gehirn::N,inchinn,мозок
51,Herz::N,croí,серце
52,Magen::N,bolg,шлунок
53,Magen::N,goile,шлунок
54,Leber::N,ae,печінка
55,Atem::N,anáil,дихання
56,Hunger::N,ocras,голод
57,Träne::N,deoir,сльоза
58,Geschmack::N,blas,смак
59,Geruch::N,boladh,запах
