,Concept_ID,pl,sv
0,Auge::N,oko,öga
1,Ohr::N,ucho,öra
2,Nase::N,nos,näsa
3,Mund::N,usta,mun
4,Zahn::N,ząb,tand
5,Zunge::N,język,tunga
6,Lippe::N,warga,läpp
7,Wange::N,policzek,kind
8,Gesicht::N,twarz,syn
9,Gesicht::N,twarz,ansikte
10,Stirn::N,czoło,panna
11,Haar::N,włos,hår
12,Haar::N,włosy,hår
13,Schnurrbart::N,wąsy,mustasch
14,Bart::N,broda,skägg
15,Kinn::N,podbródek,haka
16,Kiefer[Anatomie]::N,czeluść,käke
17,Kehle::N,gardło,strupe
18,Hals::N,szyja,hals
19,Genick::N,kark,nacke
20,Kopf::N,głowa,huvud
21,Rücken::N,plecy,rygg
22,Rücken::N,grzbiet,rygg
23,Bauch::N,brzuch,buk
24,Bauch::N,brzuch,mage
25,Nabel::N,pępek,navel
26,Busen::N,biust,barm
27,Brust::N,pierś,bröst
28,Schulter::N,bark,skuldra
29,Schulter::N,ramię,skuldra
30,Arm::N,ręka,arm
31,Arm::N,ramię,arm
32,Ellenbogen::N,łokieć,armbåge
33,Hand::N,dłoń,hand
34,Handfläche::N,dłoń,handflata
35,Finger::N,palec,finger
36,Fingernagel::N,paznokieć,fingernagel
37,Nagel[Anatomie]::N,paznokieć,nagel
38,Zeh::N,palec,tå
39,Fuß::N,stopa,fot
40,Ferse::N,pięta,häl
41,Knie::N,kolano,knä
42,Oberschenkel::N,udo,lår
43,Bein::N,noga,ben
44,Körper::N,ciało,kropp
45,Haut::N,skóra,hud
46,Haut::N,skóra,skinn
47,Blut::N,krew,blod
48,Ader::N,żyła,åder
49,Sehne::N,ścięgno,sena
50,Knochen::N,kość,ben
51,Gehirn::N,mózg,hjärna
52,Herz::N,serce,hjärta
53,Magen::N,żołądek,mage
54,Leber::N,wątroba,lever
55,Atem::N,dech,anda
56,Atem::N,dech,andedräkt
57,Atem::N,oddech,anda
58,Atem::N,oddech,andedräkt
59,Hunger::N,głód,svält
60,Hunger::N,głód,hunger
61,Träne::N,łza,tår
62,Geschmack::N,smak,smak
63,Geruch::N,woń,lukt
64,Geruch::N,zapach,lukt
65,Schlaf::N,sen,sömn
66,Traum::N,sen,dröm
67,Himmel::N,niebo,himmel
68,Sonne::N,słońce,sol
69,Mond::N,księżyc,måne
70,Stern::N,gwiazda,stjärna
71,Luft::N,powietrze,luft
72,Wind::N,wiatr,vind
73,Welle::N,fala,våg
74,Welle::N,fala,bölja
75,Wasser::N,woda,vatten
76,Stein::N,kamień,sten
77,Boden::N,grunt,mark
78,Erde::N,ziemia,jord
79,Staub::N,pył,damm
80,Staub::N,kurz,damm
81,Rauch::N,dym,rök
82,Funke::N,iskra,gnista
83,Feuer::N,ogień,eld
84,Licht::N,światło,ljus
85,Schatten::N,cień,skugga
86,Wetter::N,pogoda,väder
87,Nebel::N,mgła,dimma
88,Nebel::N,mgła,töcken
89,Wolke::N,obłok,sky
90,Wolke::N,obłok,moln
91,Wolke::N,chmura,sky
92,Wolke::N,chmura,moln
93,Regen::N,deszcz,regn
94,Schnee::N,śnieg,snö
95,Eis::N,lód,is
96,Frost::N,mróz,frost
97,Kälte::N,chłód,köld
98,Hitze::N,gorąco,hetta
99,Raureif::N,szron,rimfrost
100,Regenbogen::N,tęcza,regnbåge
101,Donner::N,grzmot,åska
102,Donner::N,grzmot,dunder
103,Strömung::N,nurt,strömning
104,Tropfen::N,kropla,dropper
105,Schaum::N,piana,skum
106,Schmutz::N,brud,lort
107,Schmutz::N,brud,smuts
108,See::N,jezioro,sjö
109,Sumpf::N,bagno,träsk
110,Moor::N,bagno,myr
111,Moor::N,bagno,mosse
